sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
BRDN0007696289	Zfp36l2	806.26/864.47/769.41	20941/262.81/23063/802.48	806.26	10872	3.7515	2373.1	3205.3	177.79	1	0	0	0	True
BRDN0007695970	Setd5	705.75/680.51/725.93	8462.9/11031/272.86/13425	705.75	9746.7	3.7858	522.28	2760.7	172.07	1	0	0	0	True
BRDN0007695795	Pou2af1	536.34/503.78/478.32	8077/3148.2/7189.1/4286.9	503.78	5738	3.5071	854.07	1892.2	120.33	1	0	0	0	True
BRDN0007695531	Ints13	748.77/775.04/807.51	3154.3/1587.7/11313/14205	775.04	7233.5	3.2207	872.16	3066.4	116.63	1	0	0	0	True
BRDN0007693737	Arl15	967.78/977.32/927.9	12125/3697.4/19326/2695.6	967.78	7911.2	3.0298	840.86	3934.4	110.7	1	0	0	0	True
BRDN0007695528	Ints10	651.77/683.91/711.2	3368.7/11422/462.2/8263.2	683.91	5815.9	3.0863	888.76	2665.1	99.411	1	0	0	0	True
BRDN0007695723	Nprl2	684.69/674.97/726.65	2411.6/5143.7/16352/6240.4	684.69	5692	3.0536	927.59	2668.4	96.935	1	0	0	0	True
BRDN0007695529	Ints10	679.42/610.24/691.43	1159.5/6253/6576.6/4620.3	679.42	5436.6	2.9985	2465	2645.4	92.492	1	0	0	0	True
BRDN0007692218	Ncor1	800.56/837.64/811.1	5089.1/7240.7/1511.9/5495.2	811.1	5292.1	2.7044	407.84	3226.9	78.883	1	0	0	0	True
BRDN0007693738	Arl15	772.03/804.43/679.21	801.01/5529.8/7286.6/4715.3	772.03	5122.6	2.7286	4832.4	3053	78.737	1	0	0	0	True
BRDN0007695733	Nprl3	665.38/675.4/824.4	955.38/3226.2/6841.1/5857.2	675.4	4541.7	2.7476	11151	2627.9	75.421	1	0	0	0	True
BRDN0007690767	Cd19	653.96/587.67/610.93	852.46/7538/16054/657.67	610.93	4195.2	2.7777	1196.5	2348.4	73.963	1	0	0	0	True
BRDN0007695210	Aurkaip1	597.35/511.87/535.82	307.02/7166.4/11179/535.49	535.82	3851	2.8431	2179.4	2027.5	73.625	1	0	0	0	True
