sgRNA	Gene	AR2466_BM	AR2467_BM	AR2468_BM	AR2469_BM	AR2473_BM	AR2474_BM	AR2475_BM	AR2476_BM
BRDN0007693687	Zscan4f	178.5657428642785	471.2863467349508	175.51002432546917	329.0073491546921	329.028492545637	854.187316234385	1059.8596680962191	188.5726846992383
BRDN0007693686	Zscan4f	606.5851365640817	358.7529820747202	363.55647895990046	302.217946678992	555.6049993884409	62.674098942641265	2241.579146745105	125.15886152604311
BRDN0007693685	Zscan4f	53.83891744651613	38.075198569250965	58.82478837282209	226.87275221608542	68.95806729998381	3.0326176907729643	99.41195071401752	219.44520387566226
BRDN0007693684	Zscan4f	270.09190252335594	240.29680874816162	63.64649233780751	121.38947996801618	288.6387674127894	147.58739428428427	420.09566269471924	92.6175575292719
BRDN0007693683	Zscan4f	286.24357775731073	229.29730693926692	202.51156652938752	104.6461034207036	24.627881178565644	324.49009291270715	527.5247062082543	32.54130399677121
BRDN0007693682	Zscan4f	504.29119341570106	224.22061379670012	165.86661639549834	354.122413975661	219.68070011280554	257.772503715702	577.230681565263	1059.6783609204983
BRDN0007693681	Zscan4c	94.21810553140322	160.76194951461517	213.11931525235545	218.5010639424291	77.82410452426744	434.6752023441249	4.810255679710526	32.54130399677121
BRDN0007693680	Zscan4c	81.65569146054946	384.1364477875542	120.54259912463543	779.4041782774004	200.96351041709565	95.02202097755288	30.46495263816666	640.8133710133408
BRDN0007693679	Zscan4c	545.5676967913635	153.14690980076497	372.2355460968742	174.96828491941642	88.66037224283632	341.67492649375396	229.2888540662017	223.61716592653036
BRDN0007693678	Zscan4c	219.84224623994086	182.76095313240464	148.50848212155086	117.20363583118804	260.0704252456532	115.23947224937264	269.3743180637894	127.66203875656397
BRDN0007693677	Zscan4c	154.33823001334625	361.2913286460036	1104.1702079816605	246.12763524549487	120.18406015140035	81.88067765087004	60.92990527633332	342.93528058135814
BRDN0007693676	Zscan4c	438.78717718910644	783.5029750028087	504.35023473747464	796.9847236520786	291.5941131542172	270.9138470423848	60.92990527633332	498.9666612838252
BRDN0007694815	Zscan26	957.4354152572118	115.91782675527516	808.1175845315558	129.76116824167246	248.2490422799417	40.434902543639524	56.11964959662279	370.4702301170876
BRDN0007694814	Zscan26	419.9435560828258	708.1986933880679	1125.3857054275963	439.5136343669551	256.1299642570827	1007.8399459002152	229.2888540662017	902.8125878078577
BRDN0007694813	Zscan26	52.94160215574086	140.455176944348	134.0433702265946	147.34171361635066	53.19622334570179	907.7635621047073	20.84444127874561	622.4567379895211
BRDN0007694812	Zscan26	922.4401189169764	431.51891711817757	287.37355631313085	832.9829832288007	269.92157771707946	604.5017930274108	1167.288711609754	518.1576867178185
BRDN0007694811	Zscan26	331.1093422960742	318.98555245794694	518.8153466324309	272.917037721195	196.03793418138252	230.47894449874528	272.5811551835964	211.10127977392605
BRDN0007694810	Zscan26	401.09993497654517	111.68724913646949	256.5146509372242	534.9508806866368	987.085477636911	270.9138470423848	351.14866461886834	262.83360920469056
BRDN0007694929	Zpld2	121.1375642546613	164.99252713342085	218.90536001033794	138.97002534269438	40.38972513284766	248.67465064338307	59.32648671642981	274.51510294712125
BRDN0007694928	Zpld2	495.3180405079484	242.83515531944502	669.2525103399759	107.15760990280049	132.99055836425447	457.9252713067176	575.6272630053595	718.4118651594874
BRDN0007694927	Zpld2	114.85635721923441	257.21911922338427	193.83249939241378	404.3525436175987	353.65637372420264	322.4683477855252	760.020397394263	142.68110213968916
