sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
BRDN0007695231	C2cd5	50.25/2168.6/57.86/57.765	1315.1/696.49/19392/305.39	57.813	1005.8	4.0975	1.4852e+06	2730.2	18.143	1	8.4313e-74	1.6863e-73	1.046e-69	True
BRDN0007691357	Cxcr4	8.9732/18.615/4.8217/125.58	35.464/3.0326/2071.6/595.76	13.794	315.61	4.4196	4207.4	375.34	15.579	1	6.6641e-55	1.3328e-54	4.1338e-51	True
BRDN0007696166	Tsc2	334.7/167.53/361.63/1085	5017.2/652.01/3715.1/1356.7	348.16	2535.9	2.8611	1.9196e+05	33113	12.023	1	1.3883e-33	2.7767e-33	5.7412e-30	True
BRDN0007694906	Pramel50	56.531/96.457/50.146/28.464	366.46/890.58/1165.7/20.025	53.338	628.52	3.5342	832.79	2441.5	11.641	1	1.4903e-31	2.9806e-31	4.6222e-28	True
BRDN0007692555	Plagl2	230.61/142.99/104.15/96.274	1023.5/1275.7/2900.6/86.777	123.57	1149.6	3.2074	4319	7840	11.588	1	2.5769e-31	5.1537e-31	6.3937e-28	True
BRDN0007691358	Cxcr4	76.272/24.537/19.287/56.927	118.21/486.23/543.56/695.88	40.732	514.89	3.6278	749.17	1679.8	11.569	1	3.5255e-31	7.051e-31	7.2895e-28	True
BRDN0007695499	Hnrnpf	168.7/65.151/565.1/53.579	271.89/1175.6/2084.4/867.77	116.92	1021.7	3.1165	70080	7260.1	10.619	1	1.3322e-26	2.6645e-26	2.3611e-23	True
BRDN0007696289	Zfp36l2	1257.1/997.57/1409.9/3520.3	12027/146.58/13281/443.9	1333.5	6235.6	2.2245	1.6355e+06	2.149e+05	10.575	1	1.9581e-26	3.9162e-26	3.0365e-23	True
BRDN0007690768	Cd19	410.07/110.84/221.8/200.08	1791.9/811.73/7274.7/1296.6	210.94	1544.3	2.8661	16636	16489	10.383	1	1.5536e-25	3.1073e-25	2.1416e-22	True
BRDN0007691600	Ewsr1	103.19/458.59/228.55/235.24	612.74/2689.9/48.103/2705.1	231.9	1651.3	2.8267	22660	18811	10.349	1	2.2109e-25	4.4218e-25	2.7428e-22	True
BRDN0007692901	Rpp38	2.6919/6.7689/2.893/9.2089	79.794/312.36/52.913/121.82	4.831	100.81	4.126	10.418	88.41	10.207	1	1.3192e-24	2.6385e-24	1.4879e-21	True
BRDN0007695182	Alg2	13.46/0/0/0	25.613/9.0979/14.431/32.541	0.48217	20.022	3.8261	60.388	3.8318	9.982	1	1.5297e-23	3.0595e-23	1.5815e-20	True
BRDN0007690767	Cd19	1110.9/549.13/205.4/234.41	489.6/4204.2/9245.3/363.8	391.77	2346.9	2.5796	2.0046e+05	39023	9.8973	1	2.1896e-23	4.3793e-23	2.0896e-20	True
BRDN0007695782	Pmm2	99.602/2.5383/5.786/47.719	51.226/372/1008.6/284.53	26.752	328.26	3.5686	2257.5	938.21	9.8436	1	4.5159e-23	9.0319e-23	4.0018e-20	True
BRDN0007691224	Clcc1	42.174/100.69/179.37/264.55	237.41/1696.2/2825.2/479.78	140.03	1088	2.949	9391.8	9327.8	9.8154	1	5.2141e-23	1.0428e-22	4.3124e-20	True
BRDN0007691054	Btbd35f5	272.78/107.46/444.56/109.67	2403.7/3106.4/325.49/225.29	191.23	1364.6	2.8286	28166	14386	9.7827	1	7.0689e-23	1.4138e-22	5.481e-20	True
BRDN0007695528	Ints10	225.23/942.57/291.23/1240.7	1934.8/6370.5/266.17/4570.8	616.9	3252.8	2.3967	2.5155e+05	73428	9.7273	1	1.1661e-22	2.3322e-22	8.5096e-20	True
BRDN0007696169	Tsc2	293.42/261.45/165.87/391.8	2456.9/3917.1/75.361/1113.9	277.44	1785.4	2.6816	8678.9	24141	9.7054	1	1.4852e-22	2.9703e-22	1.0236e-19	True
BRDN0007694038	H2al1n	82.553/80.381/127.29/238.59	1090.5/2565.6/182.79/649.99	104.92	870.26	3.0401	6490.3	6245.9	9.6839	1	1.9434e-22	3.8867e-22	1.2689e-19	True
BRDN0007695531	Ints13	1621.4/410.37/568.96/1191.3	1811.6/885.52/6514.7/7857.5	880.13	4163.2	2.2406	3.2129e+05	1.2045e+05	9.4594	1	1.5566e-21	3.1133e-21	9.6559e-19	True
BRDN0007695529	Ints10	1049/630.36/533.28/498.12	665.94/3487.5/3787.3/2555.7	581.82	3021.6	2.3747	76647	67679	9.3784	1	3.3916e-21	6.7832e-21	2.0036e-18	True
BRDN0007694940	Eef1akmt4	178.57/193.76/442.63/154.88	1548.6/920.9/24.051/2284.6	186.16	1234.8	2.723	22290	13859	8.9071	1	2.7763e-19	5.5525e-19	1.5656e-16	True
BRDN0007695210	Aurkaip1	520.44/265.68/71.361/526.58	176.34/3997/6437.7/296.21	393.06	2146.6	2.4462	51257	39203	8.8564	1	4.2309e-19	8.4618e-19	2.2821e-16	True
BRDN0007691524	Edem3	419.05/315.6/449.38/303.06	1690.5/404.35/5286.5/2191.1	367.32	1940.8	2.3983	5404.9	35676	8.3305	1	4.1337e-17	8.2673e-17	2.1368e-14	True
BRDN0007693135	Snd1	228.82/2523.1/415.63/267.06	2707.1/1370.7/2294.5/562.38	341.34	1832.6	2.4212	1.5946e+06	32213	8.3088	1	4.9755e-17	9.951e-17	2.4691e-14	True
BRDN0007696165	Tsc1	325.73/908.73/270.02/436.16	1820.5/2083.4/2228.8/288.7	380.95	1952	2.3542	98986	37531	8.1093	1	2.6094e-16	5.2187e-16	1.2451e-13	True
BRDN0007693748	Baz1b	185.74/30.46/33.752/30.138	460.05/764.22/68.947/166.88	32.106	313.46	3.2477	7871.3	1207.9	8.0955	1	3.4684e-16	6.9368e-16	1.5368e-13	True
BRDN0007695162	Agpat5	238.69/920.57/399.24/445.37	1790.9/3148.9/355.96/2415.6	422.31	2103.3	2.3135	94351	43321	8.0762	1	3.4143e-16	6.8285e-16	1.5368e-13	True
BRDN0007693102	Sly	55.634/0/9.6434/8.3717	133.98/43.468/375.2/115.98	9.0075	124.98	3.654	751.98	208.44	8.0326	1	6.5047e-16	1.3009e-15	2.7827e-13	True
BRDN0007695320	Depdc5	140.88/97.303/599.82/335.7	1296.4/2333.1/280.6/1390.9	238.29	1343.7	2.4904	56520	19537	7.9083	1	1.3648e-15	2.7297e-15	5.644e-13	True
BRDN0007694230	Olfr998	131.01/1054.3/45.324/35.161	783.17/447.82/1116/21.694	88.166	615.49	2.7895	3.1327e+05	4904.9	7.5295	1	2.8429e-14	5.6859e-14	1.1377e-11	True
BRDN0007695723	Nprl2	943.98/588.05/645.14/1487.6	1385.1/2868.9/9416.9/3451.9	794.56	3160.4	1.9905	1.8922e+05	1.0446e+05	7.3199	1	1.2492e-13	2.4983e-13	4.8428e-11	True
BRDN0007695524	Ints10	45.763/617.66/1041.5/279.61	1846.1/4246.7/206.84/2059.3	448.64	1952.7	2.1194	1.9031e+05	47127	6.9283	1	2.1713e-12	4.3426e-12	8.1628e-10	True
BRDN0007692858	Rpl30	24.228/196.3/31.823/4.1858	365.48/522.62/3.2068/126.83	28.025	246.15	3.09	9637.7	1000.6	6.8957	1	3.299e-12	6.598e-12	1.2037e-09	True
