id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
H2-K1	6	3.103e-07	3.2146e-06	0.00055	1	6	-4.0437	0.99999	1.0	1.0	1021	0	-4.0437
H2-T23	6	4.9446e-06	3.2146e-06	0.00055	2	5	-2.1293	0.7767	0.90736	1.0	778	1	-2.1293
Rfk	6	1.3359e-05	3.2146e-06	0.00055	3	6	-2.3329	0.99999	1.0	1.0	1020	0	-2.3329
Cxcr4	6	1.422e-05	3.2146e-06	0.00055	4	6	-2.3827	0.99999	1.0	1.0	1019	0	-2.3827
Gclc	6	1.8913e-05	3.2146e-06	0.00055	5	6	-2.5647	0.99998	1.0	1.0	1018	0	-2.5647
Paf1	6	2.8719e-05	3.2146e-06	0.00055	6	6	-1.9957	0.99997	1.0	1.0	1017	0	-1.9957
Ndufs2	6	2.9511e-05	3.2146e-06	0.00055	7	6	-2.617	0.99907	0.99995	1.0	1001	0	-2.617
Kdsr	6	5.2765e-05	3.2146e-06	0.00055	8	4	-2.026	0.57409	0.81219	1.0	672	2	-2.026
Tap1	6	5.624e-05	3.2146e-06	0.00055	9	6	-1.6247	0.99932	0.99996	1.0	1006	0	-1.6247
Rpia	6	9.4706e-05	2.2502e-05	0.002723	10	5	-1.87	0.98769	0.99725	1.0	953	0	-1.87
Dcaf7	6	0.00010565	2.2502e-05	0.002723	11	6	-1.9024	0.99983	1.0	1.0	1013	0	-1.9024
Rcor1	6	0.0001143	2.2502e-05	0.002723	12	6	-1.417	0.99989	1.0	1.0	1016	0	-1.417
Btbd35f4	6	0.00015489	2.8931e-05	0.002723	13	6	-3.0223	0.99985	1.0	1.0	1015	0	-3.0223
Elob	6	0.00016239	2.8931e-05	0.002723	14	4	-1.4141	0.95974	0.9836	1.0	907	0	-1.4141
Ikzf3	6	0.00016282	2.8931e-05	0.002723	15	6	-1.4894	0.99984	1.0	1.0	1014	0	-1.4894
Rpl37	6	0.00018475	2.8931e-05	0.002723	16	6	-2.7731	0.99887	0.99995	1.0	1000	0	-2.7731
Stub1	6	0.00022328	3.5361e-05	0.002723	17	6	-1.8437	0.99735	0.99963	1.0	989	0	-1.8437
Sys1	6	0.00022544	3.5361e-05	0.002723	18	5	-1.8351	0.38805	0.70343	1.0	549	1	-1.8351
Rad50	6	0.00024138	3.5361e-05	0.002723	19	5	-1.9978	0.89965	0.95221	1.0	850	1	-1.9978
Xrcc3	6	0.00025564	3.5361e-05	0.002723	20	6	-2.9779	0.99913	0.99995	1.0	1002	0	-2.9779
Syncrip	6	0.00029177	4.179e-05	0.003065	21	6	-1.5037	0.99971	0.99998	1.0	1012	0	-1.5037
Rasgrp2	6	0.00032502	4.8219e-05	0.003229	22	6	-1.0277	0.99967	0.99998	1.0	1011	0	-1.0277
Gtpbp4	6	0.00033641	4.8219e-05	0.003229	23	5	-1.9008	0.78597	0.91056	1.0	784	1	-1.9008
Zbtb8os	6	0.00036138	5.4648e-05	0.003237	24	6	-3.0514	0.99964	0.99998	1.0	1010	0	-3.0514
Rpl37rt	6	0.00039052	5.4648e-05	0.003237	25	5	-2.1014	0.51116	0.77288	1.0	629	1	-2.1014
