sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	AR2480_BM	AR2481_BM	AR2482_BM	AR2483_BM
BRDN0007693687	Zscan4f	585.5970282144956	550.0293382828198	583.6238206831352	808.8478986539975	3305.2546174331333	1234.5476919487712	1268.8096565533476
BRDN0007693686	Zscan4f	567.6258619294699	603.3267547830931	579.6412760010543	1371.070339837267	906.4271665536847	153.25419624191642	1428.0394020917465
BRDN0007693685	Zscan4f	388.3525202081161	396.5327787620329	391.7375769101441	142.12314498313134	38.91227735205212	97.06099095321373	40.226462030753424
BRDN0007693684	Zscan4f	428.67806406719814	501.4220944345706	454.01009375722805	1557.084456065189	189.98347177766624	126.00900579890906	222.92164375375856
BRDN0007693683	Zscan4f	338.8222326420697	345.79363825377277	370.37665543352813	163.02360748065067	601.9958202111593	217.9615235440589	460.92821076904966
BRDN0007693682	Zscan4f	714.0251189830938	721.0074504156964	762.4762818602251	622.8337824260757	688.9762048804523	662.3986926456165	1681.1308923685701
BRDN0007693681	Zscan4c	367.751427149672	403.78122740607006	422.8738353336861	202.73448622593736	157.93806689950569	1602.3577629293707	134.08820676917807
BRDN0007693680	Zscan4c	538.2583462929646	522.3146817026777	550.3152651602765	1632.3261210562587	224.31783414712402	122.60335699353314	816.2619587073715
BRDN0007693679	Zscan4c	668.439721577175	585.8452021710035	575.6587313189733	714.7958174151606	1261.2155777047483	3535.0634599802056	578.2553916920805
BRDN0007693678	Zscan4c	353.2868298958708	364.9807081938711	318.241525049923	593.5731349295486	352.4994536597663	66.41015170483045	102.24225766149829
BRDN0007693677	Zscan4c	590.4185606324294	598.6365821310691	522.7995019022626	411.7391112011305	1719.0070759641849	447.84281790693353	801.177035445839
BRDN0007693676	Zscan4c	575.077321120822	577.3176155309598	564.0731467892833	748.2365574111915	1828.8770355464499	160.06549385266825	526.296211569024
BRDN0007694815	Zscan26	512.3973996876837	510.8024397386187	519.9031057698401	2969.9557208974948	128.1816195126423	1689.2018074664566	1971.0966395069177
