id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Pak2	6	7.0463e-08	3.2146e-06	0.00495	1	5	-1.8289	1.0	1.0	1.0	1021	0	-1.8289
Fitm2	6	2.1879e-05	4.8219e-05	0.028053	2	4	-2.4281	0.99989	0.99993	1.0	1019	0	-2.4281
Ptpn2	6	3.1146e-05	5.4648e-05	0.028053	3	4	-2.1123	0.99001	0.99051	1.0	1003	0	-2.1123
Zbtb7a	6	0.00010024	0.00010608	0.040842	4	3	-0.93208	0.76701	0.74469	1.0	758	0	-0.93208
Kat6a	6	0.00028694	0.00032468	0.1	5	3	-1.7892	0.54797	0.5435	1.0	558	1	-1.7892
Tecr	6	0.00043253	0.00040183	0.102546	6	3	-1.7053	0.46195	0.47179	1.0	504	1	-1.7053
Btbd35f27	6	0.00048377	0.00046612	0.102546	7	1	0.68477	0.21127	0.27598	1.0	329	2	0.68477
Sys1	6	0.00075806	0.00064614	0.124381	8	2	-0.80815	0.048815	0.080143	0.973418	110	1	-0.80815
Elob	6	0.0019041	0.0021056	0.297958	9	3	-0.70526	0.06357	0.099245	1.0	136	1	-0.70526
Map3k7	6	0.0019343	0.002112	0.297958	10	2	-0.88258	0.19565	0.26594	1.0	307	2	-0.88258
Prkch	6	0.0023246	0.0023692	0.297958	11	2	-0.92859	0.50759	0.4958	1.0	529	1	-0.92859
Capzb	6	0.0033823	0.0030121	0.297958	12	2	-0.28421	0.93636	0.93602	1.0	941	0	-0.28421
H2-T23	6	0.0034856	0.0030121	0.297958	13	2	-1.3688	0.12677	0.16545	1.0	214	1	-1.3688
Psmb3	6	0.0036284	0.0030121	0.297958	14	2	-0.45448	0.68117	0.66686	1.0	669	0	-0.45448
Siglec1	6	0.0053108	0.0030185	0.297958	15	1	0.41357	0.53636	0.53535	1.0	547	1	0.41357
Dnlz	6	0.0062739	0.0040408	0.366045	16	1	0.85008	0.34591	0.35232	1.0	444	1	0.85008
Hacd3	1	0.0073387	0.0030957	0.297958	17	1	-1.6266	0.99266	0.9969	1.0	1006	0	-1.6266
Esp18	6	0.0088221	0.0066382	0.538041	18	2	0.46791	0.034807	0.062527	0.967689	84	1	0.46791
Mrpl33	6	0.008932	0.0066382	0.538041	19	2	-0.68618	0.75855	0.73857	1.0	750	0	-0.68618
Btbd35f4	6	0.0093781	0.0074868	0.549033	20	2	-1.7697	0.98445	0.98334	1.0	992	0	-1.7697
Ptma	6	0.009605	0.0074868	0.549033	21	2	-0.52401	0.031892	0.056439	0.967689	77	2	-0.52401
Pou2af1	6	0.010419	0.015793	0.777478	22	2	-0.71194	0.98753	0.98787	1.0	1000	0	-0.71194
Chic2	6	0.010777	0.016565	0.777478	23	2	-1.1059	0.99972	0.99983	1.0	1017	0	-1.1059
Top2a	6	0.011385	0.016571	0.777478	24	2	0.50869	0.041846	0.069323	0.967689	99	3	0.50869
Socs1	6	0.012036	0.017343	0.777478	25	2	-1.2868	0.87797	0.86531	1.0	874	0	-1.2868
Rpl37rt	6	0.012779	0.019323	0.777478	26	2	-1.367	0.66904	0.65101	1.0	657	0	-1.367
Rpl31	6	0.012909	0.019323	0.777478	27	2	-0.61025	0.93509	0.93416	1.0	940	0	-0.61025
Pam16	6	0.013437	0.019323	0.777478	28	2	-0.4861	0.40535	0.41565	1.0	472	1	-0.4861
Btbd35f5	6	0.01357	0.019323	0.777478	29	2	-0.69803	0.91789	0.91503	1.0	919	0	-0.69803
Rap2c	6	0.013838	0.019323	0.777478	30	2	-0.62985	0.99523	0.99687	1.0	1012	0	-0.62985
H2-K1	6	0.014109	0.019329	0.777478	31	2	-0.48658	0.096962	0.1313	1.0	178	1	-0.48658
Rasgrp2	6	0.014907	0.019329	0.777478	32	1	0.92713	0.49513	0.49172	1.0	522	1	0.92713
Stub1	6	0.0168	0.021477	0.777478	33	2	-1.3782	0.99994	0.99996	1.0	1020	0	-1.3782
Sdhd	6	0.016816	0.021477	0.777478	34	1	0.52574	0.1607	0.2133	1.0	268	2	0.52574
Nudt9	6	0.016947	0.021477	0.777478	35	2	0.060221	0.81913	0.79615	1.0	805	0	0.060221
Slc35a1	6	0.017244	0.021483	0.777478	36	2	0.019734	0.8541	0.83876	1.0	843	0	0.019734
Gtpbp4	6	0.0183	0.031693	0.777478	37	2	-1.1499	0.20573	0.27314	1.0	322	1	-1.1499
Ebf1	6	0.018723	0.031693	0.777478	38	1	-0.89239	0.95398	0.95536	1.0	961	0	-0.89239
Suco	1	0.019435	0.010251	0.686397	39	1	-2.7537	0.98056	0.98975	1.0	989	0	-2.7537
Skint7	1	0.019919	0.010251	0.686397	40	1	-1.7321	0.98008	0.98975	1.0	986	0	-1.7321
Rfk	6	0.020016	0.031699	0.777478	41	2	-1.1702	0.85565	0.83876	1.0	846	0	-1.1702
Arl13b	6	0.020627	0.031699	0.777478	42	1	0.48627	0.055294	0.08431	0.973418	123	2	0.48627
Wipi2	6	0.020981	0.031699	0.777478	43	2	-0.32343	0.88832	0.87188	1.0	884	0	-0.32343
Slc35f2	6	0.021471	0.031699	0.777478	44	2	0.55658	0.043231	0.070371	0.967689	101	3	0.55658
H1f1	6	0.021578	0.031699	0.777478	45	1	-0.24967	0.93257	0.93065	1.0	938	0	-0.24967
Cacna1g	1	0.021694	0.013267	0.777478	46	1	-2.6375	0.97831	0.98673	1.0	985	0	-2.6375
Zfp968	6	0.021965	0.032831	0.777478	47	2	-0.52632	0.94007	0.93803	1.0	945	0	-0.52632
Vmn1r116	6	0.022132	0.032831	0.777478	48	2	-0.95429	0.1014	0.13933	1.0	184	1	-0.95429
Rpia	6	0.022528	0.032831	0.777478	49	1	-1.1732	0.97225	0.96953	1.0	979	0	-1.1732
Gclc	6	0.023309	0.032831	0.777478	50	2	-1.3346	0.98025	0.97877	1.0	987	0	-1.3346
Hsd3b3	6	0.023651	0.032831	0.777478	51	2	-0.6586	0.32943	0.34436	1.0	432	1	-0.6586
Rpl38	6	0.023822	0.032831	0.777478	52	2	-1.4045	0.83374	0.81739	1.0	819	0	-1.4045
Rpl23	6	0.023994	0.032831	0.777478	53	2	-0.65672	0.74738	0.71961	1.0	742	0	-0.65672
St8sia4	6	0.02434	0.032837	0.777478	54	2	-0.71494	0.23017	0.28938	1.0	357	1	-0.71494
Selenbp1	6	0.024862	0.032837	0.777478	55	2	-1.141	0.58832	0.60754	1.0	587	1	-1.141
Rpl37	6	0.02632	0.032837	0.777478	56	1	-1.3822	0.91921	0.91503	1.0	923	0	-1.3822
Ikzf3	6	0.026639	0.034174	0.777478	57	2	-1.2633	0.85351	0.83876	1.0	842	0	-1.2633
Tti1	6	0.027182	0.034174	0.777478	58	2	-0.30469	0.19287	0.2632	1.0	304	1	-0.30469
Rbm19	6	0.027266	0.034174	0.777478	59	1	0.198	0.95139	0.95158	1.0	960	0	0.198
Irf1	6	0.027547	0.034181	0.777478	60	2	-0.61298	0.71333	0.68534	1.0	703	0	-0.61298
Sprtn	6	0.028211	0.035525	0.777478	61	2	-1.1342	0.91656	0.91252	1.0	915	0	-1.1342
Reln	6	0.028841	0.035531	0.777478	62	2	-0.28586	0.74179	0.7095	1.0	736	0	-0.28586
Vmn1r243	6	0.029156	0.036798	0.777478	63	1	-1.2398	0.64443	0.63558	1.0	633	1	-1.2398
Mcm2	6	0.030099	0.036804	0.777478	64	1	-0.26039	0.0043469	0.015459	0.836634	19	2	-0.26039
Hprt	6	0.031042	0.038302	0.777478	65	1	-0.015873	0.84857	0.83461	1.0	833	0	-0.015873
Esco2	6	0.031117	0.038302	0.777478	66	2	0.69335	0.010118	0.022435	0.836634	32	2	0.69335
Wdr36	6	0.031985	0.039877	0.777478	67	1	0.72369	0.02348	0.042372	0.959142	60	2	0.72369
Mrps33	6	0.032479	0.039877	0.777478	68	2	-0.69114	0.77633	0.75087	1.0	769	0	-0.69114
Polr2c	6	0.032675	0.039877	0.777478	69	2	-1.6959	0.66633	0.65101	1.0	654	0	-1.6959
Unkl	6	0.033867	0.039877	0.777478	70	1	-0.71568	0.9662	0.96763	1.0	972	0	-0.71568
Rnf223	6	0.034807	0.039877	0.777478	71	1	-0.21604	0.79249	0.77048	1.0	785	0	-0.21604
Gpm6b	1	0.035403	0.030323	0.777478	72	1	-2.0496	0.9646	0.96968	1.0	970	0	-2.0496
Senp2	6	0.035746	0.039877	0.777478	73	1	-0.42413	0.56854	0.58384	1.0	576	1	-0.42413
Pomk	6	0.037622	0.039877	0.777478	74	1	0.034675	0.28891	0.33639	1.0	404	1	0.034675
Usp40	1	0.037823	0.033499	0.777478	75	1	-1.9059	0.96218	0.9665	1.0	967	0	-1.9059
Vmn1r149	6	0.038559	0.039884	0.777478	76	1	-0.036061	0.13108	0.16939	1.0	222	1	-0.036061
Rps3	6	0.039495	0.039884	0.777478	77	1	-0.21776	0.58879	0.60754	1.0	588	1	-0.21776
Ankra2	6	0.040431	0.039884	0.777478	78	1	-0.18209	0.81514	0.79118	1.0	801	0	-0.18209
Dennd2d	6	0.044165	0.039884	0.777478	79	1	0.10649	0.33634	0.34436	1.0	439	1	0.10649
Psmc4	6	0.046957	0.04675	0.86753	80	1	-0.82892	0.32665	0.34436	1.0	431	1	-0.82892
Prl3d3	6	0.047887	0.04675	0.86753	81	1	-0.27388	0.87058	0.85289	1.0	866	0	-0.27388
Hscb	6	0.049743	0.046756	0.86753	82	1	-0.060915	0.32386	0.34436	1.0	429	1	-0.060915
Fech	6	0.051596	0.046756	0.86753	83	1	-0.018244	0.22157	0.28322	1.0	346	1	-0.018244
Xrcc3	6	0.053447	0.053919	0.939554	84	1	-1.2687	0.67401	0.655	1.0	662	0	-1.2687
Krt23	6	0.054371	0.053919	0.939554	85	1	0.25795	0.43724	0.43176	1.0	491	1	0.25795
Ppan	6	0.055294	0.053919	0.939554	86	1	-0.25597	0.6834	0.67069	1.0	671	0	-0.25597
Btbd35f3	6	0.056217	0.053925	0.939554	87	1	0.18685	0.33977	0.34842	1.0	441	1	0.18685
Hhex	6	0.060818	0.061004	0.939554	88	1	-0.0050409	0.73706	0.70949	1.0	731	0	-0.0050409
Pkn1	6	0.062654	0.061004	0.939554	89	1	-0.76374	0.86648	0.8466	1.0	858	0	-0.76374
Strada	6	0.06357	0.061004	0.939554	90	1	-0.94893	0.37393	0.38784	1.0	457	1	-0.94893
Keap1	6	0.064486	0.061004	0.939554	91	1	-0.25428	0.85468	0.83876	1.0	844	0	-0.25428
Tsg101	6	0.069054	0.061004	0.939554	92	1	0.07823	0.8414	0.82614	1.0	827	0	0.07823
Ubr4	6	0.069965	0.061004	0.939554	93	1	-0.53046	0.91508	0.91252	1.0	914	0	-0.53046
Chrng	6	0.072695	0.06101	0.939554	94	1	-0.56377	0.87781	0.86531	1.0	873	0	-0.56377
Prdm14	6	0.074511	0.06101	0.939554	95	1	-0.29328	0.15406	0.21329	1.0	257	1	-0.29328
Med13	6	0.076324	0.06101	0.939554	96	1	-0.4531	0.88373	0.86854	1.0	880	0	-0.4531
Vmn2r14	6	0.079038	0.06101	0.939554	97	1	0.0058082	0.7211	0.69258	1.0	719	0	0.0058082
Tmem94	6	0.080844	0.06101	0.939554	98	1	0.12755	0.80446	0.77881	1.0	794	0	0.12755
Noc2l	6	0.081745	0.06101	0.939554	99	1	0.1181	0.013838	0.025958	0.836634	38	3	0.1181
Zbtb8os	6	0.082646	0.06101	0.939554	100	1	-1.0586	0.91446	0.91252	1.0	913	0	-1.0586
Pla2g2f	6	0.085345	0.068918	0.95301	101	1	-0.29457	0.91861	0.91503	1.0	921	0	-0.29457
Impdh2	6	0.086243	0.068924	0.95301	102	1	-1.1346	0.39333	0.41166	1.0	466	1	-1.1346
Rimklb	1	0.089113	0.070281	0.95301	103	0	-1.3965	0.91089	0.92972	1.0	908	0	-1.3965
Ccnh	6	0.092509	0.076729	0.95301	104	1	-0.53917	0.87041	0.85288	1.0	865	0	-0.53917
Adam22	6	0.093401	0.076729	0.95301	105	1	0.46765	0.70886	0.67811	1.0	696	0	0.46765
Tas2r107	6	0.094292	0.076729	0.95301	106	1	0.080333	0.68154	0.66686	1.0	670	0	0.080333
Gemin6	6	0.095183	0.076729	0.95301	107	1	0.13368	0.034065	0.058972	0.967689	82	2	0.13368
Cabp4	1	0.095726	0.07788	0.959485	108	0	-1.1604	0.90427	0.92212	1.0	901	0	-1.1604
Gstm1	6	0.096962	0.076729	0.95301	109	1	-0.19206	0.98232	0.9812	1.0	991	0	-0.19206
Mars1	6	0.097851	0.076729	0.95301	110	1	-0.10199	0.65453	0.64721	1.0	641	0	-0.10199
Srp9	6	0.098739	0.076729	0.95301	111	1	-0.29667	0.72475	0.69627	1.0	723	0	-0.29667
Exosc6	6	0.10051	0.076729	0.95301	112	1	-0.90785	0.95523	0.9574	1.0	962	0	-0.90785
Rnf31	6	0.1014	0.076736	0.95301	113	1	-0.65102	0.9816	0.9812	1.0	990	0	-0.65102
Crot	6	0.10228	0.076736	0.95301	114	1	0.43402	0.21131	0.27598	1.0	330	2	0.43402
Gfpt1	6	0.10317	0.076736	0.95301	115	1	-0.69702	0.78561	0.76217	1.0	778	0	-0.69702
Atg12	6	0.10405	0.076736	0.95301	116	1	-0.41804	0.72672	0.69627	1.0	725	0	-0.41804
Cd37	6	0.10493	0.076736	0.95301	117	1	0.19515	0.74273	0.7095	1.0	738	0	0.19515
