id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Cxcr4	6	2.188e-09	3.2146e-06	0.000177	1	6	-1.9988	1.0	1.0	1.0	1021	0	-1.9988
H2-K1	6	7.6149e-09	3.2146e-06	0.000177	2	6	-3.1262	1.0	1.0	1.0	1020	0	-3.1262
Rasgrp2	6	7.0721e-07	3.2146e-06	0.000177	3	6	-2.0814	1.0	1.0	1.0	1019	0	-2.0814
Ndufaf8	6	1.007e-06	3.2146e-06	0.000177	4	4	-2.4804	0.52589	0.78502	1.0	595	1	-2.4804
Hdac7	6	2.3513e-06	3.2146e-06	0.000177	5	6	-2.322	0.99583	0.99969	1.0	957	0	-2.322
Stk17b	6	3.2017e-06	3.2146e-06	0.000177	6	6	-2.0611	0.99982	1.0	1.0	1008	0	-2.0611
Supt4a	6	7.7443e-06	3.2146e-06	0.000177	7	6	-1.355	0.99999	1.0	1.0	1018	0	-1.355
Lsm4	6	8.5917e-06	3.2146e-06	0.000177	8	5	-2.4287	0.6	0.83534	1.0	646	1	-2.4287
Psma7	6	8.6918e-06	3.2146e-06	0.000177	9	6	-1.9345	0.99998	1.0	1.0	1014	0	-1.9345
Cnot9	6	9.2981e-06	3.2146e-06	0.000177	10	6	-1.5072	0.99999	1.0	1.0	1017	0	-1.5072
Rpl8	6	9.3127e-06	3.2146e-06	0.000177	11	5	-2.3135	0.9753	0.99337	1.0	902	0	-2.3135
Thap11	6	1.618e-05	3.2146e-06	0.000177	12	6	-1.3469	0.99998	1.0	1.0	1016	0	-1.3469
Rps3	6	2.0658e-05	3.2146e-06	0.000177	13	6	-1.8566	0.99998	1.0	1.0	1015	0	-1.8566
Nhlrc2	6	3.2264e-05	3.2146e-06	0.000177	14	5	-1.5275	0.97159	0.99195	1.0	892	0	-1.5275
B2m	6	3.5068e-05	3.2146e-06	0.000177	15	6	-1.5455	0.99994	1.0	1.0	1012	0	-1.5455
Hccs	6	3.5834e-05	3.2146e-06	0.000177	16	5	-1.718	0.97591	0.99365	1.0	904	0	-1.718
Kdsr	6	4.1567e-05	3.2146e-06	0.000177	17	6	-1.0684	0.99996	1.0	1.0	1013	0	-1.0684
Alg8	6	4.7323e-05	3.2146e-06	0.000177	18	5	-1.6756	0.97376	0.99294	1.0	899	0	-1.6756
Ptpn7	6	5.8886e-05	3.2146e-06	0.000177	19	6	-1.0197	0.99994	1.0	1.0	1011	0	-1.0197
Vmn1r143	6	6.0051e-05	3.2146e-06	0.000177	20	6	-1.6208	0.99994	1.0	1.0	1010	0	-1.6208
Eif5a	6	6.4122e-05	3.2146e-06	0.000177	21	6	-1.6606	0.99543	0.99967	1.0	954	0	-1.6606
Glrx5	6	0.00010265	3.2146e-06	0.000177	22	6	-2.0763	0.99978	0.99999	1.0	1006	0	-2.0763
Dohh	6	0.00016197	3.2146e-06	0.000177	23	4	-1.085	0.76393	0.8783	1.0	718	1	-1.085
Rpl30	6	0.00016965	3.2146e-06	0.000177	24	6	-2.364	0.99982	1.0	1.0	1009	0	-2.364
Tmem167	6	0.00017694	3.2146e-06	0.000177	25	5	-1.3852	0.86506	0.92951	1.0	776	1	-1.3852
Pola1	6	0.00018703	3.2146e-06	0.000177	26	6	-1.4656	0.99978	1.0	1.0	1007	0	-1.4656
Lamtor3	6	0.00018816	3.2146e-06	0.000177	27	5	-1.8335	0.99258	0.99894	1.0	945	0	-1.8335
Cmas	6	0.00019877	3.2146e-06	0.000177	28	5	-1.4648	0.85374	0.92495	1.0	765	1	-1.4648
Farsb	6	0.000224	9.6438e-06	0.000362	29	6	-1.6018	0.99924	0.99996	1.0	993	0	-1.6018
Trmt112	6	0.00023752	9.6438e-06	0.000362	30	6	-1.7378	0.99928	0.99997	1.0	996	0	-1.7378
Usp9x	6	0.00025753	9.6438e-06	0.000362	31	5	-1.4142	0.68653	0.85246	1.0	689	1	-1.4142
Ciao1	6	0.00027884	9.6438e-06	0.000362	32	6	-1.7879	0.99818	0.99992	1.0	981	0	-1.7879
Mthfd2	6	0.00028358	9.6438e-06	0.000362	33	6	-1.3648	0.99736	0.99985	1.0	972	0	-1.3648
B4galt1	6	0.00030177	9.6438e-06	0.000362	34	6	-1.3205	0.9997	0.99999	1.0	1005	0	-1.3205
