sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	AR2466_BM	AR2467_BM	AR2468_BM	AR2469_BM
BRDN0007693687	Zscan4f	651.0262494609442	609.811737312123	651.0787528221936	356.84631819448856	943.0609380612823	365.08128692873015	665.7956648490176
BRDN0007693686	Zscan4f	631.0471504879661	668.9020219353907	646.6359077346973	1212.201563313941	717.8776261005092	756.2398086380839	611.5832951921002
BRDN0007693685	Zscan4f	431.74345585508723	439.6317175971119	437.01439860645996	107.5918547320066	76.18984239274273	122.36240935523372	459.1110055320198
BRDN0007693684	Zscan4f	476.5746047700624	555.9213977357028	506.4843399745849	539.7524712388998	480.842560878643	132.39211504008895	245.64980000790726
BRDN0007693683	Zscan4f	376.679109905172	383.377766635761	413.18459313716136	572.0300276585018	458.832161965184	421.2476387639194	211.76706897233385
BRDN0007693682	Zscan4f	793.8037128532021	799.3733703835659	850.6028867515755	1007.7770393231285	448.6735163128183	345.0218755590197	716.6197614023778
BRDN0007693681	Zscan4c	408.84058630069774	447.66799630587633	471.7493692905224	188.28574578101154	321.6904456582471	443.3129912706009	442.1696400142331
BRDN0007693680	Zscan4c	598.3983789955385	579.0847893080237	613.9204120904059	163.1809796768767	768.6708543623378	250.74264212138058	1577.2411297059425
BRDN0007693679	Zscan4c	743.1250227754041	649.5204085789588	642.1930626472009	1090.2641279510003	306.4524771796985	774.2932788708232	354.0745393217422
BRDN0007693678	Zscan4c	392.7598481029349	404.6502691001374	355.02371199175445	439.3334068223603	365.7112434851651	308.91493509354086	237.17911724901393
BRDN0007693677	Zscan4c	656.3864955268651	663.7020768885432	583.2243914858856	308.4299835650856	722.9569489266921	2296.802601831846	498.07614622292925
BRDN0007693676	Zscan4c	639.3311671352984	640.0659630392361	629.268422392666	876.8736160658538	1567.8176456817725	1049.1072146358563	1612.8179972932946
BRDN0007694815	Zscan26	569.6479682783262	566.3212878293979	579.9932314222519	1913.3418166508507	231.95574239568342	1680.9786727817354	262.59116552569395
BRDN0007694814	Zscan26	1119.804132680576	1038.5708425385535	1128.8865472320292	839.2164669096514	1417.1310685050148	2340.9333068452092	889.4216896838022
BRDN0007694813	Zscan26	492.6553429678253	509.1218923140747	473.36494932233927	105.79865715313983	281.0558630487843	278.8258180389752	298.1680331130461
BRDN0007694812	Zscan26	890.775437136681	948.7536099111867	1027.1050052275673	1843.4071110750465	863.4848804510842	597.7704588173714	1685.6658690197776
BRDN0007694811	Zscan26	714.8619071550936	782.8280906890509	845.3522516481707	661.6899066018406	638.3015684903113	1079.196331690422	552.2885158798467
BRDN0007694810	Zscan26	691.4717425038023	755.8829209008408	697.5266787369283	801.5593177534491	223.49020435204534	533.5803424342979	1082.5532565865706
BRDN0007694929	Zpld2	641.280347522906	650.4658531329312	686.2176185142102	242.08167314701484	330.1559837018852	455.34863809242717	281.22666759525936
BRDN0007694928	Zpld2	643.2295279105136	578.6120670310376	594.9373467165578	989.8450635344607	485.92188370482586	1392.123149057905	216.84947862766987
