sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
BRDN0007691249	Cnot8	627.15/586.65/557.38	4952.8/7121.2/6577.5/1973.7	586.65	5765.1	3.2946	1248.6	4059.9	81.273	1	0	0	0	True
BRDN0007695970	Setd5	783.57/755.41/815.87	7622.9/1295.2/6152.2/7186.5	783.57	6669.4	3.0878	918.06	5812.9	77.199	1	0	0	0	True
BRDN0007696273	Zbtb7a	502.89/448.14/456	1233.7/2803.8/4675.8/7574.5	456	3739.8	3.0331	1130.3	2972.5	60.231	1	0	0	0	True
BRDN0007692469	Pak2	1184.1/1087.7/1200.8	6511.1/5368.8/6836.2/6859.6	1184.1	6673.7	2.4937	4784.5	9712.3	55.702	1	0	0	0	True
BRDN0007692464	Pak2	777.24/725.16/759.32	7665.9/4273.4/2427.2/5299.3	759.32	4786.3	2.6545	744.12	5590.4	53.859	1	0	0	0	True
BRDN0007693941	Fitm2	671.98/696.32/582.01	7730.5/404.65/3823.3/4902.8	671.98	4363.1	2.697	4343.3	4804.1	53.254	1	0	0	0	True
BRDN0007691246	Cnot8	759.21/687.34/738.72	7429.2/4601.9/3783.2/3799.9	738.72	4200.9	2.506	1530	5402.9	47.102	1	0	0	0	True
BRDN0007693737	Arl15	1074.5/1084.9/1042.9	5849.4/7437.8/4483.3/4904.5	1074.5	5377	2.3221	554.39	8606.1	46.378	1	0	0	0	True
BRDN0007696287	Zfp36l2	851.79/909.99/904.72	4233.7/5059/7941.5/2690.3	904.72	4646.4	2.3593	1414.8	6949.3	44.884	1	0	0	0	True
BRDN0007693017	Sipa1	799.65/726.1/839.7	5474.6/3460.7/2595.7/4611.4	799.65	4036.1	2.3341	3506.6	5961.3	41.917	1	0	0	0	True
BRDN0007695972	Setd5	724.61/720.9/674.5	1744.8/7078.9/3570.6/3579.7	720.9	3575.1	2.3085	1083.2	5241.6	39.424	1	0	0	0	True
BRDN0007693736	Arl15	850.82/911.41/862.32	3498.5/4600.2/1883.6/5982	862.32	4049.4	2.2301	1271.2	6546.9	39.388	1	0	0	0	True
BRDN0007695795	Pou2af1	595.47/559.23/537.58	15499/2553.2/2338.9/3205.3	559.23	2879.3	2.3621	891.1	3826.3	37.506	1	3.6154e-308	7.2307e-308	3.4502e-305	True
BRDN0007695829	Prkch	693.42/744.06/733.47	1067/8355.5/4603.6/2322.7	733.47	3463.1	2.2377	858.19	5355.3	37.301	1	7.896e-305	1.5792e-304	6.997e-302	True
BRDN0007696432	Hacd3	779.67/715.23/703.59	869.7/392.8/6021.8/5760.1	715.23	3314.9	2.2109	2144.3	5190.5	36.084	1	2.0407e-285	4.0815e-285	1.6878e-282	True
BRDN0007692465	Pak2	517.51/562.54/481.85	2542.8/2368.7/890.64/2729.3	517.51	2455.7	2.2443	1649.8	3476.1	32.874	1	2.5832e-237	5.1664e-237	2.0029e-234	True
BRDN0007696290	Zfp36l2	873.72/862.25/885.34	6018/2146.9/4936.6/1536.6	873.72	3541.7	2.018	133.32	6654.6	32.706	1	6.4292e-235	1.2858e-234	4.6918e-232	True
BRDN0007692752	Rap2c	607.66/619.74/726.61	3387.4/3718.1/2098.2/1506.1	619.74	2742.8	2.1441	5783.4	4345.5	32.206	1	7.2589e-228	1.4518e-227	5.003e-225	True
BRDN0007693740	Arl15	1045.2/950.17/983.08	2761.5/3316.8/4264.6/9421.1	983.08	3790.7	1.946	2473.9	7705.2	31.985	1	8.7448e-225	1.749e-224	5.7099e-222	True
BRDN0007691090	Capzb	794.29/785.19/693.49	2722.1/2031.7/3506.4/4067.6	785.19	3114.2	1.9864	4246.2	5827.8	30.509	1	9.9911e-205	1.9982e-204	6.1975e-202	True
BRDN0007695796	Pou2af1	514.1/600.83/508.91	2465.6/2113/2489.4/804.71	514.1	2289.3	2.1526	3774.8	3447.8	30.233	1	4.3261e-201	8.6521e-201	2.5557e-198	True
BRDN0007696121	Tmem94	737.28/696.32/851.81	3136.3/2753/6158.2/1853.4	737.28	2944.6	1.9963	7398.1	5389.7	30.067	1	6.5288e-199	1.3058e-198	3.6817e-196	True
BRDN0007692828	Rnf223	590.6/520.47/565.05	2214.6/2656.5/1773.3/2688.6	565.05	2435.5	2.1058	1320.2	3875.6	30.046	1	1.2328e-198	2.4657e-198	6.6499e-196	True
BRDN0007693016	Sipa1	449.77/444.83/449.54	1542.1/4049.9/2565.6/857.23	449.54	2053.9	2.1893	11.09	2920.5	29.687	1	5.647e-194	1.1294e-193	2.919e-191	True
BRDN0007691893	Kat6a	469.27/405.12/441.86	2426.2/1730.4/2276.7/642.08	441.86	2003.5	2.1784	1050.3	2859	29.207	1	7.9164e-188	1.5833e-187	3.9284e-185	True
