id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Sipa1	6	1.9937e-13	3.2146e-06	0.001238	1	6	-1.3445	1.0	1.0	1.0	1020	0	-1.3445
Pak2	6	2.929e-13	3.2146e-06	0.001238	2	5	-2.0132	0.78716	0.77087	1.0	767	0	-2.0132
Ubr4	6	2.0159e-08	3.2146e-06	0.001238	3	6	-1.0881	1.0	1.0	1.0	1021	0	-1.0881
Fitm2	6	2.7009e-08	3.2146e-06	0.001238	4	5	-1.5763	1.0	1.0	1.0	1019	0	-1.5763
Irf1	6	1.0638e-07	9.6438e-06	0.002475	5	5	-1.0745	0.99682	0.99689	1.0	1003	0	-1.0745
Ptpn2	6	1.1731e-06	9.6438e-06	0.002475	6	5	-1.4431	0.99981	0.99991	1.0	1014	0	-1.4431
H2-T23	6	8.3098e-06	1.6073e-05	0.003536	7	5	-1.3872	0.99974	0.99983	1.0	1013	0	-1.3872
Tlnrd1	6	1.8852e-05	3.5361e-05	0.006807	8	4	-0.92033	0.9976	0.99793	1.0	1004	0	-0.92033
Capzb	6	3.5062e-05	4.179e-05	0.007151	9	4	-0.8782	0.99999	1.0	1.0	1018	0	-0.8782
Ifngr1	6	5.4427e-05	8.6794e-05	0.013366	10	4	-1.2235	0.14982	0.19969	1.0	215	1	-1.2235
Socs1	6	0.00021638	0.00017037	0.021865	11	3	-1.045	0.89436	0.8894	1.0	878	0	-1.045
Pkn1	6	0.00022799	0.00017037	0.021865	12	4	-0.53187	0.98459	0.98163	1.0	986	0	-0.53187
Pou2af1	6	0.00027595	0.00019609	0.023229	13	4	-0.69629	0.96123	0.95823	1.0	960	0	-0.69629
Jak2	6	0.00069183	0.0095892	0.704208	14	3	-0.77807	0.99817	0.99851	1.0	1006	0	-0.77807
Mef2c	6	0.00070428	0.0095892	0.704208	15	3	-0.75581	0.98404	0.98135	1.0	984	0	-0.75581
Epb41l4a	6	0.001134	0.0098206	0.704208	16	3	-0.86052	0.9884	0.98696	1.0	990	0	-0.86052
Ufsp2	6	0.0012025	0.0098206	0.704208	17	3	-0.80686	0.97032	0.96518	1.0	971	0	-0.80686
Gtdc1	6	0.0013323	0.0099171	0.704208	18	3	-0.5032	0.95282	0.95336	1.0	946	0	-0.5032
Ube2l3	6	0.0021367	0.010849	0.704208	19	3	-0.8304	0.99607	0.99618	1.0	1000	0	-0.8304
Slc35a1	6	0.0028709	0.012026	0.704208	20	3	-0.50212	0.33698	0.39304	1.0	398	1	-0.50212
Jak1	6	0.0051573	0.013337	0.704208	21	3	-0.76049	0.99995	0.99997	1.0	1016	0	-0.76049
Rcor1	6	0.0057037	0.013948	0.704208	22	3	-0.99362	0.7296	0.67919	1.0	704	0	-0.99362
Odr4	6	0.0069444	0.014662	0.704208	23	3	-0.8497	0.96058	0.95822	1.0	958	0	-0.8497
Rbck1	6	0.007247	0.014951	0.704208	24	2	-0.52532	0.9493	0.94946	1.0	941	0	-0.52532
Rpl37	6	0.0081731	0.014958	0.704208	25	2	-0.30078	0.91379	0.90965	1.0	903	0	-0.30078
Mrpl33	6	0.008386	0.014958	0.704208	26	2	-0.79414	0.8326	0.81609	1.0	823	0	-0.79414
Syngr3	6	0.009602	0.015408	0.704208	27	2	-0.15159	0.56655	0.51809	1.0	566	1	-0.15159
Kat6a	6	0.01163	0.016456	0.704208	28	2	-0.71898	0.99998	1.0	1.0	1017	0	-0.71898
Vmn1r253	6	0.012133	0.016456	0.704208	29	2	-0.53648	0.58734	0.53902	1.0	583	1	-0.53648
Cnot8	6	0.014792	0.016462	0.704208	30	2	-0.40434	0.99573	0.99595	1.0	999	0	-0.40434
Map3k7	6	0.014904	0.016462	0.704208	31	1	-0.15289	0.96225	0.95956	1.0	961	0	-0.15289
Stub1	6	0.015353	0.016462	0.704208	32	2	-0.79717	0.93202	0.93402	1.0	925	0	-0.79717
Fgfbp1	6	0.015859	0.016462	0.704208	33	1	-0.11795	0.57231	0.5181	1.0	574	1	-0.11795
Zbtb8os	6	0.016356	0.016462	0.704208	34	2	-0.76758	0.76318	0.7426	1.0	734	0	-0.76758
Usp22	6	0.016814	0.016462	0.704208	35	2	-0.47551	0.99991	0.99996	1.0	1015	0	-0.47551
Lhx9	6	0.01891	0.018269	0.753364	36	2	-0.31721	0.95755	0.95337	1.0	955	0	-0.31721
H1f1	6	0.019535	0.019079	0.753364	37	2	-0.054761	0.67433	0.61727	1.0	653	1	-0.054761
Rap2c	6	0.019672	0.019079	0.753364	38	2	-0.29548	0.99555	0.99549	1.0	998	0	-0.29548
Pqbp1	6	0.021574	0.019953	0.759471	39	1	-0.1945	0.19203	0.24567	1.0	260	1	-0.1945
Tmem35b	1	0.021851	0.01418	0.704208	40	1	-1.0007	0.97815	0.98582	1.0	979	0	-1.0007
Stat1	6	0.022524	0.020898	0.759471	41	1	-0.4484	0.91857	0.91113	1.0	910	0	-0.4484
Wipi2	6	0.023815	0.021747	0.759471	42	2	-0.33546	0.8517	0.83167	1.0	840	0	-0.33546
H3f3c	6	0.024159	0.021753	0.759471	43	2	-0.25724	0.95614	0.95337	1.0	952	0	-0.25724
Smim10l1	6	0.024506	0.022679	0.759471	44	2	-0.36346	0.11439	0.15965	1.0	183	2	-0.36346
Vmn2r14	6	0.02468	0.022679	0.759471	45	2	-0.59937	0.81837	0.80164	1.0	807	0	-0.59937
Tmprss7	6	0.025369	0.022685	0.759471	46	1	-0.043422	0.073554	0.13575	1.0	142	2	-0.043422
Vmn1r119	6	0.026315	0.023817	0.780388	47	1	0.04525	0.42571	0.43576	1.0	453	1	0.04525
Bmi1	6	0.026631	0.024897	0.782481	48	2	-0.23652	0.45668	0.45191	1.0	480	1	-0.23652
Crp	6	0.026812	0.024897	0.782481	49	2	-0.0025666	0.90283	0.89618	1.0	889	0	-0.0025666
Ikbkg	6	0.02809	0.033416	0.877495	50	2	-0.62173	0.99893	0.99915	1.0	1008	0	-0.62173
Mbtd1	6	0.028206	0.033416	0.877495	51	2	-0.24622	0.60058	0.54739	1.0	589	1	-0.24622
Rab5c	6	0.028275	0.033416	0.877495	52	2	-0.013681	0.22365	0.28549	1.0	300	2	-0.013681
Rpl38	6	0.02846	0.033416	0.877495	53	2	-0.94948	0.8954	0.89074	1.0	879	0	-0.94948
Mrps33	6	0.029019	0.034547	0.877495	54	2	-0.2518	0.84891	0.83167	1.0	836	0	-0.2518
Creg2	6	0.029151	0.034547	0.877495	55	1	0.10112	0.41403	0.42311	1.0	448	1	0.10112
Psmc4	6	0.029961	0.034554	0.877495	56	2	-1.053	0.32869	0.38486	1.0	392	1	-1.053
Spr	6	0.030151	0.034554	0.877495	57	2	-0.1505	0.90158	0.8948	1.0	887	0	-0.1505
Lamb1	6	0.031037	0.035891	0.877495	58	1	0.31996	0.18571	0.24368	1.0	249	2	0.31996
Crygf	6	0.031301	0.035891	0.877495	59	2	-0.097561	0.97574	0.9706	1.0	974	0	-0.097561
Rlf	6	0.032078	0.035898	0.877495	60	2	0.18511	0.49507	0.47251	1.0	506	1	0.18511
Zfp592	6	0.032666	0.035898	0.877495	61	2	-0.5751	0.96269	0.95956	1.0	963	0	-0.5751
Caprin1	6	0.032921	0.035898	0.877495	62	2	-0.72572	0.99942	0.9996	1.0	1012	0	-0.72572
Gsdmc3	6	0.03306	0.035898	0.877495	63	2	-0.19413	0.74236	0.71105	1.0	712	0	-0.19413
Rpl10	6	0.034457	0.045882	0.952187	64	2	-0.55865	0.89166	0.88308	1.0	875	0	-0.55865
Nat10	6	0.035062	0.045882	0.952187	65	2	-0.16796	0.44197	0.43576	1.0	468	1	-0.16796
Ube2m	6	0.03574	0.045889	0.952187	66	1	-0.45085	0.95878	0.95614	1.0	956	0	-0.45085
Apobec3	6	0.035877	0.045889	0.952187	67	2	-0.22929	0.65446	0.59684	1.0	637	1	-0.22929
Hprt	6	0.036494	0.045889	0.952187	68	2	0.10551	0.21524	0.27363	1.0	286	1	0.10551
Cort	6	0.036679	0.045889	0.952187	69	1	-0.10737	0.93681	0.93894	1.0	928	0	-0.10737
Ube2d3	6	0.03753	0.047348	0.952187	70	2	-0.28095	0.63528	0.5763	1.0	620	1	-0.28095
Wdr26	6	0.037616	0.047348	0.952187	71	1	0.16059	0.36862	0.40164	1.0	416	1	0.16059
Chrng	6	0.037739	0.047348	0.952187	72	2	-0.6021	0.99941	0.9996	1.0	1010	0	-0.6021
Tm9sf3	6	0.040068	0.04884	0.952187	73	2	-0.56801	0.884	0.87827	1.0	869	0	-0.56801
Nudt7	6	0.040497	0.048846	0.952187	74	2	-0.25358	0.87556	0.86309	1.0	859	0	-0.25358
Rnf31	6	0.040713	0.048846	0.952187	75	2	-0.5254	0.99662	0.99678	1.0	1001	0	-0.5254
Siglec1	6	0.041359	0.048846	0.952187	76	2	0.54313	0.0030194	0.0056031	0.316301	25	3	0.54313
Rhox6	6	0.041797	0.048846	0.952187	77	2	-0.41181	0.9106	0.90437	1.0	900	0	-0.41181
Baz1b	6	0.042235	0.050421	0.958746	78	2	0.046981	0.48458	0.4725	1.0	503	1	0.046981
Add3	6	0.042292	0.050428	0.958746	79	1	-0.29549	0.54289	0.50952	1.0	545	1	-0.29549
Sptssa	6	0.046479	0.059371	1.0	80	2	-0.5275	0.99129	0.99075	1.0	994	0	-0.5275
Cry1	6	0.04695	0.060824	1.0	81	1	-0.010916	0.70145	0.64157	1.0	681	0	-0.010916
Vmn1r220	6	0.048807	0.063762	1.0	82	1	-0.098834	0.61214	0.55565	1.0	602	1	-0.098834
Fmnl1	6	0.049011	0.063762	1.0	83	2	-0.25841	0.34314	0.39304	1.0	400	1	-0.25841
