id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
H2-K1	6	7.6235e-09	3.2146e-06	0.000141	1	5	-2.9977	0.9923	0.99873	1.0	939	0	-2.9977
H2-T23	6	1.5666e-08	3.2146e-06	0.000141	2	5	-1.8543	0.94463	0.98056	1.0	862	0	-1.8543
Kdsr	6	4.1194e-07	3.2146e-06	0.000141	3	6	-1.729	0.99802	0.99986	1.0	980	0	-1.729
Sec63	6	9.4575e-07	3.2146e-06	0.000141	4	6	-1.9295	1.0	1.0	1.0	1019	0	-1.9295
Gclc	6	1.4444e-06	3.2146e-06	0.000141	5	6	-1.7126	1.0	1.0	1.0	1021	0	-1.7126
Sptssa	6	3.2643e-06	3.2146e-06	0.000141	6	6	-1.8048	1.0	1.0	1.0	1020	0	-1.8048
Xrcc3	6	4.1869e-06	3.2146e-06	0.000141	7	6	-1.8062	1.0	1.0	1.0	1018	0	-1.8062
Cnot9	6	8.1899e-06	3.2146e-06	0.000141	8	6	-2.3989	0.9999	1.0	1.0	1012	0	-2.3989
Ikzf3	6	1.1691e-05	3.2146e-06	0.000141	9	6	-1.491	0.99999	1.0	1.0	1017	0	-1.491
Nhlrc2	6	1.2178e-05	3.2146e-06	0.000141	10	5	-1.7041	0.95728	0.98558	1.0	875	0	-1.7041
B4galt1	6	1.8579e-05	3.2146e-06	0.000141	11	6	-1.831	0.99998	1.0	1.0	1016	0	-1.831
Fmnl1	6	1.948e-05	3.2146e-06	0.000141	12	6	-1.3009	0.99998	1.0	1.0	1015	0	-1.3009
Rasgrp2	6	2.1035e-05	3.2146e-06	0.000141	13	6	-2.381	0.99993	1.0	1.0	1013	0	-2.381
Btbd35f4	6	4.1567e-05	3.2146e-06	0.000141	14	6	-1.5997	0.99996	1.0	1.0	1014	0	-1.5997
Slc35a1	6	5.4653e-05	3.2146e-06	0.000141	15	5	-1.6107	0.98085	0.995	1.0	908	0	-1.6107
Rpia	6	8.355e-05	3.2146e-06	0.000141	16	5	-2.058	0.86359	0.92969	1.0	774	1	-2.058
Mrpl41	6	9.9462e-05	3.2146e-06	0.000141	17	6	-1.9982	0.99978	1.0	1.0	1002	0	-1.9982
Shoc2	6	0.00010462	3.2146e-06	0.000141	18	6	-1.1861	0.9999	1.0	1.0	1011	0	-1.1861
Eed	6	0.00010571	3.2146e-06	0.000141	19	5	-1.5015	0.96959	0.99197	1.0	892	0	-1.5015
Ndufaf8	6	0.00011849	3.2146e-06	0.000141	20	5	-0.91608	0.98675	0.99725	1.0	919	0	-0.91608
Ndufb9	6	0.00011852	3.2146e-06	0.000141	21	6	-1.755	0.99981	1.0	1.0	1003	0	-1.755
Stk17b	6	0.00012175	3.2146e-06	0.000141	22	6	-1.9194	0.99654	0.99971	1.0	963	0	-1.9194
