sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	AR2480_SP	AR2481_SP	AR2482_SP	AR2483_SP
BRDN0007693687	Zscan4f	550.9422829653549	522.3728110487639	555.2541758680419	1544.9431354338676	3159.118453779073	614.0456283750539	854.0637265858257
BRDN0007693686	Zscan4f	534.0346230839331	572.9903314992255	551.465220573657	556.0153913712857	144.79292913154086	211.23169616101853	526.6726313945926
BRDN0007693685	Zscan4f	365.37040621804226	376.59435215143446	372.69542077495123	41.034346226663146	138.21143235283444	130.99640072001148	83.0339734180664
BRDN0007693684	Zscan4f	403.3095454641595	476.2096323979429	431.9409035598788	672.9632781172756	140.40526461240324	265.26771145802326	332.1358936722656
BRDN0007693683	Zscan4f	318.7712460570504	328.406472682595	352.37284237779585	121.05132136865629	175.50658076550405	162.10804589101423	173.18514455768133
BRDN0007693682	Zscan4f	671.7701938252718	684.7538166538448	725.4127136340547	469.84326429529307	833.6562586361442	669.7190986810588	621.5686010152399
BRDN0007693681	Zscan4c	345.9884546466563	383.47833493269724	402.318162167415	426.75720075729674	313.7180131183385	278.3673515300244	182.67474151974608
BRDN0007693680	Zscan4c	506.40503254599986	496.05170041452385	523.5647315877319	1073.0481538272413	449.7356132116041	337.3157318540296	334.50829291278177
BRDN0007693679	Zscan4c	628.8824711992262	556.3877847914741	547.6762652792721	738.6182320799367	954.3170329124283	502.6986877630441	915.7461068392465
BRDN0007693678	Zscan4c	332.37985035185335	346.6287800447612	302.77197306948443	367.25739872863517	190.86340658248565	243.9807963410214	685.6233805091767
BRDN0007693677	Zscan4c	555.4784843969559	568.5359896995849	497.38649500834526	205.17173113331575	605.497703640989	139.1836757650122	650.037391901434
BRDN0007693676	Zscan4c	541.0451162054983	548.2889815194003	536.6538498774252	744.7733840139362	631.8236907558146	691.0060137980606	427.0318632929129
BRDN0007694815	Zscan26	482.07449759468557	485.11831599722416	494.6308911578835	886.341878495924	199.63873562076085	594.3961682670522	1221.785608865834
BRDN0007694814	Zscan26	947.6537172562767	889.6535394373134	962.7390952550727	798.1180341085983	710.8016521002914	795.8031343740698	1008.2696772193776
BRDN0007694813	Zscan26	416.91814975896244	436.1205562011773	403.69596409264585	377.515985285301	217.18939369731126	527.2605128980463	498.20384050839834
BRDN0007694812	Zscan26	753.8342015424167	812.7149083526117	875.9375739655277	1914.252251473836	2206.9952531262134	1560.494623577137	1383.1087572209344
BRDN0007694811	Zscan26	604.9643181962392	670.5809109277155	720.9348573770544	305.7058793886405	517.7444132582369	820.3649595090719	844.574129623761
BRDN0007694810	Zscan26	585.1699846765259	647.499321602305	594.8659812184295	473.9466989179594	706.4139875811538	563.2845230960494	472.10744886272033
BRDN0007694929	Zpld2	542.6946439988077	557.1976651186815	585.2213677418134	488.3087200972915	127.24227105499044	319.303726755028	149.4611521525195
BRDN0007694928	Zpld2	544.3441717921171	495.6467602509202	507.37555896626907	400.08487570996573	890.6958973849331	681.1812837440598	415.169867090332
BRDN0007694927	Zpld2	642.4910754940291	591.6175790249954	739.1907328863635	213.37860037864837	583.5593810453009	225.96879124201982	237.23992405161826
BRDN0007694926	Zpld2	554.6537205003012	631.706655221761	631.03328175574	502.6707412766236	355.4008260501457	283.27971655702487	533.789829116141
BRDN0007694925	Zpld2	758.7827849223451	687.5883977990707	749.1797968442874	1668.046174113857	1384.3081557879132	1106.919586084097	1399.7155519045477
BRDN0007694924	Zpld2	698.5750204665503	697.3069617255593	652.0447611155108	246.2060773599789	364.1761550884209	532.1728779250467	408.0526693687834
BRDN0007693675	Zmiz1	778.9895003903858	820.0038312974782	826.681155138524	744.7733840139362	1017.9381684399235	1156.0432363541015	1217.0408103848017
BRDN0007693674	Zmiz1	661.0482631687604	615.5090486776132	653.7670135220494	219.53375231264786	1219.7707363202533	800.7154994010702	865.9257227884067
BRDN0007693673	Zmiz1	383.1028299961188	430.4513939107256	413.340577569262	260.568098539311	776.6166198873555	230.88115626902024	182.67474151974608
BRDN0007693672	Zmiz1	353.82371166487616	334.0756349730467	336.5281202376408	207.2234484446489	605.497703640989	193.21969106201695	111.50276430426058
BRDN0007693671	Zmiz1	326.60650307527027	388.7425570595452	385.44008858333683	53.34465009466209	68.00880004663281	155.55822585501363	201.65393544387553
