sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
BRDN0007690768	Cd19	639.6/644.66/642.4	13868/4.596e+05/13858/66565	642.4	40216	5.966	6.4723	3630.2	656.81	1	0	0	0	True
BRDN0007690766	Cd19	428.46/402.11/457.77	8744.4/2.7881e+05/5760.6/38566	428.46	23655	5.7835	776.94	2238.3	490.93	1	0	0	0	True
BRDN0007690771	Cd19	492.38/448.27/534.59	4228.6/88260/3703.9/24165	492.38	14197	4.8468	1863.6	2642.2	266.61	1	0	0	0	True
BRDN0007690767	Cd19	614.45/558.82/585.57	7609.8/1.6674e+05/4034.7/21086	585.57	14348	4.6125	774.86	3249.7	241.42	1	0	0	0	True
BRDN0007690769	Cd19	566.61/656.41/583.5	4144.5/52251/5907.9/15672	583.5	10790	4.2065	2800.4	3236	179.42	1	0	0	0	True
BRDN0007693738	Arl15	725.38/764.93/651.01	5890.5/745.9/4966.4/12403	725.38	5428.4	2.902	3547.5	4198	72.587	1	0	0	0	True
BRDN0007695972	Setd5	613.21/617.53/575.23	3375.1/3303.9/4404.8/5456.5	613.21	3889.9	2.6633	730.57	3433.9	55.917	1	0	0	0	True
BRDN0007690770	Cd19	581.87/615.51/616.91	2977/53385/4624.2/3160	615.51	3892.1	2.6587	566.74	3449.3	55.79	1	0	0	0	True
BRDN0007695970	Setd5	663.11/647.09/695.79	3686.9/2880.5/3929.9/4073.4	663.11	3808.4	2.5201	662.24	3770.6	51.222	1	0	0	0	True
BRDN0007695716	Nosip	333.62/366.07/357.54	2306.1/899.47/2547.9/4846.8	357.54	2427	2.7596	322.49	1804.2	48.721	1	0	0	0	True
BRDN0007693736	Arl15	720.02/780.72/735.4	2648.8/2334.2/5164.5/8763.6	735.4	3906.7	2.4077	1145.4	4267.5	48.545	1	0	0	0	True
BRDN0007692970	Sephs1	565.79/542.21/611.74	2158.4/6182.2/1390.2/4078.2	565.79	3118.3	2.4603	1333.8	3119	45.704	1	0	0	0	True
BRDN0007693739	Arl15	687.85/700.95/703.37	4265.5/2957.3/2747.6/3539.6	700.95	3248.5	2.2108	88.703	4029.4	40.132	1	0	0	0	True
BRDN0007695969	Setd5	372.79/363.64/410.93	1255.7/3448.7/1870/2327.3	372.79	2098.6	2.4898	769.11	1896.2	39.633	1	0	0	0	True
BRDN0007692218	Ncor1	752.18/796.52/777.42	3641.8/7450.3/2808.2/1962	777.42	3225	2.0511	500.79	4561	36.242	1	6.7428e-288	1.3486e-287	5.5767e-285	True
BRDN0007693020	Sipa1	760.02/739.02/715.42	2691.9/1867/3536.9/3527.8	739.02	3109.8	2.0717	498.88	4292.6	36.185	1	5.2005e-287	1.0401e-286	4.0324e-284	True
BRDN0007696121	Tmem94	623.93/596.48/726.45	2377.9/2422/3106.3/5290.5	623.93	2764.1	2.1456	5631.3	3505.8	36.146	1	2.1724e-286	4.3447e-286	1.5853e-283	True
BRDN0007693740	Arl15	884.56/813.93/838.39	4329.1/2395.7/8270.8/2199.2	838.39	3362.4	2.0025	1364.9	4992.6	35.721	1	9.2958e-280	1.8592e-279	6.4069e-277	True
BRDN0007693017	Sipa1	676.72/621.99/716.11	1528.5/3009.9/4046.2/2538.5	676.72	2774.2	2.0338	2273.7	3863.4	33.746	1	6.215e-250	1.243e-249	4.0581e-247	True
BRDN0007693018	Sipa1	628.47/603.77/571.79	990.98/1867/3107.9/4526.5	603.77	2487.4	2.0408	816.45	3370.8	32.444	1	3.2882e-231	6.5765e-231	2.0397e-228	True
