sgRNA	Gene	AR2466_SP	AR2467_SP	AR2468_SP	AR2469_SP	AR2480_SP	AR2481_SP	AR2482_SP	AR2483_SP
BRDN0007693687	Zscan4f	251.29640628498606	388.54293319299757	324.7776280501609	297.6871698519351	921.3062425649049	1858.670498949027	361.0900840668691	494.49677567129396
BRDN0007693686	Zscan4f	258.2128211368664	245.09353802680647	289.31803590572645	177.51987193005306	331.5723661820574	85.18906453516374	124.21498891900298	304.9396783306313
BRDN0007693685	Zscan4f	89.14490253534674	108.20182949678413	134.585270184558	154.76091399030267	24.47028532708911	81.31683432901993	77.03255126759873	48.076075412486915
BRDN0007693684	Zscan4f	328.91395073386553	278.7016820371712	424.7092059117488	295.8664532167551	401.3126793642614	82.60757773106786	155.99091631688745	192.30430164994766
BRDN0007693683	Zscan4f	137.5598064985092	81.97108295210919	64.47198571715353	199.3684715522134	72.18734171491286	103.25947216383483	95.32778219365345	100.27295728890128
BRDN0007693682	Zscan4f	491.0654544835049	426.2496313509678	240.1581467963969	297.6871698519351	280.18476699517026	490.48249277821543	393.82891835559855	359.8837645163306
BRDN0007693681	Zscan4c	131.41188218572665	142.62968433666998	282.0649375125467	169.3266470717429	254.49096740172672	184.57630649285477	163.69417144364732	105.76736590747122
BRDN0007693680	Zscan4c	254.37036844137734	258.20891129914395	207.1162541163557	284.9421534056749	639.8979613033802	264.60239741982673	198.35881951406677	193.67790380459013
BRDN0007693679	Zscan4c	321.2290453428874	337.7208617626898	147.4796673279887	286.7628700408549	440.46513588760394	561.4733798908519	295.6124154894102	530.2104316919986
BRDN0007693678	Zscan4c	254.37036844137734	131.1537327233747	133.77937036309356	148.38840576717254	219.00905367744753	112.29467597817037	143.47312673590267	396.97102269167766
BRDN0007693677	Zscan4c	197.5020685481389	738.5594573985038	403.75581055367394	484.3106249578883	122.35142663544553	356.24517896523014	81.84708572182366	376.3669903720404
BRDN0007693676	Zscan4c	380.40281685341927	418.8722338852779	241.76994643932574	587.18111484556	444.1356786866673	371.7340997898054	406.34670793658336	247.24838783564698
BRDN0007694815	Zscan26	558.6926219241128	250.83151383345412	429.5446048405354	275.83857022977475	528.5581630651247	117.45764958636212	349.5352013767293	707.4051096408789
BRDN0007694814	Zscan26	436.5026262075599	601.6677488684815	465.0041969849698	528.007824202209	475.94704961188313	418.20086226353106	467.9727489506624	583.7809157230554
BRDN0007694813	Zscan26	105.28320385640089	176.23782834703476	210.33985340221338	306.79075302783525	225.1266250092198	127.7835968027456	310.05601885208495	288.4564524749215
BRDN0007694812	Zscan26	577.9048854015582	562.321629051469	416.65020769710463	605.3882811973604	1141.5388105087068	1298.487862460223	917.65026697527	800.8100561565677
BRDN0007694811	Zscan26	320.4605548037896	239.35556222015882	387.63781412438556	395.0955098340668	182.30362568681386	304.61544288331277	482.41635231333714	489.002367052724
BRDN0007694810	Zscan26	338.1358372030394	389.3626440225186	302.21243304915714	517.0835243911289	282.6317955278792	415.61937545943516	331.2399704506746	273.34682877385416
BRDN0007694929	Zpld2	163.68848482783497	308.2112718999305	249.0230448325055	242.15531247894415	291.1963953923604	74.86311731878025	187.76684371477194	86.53693574247644
BRDN0007694928	Zpld2	231.31565226844285	303.293006922804	590.7245691334192	274.92821191218474	238.5852819391188	524.0418212314618	400.56926659151344	240.38037706243458
BRDN0007694927	Zpld2	225.93621849475812	207.38683986883623	433.57410394785745	234.87244593822402	127.24548370086336	343.3377449447508	132.88115093660784	137.3602154642483
BRDN0007694926	Zpld2	338.1358372030394	304.11271775232507	355.4018212658088	167.50593043656286	299.76099525684157	209.10043113176553	166.58289211618228	309.0604847945587
BRDN0007694925	Zpld2	620.9403555910359	650.0306878102258	425.51510573321326	579.89824830484	994.7170985461722	814.4590866922472	650.9250582112094	810.4252712390651
BRDN0007694924	Zpld2	402.68904248725596	345.0982592283797	387.63781412438556	507.0695828976387	146.82171196253464	214.26340473995728	312.9447395246199	236.2595705985071
BRDN0007693675	Zmiz1	581.7473380970473	810.6940103963599	617.319263241745	463.37238365331797	444.1356786866673	598.904938550242	679.8122649365589	704.657905331594
BRDN0007693674	Zmiz1	422.6697965037992	425.42992052144666	515.7758857372282	396.0058681516568	130.91602649992672	717.6533315386521	470.8614696231973	501.36478644450636
BRDN0007693673	Zmiz1	119.1160335601616	203.28828572123078	207.1162541163557	142.92625586163246	155.38631182701585	456.9231643249691	135.76987160914277	105.76736590747122
BRDN0007693672	Zmiz1	191.35414423535636	118.03835945103722	140.2265689348089	223.03778780955383	123.57494090179999	356.24517896523014	113.62301311970815	64.55930126819672
BRDN0007693671	Zmiz1	155.23508889775897	123.77633525768488	136.1970698274868	117.43622296911201	31.81137092521584	40.013045463485994	91.4761546302735	116.75618314461107
BRDN0007693670	Zmiz1	118.34754302106377	131.9734435528958	186.9687585797452	181.1613052004131	31.81137092521584	135.52805721503321	181.02649547885704	45.32887110320195
BRDN0007693669	Zfpm2	491.83394502260273	476.25199195175435	261.1115421544718	342.29472741384586	232.46771060734653	200.06522731743	245.541257165471	206.0403231963725
BRDN0007693668	Zfpm2	331.219422351159	268.86515208291814	274.0059392979025	313.1632612509654	392.74807949978015	442.72498690244186	285.9833465809603	329.664517114196
BRDN0007693667	Zfpm2	369.6439493060498	285.25936867333996	353.79002162288	370.51583525913634	318.1137092521584	86.47980793721167	448.7146111337627	604.3849480426926
BRDN0007693666	Zfpm2	94.52433630903145	136.07199770050124	172.46256179338567	118.34658128670203	356.04265150914654	263.31165401777884	112.66010622886316	111.26177452604114
BRDN0007693665	Zfpm2	262.8237643714533	554.1245207562581	402.94991073220956	615.4022226908505	587.2868478501385	394.9674810266682	508.4148383661517	677.1858622387442
BRDN0007693664	Zfpm2	357.3481006804848	329.5237534674789	261.1115421544718	369.6054769415463	351.1485944437287	193.61151030719031	365.904618521094	208.78752750565747
BRDN0007693663	Zfp984	247.453953589497	181.9758041536824	306.24193215647927	312.25290293337537	92.98708424293861	371.7340997898054	229.17184002110625	368.1253774441855
BRDN0007693662	Zfp984	244.37999143310572	222.961345629737	157.95636500702614	136.55374763850233	123.57494090179999	246.53198979115567	153.1021956443525	151.09623701067315
BRDN0007693661	Zfp984	156.77206997595462	173.77869585847148	242.57584626079014	215.7549212688337	143.15116916347128	356.24517896523014	78.95836504928872	184.06268872209276
BRDN0007693660	Zfp984	95.29282684812928	249.19209217441193	120.88497321966287	115.61550633393199	310.7726236540317	91.64278154540341	85.6987132852036	114.0089788353261
BRDN0007693659	Zfp984	412.67941949552755	333.62230761508437	536.7292810953031	422.40625936176724	343.80750884560194	721.5255617447958	502.63739702108177	508.2327972177188
BRDN0007693658	Zfp984	196.73357800904108	113.93980530343177	170.85076215045683	150.2091224023526	105.22222690648316	241.36901618296392	89.55034084858353	137.3602154642483
BRDN0007693657	Zfp983	245.91697251130137	228.69932143638462	278.03543840522457	317.7150528389154	598.2984762473287	252.98570680139534	415.9757768450332	678.5594643933867
BRDN0007693656	Zfp983	643.9950717639704	379.52611406826554	453.72159948446796	338.6532941434858	730.4380170136099	869.9610529803084	466.04693516897237	609.8793566612626
BRDN0007693655	Zfp983	338.1358372030394	296.7353202866353	229.68144911735945	272.19713695941465	274.067195663398	240.07827278091597	766.4738851126075	502.7383885991489
BRDN0007693654	Zfp983	250.52791574588827	307.39156107040947	340.08972465798485	385.0815683405766	548.134391326796	1675.3849358582202	575.8183207253006	517.8480123002162
BRDN0007693653	Zfp983	258.2128211368664	298.37474194567744	445.66260126982377	346.84651900179597	178.63308288775048	259.439423811635	175.24905413378713	240.38037706243458
BRDN0007693652	Zfp983	702.4003527354045	1025.458247730886	514.1640860942994	553.4978570947295	858.9070149808276	615.6846027768652	660.5541271196593	980.751938414733
BRDN0007693651	Zfp973	185.97471046167163	174.59840668799256	190.9982576870673	97.40833998213166	691.2855604902672	274.9283446362102	375.5336874295439	63.18569911355423
BRDN0007693650	Zfp973	30.73962156391267	58.19946889599752	95.90207875426587	162.04378053102278	112.5633125046099	33.55932845324632	95.32778219365345	81.04252712390651
BRDN0007693649	Zfp973	338.1358372030394	100.8244320310943	74.94868339619097	63.725082231301094	110.11628397190098	218.13563494610108	307.16729817954996	48.076075412486915
BRDN0007693648	Zfp973	405.7630046436472	321.326645172268	514.1640860942994	383.2608517053966	736.5555883453821	520.1695910253179	545.0053002182611	218.40274258815484
BRDN0007693647	Zfp973	882.9956294233914	636.0956037083673	884.0721041464677	479.75883336993826	1738.613772489681	727.9792787550356	920.5389876478049	559.0560769394907
BRDN0007693646	Zfp973	258.98131167596426	311.4901152180149	280.4531378696178	390.5437182461167	166.39794022420594	349.7914619549905	173.32324035209717	236.2595705985071
BRDN0007693645	Zfp968	462.6313045368857	697.5739159224491	439.2154026981084	504.33850794486864	847.8953865836376	407.87491504714757	777.0658609119023	892.8414005176141
BRDN0007693644	Zfp968	159.07754159324807	171.3195633699082	63.66608589568911	66.45615718407115	205.5503967475485	120.03913639045798	155.02800942604247	54.944086185699334
BRDN0007693643	Zfp968	180.59527668798694	453.3000887251638	236.1286476890748	192.9959633290833	206.77391101390296	127.7835968027456	264.7993949823707	137.3602154642483
BRDN0007693642	Zfp968	314.31263049100704	233.6175864135112	296.5711342989062	232.141370985454	267.9496243316257	234.91529917272425	234.94928136617617	254.1163986088594
BRDN0007693641	Zfp968	202.1130117827258	219.68250231165263	161.17996429288382	174.788796977283	466.1589354810475	64.53717010239677	141.54731295421269	97.52575297961631
BRDN0007693640	Zfp968	316.6181021083005	318.8675126837047	249.82894465396993	269.4660620066446	58.728684785013854	1001.6168799891979	327.38834288729464	479.3871519702267
BRDN0007693639	Zfp967	362.7275344541695	405.7568606129405	404.5617103751384	436.0616341256175	326.6783091166396	218.13563494610108	443.90007667953773	57.691290494984294
BRDN0007693638	Zfp967	39.193017493988656	51.64178225982879	103.96107696891006	55.531857372990956	37.928942256988115	222.00786515224488	36.5904618521094	41.2080646392745
BRDN0007693637	Zfp967	188.2801820789651	229.51903226590574	365.07261912338186	278.5696451825448	342.58399457924753	175.54110267851922	227.2460262394163	399.7182270009626
BRDN0007693636	Zfp967	121.42150517745505	138.53113018906453	103.15517714744564	117.43622296911201	62.399227584077224	33.55932845324632	62.58894790492398	76.92172065997906
BRDN0007693635	Zfp967	716.2331824391651	227.87961060686354	503.6873884152619	554.4082154123195	264.2790815325624	203.93745752357378	433.30810088024293	374.9933882173979
BRDN0007693634	Zfp967	118.34754302106377	128.69460023481142	261.9174419759362	151.1194807199426	187.19768275223169	114.87616278226625	117.47464068308808	140.10741977353328
BRDN0007693633	Zfp966	548.7022449158411	515.5981117687668	467.4218964493631	448.8066505718777	435.5710788221861	628.5920367973446	718.3285405703583	869.4901638886919
BRDN0007693632	Zfp966	607.876016426373	496.7447626897817	528.6702828806589	482.4899083227083	427.0064789577049	463.3768813352088	829.0628330175315	425.8166679391698
BRDN0007693631	Zfp966	273.58263191882276	221.3219239706948	213.56345268807107	156.5816306254827	185.97416848587721	11.616690618431418	292.7236948168752	57.691290494984294
BRDN0007693630	Zfp966	138.328297037607	157.38447926804963	365.87851894484623	634.5197473602409	309.5491093876772	268.4746276259706	581.5957620703705	276.09403308313915
BRDN0007693629	Zfp966	152.92961728046552	124.59604608720596	124.10857250552054	126.53980614501216	150.49225476159802	339.465514738607	232.0605606936412	179.9418822581653
BRDN0007693628	Zfp966	127.56942949023758	236.89642973159556	197.44545625878268	158.4023472606627	212.89148234567523	129.07434020479354	363.97880473940404	79.66892496926403
BRDN0007693627	Zfp965	471.08470046696164	408.2159931015037	361.04312001605973	489.7727748634284	966.5762704200198	703.4551541161247	731.809237042188	412.080646392745
BRDN0007693626	Zfp965	548.7022449158411	216.40365899356826	104.76697679037449	269.4660620066446	102.77519837377424	100.67798535973895	118.43754757393306	256.86360291814435
BRDN0007693625	Zfp965	451.87243698951625	439.36500462330525	545.5941791314117	260.36247883074446	188.42119701858613	327.8488241201756	474.7130971865772	987.6199491879455
BRDN0007693624	Zfp965	391.9301749398865	372.1487166025757	304.6301325135504	216.6652795864237	604.4160475791009	472.41208514954434	218.57986422181142	505.48559290843383
BRDN0007693623	Zfp965	443.41904105944025	417.23281222623575	313.495030549659	576.2568150344799	494.29976360719996	702.1644107140769	818.4708572182366	424.44306578452733
BRDN0007693622	Zfp965	79.15452552707512	150.8267926318809	133.77937036309356	288.58358667603494	210.44445381296632	339.465514738607	98.21650286618839	196.4251081138751
BRDN0007696444	Zfp948	232.08414280754064	285.25936867333996	261.9174419759362	462.46202533572796	171.29199728962377	202.64671412152586	407.30961482742833	451.915108877377
BRDN0007693621	Zfp936	364.2645155323651	209.02626152787843	249.0230448325055	112.88443138116193	215.33851087838414	197.4837405133341	233.02346758448618	398.34462484632013
BRDN0007693620	Zfp936	440.345078903049	332.8025967855633	354.5959214443444	289.49394499362495	418.44187909322375	176.83184608056715	305.24148439786	185.43629087673523
BRDN0007693619	Zfp936	541.7858300639608	518.8769550868511	593.1422685978124	348.667235636976	526.1111345324158	735.7237391673232	645.1476168661394	204.66672104173
BRDN0007693618	Zfp936	506.4352652654612	442.6438479413896	320.7481289428388	747.4041787414028	663.1447323641148	518.87884762327	550.782741563331	521.9688187641436
BRDN0007693617	Zfp936	305.85923456093104	293.4564769685509	130.5557710772359	261.2728371483345	226.35013927557424	491.7732361802634	335.0915980140545	135.98661330960584
BRDN0007693616	Zfp936	258.98131167596426	228.69932143638462	207.92215393782013	223.03778780955383	168.84496875691485	268.4746276259706	139.62149917252273	189.5570973406627
BRDN0007693615	Zfp866	282.03602784889875	352.4756566940695	166.01536322167033	204.83062145775352	508.98193480345344	154.88920824575223	332.2028773415196	328.2909149595535
BRDN0007693614	Zfp866	531.0269625165913	578.7158456418908	378.772916088277	339.56365246107583	617.8747045089999	389.8045074184765	189.6926574964619	751.3603785894384
