sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
BRDN0007690768	Cd19	554.08/229.52/547.21/401.47	8269.7/2.7041e+05/8149.1/38541	474.34	23405	5.6218	25638	11128	217.38	1	0	0	0	True
BRDN0007690766	Cd19	554.85/554.12/406.17/900.34	5214.6/1.6404e+05/3387.5/22329	554.49	13772	4.6319	47205	13879	112.19	1	0	0	0	True
BRDN0007690771	Cd19	345.82/232.8/402.95/222.13	2521.7/51928/2178.1/13992	289.31	8256.6	4.8301	7938.2	5535.7	107.08	1	0	0	0	True
BRDN0007690767	Cd19	428.82/451.66/374.74/399.65	4538/98104/2372.6/12209	414.23	8373.3	4.334	1128.6	9188.2	83.032	1	0	0	0	True
BRDN0007690769	Cd19	452.64/858.24/398.11/469.74	2471.5/30742/3474.2/9074	461.19	6274.1	3.7631	53923	10694	56.21	1	0	0	0	True
BRDN0007690770	Cd19	215.18/240.18/216.79/252.17	1775.3/31409/2719.2/1829.6	228.48	2274.4	3.3097	337.21	3969.5	32.473	1	1.268e-231	2.536e-231	2.6218e-228	True
BRDN0007695320	Depdc5	155.24/115.58/312.69/141.11	1233.3/1773.5/368.79/97.526	148.17	801.05	2.4267	9409.5	2159.7	14.049	1	3.9229e-45	7.8457e-45	6.9525e-42	True
BRDN0007692969	Sephs1	141.4/291.82/213.56/111.97	544.46/1178.4/1656.2/303.57	177.48	861.46	2.2727	6655.8	2782.7	12.966	1	9.5279e-39	1.9056e-38	1.4775e-35	True
BRDN0007692971	Sephs1	177.52/220.5/348.95/156.58	982.48/1204.3/869.5/495.87	199.01	925.99	2.2125	8402.3	3268.6	12.716	1	2.4147e-37	4.8295e-37	3.3286e-34	True
BRDN0007694390	Rpn2	184.44/185.25/327.2/268.56	944.55/162.63/1033.2/1193.7	226.91	988.88	2.1188	5110.4	3931.1	12.153	1	2.765e-34	5.5301e-34	3.4303e-31	True
BRDN0007692970	Sephs1	441.11/615.6/593.95/544.39	1287.1/3637.3/817.51/2361.2	569.17	1824.2	1.6786	6594.2	14402	10.458	1	6.7519e-26	1.3504e-25	7.6149e-23	True
BRDN0007690977	Atxn2l	156/182.8/258.69/177.52	420.89/1070/302.35/1039.8	180.16	730.35	2.0133	2255.1	2841.8	10.321	1	2.832e-25	5.6641e-25	2.9278e-22	True
BRDN0007692968	Sephs1	205.96/413.95/215.18/267.65	913.97/1681.8/905.13/864	241.41	909.55	1.9093	10802	4289.4	10.202	1	9.7585e-25	1.9517e-24	9.3126e-22	True
BRDN0007695535	Ints13	152.93/67.216/150.7/198.46	403.76/675.06/580.63/847.51	151.82	627.85	2.0409	3111.7	2234.6	10.07	1	3.7484e-24	7.4968e-24	3.3216e-21	True
BRDN0007693855	Dnlz	15.37/24.591/88.649/11.835	178.63/588.58/84.736/52.197	19.981	131.68	2.6609	1608.1	133.97	9.6509	1	2.543e-22	5.086e-22	2.1032e-19	True
BRDN0007696288	Zfp36l2	463.4/569.7/402.14/451.54	1801/1093.3/740.48/1824.1	457.47	1447.1	1.6593	5242.3	10573	9.625	1	3.1361e-22	6.2723e-22	2.4317e-19	True
BRDN0007693475	Uggt1	133.72/124.6/135.39/230.32	636.23/1745.1/463.16/201.92	134.55	549.69	2.0224	3090.6	1886.6	9.5577	1	6.0245e-22	1.2049e-21	4.3965e-19	True
BRDN0007691763	H2-K1	31.508/41.805/30.624/66.456	66.07/46.467/381.31/318.68	36.657	192.37	2.3604	325.81	308.57	8.8645	1	3.9145e-19	7.8289e-19	2.6979e-16	True
BRDN0007695005	Lbhd2	215.95/350.02/287.71/190.26	1013.1/1028.7/642.26/245.87	251.83	827.66	1.7126	5335.3	4552.4	8.5345	1	7.0364e-18	1.4073e-17	4.5944e-15	True
BRDN0007694936	Eef1akmt4	442.65/388.54/1270.9/374.16	387.85/2047.1/225.32/2390.1	415.6	1217.5	1.5484	2.4491e+05	9231	8.3462	1	3.5235e-17	7.0471e-17	2.1857e-14	True
BRDN0007692274	Nktr	354.27/385.26/346.54/351.4	475.95/2040.7/1657.2/388.73	352.84	1066.6	1.5932	365.13	7325.2	8.3391	1	3.7434e-17	7.4869e-17	2.2115e-14	True
BRDN0007691291	Cpt2	239/223.78/431.16/274.02	742.67/884.16/461.23/1476.6	256.51	813.42	1.6611	10729	4672.1	8.1475	1	1.8576e-16	3.7151e-16	1.0475e-13	True
BRDN0007690995	B3gnt2	338.9/509.04/370.71/252.17	740.23/1311.4/1258.5/813.17	354.81	1035.8	1.543	11609	7383.1	7.926	1	1.1319e-15	2.2638e-15	5.914e-13	True
