id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
H2-K1	6	4.0178e-10	3.2146e-06	6.3e-05	1	6	-2.3575	1.0	1.0	1.0	1021	0	-2.3575
Cnot9	6	6.5172e-08	3.2146e-06	6.3e-05	2	6	-2.0492	1.0	1.0	1.0	1020	0	-2.0492
Rasgrp2	6	2.3283e-07	3.2146e-06	6.3e-05	3	6	-1.9984	1.0	1.0	1.0	1019	0	-1.9984
B4galt1	6	3.7699e-07	3.2146e-06	6.3e-05	4	6	-2.5016	1.0	1.0	1.0	1018	0	-2.5016
Sec63	6	1.2769e-06	3.2146e-06	6.3e-05	5	6	-1.6929	1.0	1.0	1.0	1016	0	-1.6929
Gclc	6	1.6094e-06	3.2146e-06	6.3e-05	6	6	-1.4552	1.0	1.0	1.0	1017	0	-1.4552
Xrcc3	6	4.6191e-06	3.2146e-06	6.3e-05	7	6	-1.2142	1.0	1.0	1.0	1015	0	-1.2142
Ddx3x	6	9.3901e-06	3.2146e-06	6.3e-05	8	5	-1.6725	0.98789	0.99814	1.0	921	0	-1.6725
Tmx2	6	1.0037e-05	3.2146e-06	6.3e-05	9	6	-1.928	0.99989	1.0	1.0	1000	0	-1.928
Cxcr4	6	1.061e-05	3.2146e-06	6.3e-05	10	6	-1.3415	0.99999	1.0	1.0	1014	0	-1.3415
Nhlrc2	6	1.1394e-05	3.2146e-06	6.3e-05	11	6	-1.5473	0.99999	1.0	1.0	1013	0	-1.5473
Thap11	6	1.3443e-05	3.2146e-06	6.3e-05	12	6	-1.2583	0.99999	1.0	1.0	1012	0	-1.2583
Kdsr	6	1.353e-05	3.2146e-06	6.3e-05	13	6	-1.3664	0.99992	1.0	1.0	1006	0	-1.3664
Eif3k	6	1.5034e-05	3.2146e-06	6.3e-05	14	6	-1.0915	0.99998	1.0	1.0	1011	0	-1.0915
Ppp2r1a	6	1.8216e-05	3.2146e-06	6.3e-05	15	6	-1.6958	0.9993	1.0	1.0	981	0	-1.6958
Bcl11a	6	1.9998e-05	3.2146e-06	6.3e-05	16	6	-1.3619	0.99991	1.0	1.0	1003	0	-1.3619
Nsmce4a	6	2.9511e-05	3.2146e-06	6.3e-05	17	5	-1.4365	0.92167	0.96831	1.0	825	0	-1.4365
Aasdhppt	6	3.0046e-05	3.2146e-06	6.3e-05	18	5	-1.6051	0.39889	0.64157	1.0	495	1	-1.6051
Rpl8	6	3.4511e-05	3.2146e-06	6.3e-05	19	6	-2.1851	0.99897	0.99999	1.0	973	0	-2.1851
Stk17b	6	4.245e-05	3.2146e-06	6.3e-05	20	6	-1.8454	0.99989	1.0	1.0	999	0	-1.8454
Lcp1	6	4.4238e-05	3.2146e-06	6.3e-05	21	6	-1.2935	0.99852	0.99998	1.0	969	0	-1.2935
Ikzf3	6	4.7995e-05	3.2146e-06	6.3e-05	22	6	-1.2721	0.99995	1.0	1.0	1010	0	-1.2721
Slc39a9	6	5.523e-05	3.2146e-06	6.3e-05	23	6	-0.92626	0.99994	1.0	1.0	1009	0	-0.92626
Trmt112	6	5.6852e-05	3.2146e-06	6.3e-05	24	6	-1.5091	0.99974	1.0	1.0	995	0	-1.5091
Rad50	6	5.9122e-05	3.2146e-06	6.3e-05	25	6	-1.2977	0.99973	1.0	1.0	993	0	-1.2977
Fam122a	6	6.7773e-05	3.2146e-06	6.3e-05	26	6	-1.1709	0.99993	1.0	1.0	1008	0	-1.1709
Ndufaf8	6	7.0637e-05	3.2146e-06	6.3e-05	27	5	-1.166	0.95987	0.9894	1.0	866	0	-1.166
Pola1	6	7.1423e-05	3.2146e-06	6.3e-05	28	6	-1.1958	0.99993	1.0	1.0	1007	0	-1.1958
Pmm2	6	7.8481e-05	3.2146e-06	6.3e-05	29	6	-0.98405	0.99992	1.0	1.0	1005	0	-0.98405
Paf1	6	8.1841e-05	3.2146e-06	6.3e-05	30	6	-1.1787	0.99992	1.0	1.0	1004	0	-1.1787
Srsf6	6	0.00010369	3.2146e-06	6.3e-05	31	6	-1.1294	0.9999	1.0	1.0	1002	0	-1.1294
Rfk	6	0.00010462	3.2146e-06	6.3e-05	32	6	-0.75916	0.9999	1.0	1.0	1001	0	-0.75916
Elob	6	0.00010693	3.2146e-06	6.3e-05	33	6	-1.395	0.99974	1.0	1.0	994	0	-1.395
Hscb	6	0.00011081	3.2146e-06	6.3e-05	34	5	-1.7222	0.83466	0.91544	1.0	734	0	-1.7222
Flii	6	0.00011181	3.2146e-06	6.3e-05	35	6	-1.1915	0.99989	1.0	1.0	998	0	-1.1915
Rps10	6	0.0001138	3.2146e-06	6.3e-05	36	5	-1.356	0.97213	0.99391	1.0	886	0	-1.356
Rpl30	6	0.00011993	3.2146e-06	6.3e-05	37	6	-1.3794	0.99988	1.0	1.0	997	0	-1.3794
Hdac7	6	0.00012339	3.2146e-06	6.3e-05	38	5	-1.189	0.97621	0.99513	1.0	898	0	-1.189
Alg8	6	0.00013023	3.2146e-06	6.3e-05	39	4	-1.2587	0.37965	0.62432	1.0	483	2	-1.2587
B2m	6	0.00014031	3.2146e-06	6.3e-05	40	5	-1.275	0.96363	0.99109	1.0	875	0	-1.275
Ndufb9	6	0.0001726	3.2146e-06	6.3e-05	41	6	-1.0991	0.99667	0.99977	1.0	952	0	-1.0991
Psmc4	6	0.00018703	3.2146e-06	6.3e-05	42	5	-1.4409	0.9929	0.99934	1.0	937	0	-1.4409
Dpm3	6	0.00019638	3.2146e-06	6.3e-05	43	6	-0.95841	0.9998	1.0	1.0	996	0	-0.95841
Tap1	6	0.00020209	3.2146e-06	6.3e-05	44	5	-1.2083	0.99111	0.99903	1.0	930	0	-1.2083
Rcor1	6	0.00022006	3.2146e-06	6.3e-05	45	6	-1.0028	0.99733	0.99987	1.0	957	0	-1.0028
Clcc1	6	0.00022137	3.2146e-06	6.3e-05	46	5	-1.1231	0.92793	0.97184	1.0	834	0	-1.1231
Rnaseh2b	6	0.00022771	3.2146e-06	6.3e-05	47	5	-1.3013	0.90843	0.95901	1.0	806	0	-1.3013
Sptssa	6	0.0002417	3.2146e-06	6.3e-05	48	6	-1.2918	0.99581	0.99968	1.0	944	0	-1.2918
Glrx5	6	0.0002651	3.2146e-06	6.3e-05	49	6	-1.5538	0.99588	0.99968	1.0	945	0	-1.5538
Slc35a1	6	0.00027066	3.2146e-06	6.3e-05	50	6	-1.0873	0.99915	1.0	1.0	975	0	-1.0873
Pcgf1	6	0.00030906	3.2146e-06	6.3e-05	51	5	-1.5151	0.31036	0.55949	1.0	417	1	-1.5151
Fmnl1	6	0.0003419	3.2146e-06	6.3e-05	52	6	-0.97293	0.99962	1.0	1.0	990	0	-0.97293
Brd4	6	0.00034595	3.2146e-06	6.3e-05	53	6	-0.85288	0.99965	1.0	1.0	992	0	-0.85288
Trmt5	6	0.00036007	3.2146e-06	6.3e-05	54	6	-1.0155	0.99964	1.0	1.0	991	0	-1.0155
