sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	AR2466_SP	AR2467_SP	AR2468_SP	AR2469_SP
BRDN0007693687	Zscan4f	690.206691113293	634.042662147309	684.3971927713181	530.7765998162457	810.1520226288085	679.6670131754156	639.7020831242362
BRDN0007693686	Zscan4f	669.0251983470916	695.4809046034436	679.7269886022831	545.3851300864176	511.04526321943825	605.4601928783478	381.4737192942693
BRDN0007693685	Zscan4f	457.72689245986345	457.10052387364135	459.3782646269021	188.2877234822156	225.61195566878212	281.64861340023424	332.5668322052604
BRDN0007693684	Zscan4f	505.25609574012014	578.0109850273143	532.4032752699956	694.7167728481749	581.1217039953478	888.7953249216972	635.7895321571154
BRDN0007693683	Zscan4f	399.3486319091134	398.61131705540123	434.3289877202596	290.5474353734189	170.91814823392585	134.92149144921402	428.4243308997178
BRDN0007693682	Zscan4f	841.5768711254149	831.1365439465887	894.1318163625285	1037.205649182205	888.7743708164144	502.58255564832217	639.7020831242362
BRDN0007693681	Zscan4c	433.44566904494974	465.45612484767565	495.89076994844885	277.5620751332661	297.39757792703097	590.2815250903112	363.8672399422261
BRDN0007693680	Zscan4c	634.4115394364699	602.094776070119	645.3373033575704	537.2692799363222	538.3921669368664	433.4352912806	612.3142263543912
BRDN0007693679	Zscan4c	787.8482065477334	675.3291610778315	675.056784433248	678.4850725479838	704.1827707237744	308.63291169007704	616.2267773215119
BRDN0007693678	Zscan4c	416.3971504770316	420.7290843396097	373.19176950743713	537.2692799363222	273.4690371742813	279.9620947571191	318.8729038203379
BRDN0007693677	Zscan4c	695.8895306359324	690.0743392673038	613.0704381896919	417.1546977149087	1539.9725155876718	844.9458402007027	1040.738557254109
BRDN0007693676	Zscan4c	677.8077685184434	665.4990422848499	661.4707359415097	803.4691648594545	873.3917374753611	505.9555929345525	1261.7976868964292
BRDN0007694815	Zscan26	603.9308547241313	588.8241156995939	609.6739260667573	1180.0446118238858	523.0095335958131	898.9144367803883	592.7514715187876
BRDN0007694814	Zscan26	1187.1968384568468	1079.8385494090217	1186.6564229502692	921.9605770508489	1254.5392080370157	973.121257077456	1134.639780465006
BRDN0007694813	Zscan26	522.3046143080384	529.3518970020557	497.58902600991615	222.37429411261672	367.47401870294055	440.1813658530607	659.2648379598397
