sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
BRDN0007693017	Sipa1	847.78/754.95/882.67	13034/5389/7467.9/8069.6	847.78	7768.8	3.1944	4916.8	5701.4	91.66	1	0	0	0	True
BRDN0007693019	Sipa1	524.37/524.93/554.91	4939.3/2490.3/4379.9/6207.3	524.93	4659.6	3.1476	449.46	3179.6	73.326	1	0	0	0	True
BRDN0007693018	Sipa1	787.33/732.84/704.78	4536.8/5912.1/5496.4/5391.5	732.84	5443.9	2.8914	1878.6	4773.1	68.19	1	0	0	0	True
BRDN0007693016	Sipa1	476.84/462.51/472.54	3160.3/4972/5297.4/2263.4	472.54	4066.2	3.1025	59.581	2798.1	67.936	1	0	0	0	True
BRDN0007693020	Sipa1	952.13/897/881.82	6830.3/4025.1/4831.9/6798.1	897	5815	2.6952	1635.2	6107.9	62.927	1	0	0	0	True
BRDN0007695970	Setd5	830.73/785.43/857.62	4785.1/7934/6085/4288.2	830.73	5435	2.7084	1387.7	5561.8	61.739	1	0	0	0	True
BRDN0007692469	Pak2	1255.4/1131/1262.2	9161.2/6722.2/6324.4/7623.6	1255.4	7172.9	2.5135	7765.5	9211.1	61.657	1	0	0	0	True
BRDN0007693736	Arl15	902.02/947.62/906.44	5095.1/4796/6337.9/5031.5	906.44	5063.3	2.4805	857.65	6186.5	52.85	1	0	0	0	True
BRDN0007693737	Arl15	1139.2/1128/1096.2	6151.8/5847.1/5319.3/4035.8	1128	5583.2	2.3063	567.15	8081.3	49.559	1	0	0	0	True
BRDN0007696474	BRDN0007696474_NegCtrl	653.01/617.33/615.62	4260.8/6112/1079.4/2954	617.33	3607.4	2.5449	637.94	3873.1	48.046	1	0	0	0	True
BRDN0007692464	Pak2	824.01/753.97/798.18	4082.3/4045.6/2690/4063.2	798.18	4054.4	2.3433	1310.9	5297.1	44.74	1	0	0	0	True
BRDN0007695972	Setd5	768.22/749.55/709.02	1980.3/4021.7/4718.9/3536.9	749.55	3779.3	2.3325	995.41	4906.2	43.255	1	0	0	0	True
BRDN0007691636	Fgfbp1	956.27/979.57/904.75	2545.1/6101.8/17722/2410.1	956.27	4323.5	2.1755	1598.8	6604.3	41.434	1	0	0	0	True
BRDN0007693739	Arl15	861.73/850.8/866.96	3923.2/5624.9/3619.3/3171.1	861.73	3771.2	2.1284	73.415	5816	38.151	1	9.1469e-319	1.8294e-318	8.1055e-316	True
BRDN0007693740	Arl15	1108.2/987.93/1033.4	3923.2/4642.1/4776.2/2629.2	1033.4	4282.7	2.0501	3828.3	7260.6	38.133	1	1.8239e-318	3.6478e-318	1.5085e-315	True
BRDN0007692465	Pak2	548.65/584.89/506.5	3309.6/3201.3/1951.3/2026.7	548.65	2614	2.2502	1544.9	3355.2	35.656	1	9.4838e-279	1.8968e-278	7.3535e-276	True
BRDN0007693499	Usp22	893.76/788.38/883.94	2860/7460.6/1782.7/3781.5	883.94	3320.8	1.9083	4614.7	5999.6	31.46	1	1.5227e-217	3.0454e-217	1.1112e-214	True
BRDN0007695968	Setd5	778.03/706.29/747.66	2041.9/3068/2813.1/2793.6	747.66	2803.3	1.9053	1316.8	4891.1	29.394	1	3.3137e-190	6.6274e-190	2.2839e-187	True
BRDN0007691249	Cnot8	664.89/609.96/585.9	1925.1/3334.6/2464/2312.3	609.96	2388.2	1.9674	1798.3	3816.8	28.783	1	1.7715e-182	3.543e-182	1.1567e-179	True
BRDN0007693738	Arl15	908.74/928.45/802.43	3022.3/2404.8/3231.4/3355	908.74	3126.9	1.7817	5845.5	6205.7	28.157	1	9.7583e-175	1.9517e-174	6.0531e-172	True
BRDN0007691246	Cnot8	804.9/714.65/776.53	2754.5/2797.9/3701.9/2425.8	776.53	2776.2	1.8367	2316.8	5122.4	27.94	1	4.3354e-172	8.6708e-172	2.5612e-169	True
BRDN0007692219	Ncor1	771.83/636.5/745.11	1485.2/3568.8/2696.7/2670.3	745.11	2683.5	1.8472	6255.1	4870.8	27.775	1	4.3886e-170	8.7773e-170	2.4748e-167	True
BRDN0007691092	Capzb	693.82/723.01/685.67	2790.2/2310.8/2206/2662.5	693.82	2486.7	1.8401	459.03	4465.3	26.83	1	7.284e-159	1.4568e-158	3.9289e-156	True
BRDN0007696121	Tmem94	781.65/723.99/895.41	4012.5/3245.7/1807.9/1995.4	781.65	2620.6	1.744	8132.7	5163.6	25.591	1	9.6066e-145	1.9213e-144	4.9658e-142	True
BRDN0007690847	Adam22	1059.6/1021.8/922.58	2892.5/4474.6/3023.9/3255.2	1021.8	3139.6	1.6185	5639.1	7161.6	25.025	1	1.6477e-138	3.2955e-138	8.1767e-136	True
BRDN0007695969	Setd5	467.03/441.37/506.5	1990/1430.6/1524.6/3184.8	467.03	1757.3	1.9095	1108.3	2758.5	24.567	1	1.4292e-133	2.8584e-133	6.8194e-131	True
BRDN0007691247	Cnot8	672.64/633.06/636.42	2306.5/1789.5/2062.6/2308.4	636.42	2184.6	1.7777	661.6	4019.4	24.419	1	5.3431e-132	1.0686e-131	2.455e-129	True
