sgRNA	Gene	pDNA_CP1704	AR2466_BM	AR2466_SP	AR2467_BM	AR2467_SP	AR2468_BM	AR2468_SP	AR2469_BM	AR2469_SP	AR2473_BM	AR2473_SP	AR2474_BM	AR2474_SP	AR2475_BM	AR2475_SP	AR2476_BM	AR2476_SP	AR2480_BM	AR2480_SP	AR2481_BM	AR2481_SP	AR2482_BM	AR2482_SP	AR2483_BM	AR2483_SP	ahEGFRv3_1to10rep1	ahEGFRv3_1to10rep2	ahEGFRv3_1to10rep3	ahEGFRv3_1to2rep1	ahEGFRv3_1to2rep2	ahEGFRv3_1to2rep3	amCD19_1to10rep1	amCD19_1to10rep2	amCD19_1to10rep3	NoCAR_T_rep1	NoCAR_T_rep2	NoCAR_T_rep3	amCD19_1to2rep1	amCD19_1to2rep2	amCD19_1to2rep3	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	Input2_ACT_rep1	Input2_ACT_rep2	Input2_ACT_rep3
BRDN0007693687	Zscan4f	377.0065571	266.1736151	367.2542073	686.9952835	569.6174959	261.2871382	467.5106049	480.0258	443.6104649	476.2941027	619.4982995	1224.903721	541.9287047	1528.214424	647.9972062	274.4251136	750.6448392	654.36277	1308.882683	2727.954432	2751.620372	994.3896473	527.268017	1018.919517	729.0053345	457.6864556	458.4639957	437.5367237	456.6483631	359.7554814	384.1242931	510.8326967	473.9765788	509.0276099	370.8359539	402.9120901	370.5101209	474.2410299	381.1334956	484.6939279	479.4787164	447.9709979	469.2974482	418.5743831	509.2451241	451.8425478
BRDN0007693686	Zscan4f	484.4061523	904.1877577	377.3621213	522.9551171	359.3156778	541.2376434	416.4672635	440.9397297	264.5383506	804.2810596	415.9175862	89.87459257	174.7276428	3232.138827	800.467137	182.1405621	170.0522491	1109.204075	471.058708	748.1093871	126.1159337	123.4414735	181.3801979	1146.789205	449.5532896	485.1280418	487.0029191	504.5713356	499.0843726	449.2081958	456.1475981	427.1467942	433.3500149	472.0428122	447.6931465	442.9175459	447.7773069	362.8339587	302.6100637	331.7640988	464.7641749	491.3790403	466.0950463	479.9911135	449.3158548	446.6621874
BRDN0007693685	Zscan4f	429.5983809	80.25335128	130.27978	55.50231196	158.6276571	87.5742606	193.7326824	331.0101572	230.6231775	99.82211732	122.5862359	4.348770608	42.316851	143.3423514	47.64685339	319.353119	100.6226326	114.9784712	34.76448029	32.11580702	120.3833913	78.17959986	112.4838436	32.30392127	70.87551864	161.7093473	216.3434518	173.0217686	174.3566477	214.8809768	183.7517652	147.3220576	172.9233233	167.4048736	184.4572621	132.3990083	157.3271619	119.3212347	106.1462993	102.369355	317.9776517	322.9558357	314.9999001	234.324192	208.0621298	222.4677003
BRDN0007693684	Zscan4f	518.6794757	402.6043122	480.687464	350.2812577	408.5863895	94.75247869	611.3600219	177.1087557	440.8972511	417.8268625	354.6244683	211.6401696	297.5830167	605.7370333	762.3496543	134.784016	219.3573391	1259.690604	570.1374768	156.8007049	122.2942387	101.4963226	227.7797834	179.0175637	283.5020745	306.7577315	260.5327526	315.2438506	217.7151792	232.3825948	240.0776832	231.8796883	270.8437593	287.1188239	269.0001738	257.1779299	309.999674	381.7061948	362.8217071	345.1844715	350.9956472	408.3828632	365.0738214	293.2510549	295.9583914	284.6320254
BRDN0007693683	Zscan4f	379.5179644	426.6803176	201.0351777	334.2472564	120.1724675	301.4851595	92.80607542	152.6799618	297.0969169	35.65075619	63.4821579	465.3184551	95.55417967	760.6392518	66.70559475	47.35654616	116.7222538	131.8870699	102.5552169	496.8504263	152.8677984	175.5612067	139.1987565	370.1490979	147.8260817	244.0341059	253.1678691	212.8801865	196.4971744	176.9608044	198.5257765	207.4713	177.0901503	203.4163871	195.9858409	155.2592688	209.4592392	346.7012407	330.8536696	313.3500989	277.4229399	281.6313793	297.8233806	214.6819044	214.5160511	210.6679905
BRDN0007693682	Zscan4f	694.0347983	751.7063903	717.6618913	326.8469482	624.8968309	246.930702	345.702631	516.6689908	443.6104649	318.0047452	626.0654193	369.6455017	597.8961528	832.3104275	247.7636376	1542.123426	591.6610797	503.8762415	398.0532994	568.6387008	726.1220425	533.5414797	575.0736506	1350.03471	530.5538824	512.569628	487.0029191	440.2543431	493.5492409	501.7130498	486.6189963	609.3379778	673.9842781	608.3025931	521.6681943	544.836207	469.1886958	723.2327901	766.9225306	770.579078	584.633854	587.223998	613.1144082	503.2298763	512.0110904	463.3544599
BRDN0007693681	Zscan4c	517.9408265	140.4433647	192.0503653	234.3430949	209.1000934	317.2772392	406.02658	318.7957603	252.3288883	112.6563896	249.5505517	623.3237872	148.7915083	6.935920229	57.17622407	47.35654616	148.9214962	164.0134075	361.5505951	130.3523932	273.2511897	1290.649184	239.0281677	107.6797376	155.926141	224.4329729	246.7235961	196.5744701	249.0809253	235.2995311	228.9971747	193.5236496	248.9679172	182.97742	245.9430161	207.6473656	239.2489977	220.3790152	200.4985653	217.5348794	301.1097627	328.8593294	340.0368608	221.044899	249.2442943	221.6043069
BRDN0007693680	Zscan4c	509.963415	121.7175828	371.7466135	559.9566584	378.5432726	179.4554521	298.1395173	1137.160356	424.617968	290.9101705	1151.435002	136.2614791	470.9455998	43.92749478	581.2916114	932.5596782	445.7582624	1320.561559	909.0911597	185.1381816	391.7237335	98.75317877	289.6458974	655.5004024	285.5270894	387.1223768	416.1159158	421.2310073	416.0573975	405.4541507	371.1970332	466.374561	397.9319849	417.5388999	432.321708	357.1915693	417.0566185	397.5345218	369.6498316	396.0570474	440.7184608	425.3988158	442.5137229	390.6325373	382.9326642	384.4978624
BRDN0007693679	Zscan4c	548.0777143	813.2339596	469.4564485	223.2426325	495.1105661	554.1584359	212.2938975	255.2808962	427.3311818	128.3427223	389.6491071	489.9614885	405.4227337	330.6121976	1924.932877	325.424471	590.6548534	578.2740758	625.7606453	1040.92998	831.2186539	2847.383321	431.65675	464.3688683	781.6557198	552.7519506	529.350999	505.4772088	443.7330558	412.2603355	431.216454	508.2175122	536.4789848	470.0962439	379.4823881	387.6719165	384.4740702	655.6580092	630.0496711	669.4581297	547.3091635	477.1412024	462.8926443	491.057191	490.8053489	458.7496951
BRDN0007693678	Zscan4c	329.5852778	327.7011844	371.7466135	266.4110974	192.275948	221.0891169	192.5726065	171.0015572	221.126929	376.4719853	192.6355136	165.2532831	472.3106595	388.4115328	200.1167843	185.7833734	500.094484	480.2042033	311.1420986	290.9314283	166.2437308	53.49130517	209.5011588	82.10579989	585.2292824	193.0711601	211.7403996	182.9863731	245.3908375	253.7734612	190.2153951	203.9843874	213.5498872	179.0842834	186.3786919	202.8848114	213.182959	185.9828429	195.5326565	215.974371	289.2663513	297.2582745	255.9010279	204.4457826	192.0809913	214.1215641
BRDN0007693677	Zscan4c	501.6905439	230.059607	288.6370987	526.6552712	1082.753932	1643.811941	581.1980473	359.1032702	721.7148848	173.9756902	720.1941362	117.4168064	438.1841668	87.85498957	752.8202836	499.0651403	274.699787	333.0993945	173.8224015	1418.763004	527.3939046	360.7234169	119.5140839	643.386432	554.8540602	372.421527	349.8319646	356.0081417	370.8538221	395.7310296	409.9788128	378.3300177	361.472248	363.0349876	388.1288223	388.6244274	407.747319	403.0135581	367.1668773	401.3627761	483.4265202	487.5591325	420.3880368	424.3840738	436.4080122	406.9460909
BRDN0007693676	Zscan4c	541.5776012	654.0648129	555.9352679	1142.114242	614.0813089	750.8416114	348.0227828	1162.810589	875.0114675	422.1049533	404.9723866	388.4901743	460.0251221	87.85498957	809.9965077	726.1337077	574.5552321	605.3278337	630.9753174	1509.44293	550.3240743	128.9277612	593.3522752	422.6429699	364.5026673	278.3360886	346.1495228	277.197179	363.4736466	347.115424	368.4269061	294.6441152	242.7176766	250.1340263	420.7931291	372.4317429	410.5401089	255.992751	263.8139017	263.1017265	470.8653262	470.1959156	453.576566	421.6175545	422.8855104	433.7112864
BRDN0007694815	Zscan26	465.053543	1427.172097	816.4948279	168.9737053	367.7277505	1203.069351	618.3204775	189.3231527	411.0518987	359.3596224	1017.903566	57.98360811	630.6575858	80.91906934	571.7622407	539.1360639	624.8665484	2402.711876	750.9127744	105.7932467	173.8871207	1360.599352	510.3954405	1582.892142	1042.882631	371.4414704	389.4182132	336.9848058	414.2123536	408.371087	427.5229512	459.4007358	430.2248946	396.1266486	400.618116	388.6244274	373.3029108	485.1991024	436.6895996	450.3627418	419.5438768	416.0226786	418.0590172	405.2950901	391.5378926	415.0044293
BRDN0007694814	Zscan26	554.873287	625.9761399	637.9216812	1032.343002	882.0659114	1675.3961	669.363819	641.2558397	786.8320173	370.7678643	260.4957514	1445.241432	985.5731103	330.6121976	809.9965077	1313.840588	942.8340674	424.4058276	676.1691417	578.0845264	619.1145836	1352.36992	683.3393501	1173.709139	860.6312977	938.8942708	1052.257725	949.3550444	940.9723845	984.9521695	973.2379926	835.9872972	832.3237066	893.4748487	1007.789937	1033.474274	1072.431305	678.1829362	709.5042109	653.5409434	824.7321034	762.9397537	813.7012207	963.8553541	924.1400653	980.5271086
BRDN0007694813	Zscan26	444.519095	78.91579542	153.8649125	204.7418619	258.3708051	199.5544627	302.7798211	214.9733862	457.1765342	77.00563336	137.9095154	1301.732002	505.0720925	30.05565433	171.5286722	905.845729	315.9550664	490.3493625	319.8332187	262.5939515	189.1739005	1163.092994	452.7474706	258.4313702	425.2531118	256.7748423	266.0564152	224.6565372	288.749369	282.9428246	280.7062142	255.4163483	240.6342631	257.9202995	229.6108627	227.6500935	215.0448189	479.7200662	531.3522349	543.6811478	362.8390586	374.0036936	341.2013706	230.7277168	240.6390659	254.4132562
BRDN0007694812	Zscan26	575.2600053	1375.007419	844.5723666	629.0262022	824.383127	427.8217977	599.7592624	1215.332496	902.143606	390.7322878	1611.133387	866.8549412	1274.965769	1683.116642	1419.876231	754.0619273	789.8876659	1624.916336	1621.763006	11363.32819	1922.312565	514.3394727	1339.963787	1561.356195	1180.583639	828.1478693	904.9600557	849.7089997	833.9598389	868.274716	894.7510578	1046.94551	1019.830925	1050.173597	977.04706	971.5610684	989.5785391	890.039006	917.1412699	904.1586022	656.0532137	696.9595292	740.3371035	787.9047212	827.9459048	863.9689991
BRDN0007694811	Zscan26	476.5764707	493.5581103	468.3333469	464.9860357	350.9036051	772.3762657	557.9965285	398.1893404	588.767406	283.7800192	348.0573485	330.5065662	335.8046886	393.0354796	428.8216805	307.2104148	255.5814868	270.5375793	258.9953782	309.8230795	450.9600053	537.6561955	704.4300708	1819.787565	720.9052753	720.3416378	609.4441067	705.6751714	668.8284106	538.6609101	635.2824848	732.2516471	748.9871653	751.375363	666.7361452	604.8443906	613.4828384	699.7946904	642.7748122	703.7893158	526.4934707	575.0697461	609.3297513	656.7717023	607.5905916	646.6816592
