sgRNA	Gene	Input2_ACT_rep1	Input2_ACT_rep2	Input2_ACT_rep3	amCD19_1to10rep1	amCD19_1to10rep2	amCD19_1to10rep3
BRDN0007693687	Zscan4f	794.6750510745028	964.6442127529318	850.0086773387893	969.2533440649202	903.0432645916258	965.4507880220328
BRDN0007693686	Zscan4f	911.2764134925726	851.1224134247352	840.2633549234401	810.4678132966056	825.6395561980578	895.3033120280802
BRDN0007693685	Zscan4f	444.87096382029335	394.12440074455935	418.5074570591619	279.5286947900538	329.46193829057114	317.5096281831542
BRDN0007693684	Zscan4f	556.7452439781712	560.6230397592476	535.451326043352	439.96824150387164	516.0247226237861	544.5659320583168
BRDN0007693683	Zscan4f	407.57953710100077	406.3498252875959	396.3097782241999	393.6557950297799	337.40078017709095	385.8111179667397
BRDN0007693682	Zscan4f	955.3958479210314	969.8836804142331	871.6649493728986	1156.1571459067904	1284.1076751445755	1153.7413814794847
BRDN0007693681	Zscan4c	419.6598584326026	472.1342525906021	416.8832366566037	367.1915399017274	474.34580271955724	347.045407549029
BRDN0007693680	Zscan4c	741.6266834879035	725.3751895535021	723.3194859392501	884.8985308442531	758.1594001626396	791.9280842475183
BRDN0007693679	Zscan4c	932.285667982315	929.7144283442559	863.002440559255	964.2912962284104	1022.1258928894225	891.6113396073458
BRDN0007693678	Zscan4c	388.14597669798917	363.8519209237069	402.80665983443265	387.0397312477668	406.86564668413905	339.6614627075603
BRDN0007693677	Zscan4c	805.7049096816176	826.671564338662	765.5492164057631	717.8429203484221	688.6945336555915	688.5528564669565
BRDN0007693676	Zscan4c	800.4525960591819	801.0563891056331	815.9000488850672	559.0573895801076	462.43753988977755	474.41845606436414
BRDN0007694815	Zscan26	769.463945686812	741.6757556108842	780.7086068296396	871.6664032802269	819.685424783168	751.3163876194404
BRDN0007694814	Zscan26	1829.9060660565551	1750.5643619481386	1844.5729705052581	1586.2012917376424	1585.7836668323273	1694.6153411170671
BRDN0007694813	Zscan26	438.0429561111271	455.83368653322003	478.6036119538152	484.6266720324601	458.4681189465177	489.1863457473015
BRDN0007694812	Zscan26	1495.8589196696523	1568.3473199495463	1625.3032161599017	1986.4731505494353	1943.0315517257177	1991.8191209861825
BRDN0007694811	Zscan26	1246.899253966206	1150.9363962658697	1216.541081516089	1389.3733942227525	1427.0068291019315	1425.1013544034595
BRDN0007694810	Zscan26	1086.7036884819208	1018.7853785863794	989.6916319587942	1197.5075445443724	1198.7651248644877	1271.884498942984
BRDN0007694929	Zpld2	927.5585857221229	913.4138622868738	886.8243397967751	704.6107927843959	758.1594001626396	642.4032012077771
BRDN0007694928	Zpld2	787.321812003093	788.8309645625966	873.8305765763096	1048.6461094490776	1012.2023405312727	1028.2143191745167
BRDN0007694927	Zpld2	1262.130963471269	1223.124617377133	1141.826942998412	1177.659353198333	1184.8721515630782	1282.9604162051871
BRDN0007694926	Zpld2	1076.1990612370498	1019.3675416598572	950.7103422973976	838.5860843701613	774.0370839356792	714.3966634120969
BRDN0007694925	Zpld2	1372.4295495424162	1428.628182314843	1382.211562577025	1190.8914807623594	1202.7345458077477	1231.2728023149061
BRDN0007694924	Zpld2	1118.742801578778	1100.2882088732897	1065.4885840781767	1124.7308429422283	1200.7498353361177	1166.663284952055
BRDN0007693675	Zmiz1	1511.6158605369592	1497.9055880587166	1532.1812464132317	1131.3469067242413	1163.0403363751486	1151.8953952691177
BRDN0007693674	Zmiz1	1254.7777243998594	1205.6597251727953	1074.6924996926732	1176.0053372528298	1165.0250468467787	1120.5136296928756
BRDN0007693673	Zmiz1	581.9563493658619	586.2382149922765	603.1271761499436	525.977070670042	533.8871168684557	481.8024009058328
BRDN0007693672	Zmiz1	376.0656553663873	381.89897620152277	397.93399862675807	489.5887198689699	486.25406554933693	478.11042848509845
BRDN0007693671	Zmiz1	539.4126090241338	546.6511259957773	528.9544444331192	342.3813007191783	293.7371498012321	315.66364197278705
BRDN0007693670	Zmiz1	653.9130459932294	585.0738888453208	674.5928738625041	286.1447585720669	252.05822989700323	263.9760280825061
BRDN0007693669	Zfpm2	1022.1002309259633	975.7053111490125	972.3666143315068	903.0927062447892	897.0891331767359	895.3033120280802
BRDN0007693668	Zfpm2	908.6502566813548	939.6112005933808	952.8759695008084	903.0927062447892	839.5325294994674	823.3098498237603
BRDN0007693667	Zfpm2	685.9521590900864	667.158882205709	600.4201421456798	554.0953417435977	645.0309032797327	633.1732701559413
BRDN0007693666	Zfpm2	325.1182132287622	354.53731174806	374.11209938923787	482.9726560869568	404.8809362125091	411.65492491188013
BRDN0007693665	Zfpm2	1442.2853207208095	1454.8255206213498	1383.8357829795832	1247.1280229094707	1222.581650524047	1175.8932160038908
BRDN0007693664	Zfpm2	850.3495754723199	866.8408164086394	781.7914204313452	595.4457403811797	579.5354577159444	635.0192563663084
BRDN0007693663	Zfp984	781.0190356561703	870.9159579229848	774.2117252194068	724.4589841304353	658.9238765811423	644.2491874181443
BRDN0007693662	Zfp984	733.2229816920066	716.0605803778552	742.2687239690956	646.7202346917812	706.556927900261	703.3207461498939
BRDN0007693661	Zfp984	895.5194726252658	807.4601829138904	834.3078801140601	785.6575741140565	815.716003839908	758.7003324609092
BRDN0007693660	Zfp984	579.8554239168877	481.44886176624897	468.85828953846595	663.260394146814	684.7251127123316	664.5550357321832
BRDN0007693659	Zfp984	1122.419421114483	1085.7341320363414	1036.2526168321292	1219.009751835915	1264.260570428276	1271.884498942984
BRDN0007693658	Zfp984	393.39829032042474	433.71148974105864	388.1886762114089	350.6513804466947	394.95738385435936	404.27098007041144
BRDN0007693657	Zfp983	958.5472360944929	890.1273393477566	998.354140772438	745.9611914219778	855.410213272507	660.8630633114489
BRDN0007693656	Zfp983	1204.8807449867213	1284.251740092316	1224.1207767280273	1534.9267974270408	1415.0985662721519	1412.1794509308893
BRDN0007693655	Zfp983	679.1241513809201	639.7972177522462	604.7513965525018	430.04414583085196	514.0400121521561	548.2579044790511
BRDN0007693654	Zfp983	944.8912206761603	916.3246776542635	920.3915614496445	914.6708178633121	932.8139216660749	887.9193671866115
BRDN0007693653	Zfp983	1111.9147938696117	1109.6028180489366	1045.4565324466257	889.860578680763	907.0126855348856	919.3011327628534
BRDN0007693652	Zfp983	1647.125551995797	1674.3009993225298	1633.9657249735453	1969.9329910944027	1861.65842238889	2060.120610769768
BRDN0007693651	Zfp973	495.29317459567494	473.29857873755793	473.73095074614054	368.84555584723074	428.69746187206846	433.80675943628626
BRDN0007693650	Zfp973	285.7258610604954	300.97830898809036	318.34719890140644	304.33893397260294	254.04294036863317	228.90229008552978
BRDN0007693649	Zfp973	400.75152939183454	370.25571473196413	356.2456749610977	388.69374719327004	383.0491210245797	367.35125586306793
BRDN0007693648	Zfp973	1214.3349095071055	1266.786847887978	1095.265958125077	1146.2330502337709	1188.841572506338	1249.7326644185778
BRDN0007693647	Zfp973	1574.1183926439423	1487.426652736114	1527.3085852055572	1587.8553076831458	1544.1047469280984	1572.7802512328335
BRDN0007693646	Zfp973	867.1569790641138	787.6666384156407	778.5429796262288	817.0838770786187	855.410213272507	869.4595050829397
BRDN0007693645	Zfp968	1190.1742668439017	1243.5003249488607	1292.879440436324	1094.9585559231693	934.7986321377049	932.2230362354237
BRDN0007693644	Zfp968	414.93277617241057	448.26556657800694	460.737187525675	482.9726560869568	506.10117026563637	535.336001006481
BRDN0007693643	Zfp968	981.1321846709658	940.1933636668587	1012.9721243954617	1043.6840616125676	970.523420627044	1057.7500985403917
BRDN0007693642	Zfp968	498.96979413137984	467.4769480027786	493.76300237769163	509.4369112150093	519.994143567046	516.8761389028092
BRDN0007693641	Zfp968	574.0778789322086	502.9888954849324	526.7888172297083	716.1889044029189	658.9238765811423	662.709049521816
