id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Kdsr	6	6.1981e-08	3.2146e-06	4.4e-05	1	6	-1.2693	0.99995	1.0	1.0	1008	0	-1.2693
Sys1	6	2.0599e-07	3.2146e-06	4.4e-05	2	6	-1.5661	0.99968	1.0	1.0	982	0	-1.5661
Fitm2	6	7.9876e-07	3.2146e-06	4.4e-05	3	6	-1.2322	1.0	1.0	1.0	1021	0	-1.2322
Elob	6	9.9229e-07	3.2146e-06	4.4e-05	4	6	-1.5905	1.0	1.0	1.0	1020	0	-1.5905
Ptpn2	6	4.0211e-06	3.2146e-06	4.4e-05	5	6	-1.6585	0.99983	1.0	1.0	994	0	-1.6585
Azin1	6	7.2827e-06	3.2146e-06	4.4e-05	6	6	-1.5897	0.99999	1.0	1.0	1017	0	-1.5897
Gtpbp4	6	7.4302e-06	3.2146e-06	4.4e-05	7	6	-1.0388	0.99999	1.0	1.0	1019	0	-1.0388
Rnaseh2b	6	7.7638e-06	3.2146e-06	4.4e-05	8	6	-1.5725	0.99983	1.0	1.0	993	0	-1.5725
Zfp592	6	8.9322e-06	3.2146e-06	4.4e-05	9	6	-1.2536	0.99999	1.0	1.0	1018	0	-1.2536
Ndufaf8	6	1.1896e-05	3.2146e-06	4.4e-05	10	5	-1.4761	0.99417	0.99976	1.0	915	0	-1.4761
Bcs1l	6	1.2622e-05	3.2146e-06	4.4e-05	11	6	-1.1423	0.99999	1.0	1.0	1016	0	-1.1423
Aldoa	6	1.387e-05	3.2146e-06	4.4e-05	12	6	-1.1745	0.99999	1.0	1.0	1015	0	-1.1745
Rcor1	6	1.8766e-05	3.2146e-06	4.4e-05	13	6	-1.1303	0.99997	1.0	1.0	1012	0	-1.1303
Tmx2	6	1.9827e-05	3.2146e-06	4.4e-05	14	6	-1.2023	0.99998	1.0	1.0	1014	0	-1.2023
Gale	6	2.3863e-05	3.2146e-06	4.4e-05	15	6	-1.3814	0.99998	1.0	1.0	1013	0	-1.3814
Dhdds	6	3.3823e-05	3.2146e-06	4.4e-05	16	6	-1.3792	0.99997	1.0	1.0	1011	0	-1.3792
Rps10	6	3.5304e-05	3.2146e-06	4.4e-05	17	6	-1.3115	0.99996	1.0	1.0	1010	0	-1.3115
Dnlz	6	3.6065e-05	3.2146e-06	4.4e-05	18	6	-1.1159	0.99996	1.0	1.0	1009	0	-1.1159
Ruvbl1	6	4.7029e-05	3.2146e-06	4.4e-05	19	6	-1.0435	0.99995	1.0	1.0	1007	0	-1.0435
Nsmce4a	6	4.8362e-05	3.2146e-06	4.4e-05	20	5	-1.5368	0.8478	0.91886	1.0	714	0	-1.5368
Pcyt2	6	6.0586e-05	3.2146e-06	4.4e-05	21	5	-0.95095	0.74286	0.84057	1.0	623	1	-0.95095
Eif2b2	6	6.1939e-05	3.2146e-06	4.4e-05	22	6	-1.3928	0.99993	1.0	1.0	1004	0	-1.3928
Pdss1	6	6.3046e-05	3.2146e-06	4.4e-05	23	6	-0.92312	0.99994	1.0	1.0	1006	0	-0.92312
Uba3	6	6.4279e-05	3.2146e-06	4.4e-05	24	6	-0.94933	0.99994	1.0	1.0	1005	0	-0.94933
Xrcc3	6	6.4367e-05	3.2146e-06	4.4e-05	25	6	-1.4191	0.99957	1.0	1.0	980	0	-1.4191
Lamtor2	6	7.996e-05	3.2146e-06	4.4e-05	26	6	-1.007	0.99992	1.0	1.0	1003	0	-1.007
Setdb1	6	8.6906e-05	3.2146e-06	4.4e-05	27	6	-0.9919	0.99991	1.0	1.0	1002	0	-0.9919
Chic2	6	9.1393e-05	3.2146e-06	4.4e-05	28	6	-0.87	0.99991	1.0	1.0	1001	0	-0.87
Dohh	6	9.3042e-05	3.2146e-06	4.4e-05	29	6	-1.3037	0.99983	1.0	1.0	992	0	-1.3037
Rpl13a	6	0.00010231	3.2146e-06	4.4e-05	30	6	-1.1974	0.9999	1.0	1.0	1000	0	-1.1974
Usp9x	6	0.00010323	3.2146e-06	4.4e-05	31	6	-0.70243	0.9999	1.0	1.0	999	0	-0.70243
Eed	6	0.00011941	3.2146e-06	4.4e-05	32	6	-0.8324	0.99988	1.0	1.0	998	0	-0.8324
Psma6	6	0.00012673	3.2146e-06	4.4e-05	33	5	-1.394	0.98816	0.99903	1.0	889	0	-1.394
Ptma	6	0.00013013	3.2146e-06	4.4e-05	34	6	-1.0788	0.99825	1.0	1.0	955	0	-1.0788
Aurkaip1	6	0.00013532	3.2146e-06	4.4e-05	35	6	-0.88409	0.99986	1.0	1.0	997	0	-0.88409
Polrmt	6	0.00014362	3.2146e-06	4.4e-05	36	6	-1.1033	0.99986	1.0	1.0	996	0	-1.1033
Shoc2	6	0.00014922	3.2146e-06	4.4e-05	37	6	-1.0409	0.9993	1.0	1.0	970	0	-1.0409
Rpl37	6	0.00016081	3.2146e-06	4.4e-05	38	6	-1.2692	0.99984	1.0	1.0	995	0	-1.2692
