id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Ptpn2	6	1.0637e-16	3.2146e-06	0.00099	1	6	-1.8595	1.0	1.0	1.0	1021	0	-1.8595
Stub1	6	7.5999e-15	3.2146e-06	0.00099	2	6	-1.0734	1.0	1.0	1.0	1020	0	-1.0734
Chic2	6	2.9952e-12	3.2146e-06	0.00099	3	6	-0.91688	1.0	1.0	1.0	1019	0	-0.91688
Socs1	6	1.4856e-09	3.2146e-06	0.00099	4	5	-1.0088	0.99519	0.99497	1.0	1004	0	-1.0088
Usp22	6	8.4271e-08	3.2146e-06	0.00099	5	5	-0.5788	0.89023	0.89741	1.0	868	0	-0.5788
Fitm2	6	2.4787e-06	9.6438e-06	0.002475	6	6	-0.72199	1.0	1.0	1.0	1018	0	-0.72199
Kdsr	6	2.0913e-05	7.3936e-05	0.016266	7	5	-0.49437	0.99957	0.99966	1.0	1013	0	-0.49437
Ccdc71l	6	3.9907e-05	0.00013823	0.024752	8	6	-0.34629	0.99996	0.99997	1.0	1017	0	-0.34629
Kat6a	6	4.247e-05	0.00014466	0.024752	9	4	-0.60596	0.19038	0.26376	1.0	272	1	-0.60596
Atg12	6	4.8889e-05	0.0001768	0.027228	10	5	-0.43734	0.91561	0.92577	1.0	897	0	-0.43734
Smg9	6	6.4031e-05	0.00021538	0.028561	11	6	-0.42152	0.99994	0.99995	1.0	1016	0	-0.42152
Rcor1	6	7.4348e-05	0.0002411	0.028561	12	5	-0.49069	0.99988	0.99992	1.0	1015	0	-0.49069
Tmem185b	6	7.9643e-05	0.0002411	0.028561	13	3	-0.31179	0.99303	0.99335	1.0	1000	0	-0.31179
Ufsp2	6	0.00024899	0.00062685	0.068953	14	5	-0.41284	0.96993	0.97079	1.0	964	0	-0.41284
Selenbp1	6	0.00028667	0.000749	0.076898	15	4	-0.26027	0.39768	0.49435	1.0	459	1	-0.26027
Xrcc5	7	0.00044829	0.0010319	0.099319	16	6	-0.271	0.60996	0.66148	1.0	598	1	-0.271
Rap2c	6	0.00047944	0.001199	0.105336	17	5	-0.3153	0.67236	0.66437	1.0	645	1	-0.3153
Ppp6r3	6	0.00051143	0.0012312	0.105336	18	3	-0.25083	0.48785	0.5542	1.0	516	1	-0.25083
Xrn1	6	0.00056853	0.0013984	0.11334	19	4	-0.26002	0.98282	0.98489	1.0	981	0	-0.26002
B4galt1	6	0.00079414	0.0015784	0.121535	20	5	-0.35712	0.71929	0.69762	1.0	687	1	-0.35712
Mef2c	6	0.00095975	0.0020284	0.148751	21	4	-0.40403	0.94441	0.9477	1.0	931	0	-0.40403
Prmt7	6	0.0010153	0.0021763	0.15234	22	5	-0.37367	0.99964	0.99969	1.0	1014	0	-0.37367
Sdhaf3	6	0.0010416	0.0022856	0.153035	23	5	-0.30432	0.98112	0.98358	1.0	978	0	-0.30432
Aebp2	6	0.0011958	0.0026135	0.167698	24	5	-0.20562	0.96329	0.96668	1.0	953	0	-0.20562
Cdk6	6	0.0012183	0.0029349	0.180792	25	4	-0.36211	0.98164	0.98435	1.0	979	0	-0.36211
Fbxl5	6	0.0014279	0.0037836	0.224105	26	4	-0.25068	0.99933	0.99947	1.0	1012	0	-0.25068
Pou2af1	6	0.0017152	0.0045165	0.248762	27	5	-0.25381	0.99728	0.99775	1.0	1006	0	-0.25381
Txndc15	6	0.0017258	0.004523	0.248762	28	3	-0.154	0.59096	0.61482	1.0	581	1	-0.154
Bmi1	6	0.002144	0.0051144	0.271594	29	4	-0.28034	0.88947	0.89741	1.0	866	0	-0.28034
Tecr	6	0.00228	0.0057895	0.287608	30	3	-0.36559	0.99833	0.99862	1.0	1007	0	-0.36559
Keap1	6	0.0023087	0.0057895	0.287608	31	4	-0.2998	0.9953	0.99529	1.0	1005	0	-0.2998
Tial1	6	0.0026848	0.0062846	0.302444	32	3	-0.1982	0.9781	0.98142	1.0	974	0	-0.1982
Prpf39	6	0.002957	0.006696	0.312481	33	4	-0.35775	0.98036	0.98358	1.0	977	0	-0.35775
Clcc1	6	0.0031038	0.007654	0.332096	34	4	-0.34955	0.97487	0.97702	1.0	969	0	-0.34955
Dhdds	6	0.0033024	0.0077568	0.332096	35	4	-0.48978	0.88634	0.8974	1.0	860	0	-0.48978
Sptssa	6	0.0033833	0.0077633	0.332096	36	3	-0.27707	0.18931	0.26376	1.0	271	2	-0.27707
Eif3k	6	0.0046429	0.0099942	0.415975	37	4	-0.31184	0.72462	0.70056	1.0	694	1	-0.31184
Baz1b	6	0.0055433	0.012161	0.468441	38	4	-0.32174	0.96347	0.96669	1.0	954	0	-0.32174
Sec11a	6	0.0058194	0.012167	0.468441	39	4	-0.28646	0.99899	0.99915	1.0	1010	0	-0.28646
Zpld2	6	0.0058428	0.012167	0.468441	40	4	-0.23048	0.39831	0.49435	1.0	460	1	-0.23048
Cldn15	6	0.0088218	0.018886	0.676606	41	4	-0.14554	0.94919	0.95072	1.0	937	0	-0.14554
Siglec1	6	0.0088848	0.018892	0.676606	42	4	-0.21205	0.59871	0.62332	1.0	588	1	-0.21205
Rp1	6	0.01006	0.020345	0.712084	43	2	-0.025183	0.76832	0.75173	1.0	732	1	-0.025183
Ube2f	6	0.010924	0.022165	0.758526	44	4	-0.2062	0.90607	0.91946	1.0	887	0	-0.2062
Elovl1	6	0.013903	0.028536	0.906518	45	3	-0.19304	0.99856	0.99877	1.0	1009	0	-0.19304
Ccdc134	6	0.014237	0.028787	0.906518	46	2	-0.077993	0.98681	0.98788	1.0	988	0	-0.077993
Hdac7	5	0.014604	0.023573	0.789173	47	3	-0.24182	0.74429	0.73367	1.0	711	0	-0.24182
Vmn1r60	6	0.014926	0.0297	0.906518	48	4	-0.20114	0.81597	0.81394	1.0	787	0	-0.20114
Eed	6	0.015348	0.030735	0.906518	49	2	-0.13173	0.65798	0.65862	1.0	631	1	-0.13173
Kdelr2	6	0.01571	0.031429	0.906518	50	4	-0.22793	0.94	0.94197	1.0	925	0	-0.22793
Prr23a2	6	0.016042	0.031436	0.906518	51	4	-0.15911	0.64715	0.65035	1.0	626	1	-0.15911
Phf23	6	0.016789	0.032072	0.906518	52	3	-0.12652	0.88507	0.89587	1.0	857	0	-0.12652
Cd200r4	6	0.017382	0.033872	0.906518	53	3	-0.10352	0.18059	0.26014	1.0	264	1	-0.10352
Unc50	6	0.017668	0.034747	0.906518	54	4	-0.19238	0.77565	0.76287	1.0	740	1	-0.19238
Sarnp	6	0.017682	0.034747	0.906518	55	2	-0.082488	0.92819	0.93295	1.0	914	0	-0.082488
Gstm1	6	0.018289	0.035312	0.906518	56	2	0.080899	0.13619	0.2218	1.0	232	2	0.080899
Skor1	6	0.018442	0.035319	0.906518	57	3	-0.15464	0.88587	0.8974	1.0	859	0	-0.15464
Arxes2	6	0.018905	0.035319	0.906518	58	2	0.061443	0.87171	0.87701	1.0	839	0	0.061443
Zfp316	6	0.018926	0.035319	0.906518	59	3	-0.16833	0.11892	0.18612	1.0	215	1	-0.16833
Pcdha4	6	0.019881	0.037492	0.916627	60	3	-0.17835	0.97636	0.97895	1.0	973	0	-0.17835
Zdhhc8	6	0.020004	0.037498	0.916627	61	2	0.016481	0.84906	0.84755	1.0	819	0	0.016481
Rimklb	1	0.020074	0.016796	0.630886	62	1	-0.51347	0.97993	0.9832	1.0	975	0	-0.51347
Tacstd2	6	0.021571	0.039459	0.949489	63	2	0.18836	0.021792	0.035988	0.69276	75	3	0.18836
Vmn2r50	6	0.022956	0.041041	0.972353	64	2	0.0014554	0.7223	0.70056	1.0	690	1	0.0014554
Sp9	6	0.023808	0.043092	1.0	65	3	-0.09477	0.41953	0.51415	1.0	477	1	-0.09477
Med15	6	0.025087	0.0436	1.0	66	3	-0.26629	0.20647	0.29092	1.0	283	1	-0.26629
Mid1ip1	6	0.027177	0.046287	1.0	67	3	-0.097335	0.80755	0.80175	1.0	777	0	-0.097335
Rd3l	6	0.027257	0.046294	1.0	68	1	-0.064261	0.46873	0.53979	1.0	506	1	-0.064261
Ufc1	6	0.027764	0.046891	1.0	69	3	-0.15951	0.92388	0.92992	1.0	906	0	-0.15951
Lrp2	6	0.030906	0.058413	1.0	70	2	-0.1026	0.73406	0.70898	1.0	703	1	-0.1026
Chordc1	6	0.031032	0.058413	1.0	71	2	0.026997	0.31854	0.41122	1.0	383	2	0.026997
Rpia	6	0.031124	0.058413	1.0	72	3	-0.15147	0.50962	0.56802	1.0	533	1	-0.15147
Ddx17	6	0.031679	0.058419	1.0	73	2	-0.12522	0.96903	0.97078	1.0	962	0	-0.12522
Casp8	6	0.031974	0.058419	1.0	74	1	0.0012467	0.92136	0.92887	1.0	902	0	0.0012467
Itpk1	6	0.032656	0.06083	1.0	75	2	-0.10805	0.96545	0.96885	1.0	956	0	-0.10805
Vmn1r149	6	0.032834	0.06083	1.0	76	3	-0.14638	0.60231	0.62333	1.0	591	1	-0.14638
