sgRNA	Gene	NoCAR_T_rep1	NoCAR_T_rep2	NoCAR_T_rep3	amCD19_1to10rep1	amCD19_1to10rep2	amCD19_1to10rep3
BRDN0007693687	Zscan4f	385.1765947209261	424.5360463340865	389.18926851659046	536.3101462266246	498.3399188461515	537.0061462009797
BRDN0007693686	Zscan4f	465.0059407770766	466.688561572932	470.35185466452265	448.45046356833797	455.6250686593385	497.9884912188818
BRDN0007693685	Zscan4f	191.59043053476117	139.5047528142743	165.25875974699443	154.66964967969207	181.81192643617834	176.60622781370654
BRDN0007693684	Zscan4f	279.4027111965267	270.98045510686376	325.62820707543875	243.44453736566916	284.7656679120866	302.90021630839203
BRDN0007693683	Zscan4f	203.56483244318375	163.59190437932884	220.0190588347559	217.81879659033558	186.1929367117489	214.59710240153876
BRDN0007693682	Zscan4f	541.8416863561215	574.0771123004669	492.84269178985323	639.7283143556494	708.6284120735385	641.7377464160847
BRDN0007693681	Zscan4c	255.45390737968157	218.7916267159122	251.31065831347675	203.1755161472878	261.7653639653411	193.0347141219583
BRDN0007693680	Zscan4c	449.0400715658465	376.3617432039774	438.08239270209174	489.6346898144098	418.38648131698875	440.48878914000056
BRDN0007693679	Zscan4c	394.15739615224305	408.47794529071683	403.85720577224083	533.5645311435532	564.05507297971	495.93493043035033
BRDN0007693678	Zscan4c	193.58616418616495	213.77347013985917	223.930508769596	214.15797647957365	224.52677662299135	188.92759254489536
BRDN0007693677	Zscan4c	403.13819758356	409.48157660592744	428.3037678649915	397.19898201767074	380.05264140574633	382.9890870611194
BRDN0007693676	Zscan4c	437.06566965742394	392.4198442473471	431.2373553161216	309.33929935938414	255.19384855198527	263.8825613262941
BRDN0007694815	Zscan26	416.1104663176844	409.48157660592744	392.1228559677205	482.31304959288593	452.3393109526606	417.89962046615443
BRDN0007694814	Zscan26	1046.7623001612733	1088.939977003508	1126.4975812339503	877.6816215551758	875.1068025452199	942.5844019359453
BRDN0007694813	Zscan26	238.4901713427496	239.86788433533494	225.88623373701606	268.1550731133123	253.0033434142	272.09680448041996
BRDN0007694812	Zscan26	1014.8305617388131	1023.7039415148186	1039.467820183758	1099.1612382562732	1072.2522649458951	1107.8960454127287
BRDN0007694811	Zscan26	692.5195770371055	637.3058851587351	644.4113767649073	768.7722232600079	787.4865970338086	792.6744643731479
BRDN0007694810	Zscan26	669.5686400459622	656.3748801477366	691.3487759829885	662.6084400479116	661.532551611155	707.4516916490919
BRDN0007694929	Zpld2	499.9312796766424	473.71398077940626	518.2671163663139	389.8773417961469	418.38648131698875	357.319577204476
BRDN0007694928	Zpld2	454.0294056943559	452.6377231599835	481.1083419853329	580.2399875557679	558.5788101352467	571.9166796060148
BRDN0007694927	Zpld2	814.259329772735	713.5818651147412	900.6113474969342	651.6259797156257	653.8657836289065	713.6123740146862
BRDN0007694926	Zpld2	473.98674220839354	507.8374454965669	503.5991791106635	464.0089490390762	427.14850186812987	397.3640125808397
BRDN0007694925	Zpld2	775.3425235703617	861.1156684507004	772.5113621309207	658.9476199371496	663.7230567489403	684.8625229752457
BRDN0007694924	Zpld2	664.5793059174529	658.3821427781578	722.6403754617094	622.3394188295302	662.6278041800476	648.9252091759449
BRDN0007693675	Zmiz1	741.4150514964977	740.6799106254275	749.0426625218802	626.0002389402922	641.8180053710875	640.710966021819
BRDN0007693674	Zmiz1	723.4534486338638	622.251415430576	600.4075649979561	650.7107746879353	642.9132579399801	623.2556993193016
BRDN0007693673	Zmiz1	336.28112026153394	331.1983340195001	325.62820707543875	291.03519880557445	294.62294103212037	267.989682903357
BRDN0007693672	Zmiz1	210.54990022309693	214.77710145506978	240.55417099266646	270.9006881963837	268.33687937869695	265.93612211482554
BRDN0007693671	Zmiz1	232.5029703885383	299.0821319327607	265.0007330854171	189.44744073193053	162.0973801961108	175.57944741944078
BRDN0007693670	Zmiz1	248.4688395997684	274.99498036770615	299.22592001526806	158.330469790454	139.09707624936536	146.8295963800002
BRDN0007693669	Zfpm2	414.11473266628064	389.4089503017153	431.2373553161216	499.70194511900513	495.0541611394736	497.9884912188818
BRDN0007693668	Zfpm2	480.9718099883067	439.5905160622456	442.9717051206419	499.70194511900513	463.291836641587	457.9440558425181
BRDN0007693667	Zfpm2	301.3557813619681	265.9622985308107	272.8236329550973	306.5936842763127	355.9570848901082	352.1856752331473
BRDN0007693666	Zfpm2	247.47097277406652	267.9695611612319	260.111420666867	267.2398680856218	223.4315240540987	228.97202792125904
BRDN0007693665	Zfpm2	733.4321168908826	706.5564459082669	774.4670870983408	690.0645908786262	674.6755824378666	654.0591111472736
BRDN0007693664	Zfpm2	380.1872605924167	414.49973318198045	419.50300551160126	329.4738099685748	319.8137501166511	353.2124556274131
BRDN0007693663	Zfp984	342.26832121574523	329.1910713890789	373.54346877723003	400.8598021284327	363.6238528723567	358.34635759874175
BRDN0007693662	Zfp984	340.27258756434145	394.4271068777683	320.7388946568886	357.8451658269799	389.9099145257801	391.2033302152453
BRDN0007693661	Zfp984	354.2427231241678	323.1692834978153	341.2740068147992	434.72238815298067	450.1488058148753	422.00674204321734
BRDN0007693660	Zfp984	272.41764341661354	225.81704592238646	268.9121830202572	366.99721610388474	377.86213626796103	369.64094193566484
BRDN0007693659	Zfp984	615.6838314580607	612.2151022784699	569.1159655192353	674.5061054078878	697.6758863846121	707.4516916490919
BRDN0007693658	Zfp984	256.45177420538346	282.02039957418043	255.22210824831686	194.02346587038295	217.9552612096355	224.8649063441961
BRDN0007693657	Zfp983	418.1061999690882	482.7466626163017	481.1083419853329	412.757467488409	472.0538571927281	367.5873811471334
BRDN0007693656	Zfp983	618.6774319351663	625.2623093762078	665.9243514065279	849.3102656967707	780.9150816204528	785.4870016132878
BRDN0007693655	Zfp983	283.39417849933426	313.1329703457092	271.8457704713873	237.95330719952625	283.67041534319395	304.9537770969235
BRDN0007693654	Zfp983	482.96754363971047	502.8192889205138	476.2190295667828	506.10838031283856	514.7687073795411	493.8813696418188
BRDN0007693653	Zfp983	597.7222285954268	692.5056074953185	615.0755022536065	492.38030489748127	500.53042398393677	511.33663634433634
BRDN0007693652	Zfp983	1015.828428564515	1025.71120414524	1005.242633253907	1090.0091879793683	1027.3469096212968	1145.886920000561
BRDN0007693651	Zfp973	248.4688395997684	212.76983882464856	256.1999707320269	204.09072117497828	236.57455488081038	241.29339265244786
BRDN0007693650	Zfp973	181.61176227774237	180.65363673790915	198.50608419313534	168.39772509504937	140.192328818258	127.32076888895122
BRDN0007693649	Zfp973	205.5605660945875	270.98045510686376	209.26257151394563	215.0731815072641	211.38374579627964	204.3292984588814
BRDN0007693648	Zfp973	654.600637660434	599.1678951807321	634.632751927807	634.2370841895065	656.0562887666918	695.1303269179031
BRDN0007693647	Zfp973	897.0822763059912	926.3517039393897	994.4861459330967	878.5968265828662	852.1064985984744	874.8168959144068
BRDN0007693646	Zfp973	466.00380760277847	479.73576867066987	454.7060549251622	452.11128367909987	472.0538571927281	483.6135656991615
BRDN0007693645	Zfp968	716.4683808539506	781.8287945490624	750.9983874893002	605.8657283311014	515.8639599484337	518.5240991041965
BRDN0007693644	Zfp968	244.47737229696088	273.99134905249554	264.0228706017071	267.2398680856218	279.28940506762336	297.76631433706336
BRDN0007693643	Zfp968	551.8203546131402	587.1243193982048	566.1823780681052	577.4943724726965	535.5785061885013	588.3451659142665
