sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
BRDN0007691882	Jak2	791.31/773.8/784.25	2714.5/2993.3/2908.9	784.25	2908.9	1.8897	79.5	2182.1	45.482	1	0	0	0	True
BRDN0007691846	Ifngr1	913.05/891.22/892.79	2859.1/3189.4/3162.5	892.79	3162.5	1.8235	206.45	2502.1	45.375	1	0	0	0	True
BRDN0007696961	Jak1	679.55/630.28/656.15	2472.9/2566.2/2555.7	656.15	2555.7	1.96	608.32	1807.7	44.676	1	0	0	0	True
BRDN0007693224	Stat1	719.46/717.6/670.81	2260.6/2332.9/2300	717.6	2300	1.679	1096.1	1986.8	35.5	1	2.4313e-276	4.8626e-276	7.5407e-273	True
BRDN0007693222	Stat1	564.79/628.27/543.69	1947.6/1855.4/1841	564.79	1855.4	1.7141	2237.5	1543.2	32.852	1	5.3119e-237	1.0624e-236	1.318e-233	True
BRDN0007696959	Jak1	371.21/384.39/397.99	1513.7/1377.8/1437.5	384.39	1437.5	1.9002	179.38	1028.5	32.838	1	8.4235e-237	1.6847e-236	1.7417e-233	True
BRDN0007691884	Jak2	937/913.3/915.28	2545.2/2636.3/2578.2	915.28	2578.2	1.4931	237.78	2568.7	32.812	1	2.0158e-236	4.0317e-236	3.5726e-233	True
BRDN0007696962	Jak1	592.73/599.17/600.41	1996.1/1928.7/1868.7	599.17	1928.7	1.685	21.473	1642.5	32.806	1	2.3812e-236	4.7624e-236	3.6927e-233	True
BRDN0007691886	Jak2	514.9/495.79/481.11	1613.5/1658.2/1637.7	495.79	1637.7	1.7218	290.34	1345.1	31.136	1	3.8974e-213	7.7948e-213	5.3723e-210	True
BRDN0007691883	Jak2	401.14/409.48/430.26	1382.9/1302.3/1380	409.48	1380	1.7503	250.63	1099.4	29.271	1	1.2293e-188	2.4587e-188	1.5251e-185	True
BRDN0007691885	Jak2	454.03/456.65/433.19	1448.8/1451.2/1485.8	454.03	1451.2	1.6742	220.52	1225.8	28.481	1	1.0039e-178	2.0079e-178	1.1323e-175	True
BRDN0007696960	Jak1	649.61/566.05/599.43	1743.5/1732.7/1638.7	599.43	1732.7	1.5298	1816.3	1643.3	27.956	1	2.7767e-172	5.5535e-172	2.8707e-169	True
BRDN0007693221	Stat1	446.05/443.61/480.13	1380.1/1394.3/1445.7	446.05	1394.3	1.642	583.84	1203.1	27.337	1	7.7193e-165	1.5439e-164	7.3666e-162	True
BRDN0007696958	Jak1	1073.7/1173.2/1084.4	2573.6/2596.8/2711.7	1084.4	2596.8	1.259	4000	3072.5	27.285	1	3.2219e-164	6.4439e-164	2.8551e-161	True
BRDN0007691887	Jak2	246.47/243.88/217.09	897.82/892.63/857.36	243.88	892.63	1.8676	362.39	636.71	25.71	1	4.4911e-146	8.9821e-146	3.7144e-143	True
BRDN0007691848	Ifngr1	400.14/356.29/406.79	1228.2/1133.6/1274.2	400.14	1228.2	1.6155	983.74	1072.9	25.28	1	2.6637e-141	5.3275e-141	2.0654e-138	True
BRDN0007696169	Tsc2	1095.7/1322.8/1162.7	2460.1/2615.5/2743.6	1162.7	2615.5	1.1689	15063	3307.1	25.263	1	4.102e-141	8.204e-141	2.9935e-138	True
BRDN0007693225	Stat1	674.56/653.36/692.33	1740.7/1803.9/1711.6	674.56	1740.7	1.3664	382.46	1861.3	24.712	1	3.9335e-135	7.8671e-135	2.7111e-132	True
BRDN0007690780	Irf1	614.69/612.22/637.57	1579.6/1467.6/1468.3	614.69	1468.3	1.2549	264.81	1687.4	20.78	1	3.2726e-96	6.5452e-96	2.1368e-93	True
BRDN0007690783	Irf1	611.69/604.19/573.03	1459.8/1366.9/1422.1	604.19	1422.1	1.2336	513.6	1657	20.093	1	4.2696e-90	8.5391e-90	2.6484e-87	True
BRDN0007690781	Irf1	563.79/652.36/565.2	1303.3/1408.5/1351.2	565.2	1351.2	1.256	3799.1	1544.4	20.001	1	2.6778e-89	5.3557e-89	1.582e-86	True
BRDN0007696957	Jak1	368.21/427.55/404.84	914.29/1044.9/993.92	404.84	993.92	1.2937	928.51	1086.2	17.874	1	9.3864e-72	1.8773e-71	5.2931e-69	True
BRDN0007691847	Ifngr1	408.13/434.57/486	1045.2/997.78/1029.9	434.57	1029.9	1.2429	1671.9	1170.5	17.4	1	4.1504e-68	8.3008e-68	2.2387e-65	True
BRDN0007690782	Irf1	847.19/837.03/828.25	1685.8/1634.1/1668.5	837.03	1668.5	0.99436	90.152	2337.4	17.198	1	1.3645e-66	2.7289e-66	7.0532e-64	True
BRDN0007695731	Nprl3	1146.5/1151.2/1229.2	2167.2/2132.5/2084.4	1151.2	2132.5	0.88885	3053.3	3272.5	17.154	1	2.9445e-66	5.889e-66	1.4612e-63	True
BRDN0007696167	Tsc2	1520.7/1664/1590	2774/2689.9/2749.7	1590	2749.7	0.78987	5137.4	4603.2	17.093	1	8.3549e-66	1.671e-65	3.9866e-63	True
BRDN0007691849	Ifngr1	163.65/155.56/176.02	507.02/460.01/512.36	163.65	507.02	1.6255	109.15	418.28	16.789	1	1.4612e-63	2.9224e-63	6.714e-61	True
BRDN0007690778	Irf1	568.78/673.44/641.48	1321.6/1302.3/1478.6	641.48	1321.6	1.0416	3152.9	1765.1	16.187	1	3.1024e-59	6.2048e-59	1.3746e-56	True
BRDN0007695725	Nprl2	1386/1426.2/1427.7	2565.3/2432.6/2457.1	1426.2	2457.1	0.78439	806.08	4103.5	16.093	1	1.4169e-58	2.8338e-58	6.0615e-56	True
BRDN0007692007	Lhx9	654.6/645.33/675.7	1228.2/1284.7/1274.2	654.6	1274.2	0.95987	265.58	1803.2	14.592	1	1.5837e-48	3.1673e-48	6.549e-46	True
BRDN0007696162	Tsc1	542.84/593.15/564.23	1097.3/1135.8/1236.2	564.23	1135.8	1.008	646.87	1541.6	14.557	1	2.6417e-48	5.2834e-48	1.0572e-45	True
BRDN0007692704	Ptpn2	753.39/708.56/755.89	88.775/117.19/97.544	753.39	97.544	-2.9365	1007.8	2091.6	14.34	6.1099e-47	1	1.222e-46	2.3687e-44	False
BRDN0007695114	Stub1	921.03/966.5/1039.5	278.22/295.72/312.14	966.5	295.72	-1.7052	3695.9	2720.7	12.86	3.7825e-38	1	7.565e-38	1.422e-35	False
BRDN0007696163	Tsc1	739.42/738.67/770.56	1244.7/1315.4/1404.6	739.42	1315.4	0.83018	485.01	2050.7	12.719	1	2.3136e-37	4.6273e-37	8.442e-35	True
BRDN0007691248	Cnot8	581.76/602.18/482.09	1107.4/973.68/1076.1	581.76	1076.1	0.88614	5175.6	1592.2	12.388	1	1.5167e-35	3.0334e-35	5.3761e-33	True
BRDN0007695608	Lmnb2	561.8/605.19/585.74	1109.2/1075.5/1020.6	585.74	1075.5	0.87561	475.73	1603.7	12.231	1	1.063e-34	2.1261e-34	3.6633e-32	True
BRDN0007691089	Caprin1	941.99/917.32/923.1	1544.9/1536.6/1624.4	923.1	1544.9	0.74229	195.03	2591.9	12.213	1	1.327e-34	2.654e-34	4.4493e-32	True
BRDN0007691597	Etv5	443.05/475.72/518.27	913.37/909.06/826.56	475.72	909.06	0.93282	1438.7	1287.7	12.076	1	7.0735e-34	1.4147e-33	2.3093e-31	True
BRDN0007696166	Tsc2	959.95/1033.7/1046.3	1655.6/1623.2/1674.7	1033.7	1655.6	0.67896	2801.7	2921	11.506	1	6.137e-31	1.2274e-30	1.9522e-28	True
BRDN0007696289	Zfp36l2	1063.7/1229.4/1135.3	1834.1/1768.8/1731.2	1135.3	1768.8	0.63927	6993.4	3224.9	11.156	1	3.3402e-29	6.6804e-29	1.036e-26	True
BRDN0007693149	Socs1	365.22/387.4/324.65	22.88/17.524/36.964	365.22	22.88	-3.9388	1068.9	974.45	10.967	2.7614e-28	1	5.5229e-28	8.3557e-26	False
BRDN0007692707	Ptpn2	522.88/576.08/574.98	141.86/152.24/133.48	574.98	141.86	-2.0115	1357.9	1572.6	10.922	4.525e-28	1	9.05e-28	1.3366e-25	False
BRDN0007696023	Snrpb2	931.01/905.28/833.14	1450.6/1464.4/1446.7	905.28	1450.6	0.67962	2933	2539.1	10.822	1	1.3502e-27	2.7005e-27	3.8956e-25	True
BRDN0007691246	Cnot8	391.16/417.51/387.23	781.59/738.2/695.13	391.16	738.2	0.91451	354.8	1047.6	10.722	1	4.0039e-27	8.0078e-27	1.1289e-24	True
BRDN0007696171	Tsc2	695.51/605.19/620.94	1051.6/1033.9/1074	620.94	1051.6	0.75906	2904.5	1705.5	10.427	1	9.3071e-26	1.8614e-25	2.5659e-23	True
BRDN0007691214	Chic2	696.51/720.61/785.22	256.26/278.19/243.35	720.61	256.26	-1.488	2377.9	1995.6	10.395	1.3132e-25	1	2.6265e-25	3.5417e-23	False
BRDN0007693383	Tpgs1	396.15/422.53/423.41	697.39/776.53/772.14	422.53	772.14	0.86827	348.23	1136.3	10.371	1	1.6749e-25	3.3499e-25	4.4211e-23	True
BRDN0007694753	Vmn2r99	320.32/332.2/430.26	639.73/509.29/647.9	332.2	639.73	0.94332	4878.3	881.82	10.356	1	1.9653e-25	3.9306e-25	5.0794e-23	True
BRDN0007691469	Dmxl1	914.05/864.13/956.35	1428.6/1338.4/1459.1	914.05	1428.6	0.64373	2140.8	2565	10.16	1	1.4886e-24	2.9771e-24	3.7688e-22	True
BRDN0007695113	Stub1	991.88/1020.7/1079.6	431.06/478.63/497.99	1020.7	478.63	-1.091	2147.8	2882.1	10.097	2.8412e-24	1	5.6824e-24	7.0496e-22	False
BRDN0007696161	Tsc1	736.43/659.39/753.93	1183.4/1239.8/1171.6	736.43	1183.4	0.68354	3120.8	2041.9	9.8907	1	2.2848e-23	4.5695e-23	5.5578e-21	True
