id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Jak2	6	1.3042e-15	3.2146e-06	0.00045	1	6	-1.7199	1.0	1.0	1.0	1021	0	-1.7199
Jak1	6	3.8002e-15	3.2146e-06	0.00045	2	6	-1.44	1.0	1.0	1.0	1020	0	-1.44
Tsc1	6	2.3477e-12	3.2146e-06	0.00045	3	6	-1.0935	1.0	1.0	1.0	1019	0	-1.0935
Irf1	6	3.0043e-12	3.2146e-06	0.00045	4	6	-1.0224	1.0	1.0	1.0	1018	0	-1.0224
Stat1	6	5.9556e-12	3.2146e-06	0.00045	5	6	-1.4315	1.0	1.0	1.0	1017	0	-1.4315
Ifngr1	6	1.0125e-10	3.2146e-06	0.00045	6	6	-1.6079	1.0	1.0	1.0	1016	0	-1.6079
Tsc2	6	1.1342e-10	3.2146e-06	0.00045	7	6	-1.2272	1.0	1.0	1.0	1015	0	-1.2272
Nprl3	6	7.0377e-09	3.2146e-06	0.00045	8	6	-0.47372	1.0	1.0	1.0	1014	0	-0.47372
Etv5	6	1.1464e-08	3.2146e-06	0.00045	9	6	-0.64673	1.0	1.0	1.0	1013	0	-0.64673
Cbfa2t3	6	6.643e-07	3.2146e-06	0.00045	10	5	-0.69514	0.99284	0.98964	1.0	998	0	-0.69514
Ints14	6	2.8146e-06	3.2146e-06	0.00045	11	5	-0.49995	0.66581	0.73911	1.0	779	1	-0.49995
Ccar1	6	1.4359e-05	5.4648e-05	0.007013	12	5	-0.5194	0.51493	0.6193	1.0	672	1	-0.5194
Nprl2	6	2.3443e-05	7.3936e-05	0.008133	13	4	-0.41654	0.69244	0.76048	1.0	802	1	-0.41654
Fam122a	6	2.6234e-05	7.3936e-05	0.008133	14	5	-0.59603	0.97126	0.95889	1.0	981	0	-0.59603
Ube2h	6	3.1728e-05	8.0365e-05	0.008251	15	6	-0.40299	0.99997	0.99994	1.0	1012	0	-0.40299
Rps25	6	5.501e-05	0.00015752	0.015161	16	6	-0.57145	0.99994	0.99992	1.0	1011	0	-0.57145
Cd19	6	0.00035912	0.0013662	0.123762	17	6	-0.40544	0.99964	0.9995	1.0	1010	0	-0.40544
Cnot9	6	0.00095183	0.0032307	0.276403	18	5	-0.38117	0.99897	0.99854	1.0	1007	0	-0.38117
Snn	6	0.0013907	0.0043365	0.340347	19	4	-0.21966	0.36989	0.50645	1.0	564	1	-0.21966
Dcp2	6	0.0014537	0.0044201	0.340347	20	4	-0.25994	0.90293	0.88747	1.0	913	1	-0.25994
Depdc5	6	0.0014861	0.0047287	0.34677	21	3	-0.20044	0.96165	0.9482	1.0	972	0	-0.20044
Becn2	6	0.0017415	0.0054488	0.381413	22	5	-0.39405	0.42015	0.55735	1.0	604	1	-0.39405
C1qtnf6	6	0.0020874	0.006291	0.421223	23	5	-0.29053	0.56697	0.65615	1.0	700	1	-0.29053
St8sia4	6	0.0024215	0.007789	0.462341	24	5	-0.38585	0.9327	0.91639	1.0	939	1	-0.38585
Slc35f2	6	0.0025793	0.008059	0.462341	25	5	-0.28022	0.99852	0.99795	1.0	1006	0	-0.28022
Rlim	6	0.0026096	0.0080654	0.462341	26	5	-0.37165	0.99925	0.99911	1.0	1009	0	-0.37165
Zfp36l2	6	0.0027737	0.0083998	0.462341	27	4	-0.24882	0.34036	0.46935	1.0	529	2	-0.24882
Ints13	6	0.0028013	0.0084062	0.462341	28	5	-0.32229	0.99664	0.99512	1.0	1003	0	-0.32229
Tmem161b	6	0.003217	0.009782	0.519461	29	5	-0.23516	0.94854	0.93876	1.0	955	0	-0.23516
Crygf	6	0.0055505	0.01913	0.950335	30	2	-0.021488	0.37186	0.50909	1.0	566	2	-0.021488
Gm7735	6	0.0058526	0.019998	0.962407	31	3	-0.39952	0.2925	0.39986	1.0	479	2	-0.39952
Gng3	6	0.0068145	0.022936	1.0	32	3	-0.21418	0.2417	0.33732	1.0	424	1	-0.21418
Tmem161a	6	0.0069412	0.023701	1.0	33	5	-0.23962	0.9734	0.96084	1.0	982	0	-0.23962
Ewsr1	6	0.0069964	0.023708	1.0	34	5	-0.20284	0.99742	0.99653	1.0	1004	0	-0.20284
Ppp5c	6	0.0074553	0.025199	1.0	35	5	-0.23713	0.97745	0.96463	1.0	985	0	-0.23713
Cdh19	6	0.0075476	0.025379	1.0	36	2	0.094314	0.13619	0.24193	1.0	291	3	0.094314
Adamts18	6	0.0075518	0.025379	1.0	37	3	-0.21451	0.58742	0.6672	1.0	717	2	-0.21451
Polg2	6	0.0086007	0.02862	1.0	38	5	-0.43249	0.99899	0.9986	1.0	1008	0	-0.43249
Tpgs1	6	0.0087073	0.028858	1.0	39	3	-0.20965	0.29919	0.41127	1.0	485	2	-0.20965
Ifne	6	0.009172	0.029815	1.0	40	4	-0.28229	0.094263	0.16583	1.0	222	1	-0.28229
Agpat5	6	0.0095984	0.030953	1.0	41	4	-0.37427	0.99091	0.98716	1.0	996	0	-0.37427
Dcaf15	6	0.010542	0.034798	1.0	42	4	-0.44711	0.96967	0.95769	1.0	979	0	-0.44711
Pramel44	6	0.011378	0.036598	1.0	43	2	0.058057	0.64345	0.71728	1.0	762	2	0.058057
Adam22	6	0.012256	0.038611	1.0	44	3	-0.14316	0.51863	0.6193	1.0	674	2	-0.14316
Ccl8	6	0.013032	0.039337	1.0	45	3	-0.18762	0.36461	0.49671	1.0	555	1	-0.18762
Oaf	6	0.014902	0.041671	1.0	46	3	-0.21452	0.0763	0.13354	1.0	190	1	-0.21452
Sptssa	6	0.01571	0.043118	1.0	47	4	-0.25485	0.54534	0.63729	1.0	690	1	-0.25485
Smtnl2	6	0.016659	0.044204	1.0	48	3	-0.17577	0.4021	0.54597	1.0	591	2	-0.17577
Cct5	6	0.018867	0.047901	1.0	49	4	-0.35896	0.94484	0.93402	1.0	952	0	-0.35896
Alg2	6	0.018921	0.047901	1.0	50	4	-0.37281	0.90251	0.88747	1.0	912	1	-0.37281
Selenbp2	6	0.01972	0.050357	1.0	51	3	-0.14731	0.53742	0.62937	1.0	685	2	-0.14731
Phf5a	6	0.020163	0.050363	1.0	52	3	-0.10031	0.60689	0.68583	1.0	735	2	-0.10031
Snrpb2	6	0.020483	0.051328	1.0	53	2	0.029029	0.34582	0.47658	1.0	535	1	0.029029
G3bp1	6	0.020644	0.051334	1.0	54	4	-0.25869	0.99381	0.99092	1.0	1000	0	-0.25869
Gm3776	1	0.021203	0.018924	0.950335	55	1	-0.55162	0.9788	0.98108	1.0	987	0	-0.55162
Pmm2	6	0.021368	0.052241	1.0	56	3	-0.17338	0.41211	0.54921	1.0	598	2	-0.17338
Rpia	6	0.022135	0.053019	1.0	57	3	-0.22196	0.4507	0.57961	1.0	624	2	-0.22196
Ccdc60	1	0.022493	0.02201	1.0	58	1	-0.72692	0.97751	0.97799	1.0	986	0	-0.72692
Coq10a	6	0.022619	0.053867	1.0	59	2	0.14094	0.096146	0.17489	1.0	227	3	0.14094
Fam181a	6	0.024351	0.057538	1.0	60	3	-0.16508	0.031032	0.049373	0.629679	115	1	-0.16508
Cnot8	6	0.025575	0.061602	1.0	61	4	-0.18917	0.9645	0.95121	1.0	975	0	-0.18917
Siva1	6	0.025641	0.061602	1.0	62	4	-0.22438	0.94967	0.93876	1.0	957	0	-0.22438
Tmem92	6	0.027942	0.063524	1.0	63	4	-0.21561	0.95882	0.94671	1.0	969	0	-0.21561
Slitrk3	6	0.028504	0.065684	1.0	64	4	-0.19192	0.32656	0.45852	1.0	515	1	-0.19192
Efnb1	6	0.028758	0.06569	1.0	65	4	-0.24123	0.072672	0.12485	0.974153	186	1	-0.24123
Srf	6	0.029573	0.066777	1.0	66	2	0.017153	0.52021	0.6193	1.0	675	2	0.017153
Maea	6	0.03009	0.068243	1.0	67	3	-0.14278	0.98374	0.9758	1.0	993	0	-0.14278
Rem1	6	0.030393	0.068886	1.0	68	3	-0.1202	0.68116	0.75209	1.0	791	2	-0.1202
Rplp1	6	0.031098	0.070615	1.0	69	2	0.14763	0.0019331	0.0035971	0.262151	19	2	0.14763
Cyp2b23	6	0.031124	0.07122	1.0	70	4	-0.26821	0.21283	0.30937	1.0	386	2	-0.26821
Med16	6	0.031547	0.073939	1.0	71	3	-0.15369	0.95903	0.94755	1.0	970	0	-0.15369
Zscan4f	6	0.031866	0.073946	1.0	72	3	-0.10072	0.16945	0.27436	1.0	332	2	-0.10072
Lamtor1	6	0.031955	0.074916	1.0	73	4	-0.32286	0.6412	0.71311	1.0	760	2	-0.32286
Ndufb9	6	0.031974	0.074916	1.0	74	3	-0.03487	0.67111	0.74205	1.0	785	2	-0.03487
Fmnl1	6	0.032723	0.077115	1.0	75	4	-0.18647	0.99332	0.99026	1.0	999	0	-0.18647
Prpf39	6	0.032853	0.077752	1.0	76	2	0.14692	0.035867	0.067523	0.755072	125	3	0.14692
Plac1	6	0.03305	0.077752	1.0	77	2	0.019146	0.25695	0.36087	1.0	442	3	0.019146
Cdk10	6	0.034378	0.081333	1.0	78	4	-0.19169	0.53929	0.6314	1.0	687	2	-0.19169
Tmem154	1	0.034586	0.029533	1.0	79	1	-0.60761	0.96541	0.97047	1.0	976	0	-0.60761
Txndc15	6	0.035052	0.082625	1.0	80	2	0.32752	0.018761	0.034181	0.594012	78	4	0.32752
Camk1d	6	0.035758	0.091497	1.0	81	4	-0.22575	0.33755	0.46641	1.0	523	2	-0.22575
Mapk10	6	0.036254	0.09268	1.0	82	4	-0.21121	0.7108	0.79128	1.0	819	1	-0.21121
Tacstd2	6	0.036483	0.092687	1.0	83	3	-0.15267	0.98006	0.96831	1.0	989	0	-0.15267
Qtrt1	6	0.036529	0.092687	1.0	84	3	-0.19111	0.15318	0.26088	1.0	315	1	-0.19111
Nosip	6	0.036673	0.093381	1.0	85	1	-0.021087	0.50463	0.60939	1.0	664	2	-0.021087
Crebrf	6	0.037343	0.095831	1.0	86	4	-0.18573	0.57455	0.66086	1.0	709	2	-0.18573
Zfp62	1	0.03781	0.029539	1.0	87	1	-0.46862	0.96219	0.97046	1.0	973	0	-0.46862
Lmnb2	6	0.039483	0.10711	1.0	88	3	-0.15267	0.28299	0.38943	1.0	467	1	-0.15267
Gspt1	6	0.039764	0.10711	1.0	89	4	-0.32056	0.93707	0.92629	1.0	946	0	-0.32056
Adcy3	6	0.039842	0.10711	1.0	90	2	0.060529	0.23273	0.33123	1.0	412	3	0.060529
Polr2c	6	0.040118	0.10712	1.0	91	4	-0.26904	0.93032	0.91232	1.0	935	1	-0.26904
Brf1	6	0.040206	0.10712	1.0	92	4	-0.28037	0.92433	0.90693	1.0	932	1	-0.28037
Mthfd1l	6	0.040208	0.10712	1.0	93	3	-0.11546	0.66648	0.73911	1.0	782	2	-0.11546
Zc3hc1	6	0.040418	0.10712	1.0	94	2	0.18512	0.01559	0.027353	0.594012	63	3	0.18512
Fam243	6	0.041464	0.11134	1.0	95	4	-0.19927	0.93392	0.92092	1.0	940	1	-0.19927
Fgfbp1	6	0.042661	0.11443	1.0	96	2	0.068722	0.90661	0.89163	1.0	917	1	0.068722
Rab9b	6	0.042941	0.11443	1.0	97	3	-0.12318	0.087113	0.15065	1.0	206	2	-0.12318
Slc25a38	6	0.044151	0.11812	1.0	98	2	-0.046361	0.85282	0.84418	1.0	879	1	-0.046361
Adss	6	0.04453	0.11813	1.0	99	4	-0.2242	0.95632	0.94323	1.0	966	0	-0.2242
Lin7a	6	0.044625	0.11813	1.0	100	4	-0.16126	0.21041	0.30837	1.0	378	2	-0.16126
Czib	1	0.044905	0.034425	1.0	101	1	-0.59995	0.9551	0.96557	1.0	964	0	-0.59995
Vmn1r256	6	0.045778	0.12559	1.0	102	4	-0.1751	0.37318	0.5108	1.0	568	1	-0.1751
Cryba2	6	0.046013	0.12645	1.0	103	4	-0.18429	0.9551	0.94323	1.0	965	0	-0.18429
Tmem139	6	0.046434	0.12645	1.0	104	3	-0.19197	0.27117	0.37473	1.0	451	2	-0.19197
Supt5	6	0.046851	0.12726	1.0	105	4	-0.31686	0.9833	0.9758	1.0	992	0	-0.31686
Uqcc3	6	0.047941	0.12896	1.0	106	4	-0.15628	0.6306	0.70554	1.0	752	1	-0.15628
Ftdc2	6	0.04807	0.12896	1.0	107	2	0.096871	0.50014	0.60825	1.0	662	2	0.096871
Ebf1	6	0.048301	0.12896	1.0	108	3	-0.067038	0.17484	0.27627	1.0	342	2	-0.067038
Tmprss7	6	0.049965	0.13147	1.0	109	4	-0.18405	0.16073	0.26977	1.0	322	1	-0.18405
Pafah1b1	6	0.050082	0.13147	1.0	110	3	-0.20456	0.36062	0.49233	1.0	551	1	-0.20456
Ptpn7	6	0.050376	0.13147	1.0	111	4	-0.1734	0.85746	0.84723	1.0	882	1	-0.1734
