sgRNA	Gene	amCD19_1to2rep1	amCD19_1to2rep2	amCD19_1to2rep3	amCD19_1to10rep1	amCD19_1to10rep2	amCD19_1to10rep3
BRDN0007693687	Zscan4f	862.661674617152	699.2614476591838	887.3554686911463	940.0882406297185	871.8912253816061	939.8317133207246
BRDN0007693686	Zscan4f	660.0081618380265	555.1953676447102	607.3785339463544	786.0806107654643	797.1576917774684	871.5456614924501
BRDN0007693685	Zscan4f	217.04966396015635	194.74545203537528	187.41313182916676	271.1175984068642	318.0965789304321	309.084234591137
BRDN0007693684	Zscan4f	694.3374454235613	665.66501002735	631.9479384239586	426.7294744155377	498.2235573609177	530.1154023510779
BRDN0007693683	Zscan4f	630.6621613536175	607.0136019582164	573.6670254770836	381.8105823717969	325.7615567359847	375.5732850555095
BRDN0007693682	Zscan4f	1315.586738697274	1407.0643625129014	1410.7409222140632	1121.368054949101	1239.81016004813	1123.1258524387245
BRDN0007693681	Zscan4c	400.8774405794724	367.8525205112644	398.25290513697934	356.1426440610879	457.9824238817667	337.8362564135683
BRDN0007693680	Zscan4c	723.129747785623	678.1924952459999	725.0831228390629	858.2716872643334	732.0053804302714	770.9135851139405
BRDN0007693679	Zscan4c	1192.6657555361653	1155.9452269936019	1225.613316382813	935.2755021964605	986.8658924648947	867.9516587646463
BRDN0007693678	Zscan4c	338.30955275422326	358.7416221704281	395.3959976395835	375.39359779411967	392.83011253456976	330.6482509579605
BRDN0007693677	Zscan4c	733.096313987875	673.6370460755817	734.7966083302086	696.2428266779826	664.9368246316864	670.2815087354307
BRDN0007693676	Zscan4c	465.66012089411095	484.01647435692684	481.6746040609377	542.2351968137284	446.4849571734378	461.8293505228035
BRDN0007694815	Zscan26	882.5948070216562	801.1896228472895	824.5035037484379	845.4377181089789	791.408958423304	731.3795551080973
BRDN0007694814	Zscan26	1233.6394165898682	1301.719600446982	1196.4728599093755	1538.4720524981228	1531.079316659128	1649.6472520619984
BRDN0007694813	Zscan26	872.6282408194041	974.8661224694808	995.3465720927088	470.04412031485924	442.65246827066153	476.20536143401915
BRDN0007694812	Zscan26	1619.013309743615	1682.6690373231986	1655.2922039911466	1926.6996194475971	1876.0033179089942	1938.964471650214
BRDN0007694811	Zscan26	1272.9519832765293	1179.2919039919948	1288.4652813255213	1347.5667613122243	1377.7797605480764	1387.2850529323125
BRDN0007694810	Zscan26	1019.3582432414486	1020.9900453199646	945.0650001385421	1161.474208559584	1157.4116486384396	1238.1339397284498
BRDN0007694929	Zpld2	689.9078604447827	614.416206860146	682.2295103781254	683.4088575226281	732.0053804302714	625.3564746378818
BRDN0007694928	Zpld2	919.6925812189278	969.1718110064583	1021.6301210687504	1017.0920555618455	977.284670207954	1000.9297596933912
BRDN0007694927	Zpld2	1490.0016472366856	1584.1574490129065	1657.006348489584	1142.2232548265522	1143.9979374787226	1248.9159479118616
BRDN0007694926	Zpld2	601.869858991556	588.2223741302416	545.6693320026044	813.3527952205926	747.3353360413766	695.4395278300582
BRDN0007694925	Zpld2	1256.8947377284564	1230.5407071591987	1261.0389693505215	1155.0572239819066	1161.2441375412159	1198.5999097226068
BRDN0007694924	Zpld2	1297.8683987821594	1305.1361873247956	1387.3142807354172	1090.8873782051342	1159.3278930898277	1135.7048619860382
BRDN0007693675	Zmiz1	867.6449577182781	763.0377360450376	813.0758737588545	1097.3043627828113	1122.919248513453	1121.3288510748225
BRDN0007693674	Zmiz1	796.2178999354715	805.7450720177077	858.7863937171879	1140.6190086821327	1124.8354929648413	1090.779827888489
BRDN0007693673	Zmiz1	525.4595181076234	476.61386945499737	475.3894075666669	510.1502739253421	515.469757423411	469.01735597841133
BRDN0007693672	Zmiz1	953.4681666821153	999.9210929067806	982.7761791041671	474.8568587481172	469.4798905900956	465.4233532506074
BRDN0007693671	Zmiz1	169.43162543828532	149.7603914774962	122.84702238802089	332.07895189479814	283.6041788054455	307.287233227235
BRDN0007693670	Zmiz1	122.36728503876161	142.927217721869	146.8450453661459	277.5345829845415	243.36304532629444	256.9711950379801
BRDN0007693669	Zfpm2	918.5851849742331	958.3526192267152	947.3505261364588	875.9183948529459	866.1424920274416	871.5456614924501
BRDN0007693668	Zfpm2	707.0725022375501	639.4711772974457	621.6630714333336	875.9183948529459	810.5714029371854	801.4626083002737
BRDN0007693667	Zfpm2	717.0390684398022	738.5521967540401	728.5114118359379	537.4224583804704	622.7794467011472	616.3714678183719
BRDN0007693666	Zfpm2	351.5983076905594	346.21413695177824	294.261472231771	468.4398741704399	390.9138680831816	400.73130415013685
BRDN0007693665	Zfpm2	1033.7543944224794	1026.6843567829872	1105.051819992709	1209.6015928921634	1180.4065820550975	1144.689868805548
BRDN0007693664	Zfpm2	534.3186880651808	484.5859055032291	517.6716385281253	577.5286119909533	559.5433798053384	618.168469182274
BRDN0007693663	Zfp984	753.0294463923792	832.5083358939141	755.3663423114587	702.6598112556599	636.1931578608642	627.1534760017837
BRDN0007693662	Zfp984	436.8678185320494	472.6278514308815	453.6769105864586	627.2602424679521	682.1830246941797	684.6575196466464
BRDN0007693661	Zfp984	363.7796663822008	365.00536477975305	361.11310767083353	762.0169185991746	787.5764695205277	738.5675605637052
BRDN0007693660	Zfp984	707.6262003598974	674.206477221884	729.082793335417	643.3027039121453	661.1043357289101	646.9204910047052
BRDN0007693659	Zfp984	1110.7184334287592	1110.3907352894205	1127.3356984723964	1182.329408437035	1220.6477155342484	1238.1339397284498
BRDN0007693658	Zfp984	438.5289128990914	508.50201364792434	445.10618809427103	340.10018261689476	381.3326458262409	393.543298694529
BRDN0007693657	Zfp983	699.8744266470347	641.7489018826548	703.9420073583336	723.515011133111	825.9013585482905	643.3264882769014
BRDN0007693656	Zfp983	1322.2311161654422	1378.023374051486	1314.177448802084	1488.7404220211242	1366.2822938397476	1374.7060433849988
BRDN0007693655	Zfp983	510.5096688042453	501.6688398922971	514.2433495312503	417.10399754902187	496.30731290952957	533.7094050788819
BRDN0007693654	Zfp983	1057.0097155610674	1007.3236978087101	1065.0551150291672	887.1481178638811	900.6348921524282	864.3576560368423
BRDN0007693653	Zfp983	659.4544637156791	709.5112082926245	669.6591173895837	863.0844256975913	875.7237142843824	894.9066792231756
BRDN0007693652	Zfp983	1901.9530502631046	1860.900986115808	1928.9839422416676	1910.657158003404	1797.43729540208	2005.4535221145863
BRDN0007693651	Zfp973	359.90377952576944	345.644705805476	322.8305472057293	357.7468902055072	413.90880149983934	422.2953205169604
BRDN0007693650	Zfp973	313.39313724859306	260.23003386013596	341.6861366885418	295.18129057315394	245.27928977768258	222.82816912384294
BRDN0007693649	Zfp973	183.8277766193161	180.5096733778186	187.98451332864593	376.99784393853895	369.835179117912	357.60327141648986
BRDN0007693648	Zfp973	924.6758643200538	885.465432500025	928.4949366536463	1111.7425780825852	1147.830426381499	1216.5699233616263
BRDN0007693647	Zfp973	1494.9849303378116	1360.940439662418	1447.880719680209	1540.0762986425423	1490.838183179977	1531.0451620444692
BRDN0007693646	Zfp973	834.4230703774377	839.3415096495414	959.3495376255213	792.4975953431415	825.9013585482905	846.3876423978227
BRDN0007693645	Zfp968	812.8288436058916	742.538214778156	787.9350877817712	1062.0109476055864	902.5511366038164	907.4856887704893
