sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
BRDN0007691846	Ifngr1	21529/21630/21634	5011.7/5580.1/5534.8	21630	5534.8	-1.9663	5158.5	63654	63.797	0	1	0	0	False
BRDN0007691882	Jak2	15710/16335/16013	4758.2/5237.1/5090.9	16013	5090.9	-1.6531	97796	46506	50.646	0	1	0	0	False
BRDN0007696962	Jak1	13197/13492/13212	3498.9/3374.5/3270.5	13212	3374.5	-1.9688	39321	38052	50.431	0	1	0	0	False
BRDN0007691884	Jak2	13138/12813/12686	4461.4/4612.4/4512.3	12813	4512.3	-1.5054	60922	36853	43.238	0	1	0	0	False
BRDN0007696961	Jak1	12253/12125/12396	4334.7/4489.8/4472.7	12253	4472.7	-1.4537	18450	35174	41.483	0	1	0	0	False
BRDN0007696167	Tsc2	12692/12753/12795	4862.5/4706.3/4812.4	12753	4812.4	-1.4058	2714.2	36673	41.465	0	1	0	0	False
BRDN0007691886	Jak2	9464.4/8896.2/9490.1	2828.3/2901.2/2866.2	9464.4	2866.2	-1.723	1.6172e+05	26868	40.254	0	1	0	0	False
BRDN0007693224	Stat1	10783/11255/10901	3962.5/4081.6/4025.3	10901	4025.3	-1.4371	69494	31137	38.968	0	1	0	0	False
BRDN0007691885	Jak2	8589/8398/8530.7	2539.5/2539/2600.3	8530.7	2539.5	-1.7477	10508	24109	38.585	0	1	0	0	False
BRDN0007691883	Jak2	8309.3/8097.3/8422.2	2424/2278.4/2415.2	8309.3	2415.2	-1.7822	28843	23457	38.485	0	1	0	0	False
BRDN0007696959	Jak1	8190.3/8681.5/8308.5	2653.4/2410.6/2515.8	8308.5	2515.8	-1.7232	76578	23454	37.824	2.3073e-313	1	4.6147e-313	2.6023e-310	False
BRDN0007696169	Tsc2	11127/11453/10798	4312.2/4576/4801.6	11127	4576	-1.2817	1.0726e+05	31809	36.731	1.151e-295	1	2.302e-295	1.19e-292	False
BRDN0007693222	Stat1	9093.4/9075/9135.2	3413.8/3246.1/3222	9093.4	3246.1	-1.4858	1044.8	25770	36.425	8.6858e-291	1	1.7372e-290	8.2889e-288	False
BRDN0007696958	Jak1	10497/10811/10608	4511.1/4543.4/4745.9	10608	4543.4	-1.2232	26784	30264	34.863	1.3728e-266	1	2.7455e-266	1.2165e-263	False
BRDN0007696166	Tsc2	7627.2/8198.7/8198.8	2902.1/2839.9/2930.9	8198.7	2902.1	-1.498	1.6329e+05	23131	34.825	5.0154e-266	1	1.0031e-265	4.1481e-263	False
