sgRNA	Gene	ahEGFRv3_1to10rep1	ahEGFRv3_1to10rep2	ahEGFRv3_1to10rep3	amCD19_1to10rep1	amCD19_1to10rep2	amCD19_1to10rep3
BRDN0007693687	Zscan4f	485.6698872751445	482.980855068081	464.31022616047136	538.5316441810675	500.2706213107566	539.0164980859909
BRDN0007693686	Zscan4f	514.7892809447463	513.0459283755318	535.4467825494463	450.3080301172749	457.3902823412632	499.85277547171233
BRDN0007693685	Zscan4f	171.5964269815821	227.91265249196593	183.60921986884065	155.31032059146827	182.51631458810022	177.26737604357632
BRDN0007693684	Zscan4f	325.51322209233456	274.465024064793	334.5340759913955	244.45293063509206	285.8689264632895	304.0341624003199
BRDN0007693683	Zscan4f	258.95460799038756	266.70629546932184	225.9066317757987	218.72104319981923	186.9142980721508	215.4004743785317
BRDN0007693682	Zscan4f	543.9086746143481	513.0459283755318	467.1941406086731	642.37818990199	711.3738285451858	644.1401745769489
BRDN0007693681	Zscan4c	238.1550410835291	259.91740794828456	208.6031450865886	204.01710752252046	262.7795131720238	193.75736451274622
BRDN0007693680	Zscan4c	410.79144641045417	438.3681656441217	447.00673947126126	491.6628492096777	420.007422726833	442.1378158296177
BRDN0007693679	Zscan4c	586.5477867734079	557.6586177994911	536.4080873655136	535.774656241574	566.2403735715158	497.7915269130661
BRDN0007693678	Zscan4c	204.8757340325556	223.06344711979645	194.18357284558016	215.04505928049454	225.39665355759365	189.63486739545374
BRDN0007693677	Zscan4c	395.19177123031034	368.53960828488107	377.7927927144208	398.8442552467292	381.5250672413902	384.42285618752305
BRDN0007693676	Zscan4c	295.35385007738984	364.66024398714546	294.15927371657193	310.62064118293654	256.1825379459479	264.87043978604135
BRDN0007694815	Zscan26	394.1517928849674	410.2427744855387	357.605391577009	484.3108813710283	454.09179472822524	419.4640816845091
BRDN0007694814	Zscan26	996.2992548385191	1108.5283480779449	1007.4474472384554	881.3171446580951	878.4972009391089	946.1130884186225
BRDN0007694813	Zscan26	272.47432647984556	280.2840705113964	238.40359438467266	269.26582209053373	253.9835462039226	273.1154340206263
BRDN0007694812	Zscan26	878.781701814769	953.3537761685213	901.7039174710603	1103.714171777239	1076.4064577213862	1112.0435973896444
BRDN0007694811	Zscan26	764.3840838270476	642.0347912752402	748.856451716371	771.9566230581855	790.5375312580967	795.6419436374472
BRDN0007694810	Zscan26	653.1064008753549	634.276062679769	732.5142698432281	665.3530893977694	664.0955060916417	710.1001284536284
BRDN0007694929	Zpld2	486.70986562048745	501.407835482325	458.542397264068	391.4922874080798	420.007422726833	358.6572492044451
BRDN0007694928	Zpld2	462.7903636776002	564.4475053205284	472.00066468900917	582.6434512129638	560.7428942164524	574.0577235829768
BRDN0007694927	Zpld2	641.6666390765828	679.8585931781622	727.7077457628919	654.3251376397953	656.3990349945532	716.2838741295672
BRDN0007694926	Zpld2	562.6282848305208	558.628458873925	550.8276596065219	465.9309617744048	428.80338969493425	398.85159609804674
BRDN0007694925	Zpld2	876.7017451240831	791.3903167380604	827.6834466338837	661.6771054784447	666.294497833667	687.4263943085198
BRDN0007694924	Zpld2	584.4678300827221	680.8284342525961	573.8989751921354	624.9172662851978	665.1950019626544	651.3545445322106
BRDN0007693675	Zmiz1	781.0237373525343	763.2649255794773	820.9543129214131	628.5932502045225	644.304580413414	643.1095502976258
BRDN0007693674	Zmiz1	742.5445385748462	727.3808058254232	695.9846868326734	653.4061416599642	645.4040762844267	625.5889375491328
BRDN0007693673	Zmiz1	283.91408827861767	268.64597761818965	291.2753592683702	292.2407215863131	295.76438930240334	268.9929369033338
BRDN0007693672	Zmiz1	212.15558244995606	215.30471852432527	212.4483643508575	272.02281003002724	269.3764883980997	266.9316883446876
BRDN0007693671	Zmiz1	218.39545252201358	205.60630777998628	240.32620401680714	190.23216782505284	162.7253889098725	176.2367517642532
BRDN0007693670	Zmiz1	262.07454302641634	241.4904275340405	251.86186180961386	158.98630451079296	139.63597561860678	147.3792719432059
BRDN0007693669	Zfpm2	507.5094325273459	522.7443391198708	529.6789536530429	501.7718049878206	496.9721336977187	499.85277547171233
BRDN0007693668	Zfpm2	435.7509266986843	460.67451035610134	466.23283579260584	501.7718049878206	465.08675343835176	459.6584285781107
BRDN0007693667	Zfpm2	332.793070509735	322.9570777864879	333.5727711753283	307.863653243443	357.33615807911184	353.50412780782955
BRDN0007693666	Zfpm2	219.43543086735653	222.09360604536255	248.9779473614122	268.3468261107026	224.297157686581	229.82921428905536
BRDN0007693665	Zfpm2	675.9859244728992	726.4109647509893	672.9133712470599	692.9229687927046	677.2894565437936	656.5076659288263
BRDN0007693664	Zfpm2	352.5526590712505	380.17770117808783	333.5727711753283	330.83855273922234	321.05279433569433	354.53475208715264
BRDN0007693663	Zfp984	268.31441309847384	347.20310464733535	321.0758085664543	402.52023916605384	365.03262917620043	359.68787348376827
BRDN0007693662	Zfp984	427.4310999359409	385.99674762469124	450.85195873553016	359.32742811398873	391.4205300805041	392.667850422108
BRDN0007693661	Zfp984	435.7509266986843	413.15229770884036	407.5932420125049	436.52309041980726	451.8928029861999	423.5865788018016
BRDN0007693660	Zfp984	262.07454302641634	281.2539115858303	291.2753592683702	368.5173879123005	379.3260754993649	371.02474055632257
BRDN0007693659	Zfp984	580.3079167013505	552.8094124273216	534.4854777333791	677.3000371355746	700.3788698350593	710.1001284536284
BRDN0007693658	Zfp984	334.87302720042084	281.2539115858303	342.22451451993334	194.82714772420871	218.79967833151773	225.70671717176288
BRDN0007693657	Zfp983	417.03131648251167	444.1872120907251	448.92934910339574	414.4671869038591	473.88272040645296	368.96349199767633
BRDN0007693656	Zfp983	660.3862492927555	701.195096815708	689.2555531202029	852.8282692833287	783.9405560320208	788.4275736821854
BRDN0007693655	Zfp983	316.1534169842482	299.6808920000743	300.8884074290425	238.93895475610503	284.7694305922768	306.0954109589661
BRDN0007693654	Zfp983	482.5499522391158	516.9252926732674	530.6402584691101	508.20477684663877	516.7630593759463	495.73027835441985
BRDN0007693653	Zfp983	497.10964907391667	498.49831225902335	515.2593814120345	494.4198371491712	502.46961305278194	513.2508911029129
BRDN0007693652	Zfp983	985.8994713850899	1063.9156586539857	984.376131652842	1094.5242119789273	1031.3271270098676	1150.1766957246
BRDN0007693651	Zfp973	230.87519266612867	236.641222161871	247.05533772927774	204.9361035023516	237.4911081387328	242.19670564093278
BRDN0007693650	Zfp973	189.27605885241178	161.9634594304609	174.9574765242356	169.09526028893586	140.73547148961944	127.79741063606666
BRDN0007693649	Zfp973	135.19718489457983	181.36028091913883	184.57052468490787	215.9640552603257	212.20270310544183	205.09423158530052
