sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
BRDN0007691846	Ifngr1	1034.8/1031.9/966.11	2870.9/3201.7/3174.3	1031.9	3174.3	1.6202	2168.9	2295.3	44.718	1	0	0	0	True
BRDN0007691882	Jak2	947.42/925.23/979.57	2725.7/3004.9/2919.8	947.42	2919.8	1.6227	763.03	2105.1	42.988	1	0	0	0	True
BRDN0007693224	Stat1	705.11/679.86/799.81	2269.9/2341.9/2308.6	705.11	2308.6	1.7097	4802.8	1560.6	40.59	1	0	0	0	True
BRDN0007696961	Jak1	960.94/900.98/944	2483.1/2576.1/2565.2	944	2565.2	1.4413	1068.8	2097.4	35.4	1	8.4582e-275	1.6916e-274	2.6233e-271	True
BRDN0007693222	Stat1	633.35/671.13/640.23	1955.6/1862.5/1847.9	640.23	1862.5	1.5391	501.12	1415.3	32.491	1	7.0909e-232	1.4182e-231	1.7594e-228	True
BRDN0007691883	Jak2	422.23/403.45/455.66	1388.6/1307.3/1385.2	422.23	1385.2	1.7116	734.99	928.33	31.604	1	1.6248e-219	3.2496e-219	3.3596e-216	True
BRDN0007691884	Jak2	1033.7/1097.9/1061.3	2555.7/2646.5/2587.9	1061.3	2587.9	1.2852	1048.3	2361.5	31.415	1	6.3775e-217	1.2755e-216	1.1303e-213	True
BRDN0007696959	Jak1	457.59/474.25/520.07	1520/1383.2/1442.9	474.25	1442.9	1.6032	1188.3	1044.3	29.974	1	1.0674e-197	2.1348e-197	1.6553e-194	True
BRDN0007696962	Jak1	748.78/650.76/731.55	2004.3/1936.2/1875.7	731.55	1936.2	1.403	3411.9	1619.9	29.931	1	3.9453e-197	7.8905e-197	5.4383e-194	True
BRDN0007696958	Jak1	1250.1/1177.4/1262.2	2584.2/2606.9/2721.9	1250.1	2606.9	1.0597	2713.9	2787.6	25.699	1	5.9658e-146	1.1932e-145	7.4012e-143	True
BRDN0007691887	Jak2	299.51/266.71/278.78	901.54/896.09/860.57	278.78	896.09	1.681	287.85	609.65	25.001	1	2.9539e-138	5.9077e-138	3.3314e-135	True
BRDN0007693221	Stat1	536.63/583.84/563.32	1385.8/1399.7/1451.1	563.32	1399.7	1.3115	566.86	1243.2	23.72	1	1.1255e-124	2.2511e-124	1.1636e-121	True
BRDN0007696960	Jak1	771.66/750.66/766.16	1750.7/1739.4/1644.9	766.16	1739.4	1.1818	135.32	1697.6	23.621	1	1.1651e-123	2.3302e-123	1.1118e-120	True
BRDN0007691886	Jak2	705.11/710.89/734.44	1620.2/1664.6/1643.8	710.89	1643.8	1.2082	293.9	1573.6	23.519	1	1.3167e-122	2.6334e-122	1.1668e-119	True
BRDN0007691848	Ifngr1	481.51/466.49/479.69	1233.3/1138/1279	479.69	1233.3	1.3605	88.742	1056.4	23.186	1	3.1527e-119	6.3053e-119	2.6075e-116	True
BRDN0007696169	Tsc2	1366.5/1385.9/1334.3	2470.3/2625.6/2753.8	1366.5	2625.6	0.94162	707.35	3050.9	22.795	1	2.5799e-115	5.1598e-115	2.0004e-112	True
BRDN0007690780	Irf1	630.23/638.16/573.9	1586.2/1473.3/1473.8	630.23	1473.8	1.2243	1617.8	1392.9	22.603	1	2.0271e-113	4.0541e-113	1.4793e-110	True
BRDN0007691885	Jak2	608.39/678.89/630.62	1454.8/1456.8/1491.3	630.62	1456.8	1.2067	1412.2	1393.7	22.131	1	7.9248e-109	1.585e-108	5.4619e-106	True
BRDN0007693225	Stat1	842.38/816.61/808.46	1747.9/1810.9/1718.1	816.61	1747.9	1.097	365.41	1810.9	21.885	1	1.7866e-106	3.5732e-106	1.1665e-103	True
BRDN0007696957	Jak1	417.03/425.76/494.11	918.08/1048.9/997.64	425.76	997.64	1.2265	2374	936.19	18.691	1	2.9457e-78	5.8914e-78	1.8272e-75	True
BRDN0007690782	Irf1	870.46/861.22/899.78	1692.8/1640.4/1674.8	870.46	1674.8	0.94331	472.53	1931.9	18.299	1	4.2223e-75	8.4445e-75	2.4944e-72	True
BRDN0007690778	Irf1	658.31/653.67/615.24	1327/1307.3/1484.1	653.67	1327	1.0204	749.47	1445.4	17.712	1	1.7076e-70	3.4153e-70	9.6296e-68	True
BRDN0007690783	Irf1	740.46/707.98/734.44	1465.8/1372.2/1427.4	734.44	1427.4	0.95774	368.04	1626.4	17.183	1	1.7743e-66	3.5486e-66	9.5705e-64	True
BRDN0007691847	Ifngr1	484.63/485.89/440.28	1049.5/1001.6/1033.7	484.63	1033.7	1.0913	984.36	1067.4	16.806	1	1.0978e-63	2.1957e-63	5.6749e-61	True
BRDN0007695725	Nprl2	1439.3/1501.3/1636.1	2575.9/2442/2466.3	1501.3	2466.3	0.71574	11010	3355.9	16.657	1	1.3363e-62	2.6726e-62	6.6312e-60	True
BRDN0007696167	Tsc2	1661.9/1798.1/1848.6	2785.5/2700.4/2760	1798.1	2760	0.61793	10551	4028.8	15.155	1	3.5186e-52	7.0373e-52	1.6789e-49	True
BRDN0007695608	Lmnb2	562.63/586.75/526.8	1113.8/1079.7/1024.4	562.63	1079.7	0.93916	933.03	1241.6	14.674	1	4.7051e-49	9.4102e-49	2.1619e-46	True
BRDN0007690781	Irf1	700.95/758.42/781.54	1308.7/1414/1356.3	758.42	1356.3	0.83778	1918.8	1680.2	14.586	1	1.7249e-48	3.4498e-48	7.6426e-46	True
BRDN0007691248	Cnot8	557.43/630.4/600.82	1112/977.45/1080.1	600.82	1080.1	0.8451	1378.7	1327	13.157	1	7.7866e-40	1.5573e-39	3.331e-37	True
BRDN0007696164	Tsc1	937.02/948.5/878.63	1627.5/1537.1/1536.7	937.02	1537.1	0.71345	1770.5	2081.6	13.152	1	8.2527e-40	1.6505e-39	3.4128e-37	True
BRDN0007691849	Ifngr1	230.88/201.73/268.2	509.12/461.79/514.28	230.88	509.12	1.1375	1121.5	503.67	12.398	1	1.335e-35	2.67e-35	5.3425e-33	True
BRDN0007695731	Nprl3	1494.4/1417.9/1442.9	2176.2/2140.7/2092.2	1442.9	2140.7	0.56878	1640.5	3223.7	12.29	1	5.123e-35	1.0246e-34	1.9861e-32	True
BRDN0007691597	Etv5	506.47/490.74/529.68	917.16/912.58/829.65	506.47	912.58	0.84821	393.05	1116.2	12.156	1	2.6742e-34	5.3484e-34	1.0053e-31	True
BRDN0007694753	Vmn2r99	321.35/353.99/302.81	642.38/511.27/650.32	321.35	642.38	0.99702	704.55	704.05	12.099	1	5.3655e-34	1.0731e-33	1.9578e-31	True
BRDN0007696163	Tsc1	755.02/825.33/842.1	1249.8/1320.5/1409.9	825.33	1320.5	0.67737	2612.4	1830.5	11.573	1	2.81e-31	5.6201e-31	9.9604e-29	True
BRDN0007691246	Cnot8	438.87/396.66/400.86	784.82/741.06/697.73	400.86	741.06	0.88483	731.07	880.76	11.463	1	1.0111e-30	2.0223e-30	3.4845e-28	True
BRDN0007693790	Cdh19	387.91/452.92/397.98	635.95/726.77/728.65	397.98	726.77	0.86716	1559.6	874.34	11.119	1	5.0585e-29	1.0117e-28	1.6961e-26	True
BRDN0007693737	Arl15	1438.3/1591.5/1409.3	2015.4/2047.3/2053	1438.3	2047.3	0.50904	12159	3213.2	10.743	1	3.1964e-27	6.3927e-27	1.0435e-24	True
BRDN0007693220	Stat1	446.15/441.28/475.85	773.79/772.95/804.92	446.15	773.79	0.79305	452.77	981.62	10.458	1	6.7651e-26	1.353e-25	2.152e-23	True
BRDN0007696023	Snrpb2	974.46/1024.2/960.34	1456.6/1470/1452.1	974.46	1456.6	0.57945	1334.3	2165.9	10.36	1	1.885e-25	3.7701e-25	5.8464e-23	True
BRDN0007696162	Tsc1	800.78/725.44/712.33	1101.9/1140.2/1240.9	725.44	1140.2	0.65161	2924.2	1606.2	10.348	1	2.1308e-25	4.2616e-25	6.4475e-23	True
BRDN0007696289	Zfp36l2	1224.1/1233.6/1278.5	1841.7/1775.7/1737.6	1233.6	1775.7	0.5251	1053.8	2750.5	10.336	1	2.4331e-25	4.8663e-25	7.187e-23	True
