id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Ptpn2	6	3.9181e-09	3.2146e-06	0.000198	1	6	-1.7492	0.99998	1.0	1.0	1015	0	-1.7492
Stub1	6	3.5872e-08	3.2146e-06	0.000198	2	6	-1.5817	0.99991	1.0	1.0	1011	0	-1.5817
Chic2	6	4.6897e-08	3.2146e-06	0.000198	3	6	-1.5079	1.0	1.0	1.0	1021	0	-1.5079
Zfp592	6	2.3275e-07	3.2146e-06	0.000198	4	6	-1.5938	1.0	1.0	1.0	1020	0	-1.5938
Ufsp2	6	2.8262e-07	3.2146e-06	0.000198	5	6	-0.93557	1.0	1.0	1.0	1019	0	-0.93557
Rcor1	6	3.6942e-07	3.2146e-06	0.000198	6	5	-1.5638	0.86812	0.92531	1.0	814	1	-1.5638
Kat6a	6	6.105e-07	3.2146e-06	0.000198	7	5	-1.1874	0.058952	0.1879	1.0	143	1	-1.1874
Usp22	6	1.0537e-06	3.2146e-06	0.000198	8	6	-1.0946	1.0	1.0	1.0	1018	0	-1.0946
Kdsr	6	1.5762e-06	3.2146e-06	0.000198	9	6	-1.2584	1.0	1.0	1.0	1017	0	-1.2584
Atg12	6	2.4327e-06	3.2146e-06	0.000198	10	5	-1.0621	0.67798	0.86064	1.0	695	1	-1.0621
Baz1b	6	2.4619e-06	3.2146e-06	0.000198	11	6	-1.0694	0.99994	1.0	1.0	1013	0	-1.0694
Phf6	6	1.3275e-05	3.2146e-06	0.000198	12	6	-0.76109	0.99999	1.0	1.0	1016	0	-0.76109
Eed	6	2.5977e-05	3.2146e-06	0.000198	13	6	-1.3068	0.99997	1.0	1.0	1014	0	-1.3068
Socs1	6	2.7428e-05	3.2146e-06	0.000198	14	5	-1.319	0.18628	0.43466	1.0	310	1	-1.319
Ccdc71l	6	3.6145e-05	3.2146e-06	0.000198	15	5	-0.80093	0.94618	0.97348	1.0	918	0	-0.80093
Cdk6	6	4.2828e-05	3.2146e-06	0.000198	16	6	-1.2292	0.99975	0.99999	1.0	1007	0	-1.2292
Etnk1	6	5.1302e-05	3.2146e-06	0.000198	17	4	-0.54145	0.8953	0.94152	1.0	849	1	-0.54145
Pcyt2	6	5.624e-05	3.2146e-06	0.000198	18	4	-0.85293	0.79799	0.89312	1.0	764	1	-0.85293
Xrn1	6	6.8678e-05	3.2146e-06	0.000198	19	5	-1.0123	0.5264	0.76792	1.0	594	1	-1.0123
Smg9	6	7.7257e-05	3.2146e-06	0.000198	20	6	-1.077	0.99988	1.0	1.0	1009	0	-1.077
Rps10	6	8.611e-05	3.2146e-06	0.000198	21	6	-1.2714	0.99991	1.0	1.0	1012	0	-1.2714
