sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
BRDN0007691846	Ifngr1	2220.7/2217.6/2167.2	39534/39656/39906	2217.6	39656	4.1598	1276.6	7321.2	437.54	1	0	0	0	True
BRDN0007691882	Jak2	2135.4/1964.8/2133.9	28848/29947/29538	2133.9	29538	3.7904	14303	7035.2	326.72	1	0	0	0	True
BRDN0007696962	Jak1	1950.1/1828.1/1879.9	24235/24736/24371	1879.9	24371	3.6958	3805.5	6170	286.34	1	0	0	0	True
BRDN0007696961	Jak1	2129/2162.6/2204.3	22500/22229/22866	2162.6	22500	3.3785	1434.2	7133.1	240.8	1	0	0	0	True
BRDN0007693224	Stat1	1970.3/1998.4/1920.8	19800/20634/20109	1970.3	20109	3.3507	1620.9	6477.5	225.37	1	0	0	0	True
BRDN0007691886	Jak2	1535.5/1481.5/1640.1	17380/16310/17506	1535.5	17380	3.4997	6933.1	5003.9	223.98	1	0	0	0	True
BRDN0007691885	Jak2	1375.9/1405/1357.6	15772/15396/15736	1375.9	15736	3.5147	591.17	4466.5	214.87	1	0	0	0	True
BRDN0007691883	Jak2	1388.7/1280.6/1329	15259/14845/15536	1329	15259	3.5202	2955.1	4309.1	212.2	1	0	0	0	True
BRDN0007691884	Jak2	3017.8/2870.2/2777	24126/23490/23402	2870.2	23490	3.0324	15241	9562.7	210.86	1	0	0	0	True
BRDN0007696169	Tsc2	2420.7/2461.3/2319.4	20433/20997/19918	2420.7	20433	3.0769	5953.7	8016.5	201.18	1	0	0	0	True
BRDN0007696167	Tsc2	3191.2/2919.1/3182.3	23307/23380/23602	3182.3	23380	2.8768	34671	10642	195.8	1	0	0	0	True
BRDN0007693222	Stat1	1796/1795.5/1848.5	16698/16638/16851	1796	16698	3.2161	1376.4	5885.3	194.25	1	0	0	0	True
BRDN0007696959	Jak1	1586/1671.1/1577.3	15040/15916/15326	1586	15326	3.2717	3662.8	5174.2	191.02	1	0	0	0	True
BRDN0007696960	Jak1	1912.5/1940.3/1902.7	14964/14872/15254	1912.5	14964	2.9673	433.9	6280.9	164.68	1	0	0	0	True
BRDN0007691887	Jak2	866.82/959.44/899.98	9370.5/9415.5/9798.9	899.98	9415.5	3.3856	2317.4	2878.4	158.72	1	0	0	0	True
BRDN0007696958	Jak1	3215/3472.7/3222.2	19276/19821/19568	3222.2	19568	2.602	31402	10780	157.44	1	0	0	0	True
BRDN0007693221	Stat1	1576.8/1392.8/1427	12101/11759/12131	1427	12101	3.0831	11801	4638.4	156.72	1	0	0	0	True
BRDN0007691848	Ifngr1	1265.8/1237.8/1282.4	11186/11410/11198	1265.8	11198	3.144	530.9	4097.1	155.16	1	0	0	0	True
BRDN0007691847	Ifngr1	1256.7/1245.9/1297.6	10688/11374/11004	1256.7	11004	3.1293	897.33	4066.4	152.85	1	0	0	0	True
BRDN0007693225	Stat1	1996/2010.6/2084.4	14216/14161/13976	2010.6	14161	2.8156	2828.8	6614.9	149.4	1	0	0	0	True
BRDN0007696166	Tsc2	2508.7/2418.5/2478.3	14006/15031/15124	2478.3	15031	2.6	2251.7	8214.1	138.5	1	0	0	0	True
BRDN0007690778	Irf1	1552/1788.4/1559.3	9295.3/9649.3/9610.3	1559.3	9610.3	2.6229	26270	5084.1	112.91	1	0	0	0	True
BRDN0007691849	Ifngr1	682.45/602.58/596.5	5130.6/5382.6/5389.1	602.58	5382.6	3.157	3208	1900.5	109.65	1	0	0	0	True
BRDN0007690783	Irf1	2105.1/2000.4/1932.2	10847/10728/10796	2000.4	10796	2.4315	7808.8	6580.2	108.43	1	0	0	0	True
BRDN0007690781	Irf1	1982.2/1907.7/2082.5	10103/10821/10625	1982.2	10625	2.4217	7808.8	6518.1	107.05	1	0	0	0	True
BRDN0007695725	Nprl2	2164.8/2200.3/1980.7	10937/11100/11300	2164.8	11100	2.3578	17566	7140.6	105.74	1	0	0	0	True
BRDN0007696162	Tsc1	1336.5/1240.8/1338.6	8144.3/8278.6/8555.2	1336.5	8278.6	2.6301	4573.4	4334	105.45	1	0	0	0	True
BRDN0007696957	Jak1	1286.9/1357.1/1396.6	8099.5/7893.4/8202.2	1357.1	8099.5	2.5765	3240.9	4403.2	101.61	1	0	0	0	True
