sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	amCD19_1to2rep1	amCD19_1to2rep2	amCD19_1to2rep3
BRDN0007693687	Zscan4f	1476.4074525693245	1389.811329117167	1480.7823086021153	1481.0796642348146	1202.0954087727648	1529.9367686258527
BRDN0007693686	Zscan4f	1431.0985412255054	1524.482969535497	1470.6777146848551	1133.1495248831188	954.4324296037831	1047.2136413710764
BRDN0007693685	Zscan4f	979.1145231859442	1001.9570047123761	993.9246016795836	372.64648804881085	334.785529153327	323.1289504889116
BRDN0007693684	Zscan4f	1080.7832998598797	1266.9907930556499	1151.9237065676505	1192.0885102377777	1144.3400104685359	1089.5750586607812
BRDN0007693683	Zscan4f	854.2387431407842	873.7496030341259	939.7272343051885	1082.7661986928458	1043.5127897001362	989.089836252644
BRDN0007693682	Zscan4f	1800.2004043678364	1821.83795157917	1934.5704354317957	2258.6940193978944	2418.8743933855876	2432.333471820496
BRDN0007693681	Zscan4c	927.1750394503467	1020.272347809269	1072.924154123617	688.2552483350487	632.3726661785065	686.6490197889372
BRDN0007693680	Zscan4c	1357.057149517313	1319.7820760996353	1396.27115947594	1241.5212076320076	1165.8759217006211	1250.1543846659415
BRDN0007693679	Zscan4c	1685.270482910344	1480.3106714782848	1460.5731207675951	2047.654426676374	1987.1772636878766	2113.1451182887663
BRDN0007693678	Zscan4c	890.7068912955655	922.2313935847247	807.4489139337837	580.8341943822027	616.7101852824445	681.7232735924598
BRDN0007693677	Zscan4c	1488.5635019542515	1512.631865178684	1326.457601502143	1258.6325259607795	1158.0446812525902	1266.9019217339644
BRDN0007693676	Zscan4c	1449.8851630022107	1458.763209011352	1431.1779384628385	799.4788174720661	832.0692976032981	830.4808087260747
BRDN0007694815	Zscan26	1291.8565209981589	1290.693001769276	1319.108805925954	1515.3023008923585	1377.3194137974592	1421.570352303352
BRDN0007694814	Zscan26	2539.5092260511283	2366.9887519925705	2567.485454431087	2118.0009575835475	2237.77695802487	2062.902507084698
BRDN0007694813	Zscan26	1117.2514480146608	1160.3308538443323	1076.5985519117116	1498.1909825635864	1675.8854558786427	1716.129974852695
BRDN0007694812	Zscan26	2020.1143886951534	2162.2878585567087	2335.9983937811285	2779.6385996293952	2892.664440491466	2853.977346238954
BRDN0007694811	Zscan26	1621.1749497898195	1784.1298922620376	1922.6286426204883	2185.4956021025923	2027.3123709840356	2221.511534611267
BRDN0007694810	Zscan26	1568.1303706555923	1722.719624231279	1586.4212450098344	1750.107613514951	1755.1767654149571	1629.4368417946944
BRDN0007694929	Zpld2	1454.3055445967298	1482.4654177249781	1560.7004604931724	1184.4834798694346	1056.2385554281866	1176.2681917187817
BRDN0007694928	Zpld2	1458.7259261912486	1318.7047029762887	1353.0969854658288	1578.9944302272318	1666.096405318604	1761.4468398602864
BRDN0007694927	Zpld2	1721.7386310651252	1574.0421332094425	1971.3144133127416	2558.142090151403	2723.3138658027947	2856.93279395684
BRDN0007694926	Zpld2	1486.353311156992	1680.70207242076	1682.8741869473172	1033.3335012986158	1011.2089228520082	940.8175235271664
BRDN0007694925	Zpld2	2033.3755334787102	1829.3795634425965	1997.9537972764272	2157.927367017349	2115.413826024385	2174.224371125085
BRDN0007694924	Zpld2	1872.0316052787691	1855.2365184029159	1738.9087532157594	2228.2738979245223	2243.6503883608934	2391.9423530093823
BRDN0007693675	Zmiz1	2087.525208011567	2181.680574776948	2204.6386728567472	1489.6353233992006	1311.7327750451993	1401.8673675174427
BRDN0007693674	Zmiz1	1771.4679240034634	1637.6071474868943	1743.5017504508776	1367.0042087096683	1385.1506542454904	1480.6793066610796
BRDN0007693673	Zmiz1	1026.6336253270226	1145.2476301174795	1102.3193364283736	902.1467274446977	819.3435318752477	819.6441670938245
BRDN0007693672	Zmiz1	948.1718520243116	888.8328267609788	897.4716597421009	1636.9827867858478	1718.9572783428134	1694.4566915881949
BRDN0007693671	Zmiz1	875.2355557147492	1034.2781984127755	1027.9127812194583	290.8924115891228	257.45202972902047	211.80708644852436
BRDN0007693670	Zmiz1	1149.299214574923	1192.6520475447317	1291.5508225152444	210.08896392547754	245.70516905697392	253.18335449893377
BRDN0007693669	Zfpm2	1618.96475899256	1458.763209011352	1467.0033168967607	1577.093172635146	1647.4972092545302	1633.3774387518763
BRDN0007693668	Zfpm2	1711.7927724774577	1659.1546099538273	1611.2234300794728	1213.952972546764	1099.3103778923573	1071.842372353463
BRDN0007693667	Zfpm2	1106.2004940283637	1161.408226967679	1060.9823613123096	1231.0642908755358	1269.6398576370325	1256.0652801017143
BRDN0007693666	Zfpm2	1124.987115805069	1038.587690906162	1071.0869552295696	603.6492854872319	595.1742740503591	507.351858237163
BRDN0007693665	Zfpm2	1982.5411451417424	2003.9140094247523	1862.9196785639515	1774.8239622120661	1764.9658159749958	1905.2786287974238
BRDN0007693664	Zfpm2	1321.6940967611617	1204.5031519015447	1348.5039882307105	917.3567881813839	833.048202659302	892.5452108016888
BRDN0007693663	Zfp984	1456.5157353939892	1408.12667221406	1361.3643804890414	1292.8551626183234	1431.1591918776728	1302.367294348601
BRDN0007693662	Zfp984	1361.4775311118321	1400.5850603506333	1342.9923915485685	750.0461200778361	812.4911964832205	782.2084960005969
BRDN0007693661	Zfp984	1165.8756455543692	1175.4140775711853	1240.1092534819204	624.5631190001753	627.4781408984871	622.6143192347321
BRDN0007693660	Zfp984	1091.834253846177	851.1247674438464	946.1574304343541	1214.903601342807	1159.023586308594	1257.0504293410097
BRDN0007693659	Zfp984	1873.136700677399	1954.3548457508068	1682.8741869473172	1906.961364862027	1908.8648592075663	1943.6994491299467
BRDN0007693658	Zfp984	1212.289652296818	1302.544106126089	1222.655863988471	752.8980064659648	874.1622150114649	767.431257411165
BRDN0007693657	Zfp983	1706.267295484309	1569.732640716056	1460.5731207675951	1201.5947981982065	1103.225998116373	1213.7038628120094
BRDN0007693656	Zfp983	1775.8883055979823	1901.5635627068214	1873.9428719282353	2270.101564950409	2368.95023552939	2265.843250379563
BRDN0007693655	Zfp983	1288.5412348022696	1299.311986756049	1281.4462285979844	876.4797499515398	862.4153543394184	886.634315365916
BRDN0007693654	Zfp983	1704.0571046870496	1737.802847958132	1737.0715543217123	1814.7503716458673	1731.6830440708638	1836.3181820467414
BRDN0007693653	Zfp983	1684.1653875117142	1532.0245813989236	1766.4667366264687	1132.1988960870758	1219.7156997808347	1154.5949084542817
BRDN0007693652	Zfp983	2192.509270881392	2196.763798503801	2318.545004287679	3265.4099144073093	3199.0617230206803	3325.8638318614803
BRDN0007693651	Zfp973	817.7705949860031	910.3802892279117	949.8318282224486	617.9087174278751	594.1953689943552	556.6093202019362
BRDN0007693650	Zfp973	755.8852526627379	787.5597531663946	780.809529970098	538.0558985602728	447.3596105937732	589.1192450986864
BRDN0007693649	Zfp973	811.1400225942247	746.6195744792223	803.7745161456892	315.6087602862378	310.31290275323	324.11409972820707
BRDN0007693648	Zfp973	1711.7927724774577	1896.1766970900883	2086.139344190697	1587.5500893916178	1522.1973620860335	1600.867513855126
BRDN0007693647	Zfp973	2340.592054297776	2266.793051521333	2255.1616424430476	2566.697749315789	2339.5830838492734	2496.3681723747013
BRDN0007693646	Zfp973	1244.3374188570804	1229.2827337385174	1145.493510438485	1432.5975956366274	1442.9060525497193	1654.065572777081
BRDN0007693645	Zfp968	2028.9551518841913	1920.956278927061	2044.8023690746331	1395.523072590955	1276.4921930290598	1358.5208009884423
BRDN0007693644	Zfp968	973.5890461927955	961.0168260252038	998.5175989147018	765.2561808145223	715.5795959388364	769.401555889756
BRDN0007693643	Zfp968	1733.8946804500524	1482.4654177249781	1626.8396206788748	1504.8453841358867	1519.2606469180218	1441.273337089261
BRDN0007693642	Zfp968	1142.6686421831448	1035.355571536122	1013.2151900670801	1121.7419793306042	975.9683408358685	1011.7482687564396
BRDN0007693641	Zfp968	1346.0061955310157	1176.491450694532	1193.2606816837144	815.6395070047952	825.2169622112709	779.2530482827106
BRDN0007693640	Zfp968	1625.5953313843384	1405.9719259673666	1598.3630378211417	1052.3460772194735	1063.0908908202139	1121.099834318236
BRDN0007693639	Zfp967	1404.5762516583916	1459.8405821346987	1469.7591152378316	1443.0545123930992	1393.9607997495252	1573.2833351548531
BRDN0007693638	Zfp967	644.2706174011348	502.05587547953473	649.4498090457168	185.37261522836255	184.03415052872947	183.23775850895595
BRDN0007693637	Zfp967	1280.8055670118615	1165.7177194610656	1302.5740158795281	1645.5384459502336	1605.4042918463633	1600.867513855126
BRDN0007693636	Zfp967	881.8661281065276	937.3146173115776	926.8668420468575	457.25245089662764	372.9628263374783	455.13894855450354
BRDN0007693635	Zfp967	1477.512547967954	1442.6026121611524	1410.9687506283183	1963.0484638285573	2018.5022254800008	1916.115270429674
BRDN0007693634	Zfp967	1257.5985636406372	1207.7352712715847	1114.261129239681	434.4373597915984	439.52837014574214	495.53006736561747
BRDN0007693633	Zfp966	1731.684489652793	1845.5401602927961	2012.6513884288056	1864.1830690400973	1825.6579294472365	1958.4766877193788
BRDN0007693632	Zfp966	1847.719506508915	1911.2599208169413	1794.0247200371782	2095.185866478518	2271.059729929002	2186.0461619966304
