sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
BRDN0007691846	Ifngr1	1852.1/1954.4/1891.4	36962/37185/37300	1891.4	37185	4.2965	2752.4	7168.6	416.85	1	0	0	0	True
BRDN0007691882	Jak2	1746.1/1640.8/1772	26971/28081/27609	1746.1	27609	3.9822	5870.8	6568.3	319.12	1	0	0	0	True
BRDN0007696962	Jak1	1695.2/1604.2/1726	22658/23194/22780	1695.2	22780	3.7474	4616.5	6359.5	264.39	1	0	0	0	True
BRDN0007696961	Jak1	1759.3/1918.8/2010.8	21036/20844/21373	1918.8	21036	3.4539	16952	7282.3	224.03	1	0	0	0	True
BRDN0007691883	Jak2	997.9/1124.8/1096.8	14266/13920/14521	1096.8	14266	3.7	5282.4	3951.7	209.49	1	0	0	0	True
BRDN0007693224	Stat1	1802.4/1751.8/1794	18513/19348/18796	1794	18796	3.3884	926.26	6765.9	206.69	1	0	0	0	True
BRDN0007691884	Jak2	2168.2/2385.3/2517	22557/22026/21873	2385.3	22026	3.2064	32235	9240.3	204.33	1	0	0	0	True
BRDN0007696167	Tsc2	2368.2/2344.4/2379.2	21791/21924/22060	2368.2	21924	3.2101	344.53	9167.8	204.24	1	0	0	0	True
BRDN0007696169	Tsc2	1924/1921/2119.2	19104/19689/18617	1924	19104	3.311	19063	7303.7	201.02	1	0	0	0	True
BRDN0007691885	Jak2	1262/1413.5/1256.6	14746/14437/14708	1262	14708	3.5418	11490	4606.2	198.12	1	0	0	0	True
BRDN0007691886	Jak2	1507.4/1591.3/1451.4	16249/15293/16362	1507.4	16249	3.4294	5088	5593.1	197.12	1	0	0	0	True
BRDN0007693222	Stat1	1406.8/1583.7/1694.8	15612/15601/15751	1583.7	15612	3.3004	21825	5903.7	182.58	1	0	0	0	True
BRDN0007696959	Jak1	1653.2/1504/1720.5	14062/14924/14325	1653.2	14325	3.1144	13397	6187.4	161.1	1	0	0	0	True
BRDN0007696960	Jak1	1550.4/1636.5/1594.7	13990/13945/14258	1594.7	13990	3.1323	1853.9	5948.3	160.72	1	0	0	0	True
