id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Chic2	6	4.3764e-09	3.2146e-06	0.002475	1	6	-1.0669	1.0	1.0	1.0	1021	0	-1.0669
Stub1	6	6.6472e-07	3.2146e-06	0.002475	2	6	-1.1553	0.99975	0.99987	1.0	1017	0	-1.1553
Xrn1	6	1.5202e-05	1.6073e-05	0.006931	3	5	-0.69099	0.46478	0.62531	1.0	545	1	-0.69099
Atg12	6	2.5536e-05	2.2502e-05	0.006931	4	5	-0.61734	0.88368	0.90319	1.0	861	1	-0.61734
B4galt1	6	2.8301e-05	2.2502e-05	0.006931	5	6	-0.68046	0.99997	0.99998	1.0	1020	0	-0.68046
Phf6	6	3.9737e-05	3.5361e-05	0.009076	6	6	-0.61684	0.99996	0.99998	1.0	1019	0	-0.61684
Keap1	6	8.5486e-05	8.6794e-05	0.019095	7	6	-0.74297	0.99991	0.99996	1.0	1018	0	-0.74297
Zmiz1	6	0.00011163	0.00013823	0.026609	8	5	-0.54482	0.071775	0.18219	1.0	165	1	-0.54482
Ppp6r3	6	0.00021638	0.00033753	0.057756	9	5	-0.68914	0.42143	0.59921	1.0	512	1	-0.68914
H2-T23	6	0.00024997	0.00038254	0.058911	10	6	-0.55297	0.99974	0.99984	1.0	1016	0	-0.55297
Ccdc71l	6	0.00028374	0.00045969	0.064356	11	5	-0.68684	0.97516	0.98233	1.0	983	0	-0.68684
B2m	6	0.00032701	0.00062685	0.068317	12	5	-0.42326	0.87315	0.88921	1.0	845	1	-0.42326
Ptpn2	6	0.00036441	0.00065899	0.068317	13	6	-0.92961	0.99935	0.9996	1.0	1013	0	-0.92961
Tm9sf3	6	0.00038497	0.00066542	0.068317	14	6	-0.32245	0.99962	0.99978	1.0	1015	0	-0.32245
Cdk6	6	0.00038635	0.00066542	0.068317	15	6	-0.7699	0.99961	0.99978	1.0	1014	0	-0.7699
Scgb1b2	6	0.00048416	0.00077472	0.074567	16	4	-0.38602	0.60767	0.75392	1.0	677	2	-0.38602
Cldn15	6	0.00056871	0.0010512	0.095224	17	4	-0.36836	0.99382	0.99523	1.0	1009	0	-0.36836
Cbx4	6	0.00059838	0.0011219	0.095985	18	4	-0.46775	0.65566	0.77424	1.0	707	1	-0.46775
Rbck1	6	0.00089863	0.0018227	0.136964	19	4	-0.2389	0.626	0.76595	1.0	690	1	-0.2389
Prmt7	6	0.00093617	0.0018677	0.136964	20	5	-0.5265	0.97863	0.98402	1.0	986	0	-0.5265
Eed	6	0.0010468	0.0021184	0.14829	21	5	-0.65595	0.8115	0.8412	1.0	797	1	-0.65595
Tap1	6	0.0012153	0.0025235	0.163366	22	4	-0.24825	0.92278	0.93432	1.0	916	0	-0.24825
Ufsp2	6	0.0012306	0.0025878	0.163366	23	5	-0.55152	0.99721	0.99844	1.0	1011	0	-0.55152
Aebp2	6	0.0012969	0.0026521	0.163366	24	4	-0.51951	0.59063	0.73384	1.0	654	2	-0.51951
Shoc2	6	0.0014185	0.0030057	0.178027	25	5	-0.84785	0.91724	0.92724	1.0	907	0	-0.84785
Zfp316	6	0.0021367	0.0040022	0.228273	26	4	-0.24771	0.051588	0.12081	1.0	127	1	-0.24771
Slc26a1	6	0.0024165	0.0042594	0.234264	27	3	-0.094439	0.11283	0.26202	1.0	236	2	-0.094439
Zbtb7a	6	0.002548	0.0045615	0.242233	28	4	-0.43699	0.74732	0.80387	1.0	750	1	-0.43699
Rcor1	6	0.0027271	0.0048058	0.2467	29	4	-0.76896	0.70215	0.79134	1.0	729	1	-0.76896
Ing5	6	0.0027946	0.0050051	0.248643	30	5	-0.41721	0.93365	0.94988	1.0	931	0	-0.41721
Eif3k	6	0.0033818	0.0058924	0.252743	31	4	-0.41816	0.35599	0.55252	1.0	473	1	-0.41816
Ifit2	6	0.0033848	0.0058924	0.252743	32	5	-0.3271	0.89715	0.91273	1.0	882	1	-0.3271
Rap2c	6	0.0034634	0.0060017	0.252743	33	5	-0.5026	0.9013	0.91615	1.0	886	1	-0.5026
Gtdc1	6	0.0036951	0.0060081	0.252743	34	4	-0.40018	0.96269	0.97285	1.0	968	0	-0.40018
Zc3hav1	6	0.0037461	0.0060081	0.252743	35	4	-0.38478	0.81532	0.84474	1.0	800	1	-0.38478
Rnf31	6	0.0038497	0.0060724	0.252743	36	5	-0.30979	0.99749	0.99874	1.0	1012	0	-0.30979
Sik3	6	0.0043462	0.0070432	0.278116	37	3	-0.26869	0.48178	0.63784	1.0	565	2	-0.26869
Brd4	6	0.0047031	0.0077568	0.298639	38	3	-0.065546	0.14389	0.3051	1.0	279	2	-0.065546
Arxes2	6	0.0050224	0.0082133	0.303277	39	4	-0.32762	0.62982	0.76837	1.0	691	1	-0.32762
Mup21	6	0.0051193	0.0082712	0.303277	40	4	-0.31595	0.1326	0.29127	1.0	266	2	-0.31595
Aldoc	6	0.0052639	0.0086248	0.308888	41	4	-0.36109	0.98382	0.98742	1.0	990	0	-0.36109
Sdhaf3	6	0.0057995	0.0096085	0.33379	42	5	-0.419	0.99131	0.99408	1.0	1003	0	-0.419
Tomm20	6	0.0059918	0.0098206	0.33379	43	5	-0.42906	0.76084	0.81784	1.0	757	1	-0.42906
Gas6	6	0.0062728	0.010052	0.33379	44	2	0.091341	0.24921	0.44255	1.0	394	3	0.091341
Rpl31	6	0.0064724	0.010187	0.33379	45	5	-0.72177	0.35464	0.55252	1.0	472	1	-0.72177
Sstr4	1	0.0066925	0.0015977	0.129495	46	1	-0.83567	0.99331	0.9984	1.0	1007	0	-0.83567
Gbp3	6	0.00708	0.012058	0.371584	47	5	-0.42082	0.93425	0.94988	1.0	933	0	-0.42082
Rerg	6	0.007235	0.012064	0.371584	48	3	-0.10909	0.088783	0.21371	1.0	207	2	-0.10909
Ldlrap1	6	0.0072986	0.012064	0.371584	49	5	-0.40565	0.74048	0.8027	1.0	743	1	-0.40565
Spred2	6	0.0077357	0.013138	0.396719	50	4	-0.3836	0.77986	0.82977	1.0	773	1	-0.3836
Ufc1	6	0.0085808	0.014045	0.415937	51	3	-0.32606	0.45784	0.62067	1.0	539	1	-0.32606
Defa40	6	0.0087957	0.014694	0.426957	52	4	-0.47821	0.96488	0.97383	1.0	970	0	-0.47821
Zfp984	6	0.0090398	0.015549	0.443436	53	3	-0.065505	0.1799	0.34507	1.0	318	3	-0.065505
Usp22	6	0.0096709	0.016693	0.453101	54	5	-0.40934	0.99034	0.9933	1.0	1001	0	-0.40934
Lce3e	6	0.0097328	0.016764	0.453101	55	5	-0.2727	0.6336	0.76838	1.0	694	1	-0.2727
Casp8	6	0.010117	0.016771	0.453101	56	3	0.048529	0.073518	0.18219	1.0	166	3	0.048529
Elob	6	0.011382	0.01931	0.500649	57	5	-0.52159	0.9904	0.9933	1.0	1002	0	-0.52159
Sfxn4	6	0.011564	0.01949	0.500649	58	5	-0.39439	0.3778	0.57103	1.0	484	1	-0.39439
Ttc9c	6	0.0118	0.019824	0.500649	59	3	-0.18024	0.263	0.46779	1.0	408	2	-0.18024
Vmn1r128	6	0.011918	0.019831	0.500649	60	3	-0.22778	0.47874	0.63783	1.0	561	2	-0.22778
Hic2	6	0.012081	0.020275	0.503593	61	5	-0.21471	0.52963	0.67403	1.0	604	1	-0.21471
Ube2l3	6	0.012654	0.022422	0.539752	62	5	-0.33629	0.86388	0.87884	1.0	837	1	-0.33629
Dact1	1	0.012659	0.0063167	0.255993	63	1	-0.78617	0.98734	0.99368	1.0	996	0	-0.78617
Pqbp1	6	0.012901	0.022795	0.539752	64	5	-0.33581	0.25622	0.465	1.0	400	1	-0.33581
Nid1	6	0.012992	0.022801	0.539752	65	2	0.063236	0.088904	0.21371	1.0	208	3	0.063236
Tial1	6	0.013433	0.023258	0.539752	66	4	-0.22569	0.75581	0.81051	1.0	754	1	-0.22569
Lce3f	6	0.013586	0.023483	0.539752	67	4	-0.46381	0.30005	0.51521	1.0	445	2	-0.46381
Prdm9	6	0.013948	0.024736	0.552088	68	4	-0.30162	0.82482	0.8482	1.0	808	1	-0.30162
Fbxw28	6	0.01396	0.024736	0.552088	69	5	-0.28465	0.99345	0.99505	1.0	1008	0	-0.28465
Apobec3	6	0.014221	0.026119	0.566518	70	4	-0.39104	0.76435	0.82009	1.0	760	1	-0.39104
Fbxl5	6	0.014238	0.026119	0.566518	71	4	-0.33183	0.98937	0.99267	1.0	1000	0	-0.33183
Fech	6	0.014904	0.027225	0.582302	72	1	0.31855	0.19967	0.37701	1.0	343	3	0.31855
Lhx9	6	0.015212	0.027848	0.587481	73	2	0.085707	0.031688	0.072685	1.0	93	3	0.085707
Flii	6	0.015814	0.029693	0.590924	74	4	-0.37989	0.53788	0.67992	1.0	610	2	-0.37989
Hgf	6	0.015859	0.029693	0.590924	75	2	-0.065923	0.51699	0.6632	1.0	591	2	-0.065923
Cdc7	6	0.016725	0.031866	0.590924	76	5	-0.29578	0.94946	0.96427	1.0	949	0	-0.29578
Atic	6	0.016795	0.031866	0.590924	77	2	-0.13116	0.12847	0.28577	1.0	260	2	-0.13116
Degs2	6	0.016814	0.031866	0.590924	78	3	-0.10645	0.80465	0.83785	1.0	789	1	-0.10645
Tas2r107	6	0.016839	0.031866	0.590924	79	5	-0.23636	0.82572	0.84935	1.0	809	1	-0.23636
Gars	6	0.017224	0.031873	0.590924	80	5	-0.42218	0.84871	0.86461	1.0	824	1	-0.42218
BC080696	6	0.017688	0.033454	0.590924	81	3	-0.051123	0.85828	0.87078	1.0	834	1	-0.051123
Hlf	6	0.017779	0.033461	0.590924	82	3	-0.2316	0.4473	0.61005	1.0	533	2	-0.2316
Bmi1	6	0.01799	0.033686	0.590924	83	4	-0.23298	0.97812	0.98354	1.0	985	0	-0.23298
Gpatch4	6	0.018142	0.033692	0.590924	84	5	-0.35874	0.95592	0.96799	1.0	959	0	-0.35874
Plac1	6	0.01856	0.034528	0.590924	85	4	-0.30543	0.0064676	0.019188	0.70356	40	2	-0.30543
Rd3l	6	0.018601	0.034535	0.590924	86	3	-0.12776	0.78528	0.82978	1.0	776	1	-0.12776
Wipi2	6	0.018613	0.034535	0.590924	87	4	-0.36309	0.52236	0.67123	1.0	596	1	-0.36309
Ppil1	6	0.018622	0.034535	0.590924	88	5	-0.30906	0.93901	0.9542	1.0	937	0	-0.30906
Pla2g2f	6	0.019066	0.036354	0.592965	89	4	-0.22573	0.91928	0.92942	1.0	911	0	-0.22573
Prpf39	6	0.019222	0.036573	0.592965	90	4	-0.25278	0.075195	0.18336	1.0	168	2	-0.25278
Rack1	6	0.019254	0.036573	0.592965	91	5	-0.61363	0.91112	0.92071	1.0	898	0	-0.61363
