sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	ahEGFRv3_1to10rep1	ahEGFRv3_1to10rep2	ahEGFRv3_1to10rep3
BRDN0007693687	Zscan4f	853.4665657378744	795.6299970442902	850.954370436372	829.7316288771236	823.55750031316	788.0237376163699
BRDN0007693686	Zscan4f	827.2748522683737	872.7259269904423	845.1476098440642	879.4799920646171	874.823127842694	908.75615290335
BRDN0007693685	Zscan4f	565.9965398531112	573.593718799372	571.1740873524532	293.15999735487236	388.6265312722743	311.62015297044854
BRDN0007693684	Zscan4f	624.7681895895518	725.3185089333995	661.9707075230834	556.1156313459094	468.0055674470367	567.7686556739062
BRDN0007693683	Zscan4f	493.80962224204853	500.19839349063517	540.0287350846206	442.4050869173529	454.7757280845763	383.4069944924367
BRDN0007693682	Zscan4f	1040.6414937028424	1042.9537403115462	1111.7307097636472	929.2283552521106	874.823127842694	792.918294992869
BRDN0007693681	Zscan4c	535.9718927051472	584.0787652720487	616.5723974377682	406.87054178342896	443.19961864242345	354.03965023344153
BRDN0007693680	Zscan4c	784.4737595255312	755.5401134722911	802.3887363916162	701.8072663949976	747.4859239790127	758.6563933573747
BRDN0007693679	Zscan4c	974.2039766094748	847.4384619681044	839.3408492517565	1002.0741727766547	950.8947041768414	910.3876720288497
BRDN0007693678	Zscan4c	514.8907574735979	527.9529282712499	464.0129600580465	350.01526956915063	380.35788167073656	329.5668633509456
BRDN0007693677	Zscan4c	860.4936108150574	865.941485155181	762.2692995720354	675.1563575445546	628.4173697168691	641.1870163213941
BRDN0007693676	Zscan4c	838.1348310240203	835.1031131767201	822.4484548014067	504.59054090171975	621.8024500356389	499.24485240291756
BRDN0007694815	Zscan26	746.78324502064	738.8873926039222	758.046200959448	673.3796302878584	699.5277562900937	606.9251146858998
BRDN0007694814	Zscan26	1468.0135988515233	1355.03806473357	1475.4450777727418	1702.104711914956	1890.2132989115298	1709.8320435237176
BRDN0007694813	Zscan26	645.849324821101	664.2585324160469	618.683946744062	465.5025412544034	477.927946968882	404.6167431239332
BRDN0007694812	Zscan26	1167.767127371882	1237.8522512154188	1342.4174714762369	1501.3345319082857	1625.6165116623217	1530.3649397187473
BRDN0007694811	Zscan26	937.1522843843276	1021.3668799266237	1104.8681745181925	1305.8945336717043	1094.7692072435982	1270.9533987642901
BRDN0007694810	Zscan26	906.4888149566195	986.2111358711783	911.6614129923166	1115.7847172052113	1081.5393678811379	1243.2175736307947
BRDN0007694929	Zpld2	840.690120142996	848.6719968472429	896.8805678482605	831.5083561338198	854.9783687990034	778.2346228633714
BRDN0007694928	Zpld2	843.2454092619716	754.9233460327218	777.578032042665	790.6436292298073	962.4708136189942	801.0758906203677
BRDN0007694927	Zpld2	995.2851118410241	901.0972292106263	1132.8462028265844	1096.2407173815532	1159.2646741355927	1235.059978003296
BRDN0007694926	Zpld2	859.2159662555696	962.1572057279789	967.089582282527	961.2094458726422	952.5484340971489	934.8604589113456
BRDN0007694925	Zpld2	1175.432994728809	1047.2711123885308	1148.154935297214	1497.7810773948934	1349.4436149709609	1404.737967055268
BRDN0007694924	Zpld2	1082.1649418861969	1062.073530938192	999.2907092035063	998.5207182632623	1160.9184040559003	974.0169179233392
BRDN0007693675	Zmiz1	1206.735286436261	1248.9540651276648	1266.929583776236	1334.3221697788433	1301.485447282042	1393.3173331767698
