id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Mogs	4	5.6874e-10	1.1764e-06	4.7e-05	1	4	-1.607	1.0	1.0	1.0	3747	0	-1.607
Fasn	4	2.5502e-09	1.1764e-06	4.7e-05	2	4	-1.2828	1.0	1.0	1.0	3746	0	-1.2828
Socs1	4	3.7241e-09	1.1764e-06	4.7e-05	3	3	-2.3565	0.044632	0.016269	0.510898	137	1	-2.3565
Fdps	4	7.3582e-09	1.1764e-06	4.7e-05	4	4	-1.3072	1.0	1.0	1.0	3745	0	-1.3072
Lig3	4	2.0244e-08	1.1764e-06	4.7e-05	5	3	-1.1397	0.99999	1.0	1.0	3717	0	-1.1397
Ptpn2	4	2.334e-08	1.1764e-06	4.7e-05	6	4	-1.1679	1.0	1.0	1.0	3744	0	-1.1679
Derl2	4	3.6003e-08	1.1764e-06	4.7e-05	7	4	-1.103	1.0	1.0	1.0	3743	0	-1.103
Gclc	4	7.1188e-08	1.1764e-06	4.7e-05	8	4	-1.1316	1.0	1.0	1.0	3742	0	-1.1316
Traf3	4	1.2384e-07	1.1764e-06	4.7e-05	9	4	-1.0177	1.0	1.0	1.0	3741	0	-1.0177
Srebf1	4	1.3298e-07	1.1764e-06	4.7e-05	10	4	-0.91203	1.0	1.0	1.0	3740	0	-0.91203
Pik3r4	4	1.9382e-07	1.1764e-06	4.7e-05	11	4	-1.0732	1.0	1.0	1.0	3739	0	-1.0732
Cs	4	2.4265e-07	1.1764e-06	4.7e-05	12	4	-1.1524	1.0	1.0	1.0	3738	0	-1.1524
Canx	4	2.8995e-07	1.1764e-06	4.7e-05	13	4	-0.71769	1.0	1.0	1.0	3737	0	-0.71769
Vdac2	4	3.0018e-07	1.1764e-06	4.7e-05	14	4	-1.2762	1.0	1.0	1.0	3736	0	-1.2762
Ugp2	4	3.1068e-07	1.1764e-06	4.7e-05	15	4	-0.91824	1.0	1.0	1.0	3735	0	-0.91824
Icmt	4	4.0061e-07	1.1764e-06	4.7e-05	16	4	-0.74673	1.0	1.0	1.0	3734	0	-0.74673
H2az1	3	4.5876e-07	1.1764e-06	4.7e-05	17	3	-1.173	1.0	1.0	1.0	3733	0	-1.173
Stt3b	4	5.7887e-07	1.1764e-06	4.7e-05	18	4	-1.1028	1.0	1.0	1.0	3732	0	-1.1028
Vhl	4	7.337e-07	1.1764e-06	4.7e-05	19	4	-0.92848	1.0	1.0	1.0	3731	0	-0.92848
Atg7	4	7.8925e-07	1.1764e-06	4.7e-05	20	4	-0.67002	1.0	1.0	1.0	3730	0	-0.67002
Pdss1	4	9.6659e-07	1.1764e-06	4.7e-05	21	4	-0.98717	1.0	1.0	1.0	3729	0	-0.98717
Wrap53	4	1.1157e-06	1.1764e-06	4.7e-05	22	4	-1.0805	1.0	1.0	1.0	3728	0	-1.0805
Apex1	4	1.5104e-06	1.1764e-06	4.7e-05	23	3	-0.99499	0.99982	1.0	1.0	3678	0	-0.99499
Acsl4	4	1.9043e-06	1.1764e-06	4.7e-05	24	4	-0.81672	1.0	1.0	1.0	3727	0	-0.81672
Ssbp1	4	2.2897e-06	1.1764e-06	4.7e-05	25	4	-1.0539	1.0	1.0	1.0	3726	0	-1.0539
Nme6	4	2.3215e-06	1.1764e-06	4.7e-05	26	4	-0.89528	1.0	1.0	1.0	3725	0	-0.89528
Nt5c	4	2.659e-06	1.1764e-06	4.7e-05	27	4	-0.95595	1.0	1.0	1.0	3724	0	-0.95595
Arih1	4	2.7307e-06	1.1764e-06	4.7e-05	28	4	-1.0754	1.0	1.0	1.0	3723	0	-1.0754
Mpi	4	3.9732e-06	1.1764e-06	4.7e-05	29	3	-1.3014	0.86069	0.89769	1.0	2963	0	-1.3014
Rps6ka1	4	3.9896e-06	1.1764e-06	4.7e-05	30	4	-0.60448	1.0	1.0	1.0	3722	0	-0.60448
Rab10	4	4.5191e-06	1.1764e-06	4.7e-05	31	4	-1.0189	1.0	1.0	1.0	3721	0	-1.0189
Mocs3	4	5.3052e-06	1.1764e-06	4.7e-05	32	4	-0.85382	0.99999	1.0	1.0	3720	0	-0.85382
Rpe	4	6.0899e-06	1.1764e-06	4.7e-05	33	4	-1.4766	0.99999	1.0	1.0	3719	0	-1.4766
Ube2g2	4	1.7863e-05	1.1764e-06	4.7e-05	34	3	-1.281	0.99998	1.0	1.0	3712	0	-1.281
Stt3a	4	1.8082e-05	1.1764e-06	4.7e-05	35	3	-0.74378	0.99999	1.0	1.0	3716	0	-0.74378
Sumo2	4	1.8302e-05	1.1764e-06	4.7e-05	36	3	-0.71464	0.99992	1.0	1.0	3687	0	-0.71464
Dnajc3	4	3.6717e-05	1.1764e-06	4.7e-05	37	3	-0.9067	0.99998	1.0	1.0	3713	0	-0.9067
Med13	4	3.9963e-05	1.1764e-06	4.7e-05	38	3	-0.84404	0.99993	1.0	1.0	3689	0	-0.84404
Ncaph2_Sco2	4	4.0212e-05	1.1764e-06	4.7e-05	39	3	-0.87978	0.9987	0.99996	1.0	3630	0	-0.87978
Coasy	4	4.2616e-05	1.1764e-06	4.7e-05	40	3	-0.7373	0.99997	1.0	1.0	3708	0	-0.7373
Oxsm	4	4.7015e-05	1.1764e-06	4.7e-05	41	3	-0.81718	0.99997	1.0	1.0	3703	0	-0.81718
Cenpp	4	5.7636e-05	1.1764e-06	4.7e-05	42	3	-0.9276	0.79062	0.8273	1.0	2702	0	-0.9276
Sec31a	4	6.1501e-05	1.1764e-06	4.7e-05	43	3	-0.69187	0.99795	0.99989	1.0	3613	0	-0.69187
Gss_Gssos2	2	6.2641e-05	1.1764e-06	4.7e-05	44	2	-1.4055	0.99994	1.0	1.0	3690	0	-1.4055
Scd1	4	6.814e-05	1.1764e-06	4.7e-05	45	3	-0.87793	0.99997	1.0	1.0	3705	0	-0.87793
Cox15	4	7.1904e-05	1.1764e-06	4.7e-05	46	3	-0.93693	0.99562	0.99955	1.0	3572	0	-0.93693
Ndufb3	3	7.3899e-05	1.1764e-06	4.7e-05	47	3	-0.76659	0.99993	1.0	1.0	3688	0	-0.76659
Ndufa8	4	7.6371e-05	1.1764e-06	4.7e-05	48	3	-1.0202	0.99973	1.0	1.0	3672	0	-1.0202
Sec23b	4	8.3436e-05	1.1764e-06	4.7e-05	49	2	-0.88667	0.99987	1.0	1.0	3682	0	-0.88667
Dnaja2	4	8.5234e-05	1.1764e-06	4.7e-05	50	3	-0.84686	0.99995	1.0	1.0	3695	0	-0.84686
Ctbp1	4	9.4753e-05	1.1764e-06	4.7e-05	51	3	-0.92963	0.99999	1.0	1.0	3718	0	-0.92963
Cars2	4	0.0001126	1.1764e-06	4.7e-05	52	2	-0.66664	0.97219	0.9905	1.0	3394	0	-0.66664
Mapk1	4	0.00011888	1.1764e-06	4.7e-05	53	3	-0.7963	0.99997	1.0	1.0	3704	0	-0.7963
Pfn1	4	0.00012588	1.1764e-06	4.7e-05	54	3	-0.76112	0.99686	0.99975	1.0	3596	0	-0.76112
Ska2	4	0.00013232	1.1764e-06	4.7e-05	55	3	-0.89605	0.99843	0.99995	1.0	3621	0	-0.89605
Elp3	4	0.00013563	1.1764e-06	4.7e-05	56	3	-0.86949	0.99999	1.0	1.0	3715	0	-0.86949
