id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Srebf1	4	6.9394e-09	1.1764e-06	7.1e-05	1	4	-1.1133	1.0	1.0	1.0	3747	0	-1.1133
H2az1	3	1.149e-08	1.1764e-06	7.1e-05	2	3	-1.2636	1.0	1.0	1.0	3746	0	-1.2636
Fasn	4	1.4354e-08	1.1764e-06	7.1e-05	3	4	-1.2261	1.0	1.0	1.0	3745	0	-1.2261
Nme6	4	1.2384e-07	1.1764e-06	7.1e-05	4	4	-1.2255	1.0	1.0	1.0	3744	0	-1.2255
Lig3	4	1.5703e-07	1.1764e-06	7.1e-05	5	4	-1.005	1.0	1.0	1.0	3743	0	-1.005
Oxsm	4	3.2879e-07	1.1764e-06	7.1e-05	6	4	-1.2104	1.0	1.0	1.0	3742	0	-1.2104
Rpe	4	3.879e-07	1.1764e-06	7.1e-05	7	4	-1.2869	1.0	1.0	1.0	3741	0	-1.2869
Icmt	4	5.2963e-07	1.1764e-06	7.1e-05	8	4	-0.65098	1.0	1.0	1.0	3740	0	-0.65098
Mpi	4	5.5104e-07	1.1764e-06	7.1e-05	9	3	-1.3072	0.93792	0.9649	1.0	3327	0	-1.3072
Traf3	4	7.5418e-07	1.1764e-06	7.1e-05	10	4	-0.93114	1.0	1.0	1.0	3739	0	-0.93114
Socs1	4	8.1533e-07	1.1764e-06	7.1e-05	11	3	-1.7108	0.99991	1.0	1.0	3713	0	-1.7108
Stt3b	4	9.1771e-07	1.1764e-06	7.1e-05	12	4	-1.1801	1.0	1.0	1.0	3738	0	-1.1801
Fdps	4	1.5818e-06	1.1764e-06	7.1e-05	13	4	-0.89841	1.0	1.0	1.0	3737	0	-0.89841
Wrap53	4	2.4692e-06	1.1764e-06	7.1e-05	14	4	-1.2237	1.0	1.0	1.0	3736	0	-1.2237
Pik3r4	4	2.6237e-06	1.1764e-06	7.1e-05	15	4	-0.90929	1.0	1.0	1.0	3735	0	-0.90929
Vdac2	4	2.6413e-06	1.1764e-06	7.1e-05	16	4	-0.89507	1.0	1.0	1.0	3734	0	-0.89507
Nt5c	4	2.9353e-06	1.1764e-06	7.1e-05	17	4	-1.0983	1.0	1.0	1.0	3733	0	-1.0983
Ndufa1	4	3.3155e-06	1.1764e-06	7.1e-05	18	4	-1.4111	1.0	1.0	1.0	3732	0	-1.4111
Rad50	4	3.5861e-06	1.1764e-06	7.1e-05	19	3	-1.1128	0.29317	0.29298	1.0	1040	0	-1.1128
Ncaph2_Sco2	4	4.2183e-06	1.1764e-06	7.1e-05	20	3	-1.0045	0.99995	1.0	1.0	3717	0	-1.0045
Mogs	4	5.2755e-06	1.1764e-06	7.1e-05	21	4	-0.92963	0.99999	1.0	1.0	3731	0	-0.92963
Gclc	4	6.0241e-06	1.1764e-06	7.1e-05	22	4	-1.0574	0.99999	1.0	1.0	3730	0	-1.0574
