id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Ptpn1	4	1.8847e-14	1.1764e-06	0.00099	1	4	-2.3865	1.0	1.0	1.0	3747	0	-2.3865
Atg7	4	6.1093e-11	1.1764e-06	0.00099	2	4	-1.0874	1.0	1.0	1.0	3746	0	-1.0874
Ptpn2	4	1.1396e-10	1.1764e-06	0.00099	3	4	-1.5468	1.0	1.0	1.0	3745	0	-1.5468
Dusp5	4	3.4645e-08	1.1764e-06	0.00099	4	4	-0.72109	1.0	0.99999	1.0	3744	0	-0.72109
Irf9	4	1.8733e-06	3.5293e-06	0.002475	5	3	-0.65375	0.99997	0.99998	1.0	3740	0	-0.65375
Hdac1	4	4.0644e-06	8.2351e-06	0.004332	6	4	-0.6545	1.0	0.99999	1.0	3743	0	-0.6545
Ncoa3	4	4.9224e-06	8.2351e-06	0.004332	7	3	-0.55316	0.99934	0.99958	1.0	3729	0	-0.55316
Ptprc	4	2.6045e-05	2.4705e-05	0.011551	8	3	-0.63354	0.99788	0.99857	1.0	3718	0	-0.63354
Atg12	4	3.0152e-05	3.1764e-05	0.013366	9	3	-0.69708	0.99743	0.99842	1.0	3713	0	-0.69708
Icmt	4	3.5006e-05	3.647e-05	0.013951	10	3	-0.49361	0.99818	0.99869	1.0	3721	0	-0.49361
Ube2j1	4	4.9986e-05	4.8234e-05	0.015613	11	3	-0.7183	0.054495	0.03009	0.543471	190	1	-0.7183
Stub1	4	5.0417e-05	4.8234e-05	0.015613	12	3	-0.74464	0.99961	0.99975	1.0	3734	0	-0.74464
Cdk6	4	6.4535e-05	6.2352e-05	0.016016	13	3	-0.56056	0.99997	0.99998	1.0	3742	0	-0.56056
Rce1	4	6.764e-05	6.2352e-05	0.016016	14	3	-0.45907	0.78875	0.77783	1.0	2881	0	-0.45907
Cflar	4	7.47e-05	6.4705e-05	0.016016	15	2	-0.49013	0.99941	0.99964	1.0	3730	0	-0.49013
Psen1	4	7.6973e-05	6.4705e-05	0.016016	16	3	-0.57467	0.79009	0.78042	1.0	2887	0	-0.57467
Derl2	4	0.00013989	0.00011176	0.025274	17	3	-0.68903	0.19454	0.15057	0.9457	676	0	-0.68903
Atg3	4	0.00014613	0.00011412	0.025274	18	2	-0.40257	0.84222	0.84509	1.0	3079	0	-0.40257
Atg16l1	4	0.00018396	0.00015882	0.033416	19	2	-0.61444	0.99577	0.99738	1.0	3699	0	-0.61444
Nrbf2	4	0.00022611	0.00022	0.044083	20	2	-0.37114	0.87601	0.88776	1.0	3212	0	-0.37114
Ppp3ca	4	0.00040378	0.0004294	0.078562	21	3	-0.46597	0.81687	0.81149	1.0	3003	0	-0.46597
Dnajb12	4	0.00042406	0.0004294	0.078562	22	2	-0.45822	0.92933	0.93322	1.0	3410	0	-0.45822
Atf6	4	0.000641	0.00048823	0.082178	23	2	-0.62856	0.022841	0.0076081	0.316979	93	1	-0.62856
H2bc4_H2bc6_H2bc8_H2bc9	2	0.0007389	0.00047646	0.082178	24	2	-0.91835	0.99926	0.99952	1.0	3728	0	-0.91835
Atg13	4	0.00095124	0.00056117	0.090823	25	2	-0.29677	0.52449	0.49502	1.0	1913	0	-0.29677
Nf1	4	0.0010644	0.00070469	0.095976	26	2	-0.25166	0.36161	0.31851	1.0	1288	0	-0.25166
Dapk2	4	0.0010964	0.00070469	0.095976	27	2	-0.2836	0.79498	0.7831	1.0	2912	0	-0.2836
Ccr6	4	0.0011072	0.00070469	0.095976	28	2	-0.16612	0.36488	0.32455	1.0	1298	0	-0.16612
Med30	4	0.0011288	0.00070469	0.095976	29	2	-0.60525	0.1374	0.08679	0.737594	479	1	-0.60525
Bcap31	4	0.0011728	0.00070705	0.095976	30	2	-0.55665	0.99956	0.99971	1.0	3733	0	-0.55665
