id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Dph6	4	3.3597e-10	1.1567e-06	4.9e-05	1	4	-1.2227	1.0	1.0	1.0	3823	0	-1.2227
Mcat	4	5.5024e-09	1.1567e-06	4.9e-05	2	4	-1.3501	1.0	1.0	1.0	3815	0	-1.3501
Alg3	4	1.7462e-08	1.1567e-06	4.9e-05	3	4	-1.2103	1.0	1.0	1.0	3822	0	-1.2103
Dnajc11	4	1.8724e-08	1.1567e-06	4.9e-05	4	4	-1.1784	1.0	1.0	1.0	3821	0	-1.1784
Vps39	4	4.1347e-08	1.1567e-06	4.9e-05	5	4	-1.0829	1.0	1.0	1.0	3820	0	-1.0829
Ippk	4	5.6331e-08	1.1567e-06	4.9e-05	6	4	-1.0211	1.0	1.0	1.0	3819	0	-1.0211
Tpk1	4	1.2431e-07	1.1567e-06	4.9e-05	7	4	-0.94097	1.0	1.0	1.0	3818	0	-0.94097
Tecr	4	1.492e-07	1.1567e-06	4.9e-05	8	4	-1.3083	1.0	1.0	1.0	3817	0	-1.3083
Alad	4	1.896e-07	1.1567e-06	4.9e-05	9	4	-1.2222	1.0	1.0	1.0	3816	0	-1.2222
Ube2m	4	2.447e-07	1.1567e-06	4.9e-05	10	3	-0.99201	0.99999	1.0	1.0	3795	0	-0.99201
Elovl6	4	3.4132e-07	1.1567e-06	4.9e-05	11	4	-0.81745	1.0	1.0	1.0	3814	0	-0.81745
Vkorc1l1	4	3.6475e-07	1.1567e-06	4.9e-05	12	4	-1.1466	1.0	1.0	1.0	3813	0	-1.1466
Sephs1	4	3.9784e-07	1.1567e-06	4.9e-05	13	4	-0.88191	1.0	1.0	1.0	3812	0	-0.88191
Mtif2	4	4.152e-07	1.1567e-06	4.9e-05	14	4	-1.1301	1.0	1.0	1.0	3811	0	-1.1301
Cox14	4	6.4605e-07	1.1567e-06	4.9e-05	15	4	-0.90617	1.0	1.0	1.0	3810	0	-0.90617
Txnrd2	4	6.6091e-07	1.1567e-06	4.9e-05	16	3	-1.2645	0.68603	0.72433	1.0	2387	0	-1.2645
Hacd2	4	8.1763e-07	1.1567e-06	4.9e-05	17	4	-1.6136	1.0	1.0	1.0	3802	0	-1.6136
Arf1	4	1.0626e-06	1.1567e-06	4.9e-05	18	3	-1.0846	0.99975	1.0	1.0	3737	0	-1.0846
Coq6	4	1.5147e-06	1.1567e-06	4.9e-05	19	3	-1.0128	0.99986	1.0	1.0	3743	0	-1.0128
Hsd17b10	4	1.6614e-06	1.1567e-06	4.9e-05	20	4	-0.92312	1.0	1.0	1.0	3809	0	-0.92312
Vps45	4	1.6865e-06	1.1567e-06	4.9e-05	21	4	-0.885	1.0	1.0	1.0	3808	0	-0.885
Tiprl	4	1.6898e-06	1.1567e-06	4.9e-05	22	4	-0.87211	1.0	1.0	1.0	3799	0	-0.87211
Mtg2	4	1.9769e-06	1.1567e-06	4.9e-05	23	3	-1.3172	0.99197	0.99836	1.0	3625	0	-1.3172
Cenpo	4	2.2948e-06	1.1567e-06	4.9e-05	24	3	-1.0348	0.99999	1.0	1.0	3787	0	-1.0348
Taz	4	2.4617e-06	1.1567e-06	4.9e-05	25	4	-0.80663	1.0	1.0	1.0	3807	0	-0.80663
Kdsr	4	2.4954e-06	1.1567e-06	4.9e-05	26	4	-0.52806	1.0	1.0	1.0	3806	0	-0.52806
Pdxk	4	2.7959e-06	1.1567e-06	4.9e-05	27	4	-0.74628	1.0	1.0	1.0	3805	0	-0.74628
Dhx36	4	2.8971e-06	1.1567e-06	4.9e-05	28	3	-1.1755	0.99026	0.99775	1.0	3614	0	-1.1755
Wdr4	4	3.2862e-06	1.1567e-06	4.9e-05	29	4	-1.0445	1.0	1.0	1.0	3804	0	-1.0445
Ccnt1	4	3.5653e-06	1.1567e-06	4.9e-05	30	4	-0.6753	1.0	1.0	1.0	3803	0	-0.6753
Vps13a	4	3.815e-06	1.1567e-06	4.9e-05	31	4	-0.79192	1.0	1.0	1.0	3801	0	-0.79192
Ppp1r8	4	3.9806e-06	1.1567e-06	4.9e-05	32	4	-0.91878	1.0	1.0	1.0	3800	0	-0.91878
Srm	4	5.1217e-06	1.1567e-06	4.9e-05	33	3	-1.2816	0.99982	1.0	1.0	3741	0	-1.2816
Men1	4	5.4459e-06	1.1567e-06	4.9e-05	34	4	-0.51247	0.99999	1.0	1.0	3798	0	-0.51247
Alg9	4	5.4763e-06	1.1567e-06	4.9e-05	35	4	-0.6838	0.99999	1.0	1.0	3797	0	-0.6838
Pax5	4	6.4565e-06	1.1567e-06	4.9e-05	36	3	-0.86045	0.99998	1.0	1.0	3785	0	-0.86045
Naa10	4	6.9094e-06	1.1567e-06	4.9e-05	37	3	-0.83965	0.99871	0.99989	1.0	3699	0	-0.83965
Suv39h1	4	7.8774e-06	1.1567e-06	4.9e-05	38	3	-0.84942	0.99886	0.99992	1.0	3705	0	-0.84942
