id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Dph6	4	4.5399e-11	1.1567e-06	6.4e-05	1	4	-1.3704	1.0	1.0	1.0	3823	0	-1.3704
Mcat	4	1.3373e-08	1.1567e-06	6.4e-05	2	4	-1.3634	1.0	1.0	1.0	3822	0	-1.3634
Pcyt2	4	4.7967e-08	1.1567e-06	6.4e-05	3	4	-0.81077	1.0	1.0	1.0	3821	0	-0.81077
Mthfd2	4	8.2671e-08	1.1567e-06	6.4e-05	4	4	-0.92579	1.0	1.0	1.0	3820	0	-0.92579
Elovl6	4	2.0474e-07	1.1567e-06	6.4e-05	5	4	-0.95286	1.0	1.0	1.0	3819	0	-0.95286
Taz	4	2.2631e-07	1.1567e-06	6.4e-05	6	4	-0.8895	1.0	1.0	1.0	3818	0	-0.8895
Alad	4	3.1186e-07	1.1567e-06	6.4e-05	7	4	-1.189	1.0	1.0	1.0	3817	0	-1.189
Coq6	4	3.1289e-07	1.1567e-06	6.4e-05	8	3	-1.0807	0.96274	0.98132	1.0	3474	0	-1.0807
Dnajc11	4	3.4514e-07	1.1567e-06	6.4e-05	9	4	-1.1503	1.0	1.0	1.0	3816	0	-1.1503
Vkorc1l1	4	3.49e-07	1.1567e-06	6.4e-05	10	4	-1.0758	1.0	1.0	1.0	3815	0	-1.0758
Hsd17b10	4	5.2634e-07	1.1567e-06	6.4e-05	11	4	-1.0002	1.0	1.0	1.0	3814	0	-1.0002
Suv39h1	4	6.3691e-07	1.1567e-06	6.4e-05	12	4	-1.0143	1.0	1.0	1.0	3806	0	-1.0143
Tecr	4	7.6292e-07	1.1567e-06	6.4e-05	13	4	-1.2024	0.99999	1.0	1.0	3799	0	-1.2024
Tiprl	4	8.749e-07	1.1567e-06	6.4e-05	14	4	-0.88706	0.99998	1.0	1.0	3792	0	-0.88706
Tpk1	4	9.8702e-07	1.1567e-06	6.4e-05	15	4	-0.89751	1.0	1.0	1.0	3813	0	-0.89751
Ippk	4	1.3815e-06	1.1567e-06	6.4e-05	16	4	-1.0282	1.0	1.0	1.0	3812	0	-1.0282
Hacd2	4	1.6006e-06	1.1567e-06	6.4e-05	17	4	-1.6395	0.99999	1.0	1.0	3805	0	-1.6395
