id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Pigs	4	5.2558e-07	3.47e-06	0.012376	1	4	-1.2698	1.0	1.0	1.0	3823	0	-1.2698
Pigk	4	7.6292e-07	5.7833e-06	0.012376	2	3	-1.2139	0.87441	0.89522	1.0	3291	0	-1.2139
Fdft1	4	8.0688e-06	6.1303e-05	0.068317	3	4	-1.3963	0.99999	0.99999	1.0	3822	0	-1.3963
Ube2a	4	1.9254e-05	7.7496e-05	0.068317	4	3	-1.9255	0.91295	0.9239	1.0	3438	0	-1.9255
Stk10	4	2.2097e-05	7.9809e-05	0.068317	5	3	-0.67781	0.94955	0.95351	1.0	3596	0	-0.67781
Snx2	4	3.8225e-05	0.00011682	0.083333	6	3	-0.91115	0.78073	0.80594	1.0	2914	1	-0.91115
Kdsr	4	5.6388e-05	0.00024868	0.133045	7	3	-1.2094	0.92617	0.93294	1.0	3494	0	-1.2094
Haao	4	7.0586e-05	0.00036435	0.149865	8	4	-0.58707	0.99993	0.99994	1.0	3821	0	-0.58707
Rasa3	4	7.482e-05	0.00036666	0.149865	9	2	-0.17381	0.0040347	0.0091758	0.436469	84	2	-0.17381
Ube2m	4	8.9846e-05	0.00038517	0.149865	10	4	-1.3924	0.99718	0.99748	1.0	3802	0	-1.3924
Soat2	4	0.0001223	0.0005124	0.182756	11	3	-1.0668	0.52789	0.62473	1.0	2174	1	-1.0668
Lpgat1	4	0.00016268	0.00057949	0.190784	12	3	-1.0779	0.9551	0.96069	1.0	3616	0	-1.0779
Men1	4	0.00025486	0.00069746	0.208911	13	3	-1.2678	0.96013	0.96643	1.0	3638	0	-1.2678
Agpat3	4	0.00032381	0.00078537	0.209377	14	2	-0.38308	0.43722	0.57254	1.0	1969	1	-0.38308
Kat6a	4	0.00034778	0.00083164	0.209377	15	2	-1.0629	0.9629	0.96904	1.0	3650	0	-1.0629
Cyp2d10_Cyp2d11	2	0.00035257	0.00024868	0.133045	16	2	-0.9007	0.99965	0.99975	1.0	3820	0	-0.9007
Trib3	4	0.00040133	0.00099357	0.223814	17	3	-0.91341	0.93968	0.94448	1.0	3559	0	-0.91341
Pigu	4	0.00040447	0.00099357	0.223814	18	3	-0.62189	0.97895	0.98262	1.0	3713	0	-0.62189
Vps37a	4	0.00048361	0.0010722	0.229455	19	4	-1.3112	0.99952	0.99968	1.0	3819	0	-1.3112
Rab1a	3	0.00049066	0.00073216	0.208911	20	3	-0.94154	0.99939	0.99939	1.0	3818	0	-0.94154
Daglb	4	0.00057919	0.0013244	0.26992	21	4	-1.2839	0.995	0.99563	1.0	3791	0	-1.2839
Clec4e	4	0.00069302	0.0016089	0.313006	22	4	-0.59697	0.99931	0.99955	1.0	3817	0	-0.59697
Srsf6	4	0.00079691	0.0019605	0.337184	23	3	-0.73498	0.82628	0.85043	1.0	3096	0	-0.73498
Mllt10	4	0.00082737	0.0020091	0.337184	24	4	-1.4239	0.99917	0.99941	1.0	3816	0	-1.4239
Col6a3	4	0.00087418	0.0020415	0.337184	25	3	-0.96	0.90238	0.91801	1.0	3397	0	-0.96
Krt27	4	0.00088957	0.0020808	0.337184	26	4	-0.56071	0.99911	0.99936	1.0	3815	0	-0.56071
