id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Mto1	4	1.3662e-11	1.0977e-06	7.6e-05	1	4	-1.716	1.0	1.0	1.0	3991	0	-1.716
Sepsecs	4	1.9493e-09	1.0977e-06	7.6e-05	2	4	-1.1251	1.0	1.0	1.0	3990	0	-1.1251
Tmem208	4	5.137e-09	1.0977e-06	7.6e-05	3	4	-0.96375	1.0	1.0	1.0	3989	0	-0.96375
Ctc1	4	8.781e-09	1.0977e-06	7.6e-05	4	4	-0.82937	1.0	1.0	1.0	3988	0	-0.82937
Rabl3	4	3.215e-08	1.0977e-06	7.6e-05	5	4	-0.71032	1.0	1.0	1.0	3987	0	-0.71032
Commd3	4	3.9135e-08	1.0977e-06	7.6e-05	6	4	-0.86488	1.0	1.0	1.0	3986	0	-0.86488
Manf	4	7.4004e-08	1.0977e-06	7.6e-05	7	4	-0.72324	1.0	1.0	1.0	3985	0	-0.72324
Dcps	4	9.6833e-08	1.0977e-06	7.6e-05	8	4	-0.99333	1.0	1.0	1.0	3984	0	-0.99333
Tubd1	4	1.3952e-07	1.0977e-06	7.6e-05	9	4	-1.1335	1.0	1.0	1.0	3983	0	-1.1335
Mrm2	4	1.7061e-07	1.0977e-06	7.6e-05	10	3	-1.0115	0.99994	1.0	1.0	3947	0	-1.0115
Fbxo28	4	2.5008e-07	1.0977e-06	7.6e-05	11	4	-0.75625	1.0	1.0	1.0	3982	0	-0.75625
Dot1l	4	5.2222e-07	1.0977e-06	7.6e-05	12	4	-0.76931	1.0	1.0	1.0	3981	0	-0.76931
Dcaf7	4	5.3278e-07	1.0977e-06	7.6e-05	13	4	-0.68335	1.0	1.0	1.0	3980	0	-0.68335
Polg	4	5.476e-07	1.0977e-06	7.6e-05	14	3	-0.69997	0.99996	1.0	1.0	3956	0	-0.69997
Slc25a22	4	6.172e-07	1.0977e-06	7.6e-05	15	4	-0.75868	1.0	1.0	1.0	3979	0	-0.75868
Naa38	4	8.1896e-07	1.0977e-06	7.6e-05	16	3	-0.89783	0.98993	0.99657	1.0	3814	0	-0.89783
Slc25a26	4	9.4751e-07	1.0977e-06	7.6e-05	17	4	-0.97878	1.0	1.0	1.0	3978	0	-0.97878
Vezt	4	1.0586e-06	1.0977e-06	7.6e-05	18	4	-0.60979	1.0	1.0	1.0	3977	0	-0.60979
Pot1b	4	1.5598e-06	1.0977e-06	7.6e-05	19	3	-0.76059	0.83482	0.86643	1.0	3100	0	-0.76059
Arhgap1	4	1.5912e-06	1.0977e-06	7.6e-05	20	4	-1.0183	1.0	1.0	1.0	3976	0	-1.0183
Zranb2	4	2.1478e-06	1.0977e-06	7.6e-05	21	4	-0.57045	1.0	1.0	1.0	3975	0	-0.57045
Ddx11	4	2.5349e-06	1.0977e-06	7.6e-05	22	4	-0.82007	1.0	1.0	1.0	3974	0	-0.82007
Dpm1_Gm20716	4	2.6217e-06	1.0977e-06	7.6e-05	23	4	-0.50889	1.0	1.0	1.0	3973	0	-0.50889
Pde12	4	2.6492e-06	1.0977e-06	7.6e-05	24	3	-1.1665	0.99479	0.99852	1.0	3848	0	-1.1665
Pfdn5	4	2.9145e-06	1.0977e-06	7.6e-05	25	4	-0.65784	1.0	1.0	1.0	3972	0	-0.65784
Brpf1	4	3.0896e-06	1.0977e-06	7.6e-05	26	4	-0.6397	1.0	1.0	1.0	3971	0	-0.6397
Ptar1	4	3.1014e-06	1.0977e-06	7.6e-05	27	3	-1.2966	0.99992	0.99999	1.0	3944	0	-1.2966
Nsmce3	4	3.2933e-06	1.0977e-06	7.6e-05	28	4	-0.9669	1.0	1.0	1.0	3970	0	-0.9669
Kti12	4	3.4851e-06	1.0977e-06	7.6e-05	29	4	-0.61001	1.0	1.0	1.0	3969	0	-0.61001
Zmynd8	4	6.0271e-06	1.0977e-06	7.6e-05	30	4	-0.66307	0.99999	1.0	1.0	3968	0	-0.66307
Zw10	4	6.06e-06	1.0977e-06	7.6e-05	31	4	-0.60473	0.99999	1.0	1.0	3967	0	-0.60473
Slc25a51	4	6.8052e-06	1.0977e-06	7.6e-05	32	3	-1.1882	0.68919	0.68794	1.0	2567	0	-1.1882
Chchd5	4	8.1458e-06	1.0977e-06	7.6e-05	33	3	-1.1529	0.99999	1.0	1.0	3966	0	-1.1529
Washc2	4	1.1656e-05	1.0977e-06	7.6e-05	34	3	-0.64099	0.97656	0.98912	1.0	3746	0	-0.64099
Actr5	4	1.6353e-05	1.0977e-06	7.6e-05	35	2	-0.81986	0.99832	0.99972	1.0	3894	0	-0.81986
Pdcl	4	1.6873e-05	1.0977e-06	7.6e-05	36	3	-0.65177	0.99106	0.99715	1.0	3821	0	-0.65177
Trim28	4	1.751e-05	1.0977e-06	7.6e-05	37	3	-0.73276	0.99994	1.0	1.0	3951	0	-0.73276
Prune1	4	1.998e-05	1.0977e-06	7.6e-05	38	3	-0.62248	0.94337	0.96343	1.0	3566	0	-0.62248
Eloc	4	2.8755e-05	1.0977e-06	7.6e-05	39	3	-0.81393	0.99828	0.9997	1.0	3893	0	-0.81393
Cap1	4	2.8755e-05	1.0977e-06	7.6e-05	40	3	-0.73629	0.99725	0.99947	1.0	3875	0	-0.73629
Ptbp1	4	4.8479e-05	1.0977e-06	7.6e-05	41	3	-0.55535	0.64277	0.63404	1.0	2383	0	-0.55535
H2ax	4	5.2823e-05	1.0977e-06	7.6e-05	42	3	-0.82895	0.40281	0.39287	1.0	1464	0	-0.82895
Nsmce2	4	5.7418e-05	1.0977e-06	7.6e-05	43	3	-0.66449	0.71707	0.72262	1.0	2674	0	-0.66449
Stk40	4	5.7892e-05	1.0977e-06	7.6e-05	44	3	-0.61231	0.97947	0.99109	1.0	3763	0	-0.61231
Mrpl55	4	6.277e-05	1.0977e-06	7.6e-05	45	3	-0.5252	0.99809	0.99965	1.0	3888	0	-0.5252
Micos10	4	8.0702e-05	1.0977e-06	7.6e-05	46	2	-0.63333	0.93383	0.95884	1.0	3519	0	-0.63333
Emc2	3	8.3829e-05	1.0977e-06	7.6e-05	47	2	-0.79356	0.98811	0.99674	1.0	3807	0	-0.79356
Pik3c3	4	8.747e-05	1.0977e-06	7.6e-05	48	3	-0.65181	0.99995	1.0	1.0	3953	0	-0.65181
Vps33a	4	9.6498e-05	1.0977e-06	7.6e-05	49	3	-0.52793	0.99983	0.99998	1.0	3935	0	-0.52793
Mars2	4	0.00010683	1.0977e-06	7.6e-05	50	3	-0.98587	0.9403	0.96182	1.0	3553	0	-0.98587
Mrps18a	4	0.0001119	1.0977e-06	7.6e-05	51	3	-0.56659	0.99997	1.0	1.0	3960	0	-0.56659
Tedc2	4	0.00013456	1.0977e-06	7.6e-05	52	3	-0.4794	0.99993	0.99999	1.0	3945	0	-0.4794
Ybey	4	0.00013485	1.0977e-06	7.6e-05	53	2	-0.86113	0.99987	0.99999	1.0	3937	0	-0.86113
Slc35a1	4	0.00013869	1.0977e-06	7.6e-05	54	3	-0.71742	0.99994	1.0	1.0	3952	0	-0.71742
Stk35	4	0.00014258	1.0977e-06	7.6e-05	55	2	-0.52662	0.9975	0.99952	1.0	3878	0	-0.52662
Gm52008	4	0.00014827	1.0977e-06	7.6e-05	56	3	-0.53971	0.99991	0.99999	1.0	3942	0	-0.53971
Gm28043_Rnf8	4	0.00018041	1.0977e-06	7.6e-05	57	3	-0.6986	0.9839	0.99369	1.0	3780	0	-0.6986
Mterf3	4	0.00018243	1.0977e-06	7.6e-05	58	3	-0.56243	0.95495	0.97291	1.0	3624	0	-0.56243
Vars2	4	0.00022723	1.0977e-06	7.6e-05	59	3	-0.56671	0.98615	0.99493	1.0	3792	0	-0.56671
Tomm70a	4	0.00023669	1.0977e-06	7.6e-05	60	3	-1.0904	0.5227	0.5047	1.0	1913	0	-1.0904
Emc7	4	0.00024404	1.0977e-06	7.6e-05	61	3	-0.59446	0.78651	0.80819	1.0	2924	0	-0.59446
Iws1	4	0.00025527	1.0977e-06	7.6e-05	62	3	-0.64864	0.99999	1.0	1.0	3964	0	-0.64864
Foxf2	4	0.00027607	1.0977e-06	7.6e-05	63	3	-0.51769	0.99997	1.0	1.0	3961	0	-0.51769
Zfat	4	0.00030076	3.293e-06	0.000195	64	3	-0.67346	0.99676	0.99933	1.0	3869	0	-0.67346
Mrps27	4	0.00030359	3.293e-06	0.000195	65	3	-0.79659	0.99999	1.0	1.0	3965	0	-0.79659
Ctdspl2	4	0.00030673	3.293e-06	0.000195	66	2	-0.56318	0.92301	0.9529	1.0	3462	0	-0.56318
Matr3	4	0.00031074	3.293e-06	0.000195	67	3	-0.33244	0.97868	0.99031	1.0	3759	0	-0.33244
Exoc6	4	0.00031364	3.293e-06	0.000195	68	3	-0.60531	0.95826	0.97546	1.0	3643	0	-0.60531
Adnp_Gm20716	4	0.00032094	3.293e-06	0.000195	69	3	-0.79916	0.99997	1.0	1.0	3957	0	-0.79916
Setx	4	0.00032836	3.293e-06	0.000195	70	3	-0.45549	0.98255	0.99276	1.0	3775	0	-0.45549
Cenpa	4	0.00033438	3.293e-06	0.000195	71	3	-0.68921	0.99352	0.99814	1.0	3839	0	-0.68921
G6pdx	4	0.000356	3.293e-06	0.000195	72	3	-0.52681	0.99495	0.99858	1.0	3850	0	-0.52681
Ddx42	4	0.00036876	3.293e-06	0.000195	73	3	-0.39111	0.99519	0.99868	1.0	3853	0	-0.39111
Strip1	4	0.00039687	7.6837e-06	0.000413	74	3	-0.62036	0.95328	0.97162	1.0	3616	0	-0.62036
Ipo4	4	0.00039856	7.6837e-06	0.000413	75	3	-0.42943	0.93899	0.96087	1.0	3546	0	-0.42943
Nup43	4	0.00040197	7.6837e-06	0.000413	76	3	-0.67251	0.99766	0.99956	1.0	3880	0	-0.67251
Elp5	4	0.0004054	7.6837e-06	0.000413	77	3	-0.57385	0.98756	0.99587	1.0	3800	0	-0.57385
