id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Mto1	4	3.6754e-11	1.0977e-06	0.00019	1	4	-2.0738	1.0	1.0	1.0	3991	0	-2.0738
Sepsecs	4	6.9806e-09	1.0977e-06	0.00019	2	4	-0.97484	1.0	1.0	1.0	3990	0	-0.97484
Ctc1	4	4.72e-08	1.0977e-06	0.00019	3	4	-0.77298	1.0	1.0	1.0	3989	0	-0.77298
Tmem208	4	5.8455e-08	1.0977e-06	0.00019	4	4	-0.96234	1.0	1.0	1.0	3988	0	-0.96234
Polg	4	1.0085e-07	1.0977e-06	0.00019	5	4	-0.71433	1.0	1.0	1.0	3986	0	-0.71433
Tubd1	4	1.3952e-07	1.0977e-06	0.00019	6	4	-1.0983	1.0	1.0	1.0	3987	0	-1.0983
Mrm2	4	1.9822e-07	1.0977e-06	0.00019	7	4	-1.0078	0.99996	0.99999	1.0	3965	0	-1.0078
Pot1b	4	4.2873e-07	1.0977e-06	0.00019	8	3	-0.71252	0.40756	0.39018	1.0	1562	0	-0.71252
Dcps	4	1.2788e-06	1.0977e-06	0.00019	9	4	-0.84378	1.0	1.0	1.0	3985	0	-0.84378
Trim28	4	1.6032e-06	1.0977e-06	0.00019	10	4	-0.95306	0.99999	1.0	1.0	3980	0	-0.95306
Vezt	4	1.8326e-06	1.0977e-06	0.00019	11	4	-0.96624	0.99998	1.0	1.0	3975	0	-0.96624
Commd3	4	2.2432e-06	1.0977e-06	0.00019	12	4	-0.71845	0.99997	1.0	1.0	3971	0	-0.71845
Brd1	4	2.7736e-06	1.0977e-06	0.00019	13	4	-0.65812	0.99996	0.99999	1.0	3966	0	-0.65812
Washc2	4	2.8372e-06	1.0977e-06	0.00019	14	3	-0.59826	0.9878	0.9938	1.0	3832	0	-0.59826
Rabl3	4	3.1699e-06	1.0977e-06	0.00019	15	4	-0.67263	0.99994	0.99999	1.0	3961	0	-0.67263
Slc25a26	4	3.2933e-06	1.0977e-06	0.00019	16	4	-0.72177	1.0	1.0	1.0	3984	0	-0.72177
Ddx42	4	3.3775e-06	1.0977e-06	0.00019	17	4	-0.49206	1.0	1.0	1.0	3983	0	-0.49206
Gm28043_Rnf8	4	4.6803e-06	1.0977e-06	0.00019	18	4	-0.53411	1.0	1.0	1.0	3982	0	-0.53411
Mrpl55	4	5.4272e-06	1.0977e-06	0.00019	19	4	-0.56384	0.99999	1.0	1.0	3981	0	-0.56384
Ddx11	4	6.14e-06	1.0977e-06	0.00019	20	4	-0.79709	0.99997	1.0	1.0	3970	0	-0.79709
Pde12	4	7.3948e-06	1.0977e-06	0.00019	21	3	-1.0889	0.98801	0.99389	1.0	3834	0	-1.0889
Pfdn5	4	9.3854e-06	1.0977e-06	0.00019	22	4	-0.7176	0.99999	1.0	1.0	3979	0	-0.7176
Pdcl	4	9.7967e-06	1.0977e-06	0.00019	23	3	-0.69387	0.99142	0.99587	1.0	3860	0	-0.69387
G6pdx	4	1.0886e-05	1.0977e-06	0.00019	24	4	-0.61556	0.99999	1.0	1.0	3978	0	-0.61556
Manf	4	1.1728e-05	3.293e-06	0.000424	25	4	-0.49056	0.99999	1.0	1.0	3977	0	-0.49056
Zw10	4	1.3919e-05	3.293e-06	0.000424	26	4	-0.61306	0.99997	1.0	1.0	3968	0	-0.61306
Gm52008	4	1.4997e-05	3.293e-06	0.000424	27	4	-0.48464	0.99999	1.0	1.0	3976	0	-0.48464
Tmem41b	3	1.6224e-05	1.0977e-06	0.00019	28	2	-0.72981	0.99634	0.99888	1.0	3905	0	-0.72981
Zbtb11	4	1.6761e-05	3.293e-06	0.000424	29	4	-0.29156	0.99998	1.0	1.0	3974	0	-0.29156
Vars2	4	1.6873e-05	3.293e-06	0.000424	30	3	-0.79704	0.92601	0.94738	1.0	3560	0	-0.79704
Ctnnbl1	4	2.5123e-05	3.293e-06	0.000424	31	4	-0.64121	0.99997	1.0	1.0	3973	0	-0.64121
Mrps18a	4	2.7399e-05	3.293e-06	0.000424	32	4	-0.51924	0.99997	1.0	1.0	3972	0	-0.51924
Tedc2	4	3.0584e-05	3.293e-06	0.000424	33	3	-0.49926	0.99581	0.99855	1.0	3899	0	-0.49926
Ric1	4	3.093e-05	3.293e-06	0.000424	34	4	-0.63985	0.99997	1.0	1.0	3969	0	-0.63985
Zranb2	4	3.5283e-05	5.4884e-06	0.000589	35	4	-0.47816	0.99996	0.99999	1.0	3967	0	-0.47816
Chchd5	4	4.3981e-05	5.4884e-06	0.000589	36	3	-0.98792	0.99973	0.99994	1.0	3952	0	-0.98792
Cog3	4	4.5179e-05	5.4884e-06	0.000589	37	3	-0.5449	0.98331	0.99006	1.0	3801	0	-0.5449
Cap1	4	4.6101e-05	5.4884e-06	0.000589	38	4	-0.68961	0.99995	0.99999	1.0	3964	0	-0.68961
Rad21	4	4.763e-05	5.4884e-06	0.000589	39	4	-0.66091	0.99995	0.99999	1.0	3963	0	-0.66091
Prune1	4	5.1056e-05	5.4884e-06	0.000589	40	3	-0.49831	0.94778	0.95909	1.0	3645	0	-0.49831
Matr3	4	5.3722e-05	5.4884e-06	0.000589	41	3	-0.39919	0.9716	0.97986	1.0	3754	0	-0.39919
Ptar1	4	5.555e-05	7.6837e-06	0.00077	42	3	-1.1112	0.99821	0.99947	1.0	3923	0	-1.1112
Dicer1	4	5.6198e-05	7.6837e-06	0.00077	43	4	-0.40949	0.99994	0.99999	1.0	3962	0	-0.40949
Emc3	4	5.7418e-05	7.6837e-06	0.00077	44	4	-0.73244	0.99994	0.99999	1.0	3960	0	-0.73244
Nsmce3	4	6.4504e-05	9.879e-06	0.000909	45	4	-1.0005	0.99994	0.99999	1.0	3959	0	-1.0005
Kti12	4	6.8442e-05	9.879e-06	0.000909	46	3	-0.70101	0.99984	0.99998	1.0	3954	0	-0.70101
Micos10	4	6.9315e-05	9.879e-06	0.000909	47	2	-0.63716	0.98431	0.99089	1.0	3808	0	-0.63716
Actr5	4	8.5612e-05	9.879e-06	0.000909	48	3	-0.8747	0.9984	0.99953	1.0	3927	0	-0.8747
Ccnc	4	0.00012327	1.2074e-05	0.001089	49	3	-0.56339	0.9936	0.99695	1.0	3876	0	-0.56339
Slc35a1	4	0.00014258	1.427e-05	0.001262	50	2	-0.64153	0.99932	0.99984	1.0	3938	0	-0.64153
Atxn2l	4	0.00018652	1.6465e-05	0.001401	51	3	-0.37554	0.99968	0.99993	1.0	3950	0	-0.37554
Ccdc47	4	0.00019488	1.6465e-05	0.001401	52	3	-0.60341	0.95623	0.96763	1.0	3692	0	-0.60341
H2ax	4	0.00023195	1.866e-05	0.001503	53	3	-0.84635	0.41967	0.41351	1.0	1604	0	-0.84635
