id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Senp3	4	9.1043e-08	1.0977e-06	0.00165	1	4	-0.72366	1.0	1.0	1.0	3991	0	-0.72366
Ptbp1	4	8.1896e-07	1.0977e-06	0.00165	2	3	-0.54517	0.32563	0.30861	1.0	1256	1	-0.54517
Kctd5	4	1.6475e-06	1.0977e-06	0.00165	3	3	-0.35868	0.99461	0.99644	1.0	3953	0	-0.35868
Foxf2	4	3.0074e-06	3.293e-06	0.00297	4	2	-0.73528	0.91092	0.9186	1.0	3615	0	-0.73528
Ecpas	4	3.5275e-06	3.293e-06	0.00297	5	3	-0.52026	0.99941	0.99968	1.0	3981	0	-0.52026
Csrnp1	4	2.0597e-05	1.866e-05	0.013437	6	2	-0.41665	0.75751	0.76304	1.0	2959	0	-0.41665
Commd3	4	2.3698e-05	2.0856e-05	0.013437	7	3	-0.70612	0.99687	0.99818	1.0	3964	0	-0.70612
Fhod1	4	3.8266e-05	4.5005e-05	0.025371	8	3	-0.53333	0.13999	0.1666	1.0	636	1	-0.53333
Slc25a22	4	5.815e-05	6.0372e-05	0.030253	9	4	-0.85794	0.99994	0.99997	1.0	3990	0	-0.85794
Dot1l	4	7.557e-05	0.00010867	0.04901	10	3	-0.88375	0.99973	0.99991	1.0	3987	0	-0.88375
Arid4b	4	0.0001027	0.00017453	0.05976	11	3	-0.45393	0.99943	0.99968	1.0	3982	0	-0.45393
Gmeb1	4	0.00010401	0.00017453	0.05976	12	3	-0.37435	0.97041	0.97761	1.0	3854	0	-0.37435
Rnf223	4	0.00010606	0.00018551	0.05976	13	2	-0.42291	0.99551	0.99724	1.0	3955	0	-0.42291
Bcl11a	4	0.00010924	0.00018551	0.05976	14	4	-0.73713	0.99989	0.99995	1.0	3989	0	-0.73713
Stk40	4	0.00012643	0.00025576	0.072092	15	3	-0.67494	0.9772	0.98338	1.0	3889	0	-0.67494
Stk35	4	0.00013491	0.00025576	0.072092	16	3	-0.89933	0.91701	0.92419	1.0	3643	0	-0.89933
Eloc	4	0.00018549	0.00028869	0.073982	17	3	-0.73369	0.99955	0.99976	1.0	3985	0	-0.73369
Ssbp2	4	0.00023669	0.00029527	0.073982	18	2	-0.3402	0.97221	0.97936	1.0	3864	0	-0.3402
Spns1	4	0.00030102	0.00035235	0.082426	19	3	-0.38265	0.99959	0.99979	1.0	3986	0	-0.38265
Tmx4	4	0.00033605	0.00036552	0.082426	20	2	-0.32475	0.95461	0.9631	1.0	3790	0	-0.32475
Ppef2	4	0.00062696	0.00093412	0.176885	21	3	-0.34735	0.99915	0.99955	1.0	3980	0	-0.34735
Commd10	4	0.00064272	0.00093412	0.176885	22	2	-0.50272	0.87719	0.88309	1.0	3466	0	-0.50272
Rab21	4	0.00065101	0.00093631	0.176885	23	3	-0.78712	0.99913	0.99955	1.0	3979	0	-0.78712
Adarb1	4	0.00069563	0.0010197	0.176885	24	3	-0.52556	0.36144	0.33492	1.0	1380	1	-0.52556
Foxh1	4	0.000703	0.0010197	0.176885	25	3	-0.35936	0.97709	0.98337	1.0	3888	0	-0.35936
Vps33a	4	0.00079073	0.0013337	0.222772	26	2	-0.45542	0.99638	0.99791	1.0	3961	0	-0.45542
Zfp445	4	0.0011101	0.0017201	0.228273	27	2	-0.31449	0.97272	0.9798	1.0	3866	0	-0.31449
Rnf25	4	0.001121	0.0017201	0.228273	28	2	-0.45513	0.88495	0.89048	1.0	3500	0	-0.45513
Atxn7l3	4	0.00127	0.0018101	0.228273	29	3	-0.52821	0.99947	0.99969	1.0	3983	0	-0.52821
Psmd3	4	0.0013366	0.0018123	0.228273	30	3	-0.98835	0.28289	0.2768	1.0	1097	1	-0.98835
Rsph4a	4	0.0014014	0.002023	0.228273	31	3	-0.48467	0.97335	0.98025	1.0	3870	0	-0.48467
Tfpt	4	0.001433	0.002023	0.228273	32	2	-0.39833	0.83573	0.8377	1.0	3285	0	-0.39833
Npepps	4	0.00147	0.002023	0.228273	33	2	-0.45103	0.74863	0.75509	1.0	2914	0	-0.45103
Dcaf5	4	0.0014803	0.002023	0.228273	34	3	-0.23597	0.18949	0.20844	1.0	786	1	-0.23597
Tmem202	4	0.0014833	0.002023	0.228273	35	2	-0.21281	0.97999	0.98502	1.0	3905	0	-0.21281
Trappc2	2	0.0015072	0.0009912	0.176885	36	2	-0.49669	0.99849	0.99901	1.0	3974	0	-0.49669
Parp16	4	0.0015326	0.0020252	0.228273	37	2	-0.20035	0.59804	0.61656	1.0	2301	0	-0.20035
Cc2d1b	4	0.0016857	0.0021064	0.228273	38	3	-0.4142	0.99982	0.99993	1.0	3988	0	-0.4142
Zcchc18	4	0.0017823	0.0021086	0.228273	39	2	-0.33464	0.77173	0.77818	1.0	3015	0	-0.33464
Leap2	4	0.0019279	0.0022052	0.228273	40	3	-0.28302	0.27317	0.27149	1.0	1067	1	-0.28302
Rspo1	4	0.0019495	0.0022052	0.228273	41	2	-0.19396	0.87294	0.8782	1.0	3443	0	-0.19396
Trat1	4	0.0020298	0.0022777	0.228273	42	3	-0.43508	0.55984	0.56799	1.0	2158	0	-0.43508
Stoml2	4	0.002214	0.0024555	0.235045	43	2	-0.60511	0.95561	0.96429	1.0	3795	0	-0.60511
Lrp3	4	0.0022387	0.0024555	0.235045	44	3	-0.4174	0.99411	0.99615	1.0	3951	0	-0.4174
Kif4	3	0.0023255	0.0022755	0.228273	45	2	-0.44033	0.99272	0.99563	1.0	3945	0	-0.44033
Nfkbil1	4	0.0023836	0.0025016	0.235045	46	3	-0.29668	0.45095	0.44427	1.0	1717	0	-0.29668
Rnf11	4	0.0024788	0.0027123	0.24005	47	2	-0.37728	0.2377	0.23477	1.0	938	1	-0.37728
1700024G13Rik	4	0.0027272	0.0027145	0.24005	48	3	-0.28516	0.68456	0.69656	1.0	2661	0	-0.28516
Dcaf7	4	0.0027391	0.0027145	0.24005	49	3	-0.42613	0.96501	0.9745	1.0	3829	0	-0.42613
Naa38	4	0.0028088	0.0029275	0.249113	50	2	-0.45932	0.79983	0.79968	1.0	3134	0	-0.45932
7530416G11Rik	4	0.0028429	0.0029275	0.249113	51	2	-0.25573	0.48359	0.47063	1.0	1853	0	-0.25573
Rnf183	4	0.0028979	0.0031865	0.266135	52	3	-0.3636	0.94437	0.95285	1.0	3742	0	-0.3636
Arpp19	2	0.0029967	0.0019945	0.228273	53	2	-0.59763	0.997	0.99801	1.0	3967	0	-0.59763
Gm20738_Gm20798_Gm20800_Gm20803_Gm20804_Gm20805_Gm20806_Gm20808_Gm20809_Gm20810_Gm20813_Gm20815_Gm20816_Gm20818_Gm20822_Gm20823_Gm20825_Gm20826_Gm20828_Gm20840_Gm20841_Gm20842_Gm20844_Gm20846_Gm20847_Gm20848_Gm20852_Gm20853_Gm20854_Gm20859_Gm20860_Gm20861_Gm20862_Gm20863_Gm20866_Gm20867_Gm20868_Gm20879_Gm20880_Gm20881_Gm20882_Gm20884_Gm20889_Gm20891_Gm20892_Gm20893_Gm20895_Gm20898_Gm20902_Gm20907_Gm20912_Gm20913_Gm20914_Gm20917_Gm20919_Gm20921_Gm20924_Gm20925_Gm20926_Gm20927_Gm20930_Gm20932_Gm20933_Gm20934_Gm20935_Gm20936_Gm21065_Gm21076_Gm21111_Gm21114_Gm21118_Gm21127_Gm21151_Gm21155_Gm21160_Gm21163_Gm21180_Gm21184_Gm21201_Gm21242_Gm21244_Gm21245_Gm21247_Gm21249_Gm21257_Gm21268_Gm21275_Gm21281_Gm21282_Gm21285_Gm21287_Gm21292_Gm21302_Gm21308_Gm21316_Gm21330_Gm21333_Gm21340_Gm21344_Gm21380_Gm21387_Gm21394_Gm21396_Gm21412_Gm21427_Gm21435_Gm21443_Gm21462_Gm21469_Gm21470_Gm21476_Gm21506_Gm21524_Gm21530_Gm21573_Gm21617_Gm21634_Gm21642_Gm21654_Gm21661_Gm21672_Gm21724_Gm21745_Gm21751_Gm21753_Gm21763_Gm21783_Gm21805_Gm21806_Gm21810_Gm21838_Gm21843_Gm21908_Gm21918_Gm21943_Gm28093_Gm28459_Gm29317_Gm31186_Ssty2	2	0.0030263	0.0019967	0.228273	54	2	-1.3048	0.99697	0.998	1.0	3966	0	-1.3048
Atp11c	4	0.0031668	0.0034983	0.270431	55	3	-0.33382	0.40847	0.38515	1.0	1558	1	-0.33382
Phip	4	0.0031949	0.0035356	0.270431	56	2	-0.27633	0.6808	0.69502	1.0	2645	0	-0.27633
Fam83g	4	0.0032312	0.0035356	0.270431	57	2	-0.27074	0.39006	0.35847	1.0	1485	1	-0.27074
Nabp2	4	0.0032677	0.0035378	0.270431	58	2	-0.37616	0.99616	0.99777	1.0	3959	0	-0.37616
Slc43a2	4	0.0033044	0.0035378	0.270431	59	2	-0.12575	0.65592	0.67429	1.0	2547	0	-0.12575
Arl11	4	0.0034028	0.0038034	0.284451	60	3	-0.34897	0.67071	0.68882	1.0	2604	0	-0.34897
Plekha2	4	0.0035215	0.0038473	0.284451	61	3	-0.33655	0.90548	0.91501	1.0	3585	0	-0.33655
Adig	4	0.003721	0.0043391	0.310781	62	2	-0.22927	0.69177	0.70446	1.0	2698	0	-0.22927
Sppl2b	4	0.0038037	0.0043413	0.310781	63	3	-0.32732	0.77939	0.77934	1.0	3043	0	-0.32732
Spatc1l	4	0.0038783	0.0046772	0.326223	64	3	-0.27526	0.53376	0.5297	1.0	2045	0	-0.27526
Susd4	4	0.004039	0.0048835	0.326223	65	2	-0.20641	0.18579	0.20064	1.0	775	1	-0.20641
Capg	4	0.0041587	0.0048857	0.326223	66	3	-0.31742	0.77378	0.77818	1.0	3024	0	-0.31742
Prpf39	4	0.0041759	0.0048857	0.326223	67	1	-0.19055	0.97599	0.98253	1.0	3886	0	-0.19055
Jade2	4	0.0043017	0.0049922	0.326302	68	3	-0.3951	0.9727	0.9798	1.0	3865	0	-0.3951
