id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Mtx2	4	2.1136e-08	1.1112e-06	0.000381	1	3	-0.76629	0.99977	0.99995	1.0	3908	0	-0.76629
Bloc1s1	4	9.292e-08	1.1112e-06	0.000381	2	4	-0.89575	1.0	1.0	1.0	3936	0	-0.89575
Rabif	4	2.1985e-06	1.1112e-06	0.000381	3	4	-2.1578	1.0	1.0	1.0	3935	0	-2.1578
Cbx3	3	3.1934e-06	1.1112e-06	0.000381	4	3	-0.73976	1.0	1.0	1.0	3934	0	-0.73976
Scd2	4	3.7014e-06	1.1112e-06	0.000381	5	3	-0.95986	0.99994	1.0	1.0	3918	0	-0.95986
Gtpbp3	4	3.9042e-06	1.1112e-06	0.000381	6	4	-0.85292	1.0	1.0	1.0	3933	0	-0.85292
Mbd2	4	4.3727e-06	1.1112e-06	0.000381	7	2	-0.68423	0.99996	1.0	1.0	3923	0	-0.68423
Srrd	4	5.2337e-06	1.1112e-06	0.000381	8	3	-0.78841	0.99957	0.99991	1.0	3899	0	-0.78841
Gdi2	4	7.9402e-06	1.1112e-06	0.000381	9	3	-0.74995	0.99999	1.0	1.0	3930	0	-0.74995
Eif3l	4	1.1752e-05	1.1112e-06	0.000381	10	2	-0.7548	0.99984	0.99998	1.0	3912	0	-0.7548
Cop1	3	2.1592e-05	1.1112e-06	0.000381	11	3	-2.4314	0.99998	1.0	1.0	3929	0	-2.4314
Carm1	4	2.3036e-05	3.3337e-06	0.00099	12	3	-0.72312	0.98836	0.99412	1.0	3807	0	-0.72312
Krtap4-9	3	3.0756e-05	1.1112e-06	0.000381	13	3	-1.8492	0.99997	1.0	1.0	3926	0	-1.8492
Yme1l1	4	3.6882e-05	3.3337e-06	0.00099	14	3	-0.6532	0.98244	0.99135	1.0	3768	0	-0.6532
Fdxr	4	5.2806e-05	5.5561e-06	0.001456	15	3	-0.83101	0.99639	0.99887	1.0	3865	0	-0.83101
Gpr89	4	7.1123e-05	5.5561e-06	0.001456	16	3	-0.72834	0.99998	1.0	1.0	3927	0	-0.72834
Nsmce1	4	0.00011101	1.4446e-05	0.003575	17	3	-0.70833	0.99997	1.0	1.0	3924	0	-0.70833
Tmem125	4	0.00014639	1.8891e-05	0.004429	18	3	-1.7932	0.99991	0.99999	1.0	3917	0	-1.7932
Hspa13	4	0.00015965	2.1113e-05	0.004703	19	3	-0.61286	0.99999	1.0	1.0	3932	0	-0.61286
4933402N03Rik	4	0.00018956	2.3336e-05	0.00495	20	3	-2.0363	0.99867	0.99975	1.0	3885	0	-2.0363
Cnnm1	4	0.00022178	2.5558e-05	0.00495	21	3	-1.8175	0.53806	0.53724	1.0	2083	0	-1.8175
Anapc4	4	0.00025067	2.7781e-05	0.00495	22	2	-1.5757	0.85773	0.89141	1.0	3256	0	-1.5757
Trnau1ap	4	0.0002523	2.7781e-05	0.00495	23	3	-0.51103	0.13804	0.17329	1.0	493	0	-0.51103
Rnaseh2b	4	0.00025357	2.7781e-05	0.00495	24	3	-0.53627	0.99995	1.0	1.0	3920	0	-0.53627
Tedc1	4	0.00027053	3.0003e-05	0.005141	25	3	-0.53156	0.99935	0.99985	1.0	3892	0	-0.53156
Sco1	4	0.00030812	3.8893e-05	0.006417	26	3	-0.53877	0.99945	0.99989	1.0	3893	0	-0.53877
Ndufaf8	4	0.00031691	4.1115e-05	0.006542	27	3	-0.76401	0.98238	0.99135	1.0	3766	0	-0.76401
Aagab	4	0.00034585	4.7783e-05	0.00734	28	3	-0.47766	0.9936	0.99782	1.0	3843	0	-0.47766
Gins4	4	0.00041058	9.0009e-05	0.012935	29	3	-0.56843	0.99999	1.0	1.0	3931	0	-0.56843
Smarca5	3	0.00042317	8.1119e-05	0.012046	30	2	-0.68739	0.4513	0.45852	1.0	1720	0	-0.68739
Pgm3	4	0.0004645	0.00010223	0.013801	31	3	-1.8293	0.75335	0.79089	1.0	2867	0	-1.8293
Ten1	4	0.0004645	0.00010223	0.013801	32	3	-1.6196	0.90483	0.93294	1.0	3450	0	-1.6196
Gm2974	4	0.00052309	0.00011223	0.014706	33	2	-1.452	0.97846	0.98842	1.0	3750	0	-1.452
Lyg1	4	0.00081593	0.00020335	0.024752	34	2	-0.39317	0.063874	0.09241	1.0	229	1	-0.39317
Vps35l	4	0.00083011	0.00020335	0.024752	35	2	-0.53919	0.84369	0.87766	1.0	3211	0	-0.53919
Cyyr1	3	0.00092223	0.00023447	0.026783	36	1	-0.72374	0.002151	0.0032814	0.612417	24	1	-0.72374
Ascc3	4	0.00095633	0.00020558	0.024752	37	2	-0.6121	0.99979	0.99996	1.0	3909	0	-0.6121
Pdgfrl	4	0.0010044	0.00027225	0.029582	38	2	-0.33982	0.00096823	0.0013501	0.333246	18	2	-0.33982
Otulin	4	0.0012063	0.00027225	0.029582	39	2	-0.88624	0.05277	0.063486	1.0	185	1	-0.88624
Gm10698_Tmed2	3	0.0013917	0.00023447	0.026783	40	2	-0.67222	0.99711	0.99914	1.0	3869	0	-0.67222
1700020L24Rik	4	0.0014388	0.00034892	0.036068	41	2	-1.4112	0.79864	0.83794	1.0	3032	0	-1.4112
Adgra3	4	0.0014388	0.00034892	0.036068	42	2	-1.5089	0.5187	0.51749	1.0	2008	0	-1.5089
Gm46682_Gm46683_Spin2g	1	0.00164	1.1112e-06	0.000381	43	1	-3.3685	0.99836	1.0	1.0	3884	0	-3.3685
Dclk3	4	0.0017454	0.00052561	0.036068	44	2	-0.78893	0.05277	0.063486	1.0	184	1	-0.78893
Tbcb	4	0.0017729	0.00052561	0.036068	45	2	-0.55051	0.99995	1.0	1.0	3921	0	-0.55051
T	4	0.0017755	0.00052561	0.036068	46	1	0.088193	0.11233	0.15999	1.0	405	0	0.088193
Fdx1	4	0.0018564	0.00052561	0.036068	47	2	-0.47436	0.99897	0.99981	1.0	3889	0	-0.47436
Stard7	4	0.0021636	0.00052561	0.036068	48	2	-0.57995	0.9897	0.99562	1.0	3814	0	-0.57995
Uba3	4	0.0021788	0.00052561	0.036068	49	2	-0.62941	0.92265	0.94725	1.0	3518	0	-0.62941
Adsl	4	0.0021849	0.00052561	0.036068	50	1	-0.3415	0.8192	0.85611	1.0	3112	0	-0.3415
Pcyox1l	4	0.0021849	0.00052561	0.036068	51	1	-0.211	0.038916	0.039516	1.0	152	1	-0.211
Gopc	4	0.0021941	0.00052561	0.036068	52	2	-1.1878	0.49366	0.49977	1.0	1905	0	-1.1878
Tardbp	4	0.002429	0.00052561	0.036068	53	2	-0.54855	0.98229	0.99126	1.0	3765	0	-0.54855
Ppan	2	0.0024409	0.00058895	0.036068	54	2	-1.7095	0.99756	0.99941	1.0	3877	0	-1.7095
Mplkip	4	0.0025942	0.00052561	0.036068	55	2	-0.49402	0.99188	0.99684	1.0	3827	0	-0.49402
