id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Mtx2	4	5.4457e-11	1.111e-06	0.000206	1	4	-0.91632	1.0	1.0	1.0	3938	0	-0.91632
Scd2	4	1.2742e-07	1.111e-06	0.000206	2	4	-0.98367	0.99994	0.99999	1.0	3924	0	-0.98367
Gpr89	4	6.1528e-07	1.111e-06	0.000206	3	4	-0.69289	1.0	1.0	1.0	3937	0	-0.69289
Yme1l1	4	9.0657e-07	1.111e-06	0.000206	4	3	-0.65089	0.99965	0.99984	1.0	3911	0	-0.65089
Mtrr	4	1.3381e-06	1.111e-06	0.000206	5	4	-0.56707	1.0	1.0	1.0	3936	0	-0.56707
Gtpbp3	4	1.3488e-06	1.111e-06	0.000206	6	4	-0.96028	1.0	1.0	1.0	3935	0	-0.96028
Bloc1s1	4	2.1546e-06	1.111e-06	0.000206	7	3	-0.65059	0.99974	0.99987	1.0	3914	0	-0.65059
Gdi2	4	2.2644e-06	1.111e-06	0.000206	8	3	-0.61157	0.99101	0.99366	1.0	3841	0	-0.61157
Aagab	4	2.4359e-06	1.111e-06	0.000206	9	3	-0.5984	0.97549	0.98322	1.0	3749	0	-0.5984
Thoc7	4	6.1702e-06	1.111e-06	0.000206	10	4	-0.47509	0.99999	1.0	1.0	3934	0	-0.47509
Khdrbs1	4	6.7649e-06	1.111e-06	0.000206	11	4	-0.46822	0.99999	1.0	1.0	3933	0	-0.46822
Phf6	4	7.4016e-06	1.111e-06	0.000206	12	3	-0.56897	0.98901	0.99192	1.0	3826	0	-0.56897
Srrd	4	7.5249e-06	1.111e-06	0.000206	13	3	-0.7187	0.99085	0.99361	1.0	3840	0	-0.7187
Ddx59	4	7.7564e-06	1.111e-06	0.000206	14	4	-0.56644	0.99999	1.0	1.0	3932	0	-0.56644
Tedc1	4	1.2215e-05	1.111e-06	0.000206	15	4	-0.50684	0.99999	1.0	1.0	3931	0	-0.50684
Cbx3	3	1.2985e-05	1.111e-06	0.000206	16	3	-0.57664	0.99999	1.0	1.0	3930	0	-0.57664
Rnaseh2b	4	1.5422e-05	1.111e-06	0.000206	17	4	-0.48745	0.99998	1.0	1.0	3929	0	-0.48745
Gins4	4	1.6174e-05	1.111e-06	0.000206	18	4	-0.51616	0.99998	1.0	1.0	3928	0	-0.51616
Stard7	4	2.6488e-05	1.111e-06	0.000206	19	4	-0.51946	0.99997	1.0	1.0	3927	0	-0.51946
Carm1	4	2.7634e-05	1.111e-06	0.000206	20	3	-0.64932	0.99196	0.99432	1.0	3848	0	-0.64932
Hspa13	4	2.8827e-05	1.111e-06	0.000206	21	3	-0.63139	0.99972	0.99987	1.0	3912	0	-0.63139
Bzw1	4	4.5085e-05	9.9988e-06	0.00165	22	3	-0.35736	0.56321	0.60772	1.0	2128	0	-0.35736
Sco1	4	4.9193e-05	9.9988e-06	0.00165	23	4	-0.4866	0.99995	0.99999	1.0	3926	0	-0.4866
Ythdf2	4	5.5574e-05	9.9988e-06	0.00165	24	4	-0.51644	0.99994	0.99999	1.0	3925	0	-0.51644
Tbcb	4	7.4702e-05	1.2221e-05	0.001945	25	4	-0.55003	0.99986	0.99995	1.0	3921	0	-0.55003
Ascc3	4	9.5125e-05	4.3328e-05	0.006436	26	4	-0.64508	0.9999	0.99997	1.0	3923	0	-0.64508
Pkmyt1	4	9.913e-05	4.3328e-05	0.006436	27	4	-0.47217	0.9999	0.99997	1.0	3922	0	-0.47217
Eif3l	4	0.00011911	6.1104e-05	0.008783	28	3	-0.56165	0.99747	0.9985	1.0	3883	0	-0.56165
Mrpl16	4	0.00013493	6.7769e-05	0.009437	29	3	-0.32633	0.50284	0.55246	1.0	1905	0	-0.32633
Fdxr	4	0.00014584	7.8879e-05	0.01057	30	2	-0.49251	0.97159	0.98159	1.0	3732	0	-0.49251
Rfc2	4	0.00015985	8.5545e-05	0.01057	31	3	-0.66697	0.96231	0.97526	1.0	3690	0	-0.66697
Lias	4	0.00016231	8.5545e-05	0.01057	32	3	-0.47843	0.99364	0.99557	1.0	3854	0	-0.47843
Ctu1	4	0.00016874	8.5545e-05	0.01057	33	4	-0.72335	0.99983	0.99993	1.0	3920	0	-0.72335
Kdm2a	4	0.00017838	8.7767e-05	0.01057	34	3	-0.43268	0.8566	0.89457	1.0	3262	0	-0.43268
Rttn	4	0.00021699	9.8877e-05	0.011551	35	3	-0.50318	0.99977	0.99989	1.0	3917	0	-0.50318
Mbd2	4	0.00022687	0.0001011	0.011551	36	2	-0.29507	0.9714	0.98139	1.0	3730	0	-0.29507
Ipo9	4	0.0003125	0.00010999	0.011954	37	3	-0.46159	0.89044	0.91393	1.0	3386	0	-0.46159
Pars2	4	0.00032286	0.00011443	0.01214	38	3	-0.45575	0.9604	0.97423	1.0	3682	0	-0.45575
Gm10698_Tmed2	3	0.00033959	0.00010776	0.011954	39	2	-0.65387	0.98909	0.9927	1.0	3828	0	-0.65387
Trnau1ap	4	0.00037472	0.00012332	0.012431	40	3	-0.42748	0.1524	0.18819	1.0	637	1	-0.42748
Srsf7	4	0.00037803	0.00012554	0.012431	41	3	-0.48023	0.94652	0.96043	1.0	3621	0	-0.48023
Safb	4	0.00041446	0.00012554	0.012431	42	2	-0.46061	0.69025	0.74112	1.0	2632	0	-0.46061
Med6	4	0.00045201	0.00013221	0.012745	43	3	-0.45852	0.99952	0.99978	1.0	3909	0	-0.45852
Napa	4	0.00048838	0.00013443	0.012745	44	3	-0.59218	0.25797	0.29252	1.0	987	1	-0.59218
Letm1	4	0.00052046	0.00014109	0.013033	45	3	-0.47892	0.95024	0.96671	1.0	3636	0	-0.47892
Zfp644	4	0.00059094	0.00014332	0.013033	46	3	-0.30896	0.99838	0.99917	1.0	3894	0	-0.30896
Dhx29	4	0.00066501	0.00017442	0.015545	47	3	-0.44792	0.99921	0.99957	1.0	3903	0	-0.44792
