id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Fbxl14	4	5.5912e-06	1.6762e-05	0.074257	1	4	-1.3255	0.99999	0.99999	1.0	3916	0	-1.3255
Mki67	4	1.9053e-05	6.8167e-05	0.10066	2	3	-0.56676	0.42923	0.5788	1.0	1997	1	-0.56676
POTENTIALLY_ACTIVE_29	2	6.8827e-05	5.0287e-05	0.10066	3	1	-0.76821	0.59611	0.60812	1.0	2380	0	-0.76821
Amigo2	4	8.6582e-05	0.00023803	0.203795	4	4	-0.78272	0.99991	0.99996	1.0	3915	0	-0.78272
Nucks1	4	9.0349e-05	0.00024697	0.203795	5	4	-0.84164	0.99991	0.99995	1.0	3914	0	-0.84164
Fbxw21	4	0.00010666	0.00027602	0.203795	6	4	-0.74984	0.99989	0.99994	1.0	3913	0	-0.74984
Stxbp3	4	0.00015745	0.00053304	0.264356	7	4	-0.99692	0.99984	0.9999	1.0	3912	0	-0.99692
Slc6a20a	4	0.00025141	0.0007029	0.264356	8	4	-0.80038	0.99975	0.99988	1.0	3911	0	-0.80038
Mbd2	4	0.00025695	0.00071184	0.264356	9	4	-1.1149	0.99974	0.99987	1.0	3910	0	-1.1149
Ccdc71l	4	0.00032983	0.00087723	0.264356	10	3	-1.0238	0.37264	0.53295	1.0	1841	1	-1.0238
Glmp	4	0.00034976	0.00087947	0.264356	11	3	-0.86526	0.82527	0.83444	1.0	3137	0	-0.86526
Ctbs	4	0.00040701	0.00089511	0.264356	12	4	-0.99569	0.99825	0.99889	1.0	3906	0	-0.99569
Tcf12	4	0.0004129	0.00089511	0.264356	13	1	0.50548	0.054092	0.13852	1.0	460	2	0.50548
Ftsj1	4	0.00041804	0.00089511	0.264356	14	4	-0.7596	0.99958	0.99978	1.0	3909	0	-0.7596
Vmn2r93	4	0.00042175	0.00089511	0.264356	15	3	-0.75729	0.95248	0.96265	1.0	3715	0	-0.75729
Rfx2	4	0.00052372	0.0010784	0.298577	16	4	-0.84034	0.99506	0.99622	1.0	3891	0	-0.84034
Rnf14	4	0.0006881	0.001389	0.336062	17	2	-0.1269	0.3312	0.49354	1.0	1673	2	-0.1269
Rffl	4	0.00071761	0.0014337	0.336062	18	3	-0.66277	0.84802	0.86054	1.0	3230	0	-0.66277
Zdhhc17	4	0.00081341	0.0017332	0.336062	19	3	-0.5575	0.97175	0.9797	1.0	3799	0	-0.5575
1810010H24Rik	4	0.00084205	0.0017466	0.336062	20	2	-0.47403	0.28536	0.4468	1.0	1505	1	-0.47403
Nphp1	4	0.0009081	0.0018316	0.336062	21	3	-0.73905	0.6258	0.68309	1.0	2454	1	-0.73905
Dhrs7	4	0.00096149	0.0018472	0.336062	22	3	-0.62911	0.10147	0.24141	1.0	793	1	-0.62911
