id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Mecr	4	4.6312e-12	1.1105e-06	0.000236	1	4	-1.2056	1.0	1.0	1.0	3937	0	-1.2056
Nmt1	4	1.3584e-07	1.1105e-06	0.000236	2	3	-1.239	0.99999	1.0	1.0	3931	0	-1.239
Msl2	4	1.731e-07	1.1105e-06	0.000236	3	3	-1.1071	0.99977	0.99997	1.0	3913	0	-1.1071
Prmt7	4	3.4618e-07	1.1105e-06	0.000236	4	4	-0.76176	1.0	1.0	1.0	3936	0	-0.76176
Foxred1	4	4.6394e-07	1.1105e-06	0.000236	5	4	-0.67592	1.0	1.0	1.0	3935	0	-0.67592
Rexo2	4	5.6662e-07	1.1105e-06	0.000236	6	3	-0.9331	0.99673	0.99898	1.0	3857	0	-0.9331
Slc16a1	4	5.3694e-06	1.1105e-06	0.000236	7	4	-0.65543	0.99999	1.0	1.0	3934	0	-0.65543
Lars	4	5.3999e-06	1.1105e-06	0.000236	8	4	-0.72533	0.99999	1.0	1.0	3933	0	-0.72533
Polg2	4	5.7442e-06	1.1105e-06	0.000236	9	4	-0.65137	0.99999	1.0	1.0	3932	0	-0.65137
Ube2cbp	4	7.4031e-06	1.1105e-06	0.000236	10	3	-0.75865	0.99998	1.0	1.0	3927	0	-0.75865
Eloa	4	9.6895e-06	1.1105e-06	0.000236	11	3	-0.68859	0.67634	0.69518	1.0	2544	0	-0.68859
Syncrip	4	1.9953e-05	1.1105e-06	0.000236	12	3	-0.78644	0.99995	1.0	1.0	3922	0	-0.78644
Faf2	4	4.1145e-05	1.1105e-06	0.000236	13	3	-0.86157	0.99995	1.0	1.0	3924	0	-0.86157
Eed	4	4.5649e-05	1.1105e-06	0.000236	14	2	-0.69068	0.9996	0.99992	1.0	3904	0	-0.69068
Vps52	4	4.7926e-05	1.1105e-06	0.000236	15	2	-0.59066	0.88512	0.89983	1.0	3337	0	-0.59066
Get3	4	4.972e-05	3.3314e-06	0.00053	16	3	-0.77401	0.99817	0.99942	1.0	3872	0	-0.77401
Lars2	4	5.1922e-05	3.3314e-06	0.00053	17	3	-0.84173	0.99904	0.99973	1.0	3891	0	-0.84173
Uqcc1	4	5.2648e-05	3.3314e-06	0.00053	18	2	-0.70599	0.99914	0.99981	1.0	3896	0	-0.70599
Ppp1r2	4	5.3274e-05	3.3314e-06	0.00053	19	3	-0.74975	0.99998	1.0	1.0	3928	0	-0.74975
2310011J03Rik	4	5.4649e-05	3.3314e-06	0.00053	20	3	-0.77894	0.99999	1.0	1.0	3930	0	-0.77894
Rad9a	4	6.4422e-05	3.3314e-06	0.00053	21	3	-0.69076	0.98184	0.98867	1.0	3739	0	-0.69076
Rpl29	4	6.5981e-05	3.3314e-06	0.00053	22	3	-0.66385	0.87035	0.88782	1.0	3263	0	-0.66385
