id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Mecr	4	3.1005e-10	1.1105e-06	0.000309	1	4	-1.126	1.0	1.0	1.0	3937	0	-1.126
Mtif3	4	3.4333e-08	1.1105e-06	0.000309	2	4	-0.85763	1.0	1.0	1.0	3936	0	-0.85763
Ube2cbp	4	1.8337e-07	1.1105e-06	0.000309	3	4	-0.81187	1.0	1.0	1.0	3929	0	-0.81187
Gfm2	4	5.303e-07	1.1105e-06	0.000309	4	4	-0.52286	1.0	1.0	1.0	3935	0	-0.52286
Slc16a1	4	5.3569e-07	1.1105e-06	0.000309	5	4	-0.63748	1.0	1.0	1.0	3934	0	-0.63748
Foxred1	4	5.7453e-07	1.1105e-06	0.000309	6	4	-0.63775	1.0	1.0	1.0	3933	0	-0.63775
Mrrf	4	8.1872e-07	1.1105e-06	0.000309	7	4	-0.6264	0.99997	1.0	1.0	3926	0	-0.6264
Msl2	4	8.7674e-07	1.1105e-06	0.000309	8	3	-1.1246	0.99857	0.99932	1.0	3898	0	-1.1246
Eno1_Eno1b_Gm4735	4	1.4605e-06	1.1105e-06	0.000309	9	4	-0.60954	1.0	1.0	1.0	3932	0	-0.60954
Arfrp1	4	1.9971e-06	1.1105e-06	0.000309	10	3	-0.6963	0.93019	0.95232	1.0	3576	0	-0.6963
Tmem147	4	2.2165e-06	1.1105e-06	0.000309	11	4	-0.53861	1.0	1.0	1.0	3931	0	-0.53861
Scaf8	4	2.805e-06	1.1105e-06	0.000309	12	3	-0.6333	0.92985	0.95232	1.0	3575	0	-0.6333
Nmt1	4	4.2005e-06	1.1105e-06	0.000309	13	4	-1.0406	1.0	1.0	1.0	3930	0	-1.0406
Get4	4	1.223e-05	1.1105e-06	0.000309	14	4	-0.67016	0.99995	0.99999	1.0	3922	0	-0.67016
