id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Usp18	3	6.9195e-05	0.00024097	0.482054	1	2	-3.3737	0.21837	0.33465	1.0	1374	1	-3.3737
Klhl8	4	7.1357e-05	0.00027429	0.482054	2	3	-1.2158	0.25646	0.40275	1.0	1508	1	-1.2158
Znfx1	4	0.00010611	0.00047417	0.482054	3	4	-1.3722	0.99989	0.99992	1.0	3937	0	-1.3722
Zcchc10	4	0.00013646	0.00056967	0.482054	4	4	-0.60993	0.99034	0.9923	1.0	3893	0	-0.60993
Ehf	4	0.00014909	0.00060743	0.482054	5	4	-1.0092	0.99985	0.99988	1.0	3936	0	-1.0092
Meis2	4	0.0002269	0.00084063	0.482054	6	2	-1.0923	0.94877	0.95508	1.0	3729	0	-1.0923
Tnfrsf23	4	0.00023384	0.00086506	0.482054	7	4	-1.2429	0.98485	0.98797	1.0	3870	0	-1.2429
Scgb2b4-ps	3	0.00025263	0.00070293	0.482054	8	3	-1.2351	0.99975	0.99974	1.0	3935	0	-1.2351
Gm6829_Golga7	2	0.00026482	0.0022976	0.853548	9	2	-1.2754	0.99974	0.99965	1.0	3934	0	-1.2754
Vmn1r233	4	0.00034992	0.0012715	0.554005	10	3	-0.88336	0.003135	0.010897	0.882756	47	1	-0.88336
Serinc5	4	0.00036014	0.0013115	0.554005	11	3	-0.74072	0.22831	0.38131	1.0	1419	1	-0.74072
Zfp746	4	0.00038803	0.001367	0.554005	12	3	-0.92303	0.92418	0.93121	1.0	3630	0	-0.92303
Steap4	4	0.00042808	0.0049716	0.925625	13	2	-0.22901	0.12036	0.24878	1.0	929	2	-0.22901
Glt8d1	4	0.00047049	0.0052714	0.925625	14	4	-1.0872	0.99953	0.99963	1.0	3933	0	-1.0872
Slc7a14	4	0.00047873	0.0052847	0.925625	15	3	-0.91841	0.7394	0.76719	1.0	2994	1	-0.91841
Sptbn4	4	0.00052909	0.0053625	0.925625	16	2	-0.75997	0.30964	0.45046	1.0	1699	2	-0.75997
Mtarc2	4	0.00053647	0.0053625	0.925625	17	4	-0.9832	0.99946	0.99955	1.0	3932	0	-0.9832
Gm33967_Zfp641	2	0.00061399	0.0047206	0.925625	18	1	-0.59082	0.43909	0.44986	1.0	2175	1	-0.59082
4930432M17Rik	4	0.00061768	0.0054491	0.925625	19	4	-0.72868	0.99938	0.99951	1.0	3931	0	-0.72868
Mkks	4	0.00066274	0.0056112	0.925625	20	3	-0.87679	0.85101	0.85981	1.0	3356	1	-0.87679
LOC100041708	2	0.00068827	0.0047228	0.925625	21	2	-2.433	0.99931	0.99901	1.0	3930	0	-2.433
Slc4a3	4	0.0007179	0.0092958	0.925625	22	2	-0.060477	0.19696	0.35424	1.0	1289	2	-0.060477
Hemgn	4	0.00072691	0.0092958	0.925625	23	4	-0.69531	0.99927	0.99938	1.0	3929	0	-0.69531
Zscan12	4	0.00075288	0.0093047	0.925625	24	3	-0.88298	0.96709	0.97096	1.0	3808	0	-0.88298
Hoxb8	4	0.00078462	0.0094668	0.925625	25	3	-0.94956	0.47043	0.61624	1.0	2304	1	-0.94956
Arfip2	4	0.0009549	0.0098688	0.925625	26	3	-0.97955	0.84618	0.85292	1.0	3328	1	-0.97955
Gltp	4	0.00096535	0.0098888	0.925625	27	4	-0.77147	0.99347	0.9947	1.0	3903	0	-0.77147
Kpna3	4	0.0012369	0.010251	0.925625	28	4	-0.88639	0.99876	0.99902	1.0	3928	0	-0.88639
St8sia2	4	0.0012568	0.0103	0.925625	29	4	-0.79718	0.99874	0.99902	1.0	3927	0	-0.79718
Sptssa	4	0.0013628	0.010526	0.925625	30	3	-1.1153	0.95963	0.96224	1.0	3772	0	-1.1153
Alpk1	4	0.0014407	0.010939	0.925625	31	2	-0.20962	0.3526	0.50446	1.0	1843	2	-0.20962
Slc12a6	3	0.0015344	0.0089049	0.925625	32	1	0.12842	0.047831	0.12025	1.0	441	1	0.12842
Ascc1	4	0.0016138	0.011108	0.925625	33	4	-0.82363	0.99839	0.99874	1.0	3926	0	-0.82363
Crocc2	4	0.0016325	0.011319	0.925625	34	3	-0.94776	0.87841	0.89207	1.0	3473	0	-0.94776
Cyp2ab1	4	0.0016337	0.011457	0.925625	35	4	-0.83394	0.99837	0.99868	1.0	3925	0	-0.83394
Chil1	4	0.0017267	0.01193	0.925625	36	3	-0.85279	0.90496	0.91763	1.0	3565	0	-0.85279
Fam160b1	4	0.0017728	0.011959	0.925625	37	4	-0.57709	0.98671	0.98919	1.0	3879	0	-0.57709
Methig1_Mettl7a2	4	0.0018585	0.012094	0.925625	38	3	-0.80641	0.95639	0.95995	1.0	3758	0	-0.80641
Best3	4	0.0018933	0.012207	0.925625	39	3	-1.0127	0.85959	0.87224	1.0	3392	0	-1.0127
Asphd1	4	0.0020842	0.012361	0.925625	40	4	-0.76548	0.99792	0.99838	1.0	3924	0	-0.76548
Zfp513	4	0.0020949	0.012361	0.925625	41	4	-0.90412	0.99791	0.99838	1.0	3923	0	-0.90412
Smg8	4	0.0022628	0.013105	0.925625	42	4	-1.4429	0.99774	0.99811	1.0	3922	0	-1.4429
Pwwp3b	4	0.0023179	0.013198	0.925625	43	2	-0.42169	0.30567	0.44672	1.0	1683	2	-0.42169
Gm44148_Usp18	1	0.002354	0.0027651	0.925625	44	1	-2.9125	0.99765	0.99723	1.0	3921	0	-2.9125
Evi5	4	0.0025447	0.014071	0.925625	45	4	-1.2018	0.98532	0.98835	1.0	3872	0	-1.2018
Cyp2a22	4	0.0025903	0.014373	0.925625	46	2	0.11677	0.06349	0.15366	1.0	556	2	0.11677
Gm14428	4	0.0027674	0.014699	0.925625	47	4	-0.97192	0.99723	0.99743	1.0	3920	0	-0.97192
Apbb3	4	0.0028406	0.015301	0.925625	48	4	-1.1094	0.99716	0.99738	1.0	3919	0	-1.1094
Tmem262	4	0.0028626	0.015381	0.925625	49	3	-0.90934	0.80248	0.81488	1.0	3168	1	-0.90934
Tspan11	4	0.0029602	0.015772	0.925625	50	2	-0.37888	0.35318	0.50446	1.0	1846	1	-0.37888
Maged2	4	0.0029833	0.015774	0.925625	51	3	-0.85241	0.76663	0.79098	1.0	3053	1	-0.85241
Stxbp5	4	0.003049	0.01585	0.925625	52	4	-0.94897	0.98669	0.98919	1.0	3878	0	-0.94897
Pter	4	0.003135	0.016367	0.925625	53	2	0.074691	0.027416	0.087602	1.0	292	2	0.074691
Dlk2	4	0.0031663	0.01637	0.925625	54	3	-0.93197	0.37476	0.53149	1.0	1926	1	-0.93197
Kif2c	4	0.0031755	0.01637	0.925625	55	3	-1.3302	0.00068214	0.0017912	0.589255	12	1	-1.3302
Wnk3	4	0.0031864	0.016487	0.925625	56	4	-0.70149	0.98629	0.98911	1.0	3874	0	-0.70149
Rps23-ps2_Rps23rg1	2	0.0032043	0.0067106	0.925625	57	1	-0.65719	0.71766	0.7288	1.0	2925	0	-0.65719
Vmn1r187_Vmn1r63	4	0.0032992	0.01658	0.925625	58	4	-1.0485	0.9967	0.99701	1.0	3918	0	-1.0485
Rbp1	4	0.0033418	0.016583	0.925625	59	2	-0.45356	0.33729	0.48543	1.0	1786	2	-0.45356
Mfsd14b	4	0.0034072	0.016698	0.925625	60	3	-1.2482	0.92126	0.92818	1.0	3620	0	-1.2482
Dzip3	4	0.0035344	0.017085	0.925625	61	4	-0.64322	0.99647	0.99689	1.0	3917	0	-0.64322
Defb12	4	0.0036794	0.017325	0.925625	62	1	0.084407	0.088725	0.20253	1.0	729	1	0.084407
Lrfn3	4	0.0038253	0.017489	0.925625	63	3	-1.7354	0.84937	0.85559	1.0	3344	1	-1.7354
Tex16	4	0.0039516	0.017653	0.925625	64	2	0.1039	0.33817	0.48793	1.0	1788	2	0.1039
Map2	4	0.0039685	0.017653	0.925625	65	4	-0.59418	0.99603	0.99647	1.0	3916	0	-0.59418
Zfp687	4	0.0040685	0.017789	0.925625	66	2	-1.0121	0.096843	0.21289	1.0	784	1	-1.0121
Etl4	4	0.0040891	0.017829	0.925625	67	3	-0.62832	0.50286	0.64549	1.0	2417	1	-0.62832
Cbln4	4	0.0041097	0.017904	0.925625	68	2	-0.085517	0.066376	0.15572	1.0	573	2	-0.085517
Btnl6	4	0.0041304	0.017971	0.925625	69	4	-1.0844	0.99356	0.99497	1.0	3906	0	-1.0844
Mob3c	4	0.0042236	0.018095	0.925625	70	2	-0.55762	0.89889	0.90893	1.0	3545	0	-0.55762
Tmem212	4	0.0042519	0.018097	0.925625	71	4	-0.66317	0.99575	0.99622	1.0	3915	0	-0.66317
Gemin2	4	0.004261	0.018097	0.925625	72	4	-1.6457	0.99574	0.99622	1.0	3914	0	-1.6457
Gstcd	4	0.0042709	0.018097	0.925625	73	3	-0.78593	0.87779	0.89207	1.0	3469	0	-0.78593
Krcc1	4	0.0043159	0.018455	0.925625	74	4	-0.69044	0.99568	0.99622	1.0	3913	0	-0.69044
4933407O12Rik	4	0.0044016	0.018499	0.925625	75	4	-0.956	0.9956	0.99617	1.0	3912	0	-0.956
Fbxo34	4	0.0044254	0.018557	0.925625	76	3	-1.0464	0.75544	0.78069	1.0	3028	1	-1.0464
Ttpal	4	0.0044683	0.018557	0.925625	77	3	-0.59524	0.90714	0.91996	1.0	3573	0	-0.59524
Rab3il1	4	0.0044899	0.018557	0.925625	78	3	-1.1781	0.86133	0.87303	1.0	3402	0	-1.1781
Cyfip1	4	0.0044957	0.018559	0.925625	79	2	-0.56921	0.29286	0.43658	1.0	1639	2	-0.56921
Pdia2	4	0.004708	0.019155	0.925625	80	3	-0.73155	0.96753	0.97148	1.0	3809	0	-0.73155
Gm45988_Gm46353	4	0.0047677	0.019157	0.925625	81	2	-0.48345	0.91107	0.9211	1.0	3586	0	-0.48345
Plekho1	4	0.0048391	0.019237	0.925625	82	4	-1.0219	0.99516	0.99606	1.0	3911	0	-1.0219
Ldlrad2	4	0.0050396	0.019494	0.925625	83	1	0.031063	0.40719	0.55608	1.0	2044	2	0.031063
Ttll8	4	0.0052766	0.019763	0.925625	84	3	-1.0623	0.83154	0.84101	1.0	3270	1	-1.0623
Prkar1a	4	0.0052843	0.019763	0.925625	85	4	-1.2597	0.99472	0.99575	1.0	3910	0	-1.2597
St7l	4	0.0053922	0.020034	0.925625	86	2	-0.60092	0.25492	0.40127	1.0	1504	1	-0.60092
Dtna	4	0.0055402	0.020494	0.925625	87	4	-0.76856	0.99361	0.99497	1.0	3907	0	-0.76856
Dnajb8	4	0.0055833	0.020627	0.925625	88	3	-0.94222	0.96805	0.97196	1.0	3811	0	-0.94222
Gm2003_Slx	1	0.0056973	0.0074857	0.925625	89	1	-1.0539	0.9943	0.99251	1.0	3909	0	-1.0539
Tmtc4	4	0.005855	0.02088	0.925625	90	3	-1.3831	0.9709	0.97418	1.0	3816	0	-1.3831
Hfe	4	0.0058815	0.020882	0.925625	91	3	-1.0566	0.69758	0.73826	1.0	2857	1	-1.0566
Gm567	4	0.0063272	0.021367	0.925625	92	4	-0.81667	0.99367	0.99522	1.0	3908	0	-0.81667
Pcdh10	4	0.0063732	0.021575	0.925625	93	4	-0.77916	0.98134	0.98439	1.0	3854	0	-0.77916
Zfp335	4	0.0064754	0.022062	0.925625	94	4	-1.2214	0.99352	0.99476	1.0	3905	0	-1.2214
Gm11715	4	0.0064941	0.02218	0.925625	95	4	-0.73961	0.99351	0.99476	1.0	3904	0	-0.73961
Zfp1	4	0.0065013	0.022284	0.925625	96	2	-0.57408	0.77001	0.79277	1.0	3062	1	-0.57408
Btbd11	4	0.0065631	0.022348	0.925625	97	4	-0.95184	0.99344	0.9947	1.0	3902	0	-0.95184
Zfp712	4	0.0066047	0.022528	0.925625	98	4	-0.31014	0.98077	0.98407	1.0	3852	0	-0.31014
Rap2a	4	0.0066699	0.022528	0.925625	99	2	-0.010715	0.19868	0.35659	1.0	1294	2	-0.010715
Rgs19	4	0.0066835	0.02253	0.925625	100	4	-0.81352	0.99332	0.99469	1.0	3901	0	-0.81352
Cdkn3	4	0.0069742	0.023203	0.925625	101	3	-0.89866	0.9697	0.97327	1.0	3813	0	-0.89866
Spata4	4	0.0069992	0.023206	0.925625	102	2	-0.26707	0.28255	0.42718	1.0	1602	2	-0.26707
Tsg101	4	0.0072129	0.024392	0.925625	103	3	-0.90076	0.51993	0.65161	1.0	2444	1	-0.90076
Rpap1	4	0.0073922	0.025076	0.925625	104	3	-2.1564	0.54719	0.66443	1.0	2507	1	-2.1564
Gm13283	2	0.0074234	0.019377	0.925625	105	2	-1.3476	0.93504	0.93893	1.0	3676	0	-1.3476
Ccdc158	4	0.0074844	0.025493	0.925625	106	2	0.40569	0.054433	0.13351	1.0	486	2	0.40569
Zfp938	4	0.0075079	0.025493	0.925625	107	3	-0.78774	0.46498	0.61239	1.0	2282	1	-0.78774
Zfp46	4	0.0076365	0.025495	0.925625	108	4	-0.94589	0.99236	0.99394	1.0	3900	0	-0.94589
Zfp59	3	0.007738	0.020269	0.925625	109	2	-0.86383	0.87967	0.88978	1.0	3477	0	-0.86383
Zfp551	4	0.0077557	0.025962	0.925625	110	1	0.89791	0.021384	0.065681	1.0	254	3	0.89791
Tex15	4	0.007757	0.025962	0.925625	111	4	-0.78136	0.99224	0.99374	1.0	3899	0	-0.78136
Rbm12b1_Rbm12b2	7	0.0077655	0.039136	1.0	112	5	-0.92935	0.97949	0.98291	1.0	3846	0	-0.92935
Leng8	4	0.0077783	0.025962	0.925625	113	4	-1.0517	0.99209	0.99374	1.0	3897	0	-1.0517
