id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Dph3	4	3.9707e-09	1.0996e-06	0.000198	1	4	-0.88894	1.0	1.0	1.0	3997	0	-0.88894
Ncln	4	9.8559e-08	1.0996e-06	0.000198	2	4	-0.83509	1.0	1.0	1.0	3996	0	-0.83509
Commd4	4	1.2061e-07	1.0996e-06	0.000198	3	4	-0.90259	1.0	1.0	1.0	3992	0	-0.90259
Ilf3	4	1.3008e-07	1.0996e-06	0.000198	4	4	-0.77633	1.0	1.0	1.0	3995	0	-0.77633
Trit1	4	2.2328e-07	1.0996e-06	0.000198	5	4	-0.81536	1.0	1.0	1.0	3994	0	-0.81536
Ubxn7	4	2.7883e-07	1.0996e-06	0.000198	6	3	-0.9398	0.99989	0.99999	1.0	3973	0	-0.9398
Mrpl49	4	6.9165e-07	1.0996e-06	0.000198	7	4	-0.63237	1.0	1.0	1.0	3993	0	-0.63237
Slc25a19	4	8.1407e-07	1.0996e-06	0.000198	8	3	-0.87498	0.9998	0.99997	1.0	3968	0	-0.87498
Fitm2	4	1.1434e-06	1.0996e-06	0.000198	9	3	-0.7551	0.99719	0.9988	1.0	3913	0	-0.7551
Tada1	4	1.9592e-06	1.0996e-06	0.000198	10	4	-0.45071	1.0	1.0	1.0	3991	0	-0.45071
Mtg1	4	2.4153e-06	1.0996e-06	0.000198	11	4	-0.75218	1.0	1.0	1.0	3990	0	-0.75218
Cramp1l	4	3.6056e-06	1.0996e-06	0.000198	12	4	-0.6324	1.0	1.0	1.0	3989	0	-0.6324
Tcea1	4	4.5727e-06	1.0996e-06	0.000198	13	3	-0.63882	0.99999	1.0	1.0	3984	0	-0.63882
Pstk	4	4.8487e-06	1.0996e-06	0.000198	14	4	-0.48288	1.0	1.0	1.0	3988	0	-0.48288
Fbxo7	4	4.9886e-06	1.0996e-06	0.000198	15	4	-0.4435	1.0	1.0	1.0	3987	0	-0.4435
Zfp592	4	1.1097e-05	1.0996e-06	0.000198	16	3	-0.73075	0.99771	0.99906	1.0	3921	0	-0.73075
Psmc6	4	2.4527e-05	1.0996e-06	0.000198	17	3	-0.63898	0.80684	0.8154	1.0	3130	0	-0.63898
Acaca	4	2.5336e-05	1.0996e-06	0.000198	18	3	-0.63352	0.99997	1.0	1.0	3979	0	-0.63352
Fastkd5	4	3.1817e-05	1.0996e-06	0.000198	19	3	-0.79714	0.99992	0.99999	1.0	3976	0	-0.79714
Mbnl1	4	3.2778e-05	1.0996e-06	0.000198	20	3	-0.63041	0.75087	0.76977	1.0	2901	0	-0.63041
Serinc3	4	3.8587e-05	1.0996e-06	0.000198	21	3	-0.52911	0.99954	0.99988	1.0	3956	0	-0.52911
Coq5	4	5.075e-05	1.0996e-06	0.000198	22	2	-0.67677	0.90344	0.9193	1.0	3520	0	-0.67677
Usb1	4	5.3106e-05	1.0996e-06	0.000198	23	2	-0.63594	0.98369	0.98967	1.0	3827	0	-0.63594
Ptpn11	4	5.6697e-05	1.0996e-06	0.000198	24	3	-0.70511	0.99947	0.99988	1.0	3954	0	-0.70511
