id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Dph3	4	6.3961e-09	1.0996e-06	0.000198	1	4	-0.8692	1.0	1.0	1.0	3997	0	-0.8692
Znhit1	4	1.5107e-08	1.0996e-06	0.000198	2	4	-0.50604	1.0	1.0	1.0	3996	0	-0.50604
Vrk1	4	6.7368e-08	1.0996e-06	0.000198	3	4	-0.73744	1.0	1.0	1.0	3995	0	-0.73744
Aifm1	4	1.9451e-07	1.0996e-06	0.000198	4	4	-0.64975	1.0	1.0	1.0	3994	0	-0.64975
Fastkd5	4	2.2605e-07	1.0996e-06	0.000198	5	4	-0.70445	1.0	1.0	1.0	3993	0	-0.70445
Mtg1	4	2.5819e-07	1.0996e-06	0.000198	6	4	-0.77429	1.0	1.0	1.0	3992	0	-0.77429
Slc25a32	4	5.0274e-07	1.0996e-06	0.000198	7	4	-0.53344	1.0	1.0	1.0	3991	0	-0.53344
Slc25a19	4	5.5753e-07	1.0996e-06	0.000198	8	4	-0.88256	1.0	1.0	1.0	3987	0	-0.88256
Commd4	4	6.0175e-07	1.0996e-06	0.000198	9	4	-0.76009	0.99996	1.0	1.0	3976	0	-0.76009
Ubxn7	4	1.3262e-06	1.0996e-06	0.000198	10	4	-0.76806	0.99994	0.99999	1.0	3973	0	-0.76806
Tle3	4	1.6436e-06	1.0996e-06	0.000198	11	4	-0.56373	1.0	1.0	1.0	3990	0	-0.56373
Bap1	4	2.3618e-06	1.0996e-06	0.000198	12	4	-0.50123	0.99999	1.0	1.0	3984	0	-0.50123
Gfi1b	4	2.399e-06	1.0996e-06	0.000198	13	4	-0.47144	1.0	1.0	1.0	3989	0	-0.47144
Acaca	4	3.2025e-06	1.0996e-06	0.000198	14	4	-0.46497	1.0	1.0	1.0	3988	0	-0.46497
Fitm2	4	3.9875e-06	1.0996e-06	0.000198	15	3	-0.69798	0.99638	0.99853	1.0	3916	0	-0.69798
Paxip1	4	4.3949e-06	1.0996e-06	0.000198	16	4	-0.76928	1.0	1.0	1.0	3986	0	-0.76928
Trit1	4	4.9313e-06	1.0996e-06	0.000198	17	4	-0.7393	0.99993	0.99999	1.0	3972	0	-0.7393
Pstk	4	5.3368e-06	1.0996e-06	0.000198	18	4	-0.37196	0.99999	1.0	1.0	3985	0	-0.37196
Ilf3	4	6.7773e-06	1.0996e-06	0.000198	19	4	-0.59562	0.99998	1.0	1.0	3980	0	-0.59562
Zfp592	4	8.8963e-06	1.0996e-06	0.000198	20	3	-0.6316	0.99882	0.99945	1.0	3940	0	-0.6316
Baz1b	4	9.2608e-06	1.0996e-06	0.000198	21	4	-0.51909	0.99999	1.0	1.0	3983	0	-0.51909
Cep120	4	1.1415e-05	1.0996e-06	0.000198	22	3	-0.38363	0.91684	0.93451	1.0	3566	0	-0.38363
Tmem70	4	1.3359e-05	1.0996e-06	0.000198	23	4	-0.51297	0.99999	1.0	1.0	3982	0	-0.51297
Tcea1	4	1.5128e-05	1.0996e-06	0.000198	24	4	-0.61355	0.99993	0.99999	1.0	3970	0	-0.61355
Cramp1l	4	1.8612e-05	1.0996e-06	0.000198	25	4	-0.60533	0.99998	1.0	1.0	3981	0	-0.60533
Lmbr1l	4	2.4523e-05	3.2989e-06	0.000571	26	4	-0.34168	0.99998	1.0	1.0	3979	0	-0.34168
Trmu	4	3.0295e-05	5.4981e-06	0.000854	27	4	-0.51268	0.99997	1.0	1.0	3978	0	-0.51268
Dars2	4	3.0846e-05	5.4981e-06	0.000854	28	4	-0.57458	0.99997	1.0	1.0	3977	0	-0.57458
Klhl11	4	3.1948e-05	5.4981e-06	0.000854	29	2	-0.48958	0.7924	0.82044	1.0	3065	0	-0.48958
Zfx	4	4.5844e-05	9.8966e-06	0.001485	30	3	-0.42573	0.6896	0.69949	1.0	2669	0	-0.42573
Ybx1	4	4.9084e-05	1.4295e-05	0.00195	31	4	-0.48883	0.99995	1.0	1.0	3975	0	-0.48883
Tada1	4	4.9874e-05	1.4295e-05	0.00195	32	4	-0.44617	0.99995	1.0	1.0	3974	0	-0.44617
Nup133	4	5.3106e-05	1.4295e-05	0.00195	33	3	-0.72363	0.99837	0.9993	1.0	3937	0	-0.72363
Pgk1	4	6.7781e-05	1.6494e-05	0.00209	34	4	-0.60429	0.99993	0.99999	1.0	3971	0	-0.60429
Ckap2l	4	7.9699e-05	1.8694e-05	0.00209	35	4	-0.3946	0.99991	0.99999	1.0	3968	0	-0.3946
Slc20a1	4	8.6465e-05	1.8694e-05	0.00209	36	4	-0.52595	0.99991	0.99999	1.0	3969	0	-0.52595
Vps16	4	9.1286e-05	1.8694e-05	0.00209	37	3	-0.61467	0.9994	0.9998	1.0	3949	0	-0.61467
Usb1	4	9.4814e-05	1.8694e-05	0.00209	38	3	-0.56106	0.79907	0.82916	1.0	3087	0	-0.56106
Uchl5	4	9.7809e-05	1.8694e-05	0.00209	39	3	-0.39355	0.68759	0.69788	1.0	2659	0	-0.39355
Spag7	4	0.00010511	2.0893e-05	0.00209	40	4	-0.36311	0.99989	0.99999	1.0	3967	0	-0.36311
Scaf1	4	0.00010707	2.0893e-05	0.00209	41	4	-0.35423	0.99989	0.99999	1.0	3966	0	-0.35423
Suz12	4	0.00010934	2.0893e-05	0.00209	42	4	-0.50742	0.99989	0.99999	1.0	3965	0	-0.50742
Tmem126b	4	0.00011836	2.0893e-05	0.00209	43	4	-0.77631	0.99965	0.9999	1.0	3956	0	-0.77631
Lcmt1	4	0.00011845	2.0893e-05	0.00209	44	3	-0.46719	0.9995	0.99984	1.0	3951	0	-0.46719
Ndrg3	4	0.00012313	2.0893e-05	0.00209	45	4	-0.34946	0.99988	0.99999	1.0	3964	0	-0.34946
Dnajc8	4	0.00013261	2.7491e-05	0.002578	46	3	-0.51512	0.85325	0.8779	1.0	3293	0	-0.51512
Mbnl1	4	0.00013342	2.7491e-05	0.002578	47	3	-0.58389	0.64615	0.64805	1.0	2507	0	-0.58389
Pcdhga12	4	0.00013425	2.7491e-05	0.002578	48	3	-0.44502	0.88242	0.89882	1.0	3428	0	-0.44502
Tasor	4	0.00014128	3.6288e-05	0.003267	49	4	-0.60243	0.99986	0.99998	1.0	3963	0	-0.60243
Nelfcd	4	0.0001445	4.0686e-05	0.003592	50	4	-0.3883	0.99983	0.99997	1.0	3960	0	-0.3883
Dnaaf5	4	0.00014871	4.2885e-05	0.003713	51	4	-0.29958	0.99985	0.99997	1.0	3962	0	-0.29958
Psmc6	4	0.00015678	4.7284e-05	0.004016	52	3	-0.55813	0.59923	0.60006	1.0	2327	0	-0.55813
Borcs7	4	0.00016485	4.9483e-05	0.00405	53	4	-0.3097	0.99984	0.99997	1.0	3961	0	-0.3097
Serinc3	4	0.00016759	4.9483e-05	0.00405	54	4	-0.28854	0.99983	0.99997	1.0	3959	0	-0.28854
Kntc1	4	0.00017563	5.3881e-05	0.004332	55	4	-0.46859	0.99982	0.99997	1.0	3958	0	-0.46859
Ndufa2	4	0.00018471	5.6081e-05	0.004429	56	3	-0.60016	0.99564	0.99803	1.0	3911	0	-0.60016
Eif2b5	4	0.0002135	8.687e-05	0.006743	57	4	-0.6168	0.99956	0.99986	1.0	3953	0	-0.6168
Mnt	4	0.00027565	0.00014845	0.011139	58	3	-0.32918	0.99714	0.99892	1.0	3921	0	-0.32918
Triap1	4	0.00033894	0.00018804	0.013654	59	4	-0.5404	0.99966	0.9999	1.0	3957	0	-0.5404
Zfp574	4	0.00035335	0.00018804	0.013654	60	3	-0.34303	0.90876	0.92847	1.0	3531	0	-0.34303
Tmed2	2	0.00035812	3.6288e-05	0.003267	61	2	-0.43313	0.99964	0.99996	1.0	3955	0	-0.43313
Eif4g1	4	0.00041761	0.00023862	0.016727	62	3	-0.35167	0.96117	0.97359	1.0	3745	0	-0.35167
Zc3h10	4	0.000426	0.00024082	0.016727	63	2	-0.52216	0.99562	0.99803	1.0	3910	0	-0.52216
Timm9	4	0.00043148	0.00024522	0.016727	64	4	-0.34643	0.99957	0.99986	1.0	3954	0	-0.34643
Chchd4	4	0.00043631	0.00024522	0.016727	65	4	-0.29675	0.99956	0.99986	1.0	3952	0	-0.29675
Zfp217	4	0.00062995	0.0002936	0.019728	66	3	-0.46519	0.92764	0.94284	1.0	3604	0	-0.46519
Kptn	4	0.00064835	0.0003046	0.019871	67	3	-0.3088	0.91966	0.93605	1.0	3577	0	-0.3088
Ncln	4	0.00065026	0.0003046	0.019871	68	3	-0.58196	0.99821	0.99927	1.0	3930	0	-0.58196
Ilf2	4	0.00074822	0.00031559	0.019871	69	3	-0.41096	0.99901	0.99955	1.0	3943	0	-0.41096
Uqcrfs1	4	0.00083281	0.00031779	0.019871	70	3	-0.37709	0.86723	0.88857	1.0	3352	0	-0.37709
Med26	4	0.00084105	0.00031779	0.019871	71	3	-0.4548	0.99766	0.99914	1.0	3925	0	-0.4548
