id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Mab21l2	4	6.2264e-06	1.2096e-05	0.054455	1	3	-0.69796	0.97263	0.96968	1.0	3878	0	-0.69796
Dpp10	4	3.9118e-05	0.00011986	0.216584	2	4	-0.65756	0.99996	0.99999	1.0	3997	0	-0.65756
Tma7	3	4.9149e-05	0.00014625	0.216584	3	2	-0.59404	0.97962	0.97911	1.0	3912	0	-0.59404
1700037C18Rik_Gm41410	3	0.00010049	0.00019243	0.216584	4	2	-0.80377	0.014699	0.036247	0.735059	177	1	-0.80377
Nfix	4	0.00011252	0.00043215	0.303837	5	3	-0.70445	0.62468	0.61374	1.0	2487	1	-0.70445
Irgm2	4	0.00012067	0.00044975	0.303837	6	4	-0.52403	0.99988	0.9999	1.0	3996	0	-0.52403
Cdk5rap3	4	0.00017772	0.00052452	0.303837	7	3	-0.79668	0.99784	0.99753	1.0	3984	0	-0.79668
Cct2	4	0.00018741	0.00053991	0.303837	8	4	-1.2427	0.99981	0.99989	1.0	3995	0	-1.2427
Fbxo7	4	0.00025838	0.00068946	0.344884	9	4	-0.77019	0.99974	0.99984	1.0	3994	0	-0.77019
Mcidas	4	0.00029132	0.00080382	0.352385	10	2	-0.46497	0.38132	0.44972	1.0	1741	1	-0.46497
Hepacam2	4	0.00034943	0.000861	0.352385	11	4	-0.70881	0.99942	0.9995	1.0	3992	0	-0.70881
Ccni	4	0.00043481	0.0011139	0.385758	12	4	-0.57427	0.99957	0.99967	1.0	3993	0	-0.57427
Ell2	4	0.00064212	0.0016593	0.391089	13	3	-0.68028	0.98112	0.97942	1.0	3919	0	-0.68028
Gm21933	4	0.000649	0.0016615	0.391089	14	4	-0.4445	0.99935	0.99937	1.0	3991	0	-0.4445
Gm19668	4	0.00066696	0.0017165	0.391089	15	2	-0.42663	0.095399	0.1545	0.987996	659	1	-0.42663
Ms4a12	4	0.00066976	0.0017165	0.391089	16	2	-0.33365	0.93932	0.93272	1.0	3727	0	-0.33365
Ufsp2	4	0.00068154	0.0017187	0.391089	17	3	-0.80788	0.75137	0.76041	1.0	2967	0	-0.80788
Spin2d	4	0.00071454	0.0017473	0.391089	18	4	-0.36607	0.99929	0.99932	1.0	3990	0	-0.36607
Teddm1a	4	0.00072632	0.0018243	0.391089	19	4	-0.51401	0.99927	0.99929	1.0	3989	0	-0.51401
Ski	4	0.00076378	0.002152	0.425536	20	3	-0.67608	0.9474	0.94159	1.0	3761	0	-0.67608
Alpk3	4	0.00078899	0.0022025	0.425536	21	2	-0.52028	0.30084	0.40509	1.0	1560	1	-0.52028
Top2b	4	0.00082752	0.0022685	0.425536	22	3	-0.86223	0.99341	0.99262	1.0	3966	0	-0.86223
Smim14	4	0.00093542	0.0027172	0.470487	23	4	-0.4171	0.99906	0.99896	1.0	3988	0	-0.4171
Mib1	4	0.00093757	0.0027172	0.470487	24	2	-0.38083	0.37117	0.44153	1.0	1712	1	-0.38083
Scaper	4	0.0010457	0.0031526	0.525669	25	3	-0.58901	0.99706	0.99657	1.0	3979	0	-0.58901
Txndc15	4	0.0010844	0.0034495	0.554632	26	3	-0.6119	0.9978	0.99747	1.0	3983	0	-0.6119
Gm12166_Sft2d1	2	0.0011386	0.0010215	0.383251	27	1	-0.68224	0.95232	0.94885	1.0	3781	0	-0.68224
Tmem200a	4	0.0012053	0.0038344	0.57632	28	2	-0.34836	0.97572	0.97375	1.0	3892	0	-0.34836
Kcnh3	4	0.0012493	0.003907	0.57632	29	2	-0.38656	0.66438	0.66374	1.0	2614	1	-0.38656
Ikzf5	2	0.0014556	0.0013228	0.391089	30	2	-1.464	0.99854	0.99868	1.0	3987	0	-1.464
Pstk	4	0.0015062	0.0043336	0.57632	31	3	-0.66461	0.98168	0.9803	1.0	3923	0	-0.66461
Sypl	4	0.0015621	0.0044304	0.57632	32	2	-0.47932	0.93485	0.9269	1.0	3713	0	-0.47932
Nelfcd	4	0.0015925	0.0044326	0.57632	33	3	-0.78407	0.03347	0.070856	0.859456	328	1	-0.78407
Ndrg1	4	0.0016522	0.0045535	0.57632	34	3	-0.47575	0.97454	0.97319	1.0	3886	0	-0.47575
Aebp2	4	0.0016915	0.0046085	0.57632	35	3	-0.5916	0.88394	0.87422	1.0	3509	0	-0.5916
Pkp3	4	0.0017407	0.0046085	0.57632	36	3	-0.34374	0.9535	0.94643	1.0	3787	0	-0.34374
Rnd3	4	0.0020083	0.0050528	0.591113	37	2	-0.35521	0.13692	0.20714	1.0	865	1	-0.35521
Cdhr1	4	0.002229	0.0051187	0.591113	38	2	-0.48688	0.36337	0.4382	1.0	1698	1	-0.48688
Serinc3	4	0.0023824	0.0053826	0.591113	39	2	-0.57029	0.14243	0.21302	1.0	889	1	-0.57029
Pced1b	4	0.0024502	0.0054486	0.591113	40	3	-0.52752	0.038684	0.076539	0.872307	368	1	-0.52752
Dzip1l	4	0.0025408	0.0055146	0.591113	41	2	-0.40351	0.18576	0.25983	1.0	1091	1	-0.40351
Sostdc1	4	0.0025433	0.0055146	0.591113	42	1	-0.20847	0.73315	0.74469	1.0	2892	0	-0.20847
Enox2	4	0.0026055	0.0057169	0.595777	43	2	-0.39856	0.94912	0.94365	1.0	3771	0	-0.39856
Zfp263	4	0.002754	0.0060512	0.595777	44	3	-0.47755	0.87984	0.86974	1.0	3497	0	-0.47755
Abitram	4	0.0028107	0.0060512	0.595777	45	2	-0.11156	0.055483	0.11475	0.947263	488	2	-0.11156
Evi5l	4	0.0030781	0.0061348	0.595777	46	2	-0.32881	0.80506	0.80278	1.0	3189	0	-0.32881
Ehbp1l1	4	0.0032144	0.0063173	0.595777	47	3	-0.54943	0.20894	0.29023	1.0	1206	1	-0.54943
Zfp281	4	0.0032675	0.0064097	0.595777	48	3	-0.60452	0.91129	0.90771	1.0	3629	0	-0.60452
Phpt1	4	0.0033454	0.0064845	0.595777	49	1	0.032129	0.27908	0.39834	1.0	1511	1	0.032129
Trpc2_Xntrpc	4	0.0036707	0.011173	0.765752	50	2	-0.28006	0.56415	0.55896	1.0	2297	1	-0.28006
Hpx	4	0.0037093	0.011175	0.765752	51	2	-0.6411	0.98382	0.98181	1.0	3935	0	-0.6411
Lrp10	4	0.0038748	0.011635	0.765752	52	3	-0.60833	0.97279	0.96968	1.0	3879	0	-0.60833
Pcdh9	4	0.0038799	0.011635	0.765752	53	2	-0.12028	0.1804	0.25349	1.0	1062	2	-0.12028
Vpreb2	3	0.0040229	0.01012	0.765752	54	2	-0.65034	0.84964	0.84366	1.0	3381	0	-0.65034
Scyl3	4	0.0041052	0.012422	0.765752	55	2	-0.51286	0.98261	0.98078	1.0	3928	0	-0.51286
Gm5955	4	0.0041471	0.012422	0.765752	56	1	-0.15947	0.59424	0.58383	1.0	2391	1	-0.15947
Zp2	4	0.0042355	0.012425	0.765752	57	3	-0.333	0.68458	0.68855	1.0	2694	1	-0.333
Rnf114	4	0.0044142	0.012537	0.765752	58	1	-0.25731	0.40254	0.46295	1.0	1796	1	-0.25731
