id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Cox15	4	1.701e-07	1.1764e-06	0.000354	1	4	-3.2809	1.0	1.0	1.0	3747	0	-3.2809
Cox17	4	4.6895e-07	1.1764e-06	0.000354	2	4	-3.1099	1.0	1.0	1.0	3746	0	-3.1099
Myh9	4	1.731e-06	1.1764e-06	0.000354	3	4	-2.9544	1.0	1.0	1.0	3745	0	-2.9544
Cox5a	4	1.9653e-06	1.1764e-06	0.000354	4	3	-3.8896	0.61839	0.68057	1.0	2176	0	-3.8896
Cxcr4	4	2.2581e-06	1.1764e-06	0.000354	5	4	-2.8312	1.0	1.0	1.0	3744	0	-2.8312
Nme6	4	3.0911e-06	1.1764e-06	0.000354	6	4	-2.3244	1.0	1.0	1.0	3743	0	-2.3244
Aldoa	4	3.5299e-06	1.1764e-06	0.000354	7	4	-3.2579	1.0	1.0	1.0	3742	0	-3.2579
Hscb	4	3.9896e-06	1.1764e-06	0.000354	8	4	-3.8144	1.0	1.0	1.0	3741	0	-3.8144
H2-K1	4	4.2105e-06	1.1764e-06	0.000354	9	4	-2.2829	1.0	1.0	1.0	3740	0	-2.2829
Ugp2	4	4.3885e-06	1.1764e-06	0.000354	10	4	-2.4783	1.0	1.0	1.0	3739	0	-2.4783
Itga4	4	5.2459e-06	1.1764e-06	0.000354	11	4	-2.9284	0.99999	1.0	1.0	3738	0	-2.9284
Ndufa9	4	2.0362e-05	1.1764e-06	0.000354	12	3	-3.6346	0.5569	0.60756	1.0	1987	0	-3.6346
Rasgrp2	4	2.6035e-05	1.1764e-06	0.000354	13	3	-2.5206	0.99998	1.0	1.0	3735	0	-2.5206
H2ac11_H2ac23_H2ac24_H2ac6	7	3.2648e-05	1.1764e-06	0.000354	14	3	-1.1031	0.93729	0.96204	1.0	3287	0	-1.1031
H2-D1	4	4.7429e-05	8.2351e-06	0.001768	15	3	-2.9182	0.99995	1.0	1.0	3730	0	-2.9182
Elavl1	4	5.0397e-05	8.2351e-06	0.001768	16	3	-3.0141	0.99998	1.0	1.0	3736	0	-3.0141
Ndufb10	4	6.6049e-05	8.2351e-06	0.001768	17	3	-3.0245	0.99991	0.99999	1.0	3726	0	-3.0245
B2m	4	8.1018e-05	1.0588e-05	0.001768	18	3	-2.3095	0.99958	0.99997	1.0	3704	0	-2.3095
Pik3r4	4	9.4753e-05	1.0588e-05	0.001768	19	3	-2.7947	0.9993	0.99992	1.0	3688	0	-2.7947
Icmt	4	0.00010355	1.0588e-05	0.001768	20	3	-1.9846	0.99999	1.0	1.0	3737	0	-1.9846
Nup93	4	0.00012195	1.5294e-05	0.001768	21	3	-2.6216	0.99836	0.99981	1.0	3664	0	-2.6216
Sdhc	4	0.00012988	1.5294e-05	0.001768	22	3	-2.6911	0.99985	0.99998	1.0	3720	0	-2.6911
Riok2	4	0.00013445	1.5294e-05	0.001768	23	2	-2.4567	0.99893	0.99989	1.0	3677	0	-2.4567
Lig3	4	0.00013471	1.5294e-05	0.001768	24	2	-1.451	0.99898	0.99989	1.0	3679	0	-1.451
Ssbp1	4	0.00014895	1.5294e-05	0.001768	25	3	-2.4077	0.97789	0.99177	1.0	3467	0	-2.4077
Ndufb11	4	0.00017416	1.5294e-05	0.001768	26	3	-2.8652	0.99991	0.99999	1.0	3727	0	-2.8652
Ndufa1	4	0.00018113	1.5294e-05	0.001768	27	3	-2.9466	0.99975	0.99997	1.0	3711	0	-2.9466
Ppat	4	0.00018776	1.5294e-05	0.001768	28	3	-2.3517	0.99867	0.99986	1.0	3672	0	-2.3517
Umps	4	0.00021139	1.7647e-05	0.001768	29	3	-2.4032	0.99997	1.0	1.0	3732	0	-2.4032
H4c12_H4c17_H4c18	4	0.00023212	1.7647e-05	0.001768	30	3	-2.0593	0.99667	0.99946	1.0	3630	0	-2.0593
Mogs	4	0.00026308	1.7647e-05	0.001768	31	3	-2.1704	0.99954	0.99996	1.0	3699	0	-2.1704
Actb	4	0.00026437	1.7647e-05	0.001768	32	3	-2.4504	0.99997	1.0	1.0	3733	0	-2.4504
Ndufa5	4	0.00028154	1.7647e-05	0.001768	33	3	-1.9763	0.99998	1.0	1.0	3734	0	-1.9763
Dut	4	0.00031156	1.7647e-05	0.001768	34	2	-2.4903	0.88117	0.92142	1.0	3083	0	-2.4903
Fth1	4	0.00033745	1.7647e-05	0.001768	35	3	-1.958	0.99928	0.99992	1.0	3687	0	-1.958
Map1lc3a	4	0.0003625	1.7647e-05	0.001768	36	2	-2.1954	0.63156	0.69426	1.0	2213	0	-2.1954
Ric8a	4	0.00037687	1.7647e-05	0.001768	37	3	-1.9491	0.99986	0.99998	1.0	3721	0	-1.9491
Ndufa8	4	0.00040409	1.7647e-05	0.001768	38	2	-1.52	0.99764	0.99968	1.0	3650	0	-1.52
Ep300	4	0.00041745	1.7647e-05	0.001768	39	3	-2.112	0.97263	0.98929	1.0	3445	0	-2.112
Uqcr10	4	0.00044422	1.7647e-05	0.001768	40	3	-2.556	0.999	0.99989	1.0	3680	0	-2.556
Mrpl21	4	0.00046268	1.7647e-05	0.001768	41	3	-2.0913	0.99971	0.99997	1.0	3709	0	-2.0913
Nckap1l	4	0.00047876	1.7647e-05	0.001768	42	3	-2.0192	0.99989	0.99999	1.0	3725	0	-2.0192
H3c13_H3c14_H3c15	9	0.00055884	4.5881e-05	0.00429	43	4	-0.9708	0.80999	0.85151	1.0	2838	0	-0.9708
Thoc3	4	0.00066159	3.1764e-05	0.003108	44	2	-1.4656	0.88371	0.92254	1.0	3094	0	-1.4656
Atp5e	4	0.00067341	4.3529e-05	0.004163	45	1	-1.0035	0.76116	0.81882	1.0	2667	0	-1.0035
Gm10320_Sec61b	2	0.00079085	8.3528e-05	0.007471	46	2	-3.3806	0.99921	0.99992	1.0	3686	0	-3.3806
Magoh	4	0.00086305	9.2939e-05	0.007471	47	2	-1.8214	0.99419	0.99874	1.0	3593	0	-1.8214
Cd48	4	0.00094268	9.2939e-05	0.007471	48	1	-0.81696	0.89045	0.92902	1.0	3122	0	-0.81696
Atp5j2	3	0.0010351	0.00011412	0.008425	49	2	-3.2607	0.99477	0.99906	1.0	3602	0	-3.2607
Paics	4	0.0010431	9.5292e-05	0.007471	50	2	-2.1243	0.99339	0.99851	1.0	3583	0	-2.1243
Ndufs3	4	0.0010961	9.5292e-05	0.007471	51	2	-2.2285	0.93105	0.96137	1.0	3262	0	-2.2285
Dync1i2	4	0.0011285	9.5292e-05	0.007471	52	2	-1.7461	0.98407	0.99429	1.0	3507	0	-1.7461
