id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Ncbp2	4	8.8799e-06	1.1776e-06	0.001238	1	3	-3.1256	0.99997	0.99997	1.0	3746	0	-3.1256
Nars2	4	0.00012249	4.5925e-05	0.032178	2	2	-1.3346	0.74092	0.74863	1.0	2714	0	-1.3346
Shoc2	4	0.00013527	4.5925e-05	0.032178	3	1	-1.5802	0.69112	0.69573	1.0	2535	0	-1.5802
Eif3b	4	0.00015542	7.4187e-05	0.044554	4	2	-2.4789	0.2751	0.39084	1.0	1339	1	-2.4789
Dctn6	4	0.00020852	0.0001048	0.04505	5	2	-2.351	0.56194	0.58135	1.0	2099	1	-2.351
Snrpd3	4	0.00023797	0.00010716	0.04505	6	2	-2.2852	0.94015	0.94201	1.0	3464	0	-2.2852
Ikbkg	4	0.00025342	0.00010716	0.04505	7	2	-2.1576	0.63343	0.64708	1.0	2338	1	-2.1576
Mcm2	4	0.0003089	0.00012364	0.047255	8	3	-2.8244	0.99451	0.9964	1.0	3702	0	-2.8244
Mad1l1	4	0.00040578	0.00014955	0.048363	9	1	-0.84913	0.52282	0.5586	1.0	1961	1	-0.84913
Gm725	4	0.00041387	0.00014955	0.048363	10	3	-2.1211	0.85992	0.86495	1.0	3156	0	-2.1211
Socs1	4	0.00045501	0.00022256	0.066832	11	2	-2.1137	0.98849	0.99101	1.0	3668	0	-2.1137
Rps6	1	0.00057495	1.1776e-06	0.001238	12	1	-4.5123	0.99943	1.0	1.0	3742	0	-4.5123
Nup88	4	0.00064359	0.00040155	0.099301	13	3	-2.8407	0.70294	0.70542	1.0	2579	0	-2.8407
Fbxo6	4	0.00067624	0.00043452	0.101485	14	1	0.66401	0.14653	0.23072	1.0	853	2	0.66401
Gng5	2	0.00080132	0.00036151	0.095606	15	2	-2.4887	0.9992	0.99964	1.0	3737	0	-2.4887
Rpl22l1	2	0.00087174	0.00036387	0.095606	16	2	-3.3252	0.99913	0.99964	1.0	3736	0	-3.3252
Ube2d3	4	0.0009116	0.00066297	0.116749	17	3	-2.1708	0.99183	0.9946	1.0	3688	0	-2.1708
Sec31a	4	0.00094663	0.00068417	0.116749	18	1	-0.87803	0.66997	0.68397	1.0	2453	0	-0.87803
Dock2	4	0.00096903	0.00073127	0.116749	19	2	-1.7566	0.92831	0.9317	1.0	3416	0	-1.7566
Kif18a	4	0.00099968	0.00078073	0.116749	20	2	-1.9108	0.92073	0.92409	1.0	3388	0	-1.9108
Atp6v0e	4	0.0010518	0.00078073	0.116749	21	2	-2.6782	0.99868	0.99917	1.0	3733	0	-2.6782
Cacna2d2	4	0.001217	0.00078308	0.116749	22	2	-0.37331	0.10514	0.18753	1.0	670	2	-0.37331
Lamtor1	2	0.0012848	0.00062529	0.116749	23	2	-3.6337	0.99737	0.9985	1.0	3722	0	-3.6337
Irf3	4	0.0012849	0.00078308	0.116749	24	2	-1.7782	0.82217	0.82678	1.0	3025	0	-1.7782
Atp5a1	4	0.0013557	0.00084432	0.116749	25	2	-1.727	0.9853	0.98926	1.0	3658	0	-1.727
Tcf7l1	4	0.001453	0.00089142	0.116749	26	2	-1.0214	0.082415	0.16453	1.0	570	2	-1.0214
Ehmt1	4	0.0014873	0.00089142	0.116749	27	2	-2.3729	0.90464	0.90803	1.0	3323	0	-2.3729
Cox7c_Gm12338_Gm3386	1	0.0017587	1.1776e-06	0.001238	28	1	-3.9369	0.99824	1.0	1.0	3727	0	-3.9369
Gstm1	4	0.0018332	0.00089377	0.116749	29	2	-2.15	0.99029	0.99331	1.0	3679	0	-2.15
Ecsit	3	0.0020147	0.00095265	0.116749	30	2	-3.1328	0.99946	0.99969	1.0	3743	0	-3.1328
Ciita	4	0.0020277	0.00097385	0.116749	31	1	-0.13342	0.78945	0.79485	1.0	2889	0	-0.13342
Mrps5	4	0.0020908	0.0009762	0.116749	32	2	-1.6867	0.43571	0.50399	1.0	1718	1	-1.6867
Gm2423_Ywhaq_Ywhaq-ps3	3	0.0022305	0.00095501	0.116749	33	1	0.8405	0.21783	0.28744	1.0	1167	1	0.8405
H2aj	4	0.0024281	0.0012635	0.140047	34	2	-2.0156	0.80195	0.80591	1.0	2941	0	-2.0156
Gemin6	4	0.0029729	0.0012659	0.140047	35	2	-1.1886	0.47631	0.53374	1.0	1825	1	-1.1886
