id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
H2-T23	4	1.1257e-10	1.177e-06	0.00495	1	4	-3.8974	1.0	1.0	1.0	3747	0	-3.8974
Mcm5	4	1.1881e-05	5.885e-06	0.012376	2	4	-2.7621	0.99999	0.99999	1.0	3746	0	-2.7621
Sec61a2	4	2.7117e-05	1.7655e-05	0.024752	3	4	-2.567	0.99997	0.99998	1.0	3745	0	-2.567
Sipa1	4	5.653e-05	7.886e-05	0.082921	4	2	-1.2744	0.99703	0.99722	1.0	3729	0	-1.2744
Ptpn2	4	8.1039e-05	0.00012123	0.10198	5	3	-1.9624	0.93774	0.95863	1.0	3462	0	-1.9624
Atg12	4	0.00012722	0.00022716	0.124862	6	3	-2.997	0.99932	0.99948	1.0	3740	0	-2.997
Tap1	4	0.00013519	0.00025306	0.124862	7	1	-0.60197	0.96574	0.97609	1.0	3566	0	-0.60197
Socs1	4	0.00014219	0.00026012	0.124862	8	3	-3.0752	0.8765	0.90321	1.0	3204	0	-3.0752
Tas2r130	4	0.00018562	0.00026718	0.124862	9	3	-1.4092	0.5459	0.61718	1.0	1986	1	-1.4092
Sdhb	4	0.00026902	0.00034016	0.143069	10	2	-2.045	0.45445	0.525	1.0	1685	1	-2.045
Pak2	4	0.00045542	0.00091454	0.317974	11	3	-2.0629	0.99973	0.99982	1.0	3742	0	-2.0629
Gps2	4	0.00046146	0.00091454	0.317974	12	2	-1.4173	0.94556	0.9649	1.0	3495	0	-1.4173
Ifngr2	4	0.00052688	0.0009828	0.317974	13	2	-2.1461	0.99164	0.99367	1.0	3699	0	-2.1461
Krit1	4	0.00060139	0.0011264	0.338402	14	3	-2.8341	0.98233	0.98697	1.0	3651	0	-2.8341
Pde6a	4	0.00068526	0.0012676	0.355446	15	3	-2.3231	0.050004	0.10688	1.0	349	1	-2.3231
Puf60	4	0.00077646	0.0014701	0.386448	16	3	-2.0642	0.99916	0.99929	1.0	3739	0	-2.0642
Ppp1cb	4	0.00084061	0.0015784	0.390507	17	2	-2.6422	0.47426	0.5415	1.0	1744	1	-2.6422
Gm2423_Ywhaq_Ywhaq-ps3	3	0.0011891	0.0018726	0.437569	18	2	-3.6268	0.55504	0.62165	1.0	2015	0	-3.6268
Exosc6	4	0.0012032	0.0022116	0.440099	19	2	-2.9116	0.20817	0.33535	1.0	1026	1	-2.9116
Igbp1b	4	0.0013422	0.0025247	0.440099	20	2	-1.5831	0.43901	0.50994	1.0	1649	1	-1.5831
Map2k1	4	0.0014179	0.0026518	0.440099	21	3	-2.1106	0.89914	0.92377	1.0	3301	0	-2.1106
Efnb3	4	0.0014761	0.0026918	0.440099	22	2	-2.3678	0.91669	0.94569	1.0	3373	0	-2.3678
Pten	4	0.001539	0.0026942	0.440099	23	3	-1.7566	0.40074	0.4563	1.0	1532	1	-1.7566
Trim25	4	0.0015885	0.0027413	0.440099	24	3	-1.4777	0.98014	0.98646	1.0	3639	0	-1.4777
Atp6ap2	3	0.0016295	0.0020915	0.439851	25	2	-3.3258	0.99789	0.99813	1.0	3733	0	-3.3258
Cflar	4	0.0017564	0.0028637	0.440099	26	1	0.40671	0.026899	0.068997	1.0	239	2	0.40671
Sap18_Sap18b	4	0.0020225	0.0033745	0.440099	27	3	-2.129	0.999	0.99903	1.0	3737	0	-2.129
Pax6	4	0.0020264	0.0033745	0.440099	28	1	-0.86879	0.61435	0.69069	1.0	2246	0	-0.86879
Tuba1a_Tuba1b_Tuba1c	5	0.0021901	0.0037252	0.440099	29	3	-2.745	0.90618	0.92965	1.0	3331	0	-2.745
H2ac4	4	0.0023818	0.003737	0.440099	30	3	-1.3358	0.87225	0.89966	1.0	3192	0	-1.3358
Ghrl	4	0.0025456	0.003963	0.440099	31	2	-0.89219	0.062689	0.13078	1.0	418	1	-0.89219
Ifne	4	0.0025663	0.0040524	0.440099	32	2	-1.2395	0.98945	0.99232	1.0	3684	0	-1.2395
Foxo1	4	0.002714	0.0043161	0.440099	33	3	-2.2047	0.77419	0.8196	1.0	2836	0	-2.2047
Axin2	4	0.00275	0.0043184	0.440099	34	3	-1.5169	0.61764	0.69244	1.0	2258	0	-1.5169
Cox5a	4	0.0027864	0.0043184	0.440099	35	2	-2.4532	0.41912	0.47581	1.0	1587	1	-2.4532
Jak2	4	0.0028034	0.0043184	0.440099	36	2	-1.9844	0.9874	0.99061	1.0	3675	0	-1.9844
Cox4i2	4	0.0028362	0.0045727	0.440099	37	2	-1.2492	0.98824	0.99168	1.0	3679	0	-1.2492
Nsfl1c	4	0.0028474	0.0045727	0.440099	38	3	-1.7628	0.89391	0.91893	1.0	3276	0	-1.7628
Gm10639_Gm3776_Gsta1_Gsta2	4	0.0028547	0.004575	0.440099	39	2	-1.5623	0.99493	0.99563	1.0	3716	0	-1.5623
Pfkfb4	4	0.0029412	0.0048246	0.440099	40	2	-1.6906	0.87423	0.90042	1.0	3195	0	-1.6906
Ifngr1	4	0.003106	0.0049164	0.440099	41	2	-1.7303	0.96502	0.97581	1.0	3562	0	-1.7303
Adcyap1r1	4	0.0031204	0.0049187	0.440099	42	3	-1.987	0.98437	0.98869	1.0	3662	0	-1.987
Vdac3	3	0.0031401	0.003777	0.440099	43	2	-2.2296	0.85867	0.89672	1.0	3137	0	-2.2296
Gm15459_Gm6210_Gm7899_Hspa8	1	0.0032448	0.0020833	0.439851	44	1	-5.1188	0.99676	0.99792	1.0	3727	0	-5.1188
Traf1	4	0.0034866	0.0052318	0.440099	45	3	-1.0719	0.97309	0.98119	1.0	3600	0	-1.0719
Atp5k	4	0.0036454	0.0052318	0.440099	46	2	-1.967	0.97387	0.98266	1.0	3602	0	-1.967
Ctbp1	4	0.0036779	0.0052318	0.440099	47	2	-2.3945	0.98379	0.98826	1.0	3657	0	-2.3945
