id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Myh9	4	8.8617e-07	1.1764e-06	0.001238	1	4	-2.9071	1.0	1.0	1.0	3746	0	-2.9071
Uqcr10	4	1.0435e-06	1.1764e-06	0.001238	2	4	-2.4284	1.0	1.0	1.0	3745	0	-2.4284
H2ac11_H2ac23_H2ac24_H2ac6	7	1.127e-06	1.1764e-06	0.001238	3	4	-2.8641	1.0	1.0	1.0	3747	0	-2.8641
Cox17	4	1.8769e-06	1.1764e-06	0.001238	4	4	-3.527	1.0	1.0	1.0	3744	0	-3.527
Elavl1	4	2.5887e-06	8.2351e-06	0.00135	5	4	-3.3153	1.0	1.0	1.0	3743	0	-3.3153
Hscb	4	2.7126e-06	8.2351e-06	0.00135	6	4	-2.3549	1.0	1.0	1.0	3742	0	-2.3549
Rpl7	4	4.0134e-06	8.2351e-06	0.00135	7	3	-2.0766	0.99973	0.99999	1.0	3687	0	-2.0766
Ndufa6	4	4.5456e-06	8.2351e-06	0.00135	8	4	-2.532	1.0	1.0	1.0	3741	0	-2.532
Actb	4	5.8941e-06	8.2351e-06	0.00135	9	4	-2.5465	0.99999	1.0	1.0	3740	0	-2.5465
Aldoa	4	5.9021e-06	8.2351e-06	0.00135	10	3	-3.1105	0.99822	0.99992	1.0	3601	0	-3.1105
Pgd	4	9.6086e-06	8.2351e-06	0.00135	11	3	-3.2721	0.99999	1.0	1.0	3735	0	-3.2721
Riok2	4	3.8153e-05	8.2351e-06	0.00135	12	3	-2.9011	0.99999	1.0	1.0	3733	0	-2.9011
Cxcr4	4	4.5382e-05	8.2351e-06	0.00135	13	3	-3.4763	0.99999	1.0	1.0	3738	0	-3.4763
Cox15	4	6.1501e-05	8.2351e-06	0.00135	14	3	-2.6006	0.99999	1.0	1.0	3737	0	-2.6006
H3c7	4	9.1101e-05	8.2351e-06	0.00135	15	2	-2.6675	0.90631	0.94819	1.0	3074	0	-2.6675
Copg1	4	9.4098e-05	8.2351e-06	0.00135	16	3	-2.5068	0.99999	1.0	1.0	3736	0	-2.5068
Ndufb10	4	9.6738e-05	8.2351e-06	0.00135	17	3	-2.9225	0.99974	1.0	1.0	3688	0	-2.9225
Mre11a	4	0.00013471	8.2351e-06	0.00135	18	1	-1.1404	0.95522	0.98314	1.0	3252	0	-1.1404
Itga4	4	0.00014154	1.0588e-05	0.00135	19	3	-2.8448	0.99993	1.0	1.0	3712	0	-2.8448
Ndufs1	4	0.00015937	1.0588e-05	0.00135	20	3	-2.5867	0.99998	1.0	1.0	3730	0	-2.5867
H3c8	4	0.00016499	1.0588e-05	0.00135	21	3	-1.799	0.99998	1.0	1.0	3728	0	-1.799
Gm2436_Gm2446_Ppp2r3c	5	0.00016963	1.2941e-05	0.001472	22	3	-2.6228	0.99998	1.0	1.0	3729	0	-2.6228
Cox5a	4	0.00017465	1.0588e-05	0.00135	23	3	-2.9212	0.99899	0.99995	1.0	3639	0	-2.9212
Sdhc	4	0.00018776	1.0588e-05	0.00135	24	3	-2.469	0.99986	1.0	1.0	3698	0	-2.469
Ppat	4	0.00018983	1.0588e-05	0.00135	25	3	-2.7581	0.99993	1.0	1.0	3711	0	-2.7581
H3c6	4	0.00019934	1.0588e-05	0.00135	26	3	-1.777	0.99938	0.99998	1.0	3662	0	-1.777
Arpc4	4	0.00021702	1.0588e-05	0.00135	27	3	-2.274	0.99998	1.0	1.0	3726	0	-2.274
Nckap1l	4	0.00022275	1.0588e-05	0.00135	28	3	-2.327	0.99999	1.0	1.0	3734	0	-2.327
Gng5	2	0.00023071	2.2353e-05	0.002122	29	2	-3.4547	0.99977	0.99998	1.0	3692	0	-3.4547
H2ac4	4	0.00023099	1.0588e-05	0.00135	30	2	-1.8821	0.0020192	1.1764e-06	0.000707	6	0	-1.8821
Fh1	4	0.00024175	1.0588e-05	0.00135	31	3	-2.1936	0.99964	0.99999	1.0	3679	0	-2.1936
H2-K1	4	0.00025541	1.0588e-05	0.00135	32	3	-2.7924	0.99998	1.0	1.0	3731	0	-2.7924
Rad50	4	0.00026827	1.0588e-05	0.00135	33	3	-2.1729	0.99051	0.99879	1.0	3499	0	-2.1729
H2-D1	4	0.00027353	1.0588e-05	0.00135	34	3	-2.4868	0.99988	1.0	1.0	3704	0	-2.4868
Paics	4	0.00028697	1.0588e-05	0.00135	35	3	-2.2699	0.99999	1.0	1.0	3739	0	-2.2699
Gm10320_Sec61b	2	0.00028927	2.2353e-05	0.002122	36	2	-3.5619	0.99971	0.99998	1.0	3685	0	-3.5619
Ndufb11	4	0.00030367	1.2941e-05	0.001472	37	3	-2.9926	0.99997	1.0	1.0	3723	0	-2.9926
