id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Hmbs	4	4.8847e-08	1.1567e-06	0.00019	1	4	-4.3936	1.0	1.0	1.0	3823	0	-4.3936
Hsd17b10	4	1.3537e-07	1.1567e-06	0.00019	2	4	-3.5666	1.0	1.0	1.0	3822	0	-3.5666
Cdipt	4	2.6494e-07	1.1567e-06	0.00019	3	4	-3.3037	1.0	1.0	1.0	3821	0	-3.3037
Ppcs	4	1.0299e-06	1.1567e-06	0.00019	4	4	-4.5671	1.0	1.0	1.0	3820	0	-4.5671
Sec61a1	4	1.4255e-06	1.1567e-06	0.00019	5	4	-3.0413	1.0	1.0	1.0	3819	0	-3.0413
Coa6	4	1.9394e-06	1.1567e-06	0.00019	6	4	-2.7073	1.0	1.0	1.0	3818	0	-2.7073
Slc25a3	4	4.5362e-06	1.1567e-06	0.00019	7	4	-2.9379	1.0	1.0	1.0	3817	0	-2.9379
Atic	4	5.0039e-06	1.1567e-06	0.00019	8	4	-2.9923	0.99999	1.0	1.0	3816	0	-2.9923
Timm10	4	5.0274e-06	1.1567e-06	0.00019	9	3	-3.9301	0.99975	0.99999	1.0	3795	0	-3.9301
Mtif2	4	6.4565e-06	1.1567e-06	0.00019	10	3	-3.5118	0.99998	1.0	1.0	3815	0	-3.5118
Wdr4	4	1.0353e-05	1.1567e-06	0.00019	11	3	-4.4006	0.99986	0.99999	1.0	3804	0	-4.4006
Srp19	4	1.9948e-05	1.1567e-06	0.00019	12	3	-3.2322	0.98708	0.99694	1.0	3606	0	-3.2322
Psma6	4	2.1386e-05	1.1567e-06	0.00019	13	3	-3.5201	0.992	0.99861	1.0	3651	0	-3.5201
Ppcdc	4	2.3408e-05	1.1567e-06	0.00019	14	3	-3.2938	0.99998	1.0	1.0	3814	0	-3.2938
Fars2	4	2.4197e-05	1.1567e-06	0.00019	15	3	-3.3466	0.9999	1.0	1.0	3806	0	-3.3466
Flad1	4	4.0824e-05	1.1567e-06	0.00019	16	3	-3.3482	0.9743	0.99283	1.0	3526	0	-3.3482
Snrpg	3	6.3792e-05	1.1567e-06	0.00019	17	3	-4.0741	0.99993	1.0	1.0	3807	0	-4.0741
Mrps25	4	8.5474e-05	1.1567e-06	0.00019	18	3	-3.0635	0.99995	1.0	1.0	3809	0	-3.0635
Rps27	4	0.00010314	1.1567e-06	0.00019	19	3	-3.1954	0.99997	1.0	1.0	3811	0	-3.1954
Pet117	4	0.00011633	1.1567e-06	0.00019	20	2	-3.397	0.99888	0.99994	1.0	3753	0	-3.397
Taf5l	4	0.00011693	1.1567e-06	0.00019	21	3	-2.755	0.95366	0.98496	1.0	3413	0	-2.755
Mrps30	4	0.00013518	1.1567e-06	0.00019	22	3	-2.8118	0.99902	0.99994	1.0	3759	0	-2.8118
Pwp2	4	0.00016168	3.47e-06	0.000512	23	3	-2.9543	0.99959	0.99998	1.0	3790	0	-2.9543
Det1	4	0.00017912	3.47e-06	0.000512	24	3	-2.6628	0.99989	0.99999	1.0	3805	0	-2.6628
Fech	4	0.00018214	3.47e-06	0.000512	25	3	-2.8153	0.99994	1.0	1.0	3808	0	-2.8153
Tada3	4	0.00018932	5.7833e-06	0.00075	26	3	-2.5766	0.93961	0.97653	1.0	3341	0	-2.5766
Adar	4	0.00019775	5.7833e-06	0.00075	27	3	-2.7	0.75551	0.83312	1.0	2688	0	-2.7
Rpp14	4	0.00019883	5.7833e-06	0.00075	28	3	-2.6248	0.97656	0.99351	1.0	3538	0	-2.6248
Ppil1	4	0.00021672	5.7833e-06	0.00075	29	2	-2.7932	0.99678	0.99975	1.0	3707	0	-2.7932
