id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Rps15a	4	1.3772e-05	1.1569e-06	0.000825	1	3	-5.2418	0.99844	0.99937	1.0	3806	0	-5.2418
Capzb	4	6.5514e-05	2.6609e-05	0.013051	2	4	-4.4234	0.99993	0.99998	1.0	3822	0	-4.4234
Polr2c	4	7.3241e-05	2.6609e-05	0.013051	3	3	-3.7045	0.99877	0.99945	1.0	3809	0	-3.7045
Hrh3	4	0.00013503	3.1237e-05	0.013051	4	1	-0.79575	0.85341	0.88232	1.0	3192	0	-0.79575
Rasal1	4	0.00014778	3.3551e-05	0.013051	5	3	-3.6083	0.86314	0.89102	1.0	3226	0	-3.6083
Gtf2h2	4	0.00018035	3.3551e-05	0.013051	6	2	-2.8043	0.83417	0.86846	1.0	3112	0	-2.8043
Tada3	4	0.00027346	5.9003e-05	0.019421	7	3	-2.4024	0.41094	0.47829	1.0	1613	1	-2.4024
Ppp1r8	4	0.00028472	7.0573e-05	0.02157	8	2	-2.5089	0.87524	0.89707	1.0	3277	0	-2.5089
Rpl27a	4	0.00037364	8.4456e-05	0.023205	9	2	-3.5671	0.91066	0.92887	1.0	3416	0	-3.5671
Haus8	4	0.00040504	8.677e-05	0.023205	10	1	0.70726	0.066725	0.13625	1.0	463	1	0.70726
Prpf8	4	0.00045286	0.00011916	0.028878	11	3	-2.2452	0.072354	0.14553	1.0	481	1	-2.2452
Rack1	4	0.00050338	0.00012148	0.028878	12	2	-2.1048	0.83106	0.86673	1.0	3101	0	-2.1048
1700040F15Rik_Gm20736_Gm20814_Gm20819_Gm20824_Gm20832_Gm20835_Gm20843_Gm20850_Gm20855_Gm20871_Gm20874_Gm20883_Gm20885_Gm20888_Gm20890_Gm20894_Gm20896_Gm20897_Gm20901_Gm20903_Gm20905_Gm20906_Gm20908_Gm20911_Gm20916_Gm20920_Gm20923_Gm20929_Gm20931_Gm20937_Gm21117_Gm21170_Gm21171_Gm21191_Gm21209_Gm21241_Gm21258_Gm21317_Gm21366_Gm21409_Gm21477_Gm21488_Gm21518_Gm21627_Gm21638_Gm21647_Gm21650_Gm21737_Gm21756_Gm21865_Gm28553_Gm28576_Gm28998_Gm29740_Gm30737_Gm35134_LOC100861691_Sly	2	0.00052233	3.8179e-05	0.013614	13	2	-3.6392	0.99948	0.99996	1.0	3817	0	-3.6392
Etv6	3	0.0005582	0.00026956	0.048061	14	3	-3.5857	0.99944	0.99978	1.0	3816	0	-3.5857
Pop7	4	0.00061925	0.00018048	0.039368	15	3	-3.3277	0.90941	0.92822	1.0	3411	0	-3.3277
Med11	4	0.00063559	0.00019089	0.039368	16	2	-2.5431	0.87081	0.8949	1.0	3257	0	-2.5431
Gm14586_Rps17	1	0.00064142	1.1569e-06	0.000825	17	1	-7.1173	0.99936	1.0	1.0	3813	0	-7.1173
Syngap1	4	0.000675	0.00019321	0.039368	18	1	-2.0558	0.88646	0.90694	1.0	3326	0	-2.0558
Car7	4	0.00068766	0.00023486	0.04568	19	3	-3.4152	0.19585	0.3244	1.0	1046	1	-3.4152
Defa17_Defa3	3	0.00089628	0.00040145	0.061351	20	2	-4.4707	0.761	0.79897	1.0	2803	0	-4.4707
Wdr70	4	0.00094491	0.0003922	0.061351	21	2	-1.7805	0.82456	0.86024	1.0	3081	0	-1.7805
Rpl37_Rpl37rt	7	0.0011029	0.00053103	0.075743	22	3	-1.679	0.36504	0.55509	1.0	1457	1	-1.679
Pcna	2	0.001108	0.00026262	0.048061	23	2	-3.3186	0.99889	0.99974	1.0	3810	0	-3.3186
9130213A22Rik_Hes7	3	0.0011136	0.00040145	0.061351	24	1	1.8213	0.020654	0.052438	1.0	201	2	1.8213
Mef2d	4	0.0013045	0.00073002	0.094908	25	3	-2.8315	0.99985	0.99997	1.0	3820	0	-2.8315
Rpl36	2	0.0014042	0.00035749	0.061188	26	2	-2.9961	0.9986	0.99964	1.0	3807	0	-2.9961
