id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Capzb	4	1.5901e-08	1.1567e-06	0.00495	1	4	-3.2461	1.0	1.0	1.0	3823	0	-3.2461
Rasa3	4	5.7292e-06	5.7833e-06	0.012376	2	3	-1.3491	0.98424	0.99023	1.0	3723	0	-1.3491
Fkrp	4	1.3299e-05	1.041e-05	0.014851	3	4	-3.2585	0.99999	1.0	1.0	3822	0	-3.2585
Jmjd1c	4	3.4989e-05	8.2123e-05	0.065771	4	4	-1.8528	0.99997	0.99999	1.0	3821	0	-1.8528
Irgm1	4	4.4334e-05	9.6003e-05	0.065771	5	3	-1.3835	0.41812	0.46378	1.0	1527	1	-1.3835
Tsc22d4	4	5.1005e-05	0.00010526	0.065771	6	3	-1.3605	0.99563	0.99803	1.0	3792	0	-1.3605
Slc26a6	4	5.6256e-05	0.00010757	0.065771	7	2	-0.97157	0.39162	0.43877	1.0	1430	1	-0.97157
Cnot8	4	6.3902e-05	0.0001307	0.069926	8	2	-0.75566	0.99942	0.99973	1.0	3817	0	-0.75566
Vim	4	0.00013486	0.00016772	0.072772	9	1	-0.20908	0.00013486	0.00044069	0.269448	5	1	-0.20908
Rpl7a	4	0.00016695	0.00017003	0.072772	10	2	-2.8718	0.70002	0.74356	1.0	2580	0	-2.8718
Chrna9	4	0.00021549	0.00021861	0.085059	11	3	-3.5644	0.38939	0.43877	1.0	1420	1	-3.5644
Adar	4	0.00026772	0.00025099	0.089521	12	2	-3.1567	0.74772	0.7801	1.0	2766	0	-3.1567
P2ry14	4	0.00031808	0.00027644	0.091013	13	2	-1.5066	0.44842	0.49341	1.0	1643	0	-1.5066
Rpl37_Rpl37rt	7	0.00032801	0.00063269	0.156294	14	4	-2.8466	0.97253	0.98023	1.0	3671	0	-2.8466
Rpl17	4	0.00038974	0.00042681	0.130481	15	3	-3.4716	0.90657	0.92195	1.0	3401	0	-3.4716
Krt23	4	0.00048327	0.00049621	0.141584	16	3	-1.3757	0.9725	0.98113	1.0	3670	0	-1.3757
Rrp12	4	0.00065887	0.00069284	0.156294	17	3	-2.9788	0.99792	0.99902	1.0	3805	0	-2.9788
Riok1	4	0.00066598	0.00071134	0.156294	18	3	-2.7559	0.99971	0.99985	1.0	3820	0	-2.7559
Ube2m	4	0.00069277	0.00074373	0.156294	19	2	-2.3141	0.84158	0.86873	1.0	3136	0	-2.3141
Cdk1	4	0.00086619	0.00074604	0.156294	20	3	-3.6297	0.99924	0.99964	1.0	3815	0	-3.6297
Clns1a	4	0.00094376	0.00076686	0.156294	21	2	-1.618	0.99734	0.9987	1.0	3801	0	-1.618
