id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Sec61a1	4	7.3844e-08	1.1567e-06	6.4e-05	1	4	-2.9061	1.0	1.0	1.0	3823	0	-2.9061
Ppcs	4	7.506e-08	1.1567e-06	6.4e-05	2	4	-3.331	1.0	1.0	1.0	3822	0	-3.331
Wdr4	4	5.754e-07	1.1567e-06	6.4e-05	3	4	-2.9743	1.0	1.0	1.0	3821	0	-2.9743
Slc25a3	4	6.8372e-07	1.1567e-06	6.4e-05	4	4	-2.3914	1.0	1.0	1.0	3820	0	-2.3914
Idh3a	4	7.8996e-07	1.1567e-06	6.4e-05	5	3	-3.6839	0.97305	0.99648	1.0	3351	0	-3.6839
Fars2	4	1.307e-06	1.1567e-06	6.4e-05	6	4	-2.4268	1.0	1.0	1.0	3819	0	-2.4268
Hmbs	4	2.9656e-06	1.1567e-06	6.4e-05	7	4	-3.352	1.0	1.0	1.0	3818	0	-3.352
Fxn	4	3.5432e-06	1.1567e-06	6.4e-05	8	4	-2.6293	1.0	1.0	1.0	3817	0	-2.6293
Dnajc9	4	4.1021e-06	1.1567e-06	6.4e-05	9	4	-2.9851	1.0	1.0	1.0	3816	0	-2.9851
Hsd17b10	4	4.7795e-06	1.1567e-06	6.4e-05	10	4	-2.3573	1.0	1.0	1.0	3815	0	-2.3573
Ndufaf3	4	5.339e-06	1.1567e-06	6.4e-05	11	3	-2.9057	0.99999	1.0	1.0	3808	0	-2.9057
Pet117	4	5.8149e-06	1.1567e-06	6.4e-05	12	3	-3.2349	0.99981	1.0	1.0	3744	0	-3.2349
Polr2c	4	5.9814e-06	1.1567e-06	6.4e-05	13	4	-1.849	0.99999	1.0	1.0	3814	0	-1.849
Rpl8	4	6.1129e-06	1.1567e-06	6.4e-05	14	4	-2.0523	0.99999	1.0	1.0	3813	0	-2.0523
Mrps25	4	8.5259e-06	1.1567e-06	6.4e-05	15	3	-2.8377	0.99967	1.0	1.0	3716	0	-2.8377
Ippk	4	1.4082e-05	1.1567e-06	6.4e-05	16	3	-2.89	0.99999	1.0	1.0	3806	0	-2.89
Ppcdc	4	1.9026e-05	1.1567e-06	6.4e-05	17	3	-3.0143	0.99765	0.99996	1.0	3594	0	-3.0143
Orc6	4	2.213e-05	1.1567e-06	6.4e-05	18	3	-2.9078	0.99954	1.0	1.0	3700	0	-2.9078
Mis18a	4	2.3932e-05	1.1567e-06	6.4e-05	19	3	-3.2302	0.97792	0.99716	1.0	3391	0	-3.2302
Srp19	4	2.6108e-05	1.1567e-06	6.4e-05	20	3	-3.0387	0.99972	1.0	1.0	3723	0	-3.0387
Adar	4	2.8709e-05	1.1567e-06	6.4e-05	21	3	-2.7636	0.98237	0.99788	1.0	3421	0	-2.7636
Eif4a1	4	2.9612e-05	1.1567e-06	6.4e-05	22	3	-2.0492	0.99999	1.0	1.0	3807	0	-2.0492
Elp6	4	3.4079e-05	1.1567e-06	6.4e-05	23	3	-2.9271	0.99997	1.0	1.0	3788	0	-2.9271
Coq2	4	4.6798e-05	1.1567e-06	6.4e-05	24	3	-3.2031	0.99999	1.0	1.0	3802	0	-3.2031
Timm10	4	4.7148e-05	1.1567e-06	6.4e-05	25	3	-2.2531	0.99981	1.0	1.0	3742	0	-2.2531
Snrpg	3	5.0852e-05	1.1567e-06	6.4e-05	26	3	-2.2719	0.99995	1.0	1.0	3779	0	-2.2719
Flad1	4	5.7326e-05	1.1567e-06	6.4e-05	27	3	-2.9388	0.99008	0.99899	1.0	3485	0	-2.9388
Mrps30	4	6.0201e-05	1.1567e-06	6.4e-05	28	3	-2.7427	0.99925	0.99999	1.0	3675	0	-2.7427
Ears2	4	8.1246e-05	1.1567e-06	6.4e-05	29	3	-2.2844	0.9988	0.99998	1.0	3645	0	-2.2844
Rps7	4	0.00010039	1.1567e-06	6.4e-05	30	3	-2.2903	0.99989	1.0	1.0	3762	0	-2.2903
Fam50a	4	0.00011468	1.1567e-06	6.4e-05	31	3	-1.965	0.99995	1.0	1.0	3781	0	-1.965
