id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Mars2	4	1.6515e-09	1.0977e-06	9.3e-05	1	4	-4.0543	1.0	1.0	1.0	3991	0	-4.0543
Trim28	4	9.6401e-07	1.0977e-06	9.3e-05	2	4	-1.9008	1.0	1.0	1.0	3990	0	-1.9008
Kif18b	4	1.2085e-06	1.0977e-06	9.3e-05	3	4	-2.3251	1.0	1.0	1.0	3989	0	-2.3251
Prmt1	4	1.4737e-06	1.0977e-06	9.3e-05	4	4	-2.0825	1.0	1.0	1.0	3988	0	-2.0825
Ndufb5	4	4.4407e-06	1.0977e-06	9.3e-05	5	4	-2.5466	1.0	1.0	1.0	3987	0	-2.5466
Pfdn5	4	5.4272e-06	1.0977e-06	9.3e-05	6	4	-2.4569	0.99999	1.0	1.0	3986	0	-2.4569
Mto1	4	5.5196e-06	1.0977e-06	9.3e-05	7	3	-2.7412	0.99951	0.99993	1.0	3953	0	-2.7412
Mcm4	4	3.3469e-05	1.0977e-06	9.3e-05	8	3	-2.6749	0.99998	1.0	1.0	3980	0	-2.6749
Ccnh	4	3.5834e-05	1.0977e-06	9.3e-05	9	3	-2.572	0.99838	0.99973	1.0	3929	0	-2.572
Srp54a_Srp54b_Srp54c	8	3.7808e-05	1.0977e-06	9.3e-05	10	3	-1.5194	0.96089	0.9798	1.0	3665	0	-1.5194
Upf1	4	3.94e-05	1.0977e-06	9.3e-05	11	3	-2.7696	0.99997	1.0	1.0	3979	0	-2.7696
Nup85	4	4.2032e-05	1.0977e-06	9.3e-05	12	3	-2.3635	0.99996	1.0	1.0	3974	0	-2.3635
Sf3a2	4	5.2823e-05	1.0977e-06	9.3e-05	13	3	-2.6464	0.99974	0.99997	1.0	3962	0	-2.6464
Slc25a26	4	5.9328e-05	1.0977e-06	9.3e-05	14	3	-2.4501	0.97041	0.98703	1.0	3713	0	-2.4501
Gm3173	2	6.7457e-05	1.0977e-06	9.3e-05	15	1	-3.4036	0.97708	0.99264	1.0	3755	0	-3.4036
Mtpap	4	8.0193e-05	1.0977e-06	9.3e-05	16	3	-2.3705	0.99829	0.99971	1.0	3927	0	-2.3705
Pde12	4	8.1973e-05	1.0977e-06	9.3e-05	17	3	-2.3552	0.99999	1.0	1.0	3985	0	-2.3552
Dolk	4	8.4387e-05	1.0977e-06	9.3e-05	18	3	-2.1025	0.94309	0.96991	1.0	3593	0	-2.1025
Mrps27	4	9.6145e-05	1.0977e-06	9.3e-05	19	2	-2.6411	0.97256	0.98819	1.0	3724	0	-2.6411
Gm36327_Gm40363_Gm40364_Gm40365_Gm40367_Gm40369_Gm52861	4	0.00011293	1.0977e-06	9.3e-05	20	2	-1.7913	0.99996	1.0	1.0	3973	0	-1.7913
Bcl11a	4	0.00013485	1.0977e-06	9.3e-05	21	2	-2.2915	0.99813	0.99967	1.0	3926	0	-2.2915
Gm4070_Gvin1	4	0.00015458	1.0977e-06	9.3e-05	22	2	-1.8464	0.67118	0.70579	1.0	2556	0	-1.8464
Atp6v1a	4	0.0001715	1.0977e-06	9.3e-05	23	3	-2.2072	0.97444	0.98923	1.0	3741	0	-2.2072
Trmt6	4	0.00018345	1.0977e-06	9.3e-05	24	3	-1.9821	0.94769	0.97439	1.0	3614	0	-1.9821
Tomm70a	4	0.00019488	1.0977e-06	9.3e-05	25	3	-2.6987	0.99999	1.0	1.0	3983	0	-2.6987
