id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
LTO1	4	1.4125e-05	4.9428e-05	0.065594	1	3	-2.8073	0.66154	0.67021	1.0	2591	0	-2.8073
Med15	4	3.8723e-05	5.6018e-05	0.065594	2	3	-2.9001	0.7159	0.72346	1.0	2806	0	-2.9001
Defa23_Defa31	4	5.6092e-05	5.8215e-05	0.065594	3	3	-2.5381	0.82353	0.84714	1.0	3206	0	-2.5381
Gm20738_Gm20747_Gm20776_Gm20798_Gm20800_Gm20801_Gm20803_Gm20804_Gm20805_Gm20806_Gm20808_Gm20809_Gm20810_Gm20813_Gm20815_Gm20816_Gm20818_Gm20823_Gm20825_Gm20826_Gm20840_Gm20841_Gm20842_Gm20844_Gm20846_Gm20847_Gm20848_Gm20852_Gm20853_Gm20854_Gm20859_Gm20860_Gm20861_Gm20862_Gm20863_Gm20865_Gm20866_Gm20867_Gm20868_Gm20879_Gm20880_Gm20881_Gm20882_Gm20884_Gm20889_Gm20891_Gm20892_Gm20893_Gm20895_Gm20898_Gm20902_Gm20907_Gm20909_Gm20912_Gm20913_Gm20914_Gm20917_Gm20919_Gm20921_Gm20924_Gm20925_Gm20927_Gm20930_Gm20932_Gm20933_Gm20934_Gm20935_Gm20936_Gm21065_Gm21076_Gm21111_Gm21114_Gm21118_Gm21127_Gm21151_Gm21155_Gm21160_Gm21163_Gm21180_Gm21184_Gm21201_Gm21242_Gm21244_Gm21245_Gm21247_Gm21249_Gm21257_Gm21268_Gm21275_Gm21281_Gm21282_Gm21285_Gm21287_Gm21292_Gm21302_Gm21308_Gm21316_Gm21330_Gm21333_Gm21340_Gm21344_Gm21380_Gm21387_Gm21394_Gm21396_Gm21412_Gm21427_Gm21435_Gm21443_Gm21462_Gm21469_Gm21470_Gm21476_Gm21506_Gm21524_Gm21530_Gm21573_Gm21617_Gm21634_Gm21642_Gm21654_Gm21661_Gm21672_Gm21683_Gm21724_Gm21745_Gm21751_Gm21753_Gm21763_Gm21783_Gm21805_Gm21806_Gm21810_Gm21838_Gm21843_Gm21908_Gm21918_Gm21943_Gm28093_Gm28371_Gm28459_Gm29317_Gm31186_Gm38185_Ssty2	1	0.00010124	1.0984e-06	0.00495	4	1	-5.2754	0.9999	1.0	1.0	3989	0	-5.2754
Fbrsl1	4	0.00013497	0.0001351	0.066337	5	1	-0.67785	0.14053	0.16975	1.0	651	1	-0.67785
Ndufb5	4	0.00021714	0.00014169	0.066337	6	3	-2.4112	0.85435	0.86957	1.0	3336	0	-2.4112
Spin1	4	0.0002569	0.00019222	0.066337	7	3	-2.3736	0.99692	0.99877	1.0	3965	0	-2.3736
Sepsecs	4	0.00040561	0.00021199	0.066337	8	2	-2.5418	0.99988	0.99994	1.0	3987	0	-2.5418
Pacsin3	4	0.00041222	0.00021419	0.066337	9	2	-1.3902	0.55563	0.57657	1.0	2181	0	-1.3902
Zc3hc1	4	0.00042873	0.00021419	0.066337	10	3	-2.4045	0.99909	0.99956	1.0	3985	0	-2.4045
