id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Ubr4	4	2.7304e-05	2.7448e-05	0.057756	1	3	-0.80372	0.906	0.91023	1.0	3540	0	-0.80372
Prmt1	4	4.0347e-05	3.8427e-05	0.057756	2	2	-1.5601	0.82627	0.82919	1.0	3229	0	-1.5601
Ptpmt1	4	0.00019355	0.00020092	0.203795	3	2	-1.1804	0.21751	0.25872	1.0	875	1	-1.1804
Selenoo	4	0.0002219	0.00024483	0.203795	4	2	-0.91846	0.7529	0.76827	1.0	2926	0	-0.91846
Cilp2	4	0.00026961	0.00027118	0.203795	5	3	-1.3552	0.99992	0.99995	1.0	3989	0	-1.3552
Ypel3	4	0.00040477	0.00053249	0.255081	6	2	-0.75339	0.83712	0.8401	1.0	3271	0	-0.75339
Ifi44	4	0.00044097	0.00067083	0.255081	7	3	-0.86127	0.98063	0.98633	1.0	3889	0	-0.86127
Upf1	4	0.00050271	0.00070376	0.255081	8	2	-2.207	0.99116	0.99326	1.0	3941	0	-2.207
Gm20738_Gm20747_Gm20776_Gm20798_Gm20800_Gm20801_Gm20803_Gm20804_Gm20805_Gm20806_Gm20808_Gm20809_Gm20810_Gm20812_Gm20815_Gm20816_Gm20818_Gm20823_Gm20830_Gm20840_Gm20841_Gm20842_Gm20844_Gm20846_Gm20847_Gm20848_Gm20852_Gm20859_Gm20861_Gm20863_Gm20865_Gm20866_Gm20867_Gm20868_Gm20877_Gm20880_Gm20881_Gm20882_Gm20884_Gm20889_Gm20891_Gm20892_Gm20893_Gm20895_Gm20898_Gm20902_Gm20907_Gm20909_Gm20914_Gm20917_Gm20918_Gm20919_Gm20921_Gm20924_Gm20925_Gm20926_Gm20927_Gm20932_Gm20933_Gm20934_Gm20935_Gm20936_Gm21076_Gm21114_Gm21118_Gm21127_Gm21151_Gm21155_Gm21163_Gm21180_Gm21184_Gm21201_Gm21245_Gm21247_Gm21249_Gm21268_Gm21275_Gm21281_Gm21282_Gm21285_Gm21287_Gm21292_Gm21301_Gm21302_Gm21308_Gm21316_Gm21330_Gm21333_Gm21340_Gm21344_Gm21387_Gm21396_Gm21412_Gm21427_Gm21443_Gm21462_Gm21469_Gm21470_Gm21476_Gm21506_Gm21524_Gm21530_Gm21573_Gm21617_Gm21634_Gm21642_Gm21654_Gm21661_Gm21672_Gm21683_Gm21724_Gm21745_Gm21751_Gm21753_Gm21763_Gm21783_Gm21805_Gm21810_Gm21838_Gm21843_Gm21908_Gm21918_Gm21943_Gm28093_Gm29317_Gm31186_Gm38185	3	0.00061655	0.00044246	0.255081	9	2	-3.7127	0.98369	0.98699	1.0	3901	0	-3.7127
Nab1	4	0.00065127	0.00070596	0.255081	10	2	-0.58736	0.87093	0.86699	1.0	3416	0	-0.58736
